№ строки	Название	Адрес	Площадь,га	Телефон	Места захоронений	Статус кладбища
104	Рождественское кладбище	1-я Муравская ул., вл. 39	1.09	(903) 132-13-01	захоронение урной в землю	Закрытое
105	Руднево кладбище	Поселение Новофедоровское, д. Руднево	1.2	952-47-37, 952-29-63	захоронение урной в землю	Закрытое
106	Саларьевское кладбище	поселение Московский, д. Саларьево	1.6	448-67-88	захоронение урной в землю	Закрытое
107	Сальково кладбище	Поселение Кленовское, д. Сальково	0.6	232-40-21	захоронение урной в землю	Закрытое
108	Сатино-Русское кладбище	поселение Щаповское, д. Сатино-Русское	1.19	232-40-21	захоронение урной в землю	Закрытое
109	Середневское кладбище	Поселение Филимонковское, д. Середнево	0.5	448-67-88	захоронение урной в землю	Закрытое
110	Сосенское кладбище	Поселение Сосенское, п. Коммунарка	6.0	448-67-88	захоронение урной в землю	Закрытое
111	Спас-Купля кладбище	Поселение Роговское, д. Спас-Купля	0.4	232-40-21	захоронение урной в землю	Закрытое
112	Станиславское кладбище	Поселение Десеновское, с. Станиславль	1.1	448-67-88	захоронение урной в землю	Закрытое
113	Старо-Марковское кладбище	Дмитровское ш., вл. 124а	9.5356	(499) 188-42-46	Захоронение урной в землю	Закрытое
114	Старо-Покровское кладбище	Ул. Дорожная, вл. 12/8	0.9031	383-43-38	Захоронение урной в землю	Закрытое
115	Троекуровское кладбище	ул. Рябиновая, д. 24	33.798700000000004	448-87-87	Захоронение урной в землю	Закрытое
116	Троице-Лыковское кладбище	Ул. Твардовского, д. 12, корп. 3	1.2950000000000002	757-18-55	захоронение урной в землю	Закрытое
117	Филимонковское кладбище	Поселение Филимонковское, п. Филимонки	0.2	448-67-88	захоронение урной в землю	Закрытое
118	Хатминки кладбище	поселение Первомайское, д. Хатминки	0.4	952-47-37, 952-29-63	захоронение урной в землю	Закрытое
119	Химкинское кладбище	Новосходненское ш., д. 1	66.4028	575-81-88	Захоронение урной в землю	Закрытое
120	Хованское (Центральное) кладбище	Поселение «Мосрентген», 21-й км. Киевского ш.	87.0	339-05-60	Захоронение урной в землю	Закрытое
121	Хованское (Северное) кладбище	Поселение «Мосрентген», 21-й км. Киевского ш.	60.0	339-05-60	Захоронение урной в землю	Закрытое
122	Хованское (Западное) кладбище	Поселение «Мосрентген», 21-й км. Киевского ш.	50.120000000000005	339-05-60	Захоронение урной в землю	Закрытое
123	Черкизовское кладбище	ул. Черкизовская, д. 15	0.43170000000000003	701-60-80	захоронение урной в землю	Закрытое
124	Черкизовское кладбище	Проектируемый пр. № 536, д. 1, Ленинградского ш., пос. Подрезково	3.3186	578-90-26	захоронение урной в землю	Закрытое
125	Черневское кладбище	Северное Бутово, д. Чернево	2.4036	(916)-929-89-74	Захоронение урной в землю	Закрытое
126	Чириково кладбище	Поселение Краснопахорское, д. Чириково	0.2	232-40-21	захоронение урной в землю	Закрытое
127	Щербинское кладбище	Поселение Щербинка, ст. Щербинка Курской ж/д	90.0	232-40-21	Захоронение урной в землю	Закрытое
128	Юдановка кладбище	Поселение Вороновское, д. Юдановка	0.7000000000000001	232-40-21	захоронение урной в землю	Закрытое
129	Ясеневское кладбище	Новоясеневский просп., д. 46	1.8771	921-75-37	Открытый колумбарий, захоронение урной в землю	Закрытое
130	Ястребковское кладбище (площадь не определена)	Московская обл., Одинцовский р-н	0.0	(499) 157-43-83	нет захоронений	Закрытое
131	Яковлевское кладбище	Поселение Десеновское, с. Яковлево	0.08	448-67-88	захоронение урной в землю	Закрытое
132	Троицкое городское (муниципальное) кладбище	поселение Краснопахорское, вблизи д. Подосинки	5.75	-	открытый колумбарий, захоронение урной в землю	Закрытое
133	Вешняковское кладбище	Ул. Юности, д. 17	1.5	375-29-61	захоронение урной в землю	Закрытое
134	Хованский крематорий (понятие площади у крематория отсутсттвует)	поселение «Мосренген», 21-й км. Киевского ш.	0.0	339-54-00	крематорий	крематорий
135	Николо-Архангельский крематорий (понятие площади у крематория отсутствует)	Балашихинский район, Носовихинское ш., вл. 16	0.0	702-05-52	крематорий	крематорий
136	Белоусово кладбище	Поселение Новофедоровское, д. Белоусово	0.5	952-47-37, 952-29-63	захоронение урной в землю	Закрытое
137	Былово кладбище	Поселение Краснопахорское, с. Былово	0.2	232-40-21	захоронение урной в землю	Закрытое
