№ строки	Название	Адрес	Административный округ, район	Адрес начала маршрута	Вид использования	Вид трассы	Протяженность (км)	Балансодержатель	Эксплуатирующая организация лыжной трассы
113	Озелененная территория	ул. Борисовские пруды, напротив         д. 24-30	ЮАО, Братеево	ул. Борисовские пруды, напротив         д. 24-30	Проектируемая	Прогулочная	3.00000000000	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района
114	Парк Братеево	ул. Борисовские пруды, д. 10, к. 1	ЮАО, Братеево	ул. Борисовские пруды, д. 10, к. 1	Существующая	Прогулочная	3.00000000000	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района
115	Детский парк по Загородному шоссе	Загородное шоссе,д.2	ЮАО, Донской	Загородное шоссе,д.2	Существующая	Прогулочная	2.00000000000	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района
116	Озеленённая территория	Борисовский проезд, д.15	ЮАО, Зябликово	Борисовский проезд, д.15	Существующая	Прогулочная	3.20000000000	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района
117	ул. Борисовские пруды, вдоль Москва-реки	ул. Борисовские пруды, от вл.1 до вл. 29	ЮАО, Москворечье-Сабурово	ул. Борисовские пруды, от вл.1 до вл. 29	Существующая	Прогулочная	3.00000000000	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района
118	Парк культуры и отдыха в Садовниках	Коломенский проезд, д.14	ЮАО, Нагатино-Садовники	Коломенский проезд, д.14	Существующая	Прогулочная	2.00000000000	ГКУ "Единая служба заказчика по озеленительным работам в Москве"	Управа района ГБУ ЦФКиС ЮАО
119	Парк им. 60-летия Октября	пр-т Андропова	ЮАО, Нагатинский затон	пр-т Андропова	Существующая	Прогулочная	2.00000000000	ГКУ "Единая служба заказчика по озеленительным работам в Москве"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района                   ГБУ ЦФКиС ЮАО
120	Коломенская набережная	Коломенская наб., д. 1-26	ЮАО, Нагатинский затон	Коломенская наб., д. 1-26	Существующая	Прогулочная	2.00000000000	ДКУ "Дирекция заказчика ЖКХиБ г. Москвы"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района
121	МГОМЗ "Коломенское"	проспект Андропова, д.39	ЮАО, Нагатинский Затон	проспект Андропова, д.39	Существующая	Прогулочная	4.00000000000	МГОМЗ "Коломенское"	МГОМЗ "Коломенское"
122	МГОМЗ "Коломенское"	проспект Андропова, д.39	ЮАО, Нагатинский Затон	проспект Андропова, д.39	Существующая	Прогулочная	4.00000000000	МГОМЗ "Коломенское"	МГОМЗ "Коломенское"
123	ЦВВС	Электролитный проезд, дом 7б	ЮАО, Нагорный	Электролитный проезд, дом 7б	Существующая	Прогулочная	1.50000000000	АНО МДЮСШ "Нагорная"	АНО МДЮСШ "Нагорная"
124	ГМЗ "Царицыно"	КПП №7 ГМЗ "Царицыно"	ЮАО, Орехово-Борисово Северное	КПП №7 ГМЗ "Царицыно"	Существующая	Прогулочная	5.00000000000	ГМЗ "Царицыно"	ГКУ "Дирекция заказчика ЖКХиБ г. Москвы" Управа района
125	ул. Заповедная, д. 3	ул. Заповедная, д. 3	СВАО, Южное Медведково	ул. Заповедная, д. 3	Проектируемая	Прогулочная	1.00000000000	Департамент природопользования и охраны окружающей среды города Москвы	ГОУ ДОДСН ДЮСШ №2
126	Лесопарковая зона "Лосиный остров" Богатырский мост. Пропала возможность закольцевать трассу из-за построенной дороги с бордюрным камнем.	ул.Богатырский мост д.11	ВАО, Богородское	ул.Богатырский мост д.11	Проектируемая	Прогулочная	3.00000000000	ФГУ НП "Лосиный остров"	Управа района Богородское
127	Лесопарк Кусково	Рассветная аллея, квартал 2	ВАО, Вешняки	Рассветная аллея, квартал 2	Проектируемая	Прогулочная	1.90000000000	ГПБУ "Управление ООПТ по ВАО"	ГПБУ "Управление ООПТ по ВАО"
128	ПИП Измайлово	16 Парковая 4.А Образование д.14б (колледж №22)	ВАО, Восточное Измайлово	16 Парковая 4.А Образование д.14б (колледж №22)	Проектируемая	Прогулочная	1.50000000000	ГПБУ "Управление ООПТ по ВАО"	Управа района Восточное Измайлово
129	ПИП Измайлово	12-я Парковая	ВАО, Восточное Измайлово	12-я Парковая	Проектируемая	Прогулочная	5.00000000000	ГПБУ "Управление ООПТ по ВАО"	Управа района Восточное Измайлово
130	Парк поселка Акулово	Поселок Акулово 26	ВАО, Восточный	Поселок Акулово 26	Проектируемая	Прогулочная	2.50000000000	ГУ ГУЗ ВАО (Охранная зона Мосводоканала)	Управа района Восточный
131	Горенский лесопарк, ГБУ ЦСП "Измайлово"	ул.Западная д.16 Б	ВАО, Восточный	ул.Западная д.16 Б	Существующая	Прогулочная	7.50000000000	ГБУ ЦСП "Измайлово"	ГБУ ЦСП "Измайлово"
132	Лесопарковая зона "Лосиный остров"	Ул.Курганская д.5 стр.1 (район дает адресную привязку Курганская 9)	ВАО, Гольяново	Ул.Курганская д.5 стр.1 (район дает адресную привязку Курганская 9)	Проектируемая	Спортивная	7.50000000000	ФГУ НП "Лосиный остров"	ГУ "ЦФКиС ВАО"
133	ПИП Измайлово, лесопарк Терлецкий	Свободный проспект д.2 А напротив	ВАО, Ивановское	Свободный проспект д.2 А напротив	Проектируемая	Прогулочная	1.60000000000	ГПБУ "Управление ООПТ по ВАО"	ГПБУ "Управление ООПТ по ВАО"
134	ПИП Измайлово, лесопарк Терлецкий	Металургов 60 напротив	ВАО, Ивановское	Металургов 60 напротив	Проектируемая	Прогулочная	3.00000000000	ГПБУ "Управление ООПТ по ВАО"	ГУ "ЦФКиС ВАО"
135	Салтыковский парк	ул. Лухмановская д. 19 А	ВАО, Косино-Ухтомский	ул. Лухмановская д. 19 А	Проектируемая	Прогулочная	8.00000000000	ГПБУ "Управление ООПТ по ВАО"	ГУ "ЦФКиС ВАО"
136	Лесопарковая зона "Лосиный остров"	Открытое ш.29	ВАО, Метрогородок	Открытое ш.29	Проектируемая	Прогулочная	9.00000000000	ФГУ НП "Лосиный остров"	Управа района
137	Сатыковский Лесопарк	Ул. Салтыковская д.33	ВАО, Новокосино	Ул. Салтыковская д.33	Проектируемая	Прогулочная	2.00000000000	ГУ «ИС района Новокосино», Московская область	ГУ "ЦФКиС ВАО"
138	ПКиО "Измайловский"	Северная часть парка	ВАО, Измайлово	Северная часть парка	Проектируемая	Прогулочная	8.00000000000	ПКиО "Измайловский"	ПКиО "Измайловский"
139	ПКиО "Измайловский"	Центральная и южная часть парка	ВАО, Измайлово	Центральная и южная часть парка	Проектируемая	Прогулочная	8.00000000000	ПКиО "Измайловский"	ПКиО "Измайловский"
140	ПИП Измайлово	ПИП «Измайлово» начало маршрута ул. 3-я Владимирская, пересечение с Ш. Энтузиастов	ВАО, Измайлово	ПИП «Измайлово» начало маршрута ул. 3-я Владимирская, пересечение с Ш. Энтузиастов	Проектируемая	Прогулочная	0.00000000000	ГБУ «Управление ООПТ по ВАО города Москвы»	ГБУ «Управление ООПТ по ВАО города Москвы»
141	Лесопарковая зона "Лосиный остров"	Ивантеевсккая д.1	ВАО, Богородское	Ивантеевсккая д.1	Проектируемая	Прогулочная	2.00000000000	ФГУ НП "Лосиный остров"	Управа района Богородское
142	Парк у  прудов «Радуга»	Ул.Вешняковская, вл.16	ВАО, Вешняки	Ул.Вешняковская, вл.16	Проектируемая	Прогулочная	2.00000000000	ГУ "Мосзеленхоз"	ГУ "Мосзеленхоз"
143	Парк поселка Акулово	поселок Акулово, дом 43	ВАО, Восточный	поселок Акулово, дом 43	Проектируемая	Прогулочная	1.00000000000	ГУ ГУЗ ВАО (Охранная зона Мосводоканала)	ГУ ГУЗ ВАО (Школа №448)
144	Сквер	Зеленый проспект, вл.74	ВАО, Новогиреево	Зеленый проспект, вл.74	Проектируемая	Прогулочная	0.50000000000	ГУ ГУЗ ВАО	Управа района Новогиреево
145	Парк культуры и отдыха "Перово"	Ул. Лазо, вл.7	ВАО, Перово	Ул. Лазо, вл.7	Проектируемая	Прогулочная	0.50000000000	ГУ "Мосзеленхоз"	ГУК «Перовский парк культуры и отдыха»
146	Черкизовский парк	Б.Черкизовская д.17 стр.2	ВАО, Преображенское	Б.Черкизовская д.17 стр.2	Проектируемая	Прогулочная	1.50000000000	Департамент Образования г. Москвы	Департамент Образования г. Москвы
147	Ульяновский лесопарк, лесной массив близ деревни Орлово и Центра всесезонных видов спорта	Проектируемый пр. № 635, д. 9	Ново-Переделкино ЗАО	Проектируемый пр. № 635, д. 9	существует	Спортивная	15.00000000000	Ульяновский лесхоз	ГУ "ЦФКиС ЗАО", РГШ Столица
148	Парк "50 лет Октября", ул. Удальцова, д. 22	Парк 50-летия октября, ул. Удальцова, напротив дома № 49	Проспект Вернадского ЗАО	Парк 50-летия октября, ул. Удальцова, напротив дома № 49	существует	Прогулочная	10.00000000000	ГУ "Мосзеленхоз"	ГУ Мосзеленхоз
149	ул. Барвихинская	ул. Барвихинская	Можайский, ЗАО	ул. Барвихинская	существует	Прогулочная	1.50000000000	управа	ГУ "ЦФКиС ЗАО"
150	Парк Победы на Поклонной горе	ул. Братьев Фонченко, д. 7	Дорогомилово, ЗАО	ул. Братьев Фонченко, д. 7	существует	Прогулочная	1.00000000000	ГУП Поклонная гора	ГУП Поклонная гора
151	Большой газон МГУ	Между Университетским просп. и ул. Косыгина	Раменки, ЗАО	Между Университетским просп. и ул. Косыгина	новая	Спортивная	8.00000000000	МГУ им. М.В. Ломоносова	МГУ им. М.В. Ломоносова
152	ул. Лобачевского, д. 116	ул. Лобачевского, д. 116	Очаково-Матвеевское ЗАО	ул. Лобачевского, д. 116	существует	Прогулочная	3.00000000000	ГКУ "Дирекция ЖКХиБ ЗАО"	ГКУ "Дирекция ЖКХиБ ЗАО"
153	ПП "Долина реки Сходни в Куркино", ул.Ландышевая	Березовая роща со стороны ул.Ландышевая	СЗАО,Куркино	Березовая роща со стороны ул.Ландышевая	проектируемая	Прогулочная	3.00000000000	ГПБУ "УООПТ по СЗАО"	ГПБУ "Управление ООПТ по СЗАО", ГУ "ЦФКиС СЗАО"
154	ПП "Серебряный бор", ул.Таманская	Большой лесной массив, детский парк	СЗАО,Хорошево-Мневники	Большой лесной массив, детский парк	проектируемая	Прогулочная	5.00000000000	ГПБУ "УООПТ по СЗАО"	ГПБУ "Управление ООПТ по СЗАО", ГУ "ЦФКиС СЗАО"
155	ПИП "Москворецкий", ул.Исаковского, 6-22	Кировская пойма, напротив ул.Исаковского, 6-22	СЗАО,Строгино	Кировская пойма, напротив ул.Исаковского, 6-22	проектируемая	Прогулочная	3.00000000000	ГПБУ "УООПТ по СЗАО"	ГПБУ "Управление ООПТ по СЗАО", ГУ "ЦФКиС СЗАО"
156	ПИП "Покровское-Стрешнево", Иваньковское ш., 54-1	Вход в парк сос тороны Иваньковского ш., 54-1	СЗАО,Покровское-Стрешнево	Вход в парк сос тороны Иваньковского ш., 54-1	проектируемая	Прогулочная	5.00000000000	ГПБУ "УООПТ по СЗАО"	ГПБУ "Управление ООПТ по СЗАО", ГУ "ЦФКиС СЗАО"
157	ул.В.Лациса, 26	ул.В.Лациса, 26	СЗАО, Северное Тушино	ул.В.Лациса, 26	проектируемая	Спортивная	7.00000000000	ГПБУ "УООПТ по СЗАО"	ГПБУ "Управление ООПТ по СЗАО", ГУ "ЦФКиС СЗАО"
158	Ландшафтный парк Митино, ул.Пенягинская, 14	ул.Пенягинская, 14	СЗАО, Митино	ул.Пенягинская, 14	проектируемая	Прогулочная	3.00000000000	ГПБУ "УООПТ по СЗАО"	ГПБУ "Управление ООПТ по СЗАО", ГУ "ЦФКиС СЗАО"
159	ГУК г.Москвы "ПКиО "Северное Тушино", ул.Свободы, 56	ул.Свободы, 56	СЗАО,Северное Тушино	ул.Свободы, 56	проектируемая	Прогулочная	4.50000000000	ГУК г.Москвы "ПКиО "Северное Тушино"	ГУК г.Москвы "ПКиО "Северное Тушино"
160	Стадион Ангстрем, лесной массив за Городской больницей №3, (19 квартал "Крюковского" лесопарка)	Стадион "Ангстрем"	ЗелАО, Старое Крюково	Стадион "Ангстрем"	Существующая	Спортивная	10.00000000000	ГПБУ "УООПТ по ЗелАО"	Управление и Центр ФКиС, СДЮСШОР № 111
161	Бульварная зона, 17-й микрорайон (русло рек Каменка и Горетовка)	напротив 16 микрорайона	ЗелАО, Крюково	напротив 16 микрорайона	Существующая	Спортивная	2.50000000000	Земля города Москвы. Управа района Крюково.	 Управление и Центр ФКиС
162	Лесной массив, 8-й микрорайон,( 20-21 кварталы "Крюковского" лесопарка)	Лесной массив, 8-й микрорайон,( 20-21 кварталы "Крюковского" лесопарка)	ЗелАО, Крюково	Лесной массив, 8-й микрорайон,( 20-21 кварталы "Крюковского" лесопарка)	Существующая	Прогулочная	3.00000000000	ГПБУ "УООПТ по ЗелАО"	Управление и Центр ФКиС
163	Лесной массив, 11-й микрорайон (от корп. 1126), (16 квартал "Крюковского" лесопарка)	Лесной массив, 11-й микрорайон (от корп. 1126), (16 квартал "Крюковского" лесопарка)	ЗелАО, Силино	Лесной массив, 11-й микрорайон (от корп. 1126), (16 квартал "Крюковского" лесопарка)	Существующая	Прогулочная	5.00000000000	ГПБУ "УООПТ по ЗелАО"	ГПБУ "УООПТ по ЗелАО"
164	Черное озеро, лесной массив 6 микрорайон	Черное озеро, лесной массив 6 микрорайон	ЗелАО, Савелки	Черное озеро, лесной массив 6 микрорайон	Существующая	Прогулочная	1.20000000000	ГПБУ "УООПТ по ЗелАО"	ГПБУ "УООПТ по ЗелАО"
165	Лесопарковая зона, 1-й микрорайон (5 квартал "Крюковского" лесопарка)	Лесопарковая зона, 1-й микрорайон (5 квартал "Крюковского" лесопарка)	ЗелАО, Матушкино	Лесопарковая зона, 1-й микрорайон (5 квартал "Крюковского" лесопарка)	Существующая	Прогулочная	2.50000000000	ГПБУ "УООПТ по ЗелАО"	Упрва и муниципалитет Матушкино
