№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
3095	Универсам	Россия, Москва, Нижегородская улица, 2к1	Закрытое акционерное общество "СПАР  РИТЭЙЛ"	1036 ДПРУ	20060616	20150616	Действует
3096	Магазин	Россия, Москва, улица Барклая, 10а	Общество с ограниченной ответственностью "ПРЕМИУМ"	9921 ДПРУ	20090702	20140702	Действует
3097	Кафе "Шоколадница"	Россия, Москва, улица Барклая, 10а	Общество с ограниченной ответственностью "Галерея Аякс"	10080 ДПРУ	20090724	20140724	Действует
3098	Ресторан	Россия, Москва, улица Барклая, 10а	Общество с ограниченной ответственностью "ЭДЕЛЬВЕЙС"	7074 ДПРУ	20080415	20130415	Действует
3099	Кафе	Россия, Москва, Багратионовский проезд, 7к20а	Общество с ограниченной ответственностью "ЛАДИНА"	2052 ДТУ	20120724	20150724	Действует
3100	Кафе	Россия, Москва, район Крылатское, Рублевское шоссе, 20к2	Общество с ограниченной ответственностью "АРГО 2002"	8992 ДПРУ	20090123	20140123	Действует
3101	Магазин	Россия, Москва, улица Рогожский Вал, 6к2	Закрытое акционерное общество "Торкас"	1129 ДТУ	20111208	20171208	Действует
3102	Магазин	Россия, Москва, Студенческая улица, 22к3	Общество с ограниченной ответственностью "Вкуспродукт"	1924 ДТУ	20120628	20130628	Действует
3103	Магазин	Россия, Москва, Оршанская улица, 9	Общество с ограниченной ответственностью "КОРСЕ"	10248 ДПРУ	20090913	20150913	Действует
3104	Магазин	Россия, Москва, Большая Андроньевская улица, 11/13	Общество с ограниченной ответственностью "АС Групп"	12304 ДПРУ	20100512	20130512	Действует
3105	Магазин	Россия, Москва, Суздальская улица, 22к1	Общество с ограниченной ответственностью "ЮНИОР"	7220 ДПРУ	20080531	20140531	Действует
3106	Магазин	Россия, Москва, Ярцевская улица, 29к4	Общество с ограниченной ответственностью "Агроаспект"	5383 ДПРУ	20070831	20170831	Действует
3107	Магазин	Россия, Москва, Садовническая улица, 51с1	Общество с ограниченной ответственностью Коммерческо - производственное предприятие "БОАНД"	628 ДПРУ	20060505	20140505	Действует
3108	Магазин	Россия, Москва, Садовническая улица, 51с1	Общество с ограниченной ответственностью "Анжела +"	155 ДПРУ	20060217	20140217	Действует
3109	Магазин "Продукты"	Россия, Москва, улица Академика Павлова, 11к1	Общество с ограниченной ответственностью "Магазин АП"	2618 ДПРУ	20061017	20141017	Действует
3110	Магазин	Россия, Москва, Суздальская улица, 20к2	Общество с ограниченной ответственностью "Стайк"	12116 ДПРУ	20100427	20130427	Действует
3111	Ресторан	Россия, Москва, Городецкая улица, 5	Общество с ограниченной ответственностью "РУБИКОН-М"	2712 ДТУ	20121109	20131109	На выдаче
3112	Кафе	Россия, Москва, Пятницкий переулок, 8с1	Общество с ограниченной ответственностью "Кит Прогресс"	46 ДТУ	20110316	20140316	Действует
3113	Магазин	Россия, Москва, Сеславинская улица, 24	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	562 ДТУ	20110629	20160629	Действует
3114	Магазин	Россия, Москва, Большая Татарская улица, 3	Общество с ограниченной ответственностью "СИНТЕЗ 2001 НВК"	9501 ДПРУ	20090420	20140420	Действует
3115	Ресторан	Россия, Москва, Гоголевский бульвар, 17с1	Общество с ограниченной ответственностью "ЭЛИТСПОРТ"	12824 ДПРУ	20100903	20130903	Действует
