№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
6850	Кафе	Россия, Москва, Пушкинская площадь, 2	Общество с ограниченной ответственностью "УЗБЕЧКА"	1957 ДТУ	20120629	20170629	Действует
6851	Бар Клуб "ХО"	Россия, Москва, Пушкинская площадь, 2	Закрытое акционерное общество "ЛАНТЕКС"	11171 ДПРУ	20091208	20121208	Действует
6852	Бар №1	Россия, Москва, Пушкинская площадь, 2	Общество с ограниченной ответственностью "Меланж Пушка"	12649 ДПРУ	20100818	20130818	Действует
6853	Бар №3	Россия, Москва, Пушкинская площадь, 2	Общество с ограниченной ответственностью "Меланж Пушка"	12650 ДПРУ	20100818	20130818	Действует
6854	Кафе "У Аллы"	Россия, Москва, Пушкинская площадь, 2	Общество с ограниченной ответственностью "Меланж Пушка"	12691 ДПРУ	20100818	20130818	Действует
6855	Кафе "Макао"	Россия, Москва, Пушкинская площадь, 2	Общество с ограниченной ответственностью "Риколета"	11470 ДПРУ	20100119	20130119	Действует
6856	Кафе "Топтыгин"	Россия, Москва, Рождественский бульвар, 10/7с1	Общество с ограниченной ответственностью "РУССКАЯ КУХНЯ  Р"	298 ДПРУ	20060316	20140316	Действует
6857	Кафе	Россия, Москва, Рождественский бульвар, 10/7с1	Общество с ограниченной ответственностью "Бульдог"	9421 ДПРУ	20090416	20140416	Действует
6858	Магазин	Россия, Москва, Большая Садовая улица, 6	Общество с ограниченной ответственностью "АВМ"	12347 ДПРУ	20100521	20150521	Действует
6859	Кафе	Россия, Москва, Большая Садовая улица, 6	Общество с ограниченной ответственностью "Пицца"	340 ДТУ	20110512	20140512	Действует
6860	Кафе	Россия, Москва, Страстной бульвар, 8а	Общество с ограниченной ответственностью "БиКлуб"	6598 ДПРУ	20080125	20130125	Действует
6861	Ресторан	Россия, Москва, Страстной бульвар, 8а	Общество с ограниченной ответственностью "Старлайт 5"	12798 ДПРУ	20100902	20150902	Действует
6862	Кафе	Россия, Москва, Никольская улица, 10/2с2б	Общество с ограниченной ответственностью "Марвик-Бар"	322 ДТУ	20110517	20160517	Действует
6863	Ресторан	Россия, Москва, Никольская улица, 10/2с2б	Общество с ограниченной ответственностью "Марвик Компани Лимитед"	13446 ДПРУ	20101223	20131223	Действует
6864	Магазин	Россия, Москва, Осенний бульвар, 12к11	Общество с ограниченной ответственностью "КАРИНА, ЛТД"	12674 ДПРУ	20100813	20150813	Действует
6865	Ресторан	Россия, Москва, Никольская улица, 19-21/1	Общество с ограниченной ответственностью "ТОПФУД"	11632 ДПРУ	20100513	20150211	Действует
6866	Универсам	Россия, Москва, Осенний бульвар, 12к1	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12931 ДПРУ	20101003	20151003	Действует
6867	Ресторан	Россия, Москва, Никольская улица, 19-21/1	Закрытое акционерное общество "Галерея Августин"	7047 ДПРУ	20080411	20140411	Действует
6868	Кафе	Россия, Москва, улица Трехгорный Вал, 5	Общество с ограниченной ответственностью "Фаворит-М"	12100 ДПРУ	20110527	20150415	Действует
6869	Кафе	Россия, Москва, Большая Никитская улица, 58	Общество с ограниченной ответственностью "Союз"	6687 ДПРУ	20080215	20130215	Действует
6870	Магазин	Россия, Москва, Подсосенский переулок, 3	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	1518 ДТУ	20120313	20170313	Действует
6871	Кафе	Россия, Москва, улица Покровка, 18/18с1	Общество с ограниченной ответственностью "Карибас"	13366 ДПРУ	20101215	20131215	Действует
6872	Кафе	Россия, Москва, улица Земляной Вал, 27с2	Общество с ограниченной ответственностью "ВЕЛЮР"	8508 ДПРУ	20081127	20131127	Действует
6873	Магазин	Россия, Москва, 3-я Владимирская улица, 20	Общество с ограниченной ответственностью фирма "Афорц"	572 ПРВСВ	20050128	20130128	Действует
6874	Магазин	Россия, Москва, Шмитовский проезд, 12	Общество с ограниченной ответственностью "АСТ на Шмитовском"	8026 ДПРУ	20080910	20130910	Действует
6875	Магазин	Россия, Москва, улица Земляной Вал, 29с14	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	7039 ДПРУ	20080411	20130411	Действует
6876	Ресторан	Россия, Москва, Большая Никитская улица, 60с2	Общество с ограниченной ответственностью "Ресторанный синдикат"	10845 ДПРУ	20091030	20141030	Действует
6877	Ресторан	Россия, Москва, улица Покровка, 6	Общество с ограниченной ответственностью "Восток"	8188 ДПРУ	20081107	20131107	Действует
6878	Магазин	Россия, Москва, улица Земляной Вал, 24/30с1	Общество с ограниченной ответственностью "Олтун"	998 ДПРУ	20060616	20150619	Действует
6879	Магазин	Россия, Москва, Шелепихинское шоссе, 17к1	Закрытое акционерное общество "ДИСКОНТцентр"	43730 ПРИУ	20080801	20130530	Действует
6880	Ресторан	Россия, Москва, Кудринская площадь, 1	Общество с ограниченной ответственностью "РДЦ 2011"	498 ДТУ	20110617	20140617	Действует
6881	Кафе	Россия, Москва, улица Земляной Вал, 7с1	Общество с ограниченной ответственностью "Саренгети"	4702 ДПРУ	20070525	20160525	Действует
6882	Кафе	Россия, Москва, Мясницкая улица, 22с1	Общество с ограниченной ответственностью "ТНП"	12732 ДПРУ	20100826	20150826	Действует
6883	Кафе	Россия, Москва, Мясницкая улица, 22с1	Общество с ограниченной ответственностью "Америкэн Феймоус Фудс Компани"	10596 ДПРУ	20091001	20171001	Действует
6884	Магазин	Россия, Москва, Мясницкая улица, 22с1	Общество с ограниченной ответственностью "Вино и Розы"	11733 ДПРУ	20100309	20130309	Действует
6885	Магазин	Россия, Москва, Чистопрудный бульвар, 15с6	Общество с ограниченной ответственностью "Единство"	4324 ДПРУ	20070322	20140322	Действует
6886	Магазин	Россия, Москва, Садовая-Кудринская улица, 18	Общество с ограниченной ответственностью "БРЭНД"	6500 ДПРУ	20080111	20130111	Действует
6887	Кафе	Россия, Москва, улица Земляной Вал, 6с1	Закрытое акционерное общество "Абай" ("ABAY")	11962 ДПРУ	20100331	20150331	Действует
6888	Кафе	Россия, Москва, улица Кузнецкий Мост, 17с1	Общество с ограниченной ответственностью "МенеджментГрупп"	13046 ДПРУ	20101020	20151020	Действует
6889	Бар	Россия, Москва, улица Красная Пресня, 30с1	Общество с ограниченной ответственностью "На Большой Бронной"	8509 ДПРУ	20081127	20131127	Действует
6890	Кафе	Россия, Москва, улица Земляной Вал, 7	Общество с ограниченной ответственностью "Фортеца Фуд"	9220 ДПРУ	20090310	20140310	Действует
6891	Магазин	Россия, Москва, улица Земляной Вал, 7	Общество с ограниченной ответственностью "СИНТЕЗ 2001 НВК"	86 ДТУ	20110329	20160329	Действует
6892	Ресторан "Джон Булл Паб"	Россия, Москва, улица Красная Пресня, 25с1	 Общество с ограниченной ответственностью "Каса Ко"	5510 ДПРУ	20090320	20170920	Действует
6893	Ресторан	Россия, Москва, улица Земляной Вал, 7	Общество с ограниченной ответственностью "Октобер"	1393 ДТУ	20120201	20130201	Действует
6894	Ресторан	Россия, Москва, улица Земляной Вал, 7	Общество с ограниченной ответственностью "Страйк Групп"	9717 ДПРУ	20090529	20140529	Действует
6895	Ресторан	Россия, Москва, Тверской бульвар, 24с1	Общество с ограниченной ответственностью "Рокс"	12666 ДПРУ	20100804	20130804	Действует
6896	Кафе	Россия, Москва, Малый Гнездниковский переулок, 12	Общество с ограниченной ответственностью "Чебурек"	1979 ДТУ	20120706	20170706	Действует
6897	Кафе	Россия, Москва, Осенняя улица, 11	Общество с ограниченной ответственностью "АЗАРИКА"	9918 ДПРУ	20090804	20140804	Действует
6898	Магазин "Продукты"	Россия, Москва, 3-я улица Соколиной Горы, 19	Общество с ограниченной ответственностью "ТОРГОВЫЙ ДОМ "СОКОЛИНКА"	58 ДПРУ	20060124	20170124	Действует
6899	Магазин	Россия, Москва, Новогиреевская улица, 10к2	Общество с ограниченной ответственностью "АЛЬТАИР-Л"	2124 ДПРУ	20090319	20140901	Действует
6900	Бар	Россия, Москва, Лубянский проезд, 19с1	Общество с ограниченной ответственностью  фирма "У Самовара"	44584 ПРИУ	20051128	20121128	Действует
6901	Ресторан	Россия, Москва, Никольская улица, 5/1с3	Общество с ограниченной ответственностью "Исток-4"	214 ДТУ	20110415	20140415	Действует
6902	Ресторан	Россия, Москва, Рочдельская улица, 15с54	Общество с ограниченной ответственностью "АИС и Ко"	12975 ДПРУ	20101014	20131014	Действует
6903	Ресторан	Россия, Москва, Рочдельская улица, 15с54	Общество с ограниченной ответственностью "ВИСТЭК"	8574 ДПРУ	20081205	20131205	Действует
6904	Ресторан	Россия, Москва, Рочдельская улица, 15с54	Общество с ограниченной ответственностью "Димер"	13229 ДПРУ	20101125	20151125	Действует
6905	Магазин	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "АНКЕР ИНВЕСТ"	7324 ДПРУ	20080529	20140529	Действует
6906	Кафе	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Консул"	11526 ДПРУ	20100115	20130116	Действует
6907	Кафе	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Кофе Хаус.Эспрессо и Капучино Бар"	2868 ДПРУ	20061107	20141107	Действует
6908	Кафе	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	8261 ДПРУ	20081017	20131017	Действует
6909	Ресторан	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Данборг"	7632 ДПРУ	20080716	20140716	Действует
6910	Бар	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Мир кофе и чая"	11536 ДПРУ	20100126	20150126	Действует
6911	Магазин	Россия, Москва, Манежная площадь, 1с2	Открытое акционерное общество "Седьмой Континент"	1236 ДТУ	20120202	20170202	Действует
6912	Ресторан	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Бразерс и Компания"	7329 ДПРУ	20080529	20140529	Действует
6913	Ресторан на 3-ем подземном этаже	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Данборг"	9657 ДПРУ	20090519	20170519	Действует
6914	Кафе	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Кофе Интернешнел Групп"	12190 ДПРУ	20100507	20130507	Действует
6915	Кафе	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Мир кофе и чая"	11560 ДПРУ	20100126	20150126	Действует
6916	Кафе	Россия, Москва, Манежная площадь, 1с2	Общество с ограниченной ответственностью "Бразерс и Компания"	12150 ДПРУ	20100420	20130420	Действует
6917	Магазин	Россия, Москва, Авиамоторная улица, 37	Общество с ограниченной ответственностью "ВИОТА"	11305 ДПРУ	20100101	20140101	Действует
6918	Магазин	Россия, Москва, Авиамоторная улица, 37	Общество с ограниченной ответственностью "МИКО +"	9305 ДПРУ	20110215	20140325	Действует
6919	Ресторан	Россия, Москва, Страстной бульвар, 8а	Общество с ограниченной ответственностью  "КУШИКОМ"	5964 ДПРУ	20080806	20171107	Действует
6920	Ресторан	Россия, Москва, Страстной бульвар, 8а	Общество с ограниченной ответственностью "Кабаре"	6856 ДПРУ	20080314	20130314	Действует
6921	Ресторан	Россия, Москва, Страстной бульвар, 8а	Общество с ограниченной ответственностью "ЧикагоПрайм 1"	12734 ДПРУ	20100831	20150831	Действует
6922	Магазин	Россия, Москва, Мясницкая улица, 40ас2	Общество с ограниченной ответственностью "Отдохни-77"	9988 ДПРУ	20090709	20170709	Действует
6923	Ресторан "АльтмюллерХаус"	Россия, Москва, Мясницкая улица, 40ас2	Общество с ограниченной ответственностью "САНРАЙЗ"	1598 ДТУ	20120330	20140330	Действует
6924	Кафе	Россия, Москва, Мясницкая улица, 40ас2	Общество с ограниченной ответственностью "Эксполайн"	10673 ДПРУ	20091009	20141009	Действует
6925	Кафе	Россия, Москва, 1-й Магистральный тупик, 11с2	Общество с ограниченной ответственностью "АК Профиль"	612 ДТУ	20110708	20160708	Действует
6926	Магазин	Россия, Москва, Сторожевая улица, 18с2	Общество с ограниченной ответственностью "МАГАЗИН №44 "ПРОДТОВАРЫ"	5223 ДПРУ	20070815	20150815	Действует
6927	Магазин	Россия, Москва, 8-я улица Соколиной Горы, 16с6	Общество с ограниченной ответственностью "АСК-38"	875 ПРВСВ	20050620	20130620	Действует
6928	Магазин	Россия, Москва, Большой Козловский переулок, 11с1	Общество с ограниченной ответственностью "Котэкс-Торг"	7424 ДПРУ	20100903	20130617	Действует
6929	Магазин	Россия, Москва, Большой Козловский переулок, 11с1	Общество с ограниченной ответственностью "Гроссия"	7150 ДПРУ	20080430	20130430	Действует
6930	Кафе	Россия, Москва, Старая Басманная улица, 18с4	Общество с ограниченной ответственностью "Айрис"	10037 ДПРУ	20090717	20140717	Действует
6931	Кафе	Россия, Москва, Большая Садовая улица, 8с1	Общество с ограниченной ответственностью "АРЛИС М"	5491 ДПРУ	20070913	20150913	Действует
6932	Кафе	Россия, Москва, Большая Садовая улица, 8с1	Общество с ограниченной ответственностью "РРК-КЛУБ"	13470 ДПРУ	20101216	20121216	Действует
6933	Бар	Россия, Москва, Трубная площадь, 2	Общество с ограниченной ответственностью "Городской супермаркет"	7597 ДПРУ	20080708	20150108	Действует
6934	Ресторан	Россия, Москва, Трубная площадь, 2	Общество с ограниченной ответственностью "Данборг"	7340 ДПРУ	20080530	20121130	Действует
6935	Кафе	Россия, Москва, Трубная площадь, 2	Общество с ограниченной ответственностью "АЗАРИКА"	8216 ДПРУ	20081015	20131015	Действует
6936	Ресторан	Россия, Москва, Трубная площадь, 2	Общество с ограниченной ответственностью "Центр "Правда"	7341 ДПРУ	20080530	20141130	Действует
6937	Ресторан	Россия, Москва, улица Большая Дмитровка, 34с2	Общество с ограниченной ответственностью "САНРАЙЗ"	9372 ДПРУ	20090409	20140409	Аннулирована
6938	Ресторан "Замок Мефисто"	Россия, Москва, Шмитовский проезд, 10/7	Общество с ограниченной ответственностью "ПИНТА"	12513 ДПРУ	20100705	20130705	Действует
6939	Кафе	Россия, Москва, Шмитовский проезд, 10/7	Общество с ограниченной ответственностью "Потала"	1321 ДТУ	20120117	20140117	Действует
6940	Магазин	Россия, Москва, Шмитовский проезд, 10/7	Общество с ограниченной ответственностью "Арома Маркет"	1565 ДТУ	20120330	20170330	Действует
6941	Магазин	Россия, Москва, Шмитовский проезд, 10/7	Общество с ограниченной ответственностью "Софит"	11217 ДПРУ	20091218	20121218	Действует
6942	Ресторан	Россия, Москва, Кудринская площадь, 1	Общество с ограниченной ответственностью "Сейнакс"	6289 ДПРУ	20071214	20121214	Действует
6943	Кафе	Россия, Москва, Кудринская площадь, 1	Общество с ограниченной ответственностью "ТЕХНО КРАФТ ЛИТ"	1839 ДПРУ	20060811	20140811	Действует
6944	Ресторан	Россия, Москва, Шмитовский проезд, 10/7	Общество с ограниченной ответственностью "ФОРТУНА"	1931 ДТУ	20120629	20150629	Действует
6945	Кафе	Россия, Москва, улица Покровка, 16	Общество с ограниченной ответственностью "Покровские ворота"	9093 ДПРУ	20090213	20140213	Действует
6946	Ресторан	Россия, Москва, улица Покровка, 16	Общество с ограниченной ответственностью "ТрейдКапитал"	551 ДТУ	20110706	20140706	Действует
6947	Кафе "Кризис Жанра"	Россия, Москва, улица Покровка, 16	Общество с ограниченной ответственностью "Трапеза"	9345 ДПРУ	20090403	20140403	Действует
6948	Магазин	Россия, Москва, Красноказарменная улица, 7-9с7	Закрытое акционерное общество "КРИСТАЛЛ-97"	6113 ДПРУ	20071123	20131123	Действует
6949	Ресторан	Россия, Москва, улица Покровка, 3/7с1а	Общество с ограниченной ответственностью "ТИПКО+"	7685 ДПРУ	20080725	20130725	Аннулирована
6950	Ресторан "ХАНАБИ"	Россия, Москва, Малый Златоустинский переулок, 6с1	Региональная благотворительная общественная организация инвалидов "Общество "ЛАЙТ-СВЕТ"	8957 ДПРУ	20090111	20140111	Действует
6951	Магазин	Россия, Москва, Мартеновская улица, 6к3	Общество с ограниченной ответственностью "Мультикапитал"	2094 ДПРУ	20060831	20140831	Действует
6952	Бар "Бурбон"	Россия, Москва, Большой Златоустинский переулок, 7с1	Общество с ограниченной ответственностью "ХолдКонсалт"	43061 ПРИУ	20080320	20150106	Действует
6953	Кафе "Пропаганда"	Россия, Москва, Большой Златоустинский переулок, 7с1	Закрытое акционерное общество "Время вперед"	7480 ДПРУ	20080623	20130623	Действует
6954	Магазин	Россия, Москва, улица Лефортовский Вал, 9ас1	Общество с ограниченной ответственностью "КЕРАМИК"	7183 ДПРУ	20080506	20130506	Действует
6955	Кафе	Россия, Москва, улица Лефортовский Вал, 9ас1	Общество с ограниченной ответственностью "Лефортовские бани"	10279 ДПРУ	20090909	20140909	Действует
6956	Магазин	Россия, Москва, Энергетическая улица, 14к1	Закрытое акционерное общество "Магазин № 60"	6890 ДПРУ	20080330	20130330	Действует
6957	Кафе	Россия, Москва, Малый Гнездниковский переулок, 7	Общество с ограниченной ответственностью "СТИВЕН ГРАНД"	10606 ДПРУ	20091002	20141002	Действует
6958	Кафе	Россия, Москва, Садовая-Кудринская улица, 20	Общество с ограниченной ответственностью "Плид 1"	263 ДТУ	20110513	20140513	Действует
6959	Кафе "Альтро Боско"	Россия, Москва, улица Петровка, 10	Общество с ограниченной ответственностью "Ресторация Боско"	3037 ДПРУ	20061122	20141122	Действует
6960	Кафе	Россия, Москва, улица Красная Пресня, 28	Общество с ограниченной ответственностью "ДОМБАЙ"	11719 ДПРУ	20100219	20150219	Действует
6961	Кафе	Россия, Москва, Большой Патриарший переулок, 4	Общество с ограниченной ответственностью "СервисГрупп"	1353 ДТУ	20120123	20170123	Действует
6962	Кафе "ДОН ПЕДРО"	Россия, Москва, Спиридоньевский переулок, 9с1	Общество с ограниченной ответственностью "НОВА"	6474 ДПРУ	20071229	20131229	Действует
6963	Ресторан	Россия, Москва, Спиридоньевский переулок, 9с1	Общество с ограниченной ответственностью "Визит-Москва"	7223 ДПРУ	20080508	20130508	Действует
6964	Кафе	Россия, Москва, улица Красная Пресня, 32-34	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	8949 ДПРУ	20090114	20140114	Действует
6965	Ресторан	Россия, Москва, улица Покровка, 43с1	Общество с ограниченной ответственностью "Фортуна"	10748 ДПРУ	20091015	20141015	Действует
6966	Магазин	Россия, Москва, улица Покровка, 43с1	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	1014 ДТУ	20111103	20161103	Действует
6967	Кафе	Россия, Москва, Мясницкая улица, 13с3	Общество с ограниченной ответственностью "Дэлюкс"	1863 ДТУ	20120608	20170608	Действует
6968	Ресторан	Россия, Москва, улица Покровка, 43с1	Общество с ограниченной ответственностью "Аркадия"	12314 ДПРУ	20100519	20150519	Действует
6969	Ресторан	Россия, Москва, Мясницкая улица, 13с3	Общество с ограниченной ответственностью "Ирландский паб "Моллис"	10440 ДПРУ	20090917	20140917	Действует
6970	Бар	Россия, Москва, Малая Бронная улица, 20а	Общество с ограниченной ответственностью "КомУниверсал"	1917 ДПРУ	20060816	20140816	Действует
6971	Кафе	Россия, Москва, улица Красная Пресня, 36с1	Общество с ограниченной ответственностью "АРКС 2"	43912 ПРИУ	20080520	20130708	Действует
6972	Магазин	Россия, Москва, Новогиреевская улица, 10к1	Общество с ограниченной ответственностью "Отдохни-77"	9411 ДПРУ	20090416	20170416	Действует
6973	Ресторан	Россия, Москва, Малая Бронная улица, 20а	Общество с ограниченной ответственностью "МАРИВАННА"	21 ДТУ	20110610	20130311	Действует
6974	Магазин	Россия, Москва, улица Молостовых, 3б	Общество с ограниченной ответственностью "ГРАД"	11517 ДПРУ	20100115	20150115	Действует
6975	Бар	Россия, Москва, Столешников переулок, 12с3	Общество с ограниченной ответственностью "ФИРМА  АКВАРЕЛЬ"	11230 ДПРУ	20091217	20141217	Действует
6976	Кафе	Россия, Москва, Красноказарменная улица, 12с38	Общество с ограниченной ответственностью "ЛУНА"	11194 ДПРУ	20091224	20141224	Действует
6977	Бар	Россия, Москва, Федеративный проспект, 16к1	Общество с ограниченной ответственностью "Евро Биг Стар"	3179 ДПРУ	20070705	20141207	Действует
6978	Магазин	Россия, Москва, 1-я Владимирская улица, 21к1с2	Закрытое акционерное общество "Торкас"	3996 ДПРУ	20070216	20130306	Действует
6979	Магазин	Россия, Москва, Шмитовский проезд, 30	Общество с ограниченной ответственностью "Азара Торг"	12677 ДПРУ	20100806	20130806	Действует
6980	Ресторан	Россия, Москва, улица Ильинка, 13	Общество с ограниченной ответственностью "Вероника"	8041 ДПРУ	20080911	20130911	Действует
6981	Кафе	Россия, Москва, улица Ильинка, 13	Общество с ограниченной ответственностью "Кофе Хаус.Эспрессо и Капучино Бар"	2403 ДПРУ	20060926	20140926	Действует
6982	Универсам	Россия, Москва, Волочаевская улица, 12ас1	Общество с ограниченной ответственностью "Ритейл-Н"	13157 ДПРУ	20101124	20121124	Действует
6983	Кафе	Россия, Москва, Рочдельская улица, 15с30	Общество с ограниченной ответственностью "КАПРИАНИ"	2034 ДТУ	20120712	20150712	Действует
6984	Кафе	Россия, Москва, Большой Черкасский переулок, 8/6с1	Общество с ограниченной ответственностью Фирма "Старая площадь"	7014 ДПРУ	20080404	20130404	Действует
6985	Ресторан	Россия, Москва, Шмитовский проезд, 27с1	Общество с ограниченной ответственностью "СИТИ"	1008 ДТУ	20111103	20161103	Действует
6986	Кафе "Кофемания"	Россия, Москва, Большая Никитская улица, 13	Общество с ограниченной ответственностью "ФИЛИАС"	43332 ПРИУ	20050304	20130304	Приостановлена
6987	Ресторан	Россия, Москва, Рочдельская улица, 15с44	Общество с ограниченной ответственностью "ДЕЛЬ"	1583 ДТУ	20120330	20160330	Действует
6988	Ресторан	Россия, Москва, Рочдельская улица, 15с44	Общество с ограниченной ответственностью "Медиа Центр "Джаз"	1198 ДТУ	20111220	20121220	Действует
6989	Кафе	Россия, Москва, улица Земляной Вал, 37с2	Общество с ограниченной ответственностью "Лагуна"	1005 ДТУ	20111103	20141103	Действует
6990	Кафе	Россия, Москва, улица Земляной Вал, 37с2	Общество с ограниченной ответственностью "ОМЕГА ИНТЭЛ"	12769 ДПРУ	20100826	20130826	Действует
6991	Ресторан	Россия, Москва, Рочдельская улица, 11/5с2	Общество с ограниченной ответственностью "Ресторан Джан Луиджи"	1792 ДПРУ	20060808	20150808	Действует
6992	Кафе	Россия, Москва, Моховая улица, 13с1	Общество с ограниченной ответственностью "Мак-Наббс"	1226 ДТУ	20111223	20141223	Действует
6993	Кафе	Россия, Москва, улица Земляной Вал, 34с4	Общество с ограниченной ответственностью "Подиум"	8860 ДПРУ	20081231	20131231	Действует
6994	Магазин	Россия, Москва, улица Земляной Вал, 34с4	Общество с ограниченной ответственностью "Лялин"	13547 ДПРУ	20101231	20151231	Действует
6995	Универсам	Россия, Москва, проезд Дежнева, 19к1	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	1692 ДТУ	20120424	20170424	Действует
6996	Магазин	Россия, Москва, улица Менжинского, 21	Закрытое акционерное общество "Торкас"	1478 ДТУ	20120306	20130306	Действует
6997	Магазин	Россия, Москва, Клинская улица, 8с2	Общество с ограниченной ответственностью "Агроаспект"	11091 ДПРУ	20091204	20141204	Действует
6998	Магазин	Россия, Москва, Клинская улица, 12	Общество с ограниченной ответственностью "Фирма "Витязь"	785 ДПРУ	20060522	20140522	Действует
6999	Кафе	Россия, Москва, улица Менжинского, 30с1	Общество с ограниченной ответственностью "Грис"	703 ДТУ	20110727	20130727	Действует
7000	Магазин	Россия, Москва, улица Менжинского, 30с1	Общество с ограниченной ответственностью "Гиман 044"	671 ДТУ	20110727	20130727	Действует
7001	Кафе	Россия, Москва, улица Летчика Бабушкина, 26	Общество с ограниченной ответственностью "Коммерческий инженерный центр Мединвек" "Commercial ingeeniring centre Medinvek"	10885 ДПРУ	20091030	20141030	Действует
7002	Кафе	Россия, Москва, улица Летчика Бабушкина, 26	Общество с ограниченной ответственностью "РОМА-С"	716 ДТУ	20110729	20160729	Действует
7003	Бар	Россия, Москва, улица Летчика Бабушкина, 26	Закрытое акционерное общество "Люксор Фильм"	11832 ДПРУ	20100326	20150326	Действует
7004	Кафе	Россия, Москва, улица Летчика Бабушкина, 26	Общество с ограниченной ответственностью "МАРС"	8042 ДПРУ	20080914	20130914	Действует
7005	Кафе	Россия, Москва, улица Летчика Бабушкина, 26	Общество с ограниченной ответственностью "РИСК - СМ"	3779 ДПРУ	20070128	20150128	Действует
7006	Кафе	Россия, Москва, улица Летчика Бабушкина, 26	Общество с ограниченной ответственностью "Винпул"	6329 ДПРУ	20071220	20121220	Действует
7007	Ресторан	Россия, Москва, Енисейская улица, 19к1	Общество с ограниченной ответственностью "АРМАДА"	12831 ДПРУ	20100907	20150907	Действует
7008	Магазин	Россия, Москва, Енисейская улица, 19к1	Общество с ограниченной ответственностью "ДЕЛЕНА"	13067 ДПРУ	20101027	20151027	Действует
7009	Магазин "Продукты"	Россия, Москва, Коровинское шоссе, 6к1	Общество с ограниченной ответственностью "Бекор"	946 ДТУ	20111014	20161014	Действует
7010	Магазин	Россия, Москва, проезд Дежнева, 23к2	Закрытое акционерное общество "ТАНДЕР"	1895 ДТУ	20120619	20170619	Действует
7011	Магазин	Россия, Москва, проезд Дежнева, 23к2	Общество с ограниченной ответственностью "Саманта-Люкс"	12088 ДПРУ	20100423	20130423	Действует
7012	Кафе "Ла Мела Верде"	Россия, Москва, улица Римского-Корсакова, 2	Общество с ограниченной ответственностью "Д.А.В.2006"	5155 ДПРУ	20070807	20150807	Действует
7013	Магазин	Россия, Москва, Бескудниковский бульвар, 30к4	Общество с ограниченной ответственностью "РеалПроф"	11070 ДПРУ	20091126	20141126	Действует
7014	Магазин	Россия, Москва, улица Малыгина, 22к1	Общество с ограниченной ответственностью "Подводник"	7842 ДПРУ	20080820	20160820	Действует
7015	Магазин "Продукты"	Россия, Москва, Ландышевая улица, 12	Общество с ограниченной ответственностью "ИдаМ"	277 ДТУ	20110427	20140427	Действует
7016	Кафе	Россия, Москва, Костромская улица, 17	Общество с ограниченной ответственностью "ПРИМА"	1049 ДТУ	20111118	20161118	Действует
7017	Ресторан	Россия, Москва, Костромская улица, 17	Общество с ограниченной ответственностью "СитиМаркет"	11191 ДПРУ	20091217	20141217	Действует
7018	Ресторан "Борза"	Россия, Москва, Костромская улица, 17	Общество с ограниченной ответственностью "Управляющая Компания "Сеть Пивных Ресторанов"	9217 ДПРУ	20090311	20140311	Невостребована
7019	Магазин	Россия, Москва, улица Плещеева, 8	Общество с ограниченной ответственностью "МираСтайл"	8840 ДПРУ	20081230	20131230	Действует
7020	Магазин	Россия, Москва, улица Грекова, 3ж	Общество с ограниченной ответственностью "НООСФЕРА XXI"	9644 ДПРУ	20090602	20140602	Действует
7021	Магазин	Россия, Москва, район Куркино, Куркинское шоссе, 17к1	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	5758 ДПРУ	20071010	20171010	Действует
7022	Магазин	Россия, Москва, улица Грекова, 4	Общество с ограниченной ответственностью "НООСФЕРА XXI"	9146 ДПРУ	20090220	20140220	Действует
7023	Магазин	Россия, Москва, Ангарская улица, 65	Общество с ограниченной ответственностью "Фирма Коттедж"	183 ДПРУ	20070823	20130222	Действует
7024	Кафе	Россия, Москва, улица Пришвина, 23	Общество с ограниченной ответственностью "ГидроЛуч"	8613 ДПРУ	20081211	20131211	Действует
7025	Ресторан	Россия, Москва, улица Пришвина, 22	Общество с ограниченной ответственностью "Бразерс и Компания"	5347 ДПРУ	20070829	20130829	Действует
7026	Универсам	Россия, Москва, улица Пришвина, 22	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12324 ДПРУ	20100519	20150519	Действует
