№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
1665	Лифты	Удальцова ул., д.89	13.04.2012	31.12.2012
1666	Лифты	Академика Анохина ул., д.12, к.2	23.07.2012	31.12.2012
1667	Лифты	Академика Анохина ул., д.12, к.2	12.04.2012	31.12.2012
1668	Лифты	Академика Анохина ул., д.38, к.1	12.04.2012	31.12.2012
1669	Лифты	Академика Анохина ул., д.38, к.1	23.07.2012	31.12.2012
1670	Лифты	Академика Варги ул. д.24	11.07.2012	31.12.2012
1671	Лифты	Академика Варги ул. д.10	11.07.2012	31.12.2012
1672	Подъемные платформы и работы по ММГН	Ленинский просп. д.135 к.1	20.07.2012	31.12.2012
1673	Лифты	Ленинский просп. д.135 к.1	12.04.2012	31.12.2012
1674	Лифты	Ленинский просп. д.131 к.1	12.04.2012	31.12.2012
1675	Лифты	Ленинский просп. д.135 к.2	12.04.2012	31.12.2012
1676	Лифты	Вернадского просп., д.125	12.04.2012	31.12.2012
1677	Лифты	Вернадского просп., д.119	12.04.2012	31.12.2012
1678	Лифты	Ленинский просп. д.123 к.1	11.07.2012	31.12.2012
1679	Лифты	Бакинских Комиссаров 26-ти ул., д.7, к.4	12.04.2012	31.12.2012
1680	Лифты	Бакинских Комиссаров 26-ти ул., д.7, к.2	23.07.2012	31.12.2012
1681	Лифты	Бакинских Комиссаров 26-ти ул., д.7, к.1	23.07.2012	31.12.2012
1682	Лифты	Тёплый Стан ул. д.25 к.1	12.04.2012	31.12.2012
1683	Лифты	Тёплый Стан ул. д.6	12.04.2012	31.12.2012
1684	Лифты	Бакинских Комиссаров 26-ти ул., д.12, к.3	23.07.2012	31.12.2012
1685	Лифты	Бакинских Комиссаров 26-ти ул., д.12, к.4	23.07.2012	31.12.2012
1686	Лифты	Бакинских Комиссаров 26-ти ул., д.12, к.5	23.07.2012	31.12.2012
1687	Лифты	Бакинских Комиссаров 26-ти ул., д.8, к.4	12.04.2012	31.12.2012
1688	Лифты	Бакинских Комиссаров 26-ти ул., д.10, к.6	23.07.2012	31.12.2012
1689	Лифты	Бакинских Комиссаров 26-ти ул., д.8, к.6	23.07.2012	31.12.2012
1690	Лифты	Бакинских Комиссаров 26-ти ул., д.2, к.1	23.07.2012	31.12.2012
1691	Лифты	Бакинских Комиссаров 26-ти ул., д.4, к.4	23.07.2012	31.12.2012
1692	Лифты	Вернадского просп., д.91, к.3	12.04.2012	31.12.2012
1693	Лифты	Петрозаводская ул., д.16	17.07.2012	31.12.2012
1694	Лифты	Флотская ул., д.13, к.5	17.07.2012	31.12.2012
1695	Лифты	Тёплый Стан ул. д.9 к.3	17.07.2012	31.12.2012
1696	Лифты	Флотская ул., д.13, к.2	17.07.2012	31.12.2012
1697	Лифты	Клязьминская ул., д.5, к.1	13.04.2012	31.12.2012
1698	Лифты	Клязьминская ул., д.13	12.04.2012	31.12.2012
1699	Лифты	800-летия Москвы ул., д.2, к.1	12.04.2012	31.12.2012
1700	Лифты	Софьи Ковалевской ул., д.6	10.04.2012	31.12.2012
1701	Лифты	Карельский б-р, д.8, к.2	10.04.2012	31.12.2012
1702	Лифты	Яхромская ул., д.1а	12.04.2012	31.12.2012
1703	Подъемные платформы и работы по ММГН	Вагоноремонтная ул., д.5, к.2	16.07.2012	31.12.2012
1704	Лифты	800-летия Москвы ул., д.3, к.2	17.07.2012	31.12.2012
1705	Лифты	800-летия Москвы ул., д.16	13.04.2012	31.12.2012
1706	Лифты	800-летия Москвы ул., д.20	13.04.2012	31.12.2012
1707	Подъемные платформы и работы по ММГН	Дубнинская ул., д.28, к.3	16.07.2012	31.12.2012
1708	Лифты	Прибрежный пр., д.5	12.04.2012	31.12.2012
1709	АУУ / УУТЭ	Беломорская ул., д.5, к.3	09.08.2012	31.12.2012
1710	Лифты	Петрозаводская ул., д.19, к.2	12.04.2012	31.12.2012
1711	Лифты	Петрозаводская ул., д.19, к.2	17.07.2012	31.12.2012
1712	Лифты	Ляпидевского ул., д.10, к.2	17.07.2012	31.12.2012
1713	Подъемные платформы и работы по ММГН	Тушинский 1-й пр., д.3	20.07.2012	31.12.2012
1714	АУУ / УУТЭ	Яна Райниса б-р, д.17	09.08.2012	31.12.2012
1715	Лифты	Свободы ул., д.49, к.3	08.12.2011	31.12.2012
1716	АУУ / УУТЭ	Живописная ул., д.48	09.08.2012	31.12.2012
1717	Лифты	Новощукинская ул., д.11	19.07.2012	31.12.2012
1718	Лифты	Академика Бочвара ул., д.3, к.1	12.04.2012	31.12.2012
1719	Лифты	Академика Бочвара ул., д.3, к.1	19.07.2012	31.12.2012
1720	Капитальный ремонт	Кронштадтский б-р, д.19, к.2	15.08.2012	31.12.2012
1721	Подъемные платформы и работы по ММГН	Рублёвское ш., д.30, к.2	20.07.2012	31.12.2012
1722	Лифты	Академика Бочвара ул., д.3, к.2	19.07.2012	31.12.2012
1723	Лифты	Академика Бочвара ул., д.3, к.2	12.04.2012	31.12.2012
1724	Лифты	Маршала Новикова ул., д.4	19.07.2012	31.12.2012
1725	Лифты	Конаковский пр., д.8, к.1	12.04.2012	31.12.2012
1726	Лифты	Паршина ул., д.27	19.07.2012	31.12.2012
