№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
4728	77:08:0003007:1001	б-р Яна Райниса    (г. Москва, бульвар Яна Райниса, вл. 4)	8102.44000000000	эксплуатация здания поликлиники (земельные участки, предназначенные для размещения объектов здравоохранения)
4729	77:09:0005005:1008	ул Зорге    (г. Москва, ул. Зорге, вл. 31, стр. 3)	65.36000000000	земельные участки, предназначенные для размещения конструктивных элементов и сооружений, объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития на земных и подземных зданий, строений, сооружений, устройств эне
4730	77:05:0004012:107	ул Коломенская    (г Москва, ул Коломенская, вл 9, стр 5)	2323.00000000000	эксплуатации центральной библиотеки № 148 им. К. М. Симонова
4731	77:01:0003044:1004	пер Васнецова    (г. Москва, пер. Васнецова, вл. 12, соор. 2)	67.00000000000	земельные участки, предназначенные для размещения зданий коммунального хозяйства, сбыта и заготовок (1.2.9)
4732	77:05:0002002:1000	ул Велозаводская    (г. Москва, ул. Велозаводская, вл. 8)	4029.00000000000	эксплуатация здания колледжа с прилегающей территорией
4733	77:04:0004019:131	ул Донецкая    (г Москва, ул Донецкая, вл 17)	9741.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ
4734	77:03:0004007:143	ул Соколиной Горы 8-я    (г Москва, ул Соколиной Горы 8-я, вл 15А)	15705.00000000000	эксплуатации административно-складских строений
4735	77:01:0003026:4	ул Большая Почтовая    (г Москва, ул Большая Почтовая, вл 35, стр 1)	4275.00000000000	эксплуатации здания под учебно-воспитательную деятельность без права коммерческого использования.
4736	77:07:0010004:1000	ул Мосфильмовская    (г. Москва, ул. Мосфильмовская, вл. 17А)	3084.00000000000	земельные участки предназначенные для размещения объектов образования (1.2.7)
4737	77:06:0012006:1008	ул Адмирала Лазарева    (г. Москва, ул.Адмирала Лазарева, вл.40, к.2)	9020.44000000000	земельные участки, предназначенные для размещения объектов образования (1.2.7)
4738	77:05:0003005:214	ш Варшавское    (г. Москва, Варшавское шоссе, вл. 86, корп. 2)	4701.00000000000	земельные участки, предназначенные для размещения объектов образования (1.2.17)
4739	77:02:0018011:1011	пр-кт Мира    (г. Москва, пр. Мира, вл. 119, стр. 609)	468.00000000000	земельные участки, предназначенные для размещения объектов бытового обслуживания (1.2.5)
4740	77:07:0008004:159	ш Сколковское    (г Москва, ш Сколковское, вл 6)	9140.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО ДОМА-ИНТЕРНАТА №24
4741	77:04:0002002:21	ул Шатурская    (г. Москва, ул. Шатурская, вл. 1)	11124.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
4742	77:04:0004024:61	ул БРАТИСЛАВСКАЯ    (г Москва, ул Братиславская, вл 9)	7567.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
4743	77:04:0003009:36	ул Шоссейная    (г Москва, ул Шоссейная, д. 66)	600.00000000000	ЭКСПЛУАТАЦИИ ЧАСТИ ЗДАНИЯ ПОЧТОВОЙ СВЯЗИ
4744	77:04:0002012:41	ул Ташкентская    (г Москва, ул Ташкентская, вл 22, корпус 4)	6947.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКИХ ЯСЛЕЙ-САДА
4745	77:04:0003007:27	ул Шоссейная    (г Москва, ул Шоссейная, вл 7)	18997.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ШКОЛЫ №1146
4746	77:07:0016002:1022	ул Внуковская Б.    (г. Москва, ул. Большая Внуковская, вл. 6)	13119.00000000000	земельные участки, предназначенные для размещения объектов культуры (1.2.7)
4747	77:07:0015003:1037	ул Щорса    (г. Москва, ул. Щорса, вл. 6, к. 1)	19284.00000000000	земельные участки, предназначенные для размещения объектов образования (1.2.7)
4748	77:04:0004017:17	ул Верхние Поля    (г Москва, ул Верхние Поля, дом 3, стр 2)	1980.00000000000	ЭКСПЛУАТАЦИИ АДМИНИСТРАТИВНОГО ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
4749	77:03:0006011:54	ул Владимирская 3-я    (г Москва, ул 3-я Владимирская, вл 26А)	11761.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
4750	77:06:0004001:181	ул Новочеремушкинская    (г Москва, ул Новочеремушкинская, вл 24а)	877.00000000000	эксплуатации служебного здания
4751	77:05:0010003:136	ул Ряжская    (г Москва, ул Ряжская, вл 11)	9829.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
4752	77:03:0007005:53	ул Косинская    (г Москва, ул Косинская, вл 10, стр 1)	28827.00000000000	эксплуатации здания школы и прилегающей территории
4753	77:04:0001007:63	ул Волочаевская    (г.Москва, ул.Волочаевская, вл.38)	18369.23000000000	земельные участки, предназначенные для размещения административных и офисных зданий, объектов культуры, искусства (1.2.7)
4754	77:03:0005021:28	ул 16-я Парковая    (г. Москва, ул. 16-я Парковая, вл. 11)	11149.00000000000	земельные участки, предназначенные для размещения объектов образования (1.2.7)
4755	77:04:0004001:28	ул 1-я Текстильщиков    (г Москва, ул 1-я Текстильщиков, вл 9 Б, стр 1)	4127.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ № 88
4756	77:02:0010004:18	ул Таймырская    (г Москва, ул Таймырская, вл 5, стр 1, 2, 3, 4)	21582.00000000000	эксплуатации зданий школы
4757	77:04:0002010:20	б-р Самаркандский    (г Москва, б-р Самаркандский, дом 10, корп 3)	9760.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
4758	77:03:0009004:66	ул Новокосинская    (г Москва, ул Новокосинская, вл 42А)	16728.00000000000	эксплуатации здания школы и прилегающей территории
4759	77:09:0003023:84	ш Дмитровское    (г Москва, ш Дмитровское, вл 5А)	9495.00000000000	эксплуатации общеобразовательной школы
4760	77:05:0006004:190	ул Чертановская    (г Москва, ул Чертановская, вл 8 А)	9067.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
4761	77:01:0003001:116	пер Малый Полуярославский    (г Москва, пер Малый Полуярославский, вл 1/8, стр 2)	2656.00000000000	эксплуатации здания под учебно-воспитательные цели и благоустройства территории
4762	77:05:0007005:115	ул Кировоградская    (г Москва, ул Кировоградская, вл 19А)	9710.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
4763	77:03:0006013:147	ул Утренняя    (г Москва, ул Утренняя, вл 5)	8270.00000000000	эксплуатации здания и территории детского сада.
4764	77:04:0004019:148	ул Донецкая    (г Москва, ул Донецкая, вл 3, стр 1)	8824.00000000000	ЭКСПЛУАТАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА
4765	77:01:0001076:111	пер Мамоновский    (г Москва, Мамоновский переулок, вл  8, стр 1, 3,  вл 10, стр 1)	4132.00000000000	эксплуатации зданий и прилегающей территории под театр
4766	77:10:0002003:24	мкр 12-Й    (г Москва, г Зеленоград, 12-й микрорайон, корпус 1214)	6903.82000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
4767	77:06:0006003:264	ул Миклухо-Маклая    (г. Москва, ул. Миклухо-Маклая, вл. 29, к. 2)	3800.00000000000	земельные участки, предназначенные для размещения объектов здравоохранения (1.2.7)
4768	77:01:0002006:108	пер 5-й Монетчиковский    (г Москва, пер Монетчиковский 5-й, вл 11, стр 1, 3, 4, 8)	1977.00000000000	эксплуатации зданий и территории под медицинские цели
4769	77:05:0008003:118	проезд Кировоградский    (г Москва, проезд Кировоградский, вл 3А)	9709.00000000000	эксплуатации существующего здания и строений детского сада с прилегающим земельным участком
4770	77:05:0006004:127	ш ВАРШАВСКОЕ    (г Москва, ш Варшавское, вл 124А)	9053.00000000000	эксплуатации здания детского сада с прилегающим земельным участком
4771	77:09:0005005:102	ул Зорге    (г Москва, ул Зорге, вл 6, корпус 135)	554.00000000000	ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
4772	77:09:0003016:200	ул Зои и Александра Космодемьянских    (г. Москва, ул. Зои и Александра Космодемьянских, вл. 13)	4935.34000000000	для эксплуатации здания в учебно-воспитательных целях
4773	77:05:0003004:149	ш Варшавское    (г Москва, ш Варшавское, вл 60, корпус 2)	2544.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
4774	77:04:0004027:124	б-р Перервинский    (г Москва, б-р Перервинский, вл 17, корпус 2)	6444.00000000000	эксплуатации здания детского сада
4775	77:06:0006003:252	ул Профсоюзная    (г Москва, ул Профсоюзная, вл 96 Б)	17362.00000000000	эксплуатации имущественного комплекса школы Центра образования
4776	77:05:0011002:217	ул Домодедовская    (г Москва, ул Домодедовская, вл 22Г)	239.00000000000	эксплуатации газорегуляторного пункта № 379
4777	77:07:0014001:111	ул Очаковская Б.    (г Москва, ул Большая Очаковская, вл 38-А)	3865.00000000000	ЭКСПЛУАТАЦИИ ТРЕХЭТАЖНОГО ЗДАНИЯ ПОД ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКИЕ ЦЕЛИ
4778	77:08:0003007:115	б-р ЯНА РАЙНИСА    (г Москва, б-р Яна Райниса, вл 4, корпус 2)	15565.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
4779	77:07:0001002:198	ул Крылатские Холмы    (г Москва, улица Крылатские Холмы, вл 13)	11581.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
4780	77:09:0003021:209	ул Астрадамская    (г Москва, ул Астрадамская, вл 15, корпус 2)	4037.00000000000	эксплуатации зданий под учебно-воспитательные цели
4781	77:04:0002011:210	б-р Самаркандский    (г Москва, б-р Самаркандский, вл 28, корпус 2)	6209.00000000000	эксплуатации здания школы
4782	77:05:0005008:190	ул Бехтерева    (г Москва, ул Бехтерева, вл 35, корпус 4)	9987.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СТРОЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
4783	77:05:0005009:153	ул Ереванская    (г Москва, ул Ереванская, вл 21)	17530.68000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
4784	77:07:0001002:185	ул Крылатские Холмы    (г Москва, улица Крылатские Холмы, вл 28, корпус 2)	8416.00000000000	ЭКСПЛУАТАЦИИ ЯСЛЕЙ-САДА № 1676
4785	77:02:0023002:90	ул Ярославская    (г Москва, ул Ярославская, вл 14, стр 1, 2)	8807.00000000000	эксплуатации зданий образовательного учреждения
4786	77:02:0015006:48	ул Амундсена    (г Москва, ул Амундсена, вл 8, корпус 1)	11301.00000000000	эксплуатации здания образовательного учреждения
4787	77:01:0006027:19	пер Товарищеский    (г Москва, пер Товарищеский, вл 22)	1187.00000000000	эксплуатации существующего учебного заведения.
4788	77:02:0002010:85	ул Мурановская    (г Москва, ул Мурановская, д 7А)	11072.00000000000	ЭКСПЛУАТАЦИИ здания детского сада
4789	77:02:0008002:89	ш Алтуфьевское    (г Москва,ш Алтуфьевское, д 24а)	13046.00000000000	ЭКСПЛУАТАЦИИ здания школы
4790	77:02:0008002:14	ш Алтуфьевское    (г Москва, ш Алтуфьевское, вл 30б)	8317.00000000000	эксплуатации лечебно-профилактического учреждения
4791	77:01:0006039:32	пр-кт Волгоградский    (г Москва, пр-кт Волгоградский, вл 17, стр 3)	2814.00000000000	эксплуатации здания под учебно-воспитательную деятельность благоустройство прилегающих территории без права выкупа коммерческого использования
4792	77:09:0004005:24	ул Усиевича	1350.00000000000	ЭКСПЛУАТАЦИИ административного здания банка
4793	77:02:0010008:19	ул Коминтерна    (г Москва, ул Коминтерна, вл 52)	19786.00000000000	эксплуатации здания школы
4794	77:10:0006003:34	ул 15 микрорайон    (АДРЕСНЫЕ ОРИЕНТИРЫ: 15 М/Р,  КОРПУС 1530)	17466.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
4795	77:10:0006003:53	ул 15 микрорайон    (АДРЕСНЫЕ ОРИЕНТИРЫ: 15-Й МИКРОРАЙОН, КОРП.1532)	10258.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
4796	77:01:0006014:61	ул Дубининская    (г Москва, ул Дубининская, вл 42)	10211.00000000000	эксплуатации под учебно-воспитательные цели
4797	77:05:0009003:51	проезд Востряковский    (г. Москва, Востряковский проезд, вл. 13-А)	18823.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ  ШКОЛЫ
4798	77:07:0002001:64	ш Рублевское    (г Москва, ш Рублевское, вл 24, корпус 3,4)	25799.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ШКОЛЫ
4799	77:08:0003005:37	ул Планерная    (г Москва, ул Планерная, вл 16, корпус 7)	8398.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА №1914
4800	77:06:0009007:30	б-р Литовский    (г Москва, б-р Литовский, вл 44, корп 2)	10231.00000000000	эксплуатации общеобразовательной школы
4801	77:01:0005015:76	б-р Зубовский    (г Москва, б-р Зубовский, вл 27/26, стр 1)	2800.00000000000	эксплуатации зданий историко-культурного назначения
4802	77:01:0003006:39	ул Радио    (г Москва, ул Радио, вл 10)	1238.00000000000	эксплуатации зданий историко-культурного назначения
4803	77:02:0008008:78	ул Декабристов    (г Москва, ул Декабристов, вл 36А)	8977.00000000000	эксплуатации здания образовательного учреждения
4804	77:01:0004031:47	пер Большой Трёхгорный    (г Москва, пер Большой Трёхгорный, вл 6)	200.00000000000	эксплуатации здания под административные цели
4805	77:09:0003011:34	пер 3-й Михалковский    (г Москва, пер 3-й Михалковский, вл 22)	2754.00000000000	эксплуатации поликлиники.
4806	77:09:0003020:11	ул Новая Ипатовка    (г Москва, ул Новая Ипатовка, вл 3)	324.00000000000	эксплуатации прочих земель учреждений коммунального хозяйства.
4807	77:10:0005004:60	аллея Сосновая    (г Москва, г Зеленоград, аллея Сосновая, вл 3)	4150.00000000000	эксплуатации здания с целью оказания ветеринарных услуг
4808	77:09:0004007:33	ул Коккинаки    (г Москва, ул Коккинаки, вл 7)	3866.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
4809	77:09:0002005:15	ул Долгопрудная    (г Москва, ул Долгопрудная, вл 6, корпус 3)	5464.00000000000	эксплуатации детского сада
4810	77:10:0005001:57	проезд Никольский    (г. Москва, Зеленоград, Никольский проезд, дом 5)	11700.00000000000	земельные участки, предназначенные для размещения объектов рекреационного и лечебно-оздоровительного назначения (1.2.8)
4811	77:01:0002022:62	ул Садовническая    (г Москва, ул Садовническая, вл 19, стр 1)	528.00000000000	эксплуатации здания в образовательных целях
4812	77:10:0006006:18	ул Крупской    (г Москва, г Зеленоград, ул Крупской)	72.00000000000	эксплуатации существующего здания газораспределительного пункта № 8
4813	77:05:0010004:179	ул Бирюлевская    (г Москва, ул Бирюлевская, вл 50)	20676.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
4814	77:02:0008002:195	ул Декабристов    (г Москва, ул Декабристов, д 4, корпус 3)	35.62000000000	ЭКСПЛУАТАЦИИ и обслуживания помещений мобилизационного назначения
4815	77:02:0017004:140	ул Ботаническая    (г Москва, ул Ботаническая, вл 5А)	9873.00000000000	эксплуатации здания детского сада
4816	77:05:0011002:139	ул Домодедовская    (г Москва, ул Домодедовская, вл 9, стр 1, 2)	4780.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОЛИКЛИНИКИ И РЕНТГЕНОХРАНИЛИЩА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
4817	77:09:0002028:107	ул 800-летия Москвы    (г Москва, ул 800-летия Москвы, вл 28, корпус 3)	7989.00000000000	эксплуатации учебно- воспитательных целей
4818	77:04:0004006:163	ул Кузьминская    (г Москва, ул Кузьминская, вл 8)	54657.00000000000	эксплуатации здания под музей
4819	77:09:0003018:100	пер Новоподмосковный 3-й    (г Москва, пер Новоподмосковный 3-й, вл 8а)	3618.00000000000	под учебно-воспитательные цели
4820	77:03:0006025:100	ул Саянская    (г Москва, ул Саянская, вл 13, стр 3)	35.57000000000	эксплуатации защитных сооружений гражданской обороны
4821	77:03:0006015:123	пр-кт Союзный    (г. Москва, Союзный проспект, вл. 3)	7390.00000000000	ЭКСПЛУАТАЦИИ здания и территории детского сада
4822	77:06:0004001:104	ул Кржижановского    (г Москва, ул Кржижановского, вл 15, корпус 4)	3400.00000000000	эксплуатация существующего здания училища
4823	77:02:0008001:71	ул Бестужевых    (г Москва, ул Бестужевых, д 25б)	16670.00000000000	ЭКСПЛУАТАЦИИ здания общеобразовательной школы
4824	77:02:0008001:24	ул Бестужевых    (г Москва, ул Бестужевых, д 23а)	9443.00000000000	использования территории и ЭКСПЛУАТАЦИИ здания дошкольного учреждения
4825	77:01:0006039:15	ул Талалихина    (г Москва, ул Талалихина, вл 20, стр 1, 1а)	8682.00000000000	эксплуатации здания под учебно-воспитательную деятельность
4826	77:02:0011006:87	ул Енисейская    (г Москва, ул Енисейская, вл 32, корпус 3)	13965.00000000000	эксплуатации здания школы
4827	77:03:0001005:20	ул КРАСНОБОГАТЫРСКАЯ    (г Москва, Краснобогатырская улица, вл 25)	9851.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
4828	77:01:0004018:29	ул Большая Грузинская    (г Москва, ул Большая Грузинская, вл 67, стр 1)	2330.00000000000	эксплуатации здания под учебно-воспитательные цели
4829	77:01:0006013:23	пер Стремянный    (г Москва, пер Стремянный, вл 10, стр 1)	2940.00000000000	эксплуатации здания в лечебно-воспитательных целях и благоустройства прилегающей территории
4830	77:02:0024010:35	ул Полковая    (г Москва, ул Полковая, вл 14)	70.81000000000	эксплуатации здания мобилизационного назначения
4831	77:02:0022008:33	ул Новомосковская    (г Москва, ул Новомосковская, вл 9/11, стр 1)	5009.00000000000	эксплуатации здания дошкольного учреждения
4832	77:01:0006025:41	ул Таганская    (г Москва, ул Таганская, вл 15а)	35579.00000000000	благоустройства и реконструкции территории в соответствии с разработанным ТЭО для организации культурно-массовых мероприятий
4833	77:05:0011004:10	проезд Борисовский    (г Москва, проезд Борисовский, дом 10, корпус 2)	17999.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
4834	77:06:0003004:55	ул Ивана Бабушкина    (г Москва, ул Ивана Бабушкина, вл 15, корпус 3)	2751.00000000000	эксплуатации прогулочной площадки детского сада без права изменения функционального назначения
4835	77:09:0001011:48	ул Фестивальная    (г Москва, ул Фестивальная, вл 69)	17116.00000000000	эксплуатации общеобразовательной школы
4836	77:10:0005003:36	     (г. Москва, Зеленоград, корпус 618Б)	100.00000000000	земельные участки, предназначенные для размещения объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития наземных и подземных зданий, строений, сооружений, устройств энергетики (1.2.13)
4837	77:08:0008008:30	ул ТАЛЛИНСКАЯ    (г Москва, ул Таллинская, вл 3, корпус 2)	10618.00000000000	ЭКСПЛУАТАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА
4838	77:10:0002006:63	мкр 8-Й    (г Москва, 8-й микрорайон г Зеленограда, корпус 827)	9134.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
4839	77:09:0005014:31	проезд Боткинский 1-й    (г Москва, проезд 1-й Боткинский, вл 31А)	3784.00000000000	эксплуатации общеобразовательной школы
4840	77:03:0005019:55	ул Парковая 16-я    (г. Москва, ул. 16-я Парковая, вл. 41)	8426.47000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
4841	77:04:0003008:20	ул Гурьянова    (г Москва, ул Гурьянова, вл 47)	10312.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
4842	77:02:0020004:22	ул Гончарова    (г Москва, ул Гончарова, вл 15-б)	9479.00000000000	использования территории и эксплуатации здания школы
4843	77:03:0006003:15	ул Лазо    (г. Москва, ул. Лазо, вл. 12)	8668.00000000000	земельные участки, предназначенные для размещения объектов образования (1.2.7)
4844	77:02:0023002:67	ул Космонавтов    (г Москва, ул Космонавтов, вл 5, стр 1-2)	8728.00000000000	эксплуатации здания школы
4845	77:02:0013006:23	ул Ротерта    (г Москва, ул Ротерта, вл 12, стр 1,2)	3578.00000000000	эксплуатации зданий городской поликлиники и архива.
4846	77:10:0002007:23	     (АДРЕСНЫЕ ОРИЕНТИРЫ: 8-В МИКРОРАЙОН Г.ЗЕЛЕНОГРАДА, ДОМ 858)	170.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕЙ КАНАЛИЗАЦИОННОЙ НАСОСНОЙ СТАНЦИИ ПТУ № 121
4847	77:02:0014004:11	ул Сельскохозяйственная    (г Москва, ул Сельскохозяйственная, вл 34)	2817.00000000000	эксплуатации здания Свибловской насосной станции
4848	77:02:0015001:43	ул Ленская    (г Москва, ул Ленская, вл 6)	20055.00000000000	эксплуатации здания школы
4849	77:07:0014008:101	пр-кт Вернадского    (г Москва, пр-кт Вернадского, вл 101, корп 5)	19106.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
4850	77:09:0003014:17	ул Новопетровская    (г Москва, ул Новопетровская, вл 1А)	21336.00000000000	эксплуатации прочих учреждений народного образования
4851	77:09:0001006:70	     (г. Москва, р-н Левобережный, мкр. 1Б, к. 26)	6134.00000000000	земельные участки, предназначенные для размещения зданий, объектов здравоохранения и социального обеспечения (1.2.7)
4852	77:09:0001006:44	проезд Валдайский    (г Москва, проезд Валдайский, вл 20)	10567.00000000000	ЭКСПЛУАТАЦИИ УВК
4853	77:02:0002010:48	ул Мурановская    (г Москва, ул Мурановская, д 19а)	8873.00000000000	ЭКСПЛУАТАЦИИ дошкольного образовательного учреждения
4854	77:10:0001005:89	мкр 10-Й    (г Москва, 10-й микрорайон г Зеленограда, корпус 1017)	18900.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ШКОЛЫ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
4855	77:09:0002028:83	ул Дубнинская    (г Москва, ул Дубнинская, вл 18Б)	24200.00000000000	ЭКСПЛУАТАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА
4856	77:02:0018009:57	проезд Сельскохозяйственный 2-й    (г Москва, проезд Сельскохозяйственный 2-й, вл 2/11)	8374.00000000000	эксплуатации здания школы-интерната
4857	77:09:0001006:32	ул Смольная    (г Москва, ул Смольная, вл 55, стр 1)	3918.00000000000	эксплуатации поликлиники
4858	77:09:0003003:51	ул Михалковская    (г Москва, ул Михалковская, вл 20а)	4257.00000000000	под воспитательные цели
4859	77:03:0004003:11	ш Измайловское    (г Москва, ш Измайловское, вл 49А, стр 1)	4670.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОМА РЕБЕНКА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
4860	77:02:0003005:55	ш Алтуфьевское    (г Москва, ш Алтуфьевское, д 60г)	9594.00000000000	ЭКСПЛУАТАЦИИ здания детского сада
4861	77:08:0008002:63	ул МАРШАЛА КАТУКОВА    (г Москва, ул Маршала Катукова, вл 3/2)	8411.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 1199
4862	77:08:0013003:14	ул Таманская    (г. Москва, ул. Таманская, вл. 4, корп. 1)	1470.00000000000	ЭКСПЛУАТАЦИИ ЭЛЕКТРОТЯГОВОЙ ПОДСТАНЦИИ
4863	77:08:0009011:20	ул Маршала Василевского    (г Москва, ул Маршала Василевского, вл 11, корпус 2)	7802.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА
4864	77:03:0002019:47	ул Хабаровская    (г Москва, ул Хабаровская, вл 18, стр 1, 2)	32707.00000000000	эксплуатации здания общеобразовательной школы и прилегающей территории
4865	77:03:0002017:50	ул Алтайская    (г Москва, ул Алтайская, вл 14)	27.00000000000	ЭКСПЛУАТАЦИИ ВОДОНАСОСНОЙ СТАНЦИИ
4866	77:06:0007005:28	ул Профсоюзная    (г Москва , ул Профсоюзная,вл 156, корпус 4)	10249.00000000000	эксплуатации имущественного комплекса детских яслей-сада без права изменения функционального назначения
4867	77:05:0008001:71	проезд 3-й Дорожный    (г Москва, проезд 3-й Дорожный, вл 9 А)	10402.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ И СТРОЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
4868	77:05:0004003:23	проезд 2-й Нагатинский    (г Москва, 2-й Нагатинский проезд, вл 8)	32099.00000000000	эксплуатации существующих зданий и сооружений автобусного парка
4869	77:04:0004017:10	ул Верхние Поля    (г Москва, ул Верхние Поля, вл 19, корп 3)	4318.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДОМ РЕБЕНКА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
4870	77:01:0003023:25	ул Бауманская    (г Москва, ул Бауманская, вл 17/1, корпус 3)	3804.00000000000	эксплуатации зданий под медицинские цели и благоустройство территории
