№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
9229	Кафе	Россия, Москва, Митинская улица, 52к1	Общество с ограниченной ответственностью "НК"	1270 ДТУ	2011-12-30 04:00:00.0	2012-12-30 04:00:00.0	Действует
9230	Магазин	Россия, Москва, Алтуфьевское шоссе, 9	Общество с ограниченной ответственностью "Компания "МБК"	1190 ПРВСВ	2005-10-21 04:00:00.0	2013-10-21 04:00:00.0	Действует
9231	Универсам	Россия, Москва, Алтуфьевское шоссе, 8	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	8795 ДПРУ	2008-12-30 04:00:00.0	2013-12-30 04:00:00.0	Действует
9232	Магазин	Россия, Москва, улица Вилиса Лациса, 1	Общество с ограниченной ответственностью "Новый Импульс - 50"	44734 ПРИУ	2005-12-19 04:00:00.0	2013-12-19 04:00:00.0	Действует
9233	Магазин ООО "Торговый Дом РУСЛАН Э"	Россия, Москва, улица Вилиса Лациса, 3к1	Общество с ограниченной ответственностью "Торговый Дом РУСЛАН Э"	9270 ДПРУ	2009-03-20 04:00:00.0	2014-03-20 04:00:00.0	Действует
9234	Магазин	Россия, Москва, Левобережный район, Ленинградское шоссе, 63г	Общество с ограниченной ответственностью "Эни-Нефто"	13538 ДПРУ	2010-12-31 04:00:00.0	2013-12-31 04:00:00.0	Действует
9235	Кафе	Россия, Москва, улица Декабристов, 17	Общество с ограниченной ответственностью "БайКонУР"	7754 ДПРУ	2008-08-07 04:00:00.0	2013-08-07 04:00:00.0	Действует
9236	Кафе	Россия, Москва, улица Декабристов, 17	Общество с ограниченной ответственностью "АСИФ"	9370 ДПРУ	2009-04-17 04:00:00.0	2014-04-17 04:00:00.0	Действует
9237	Магазин	Россия, Москва, Левобережный район, Ленинградское шоссе, вл132ас1	Общество с ограниченной ответственностью "ЭлитСервис"	12610 ДПРУ	2010-08-03 04:00:00.0	2015-08-03 04:00:00.0	Действует
9238	Магазин	Россия, Москва, Широкая улица, 12	Общество с ограниченной ответственностью "Белый Кит"	11445 ДПРУ	2010-01-05 04:00:00.0	2015-01-05 04:00:00.0	Действует
9239	Бар	Россия, Москва, Широкая улица, 12	Общество с ограниченной ответственностью Производственно-Торговая фирма "Ладога-Клад"	9943 ДПРУ	2009-07-09 04:00:00.0	2014-07-09 04:00:00.0	Действует
9240	Ресторан	Россия, Москва, Широкая улица, 24б	Общество с ограниченной ответственностью "Дуплет-1"	6612 ДПРУ	2008-01-25 04:00:00.0	2013-01-25 04:00:00.0	Действует
9241	Склад-магазин	Россия, Москва, Алтуфьевское шоссе, 79ас25	Общество с ограниченной ответственностью "Компания "ТРИУМФ"	11229 ДПРУ	2009-12-17 04:00:00.0	2014-12-17 04:00:00.0	Действует
9242	Магазин	Россия, Москва, Алтуфьевское шоссе, 79ас25	Общество с ограниченной ответственностью "Торговая компания "Русьимпорт"	2060 ДТУ	2012-07-18 04:00:00.0	2017-07-18 04:00:00.0	Действует
9243	Магазин	Россия, Москва, Дмитровское шоссе, 125к2	Общество с ограниченной ответственностью "ЛИДИЯ ИВ"	7195 ДПРУ	2008-05-07 04:00:00.0	2016-05-07 04:00:00.0	Действует
9244	Магазин	Россия, Москва, Стартовая улица, 25к3	Общество с ограниченной ответственностью "Агрика"	850 ДТУ	2011-09-01 04:00:00.0	2013-09-01 04:00:00.0	Действует
9245	Кафе	Россия, Москва, Клязьминская улица, 11к4	Общество с ограниченной ответственностью "БМ-сервис"	13052 ДПРУ	2010-11-03 04:00:00.0	2015-11-03 04:00:00.0	Действует
9246	Универсам	Россия, Москва, Заревый проезд, 14/12	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12980 ДПРУ	2010-09-30 04:00:00.0	2016-09-30 04:00:00.0	Действует
9247	Магазин	Россия, Москва, Широкая улица, 8	Общество с ограниченной ответственностью "Авоська"	12298 ДПРУ	2010-05-19 04:00:00.0	2013-05-19 04:00:00.0	Действует
9248	Кафе	Россия, Москва, Широкая улица, 6	Общество с ограниченной ответственностью "АВЕРС"	1343 ПРВСВ	2005-12-08 04:00:00.0	2013-12-08 04:00:00.0	Действует
9249	Магазин	Россия, Москва, Широкая улица, 6	Общество с ограниченной ответственностью "АВЕРС"	1342 ПРВСВ	2005-12-08 04:00:00.0	2013-12-08 04:00:00.0	Действует
9250	Магазин	Россия, Москва, улица Плещеева, 7	Общество с ограниченной ответственностью "Санита-Фиш"	13659 ДПРУ	2011-02-04 04:00:00.0	2016-02-04 04:00:00.0	Действует
9251	Магазин	Россия, Москва, улица Плещеева, 7	Общество с ограниченной ответственностью "Руслан и М"	1142 ПРВСВ	2005-09-13 04:00:00.0	2014-09-13 04:00:00.0	Действует
9252	Кафе	Россия, Москва, улица Плещеева, 7	Общество с ограниченной ответственностью "Санита-Фиш"	1109 ПРВСВ	2008-12-10 04:00:00.0	2013-08-18 04:00:00.0	Действует
9253	Магазин	Россия, Москва, Широкая улица, 16г	Общество с ограниченной ответственностью "Торговая компания "Калатрава"	669 ДТУ	2011-07-21 04:00:00.0	2014-07-21 04:00:00.0	Действует
9254	Магазин	Россия, Москва, Дубнинская улица, 38ас2	Общество с ограниченной ответственностью "Интертехцентр"	5016 ДПРУ	2007-07-17 04:00:00.0	2017-07-17 04:00:00.0	Действует
9255	Ресторан	Россия, Москва, Чермянский проезд, 5с26	Общество с ограниченной ответственностью " ГИПАР М"	1655 ДТУ	2012-04-05 04:00:00.0	2017-04-05 04:00:00.0	Действует
9256	Магазин	Россия, Москва, улица Милашенкова, 16	Общество с ограниченной ответственностью "Орхидея"	11663 ДПРУ	2010-02-17 04:00:00.0	2015-02-17 04:00:00.0	Действует
9257	Магазин	Россия, Москва, Вишневая улица, 8/16	Общество с ограниченной ответственностью "Эллиот"	2245 ДТУ	2012-08-23 04:00:00.0	2013-08-23 04:00:00.0	Действует
9258	Магазин	Россия, Москва, Левобережный район, Ленинградское шоссе, 34к2	Общество с ограниченной ответственностью "Элен"	1813 ДТУ	2012-05-25 04:00:00.0	2016-05-25 04:00:00.0	Действует
9259	Бар	Россия, Москва, улица Рословка, 6	Общество с ограниченной ответственностью "Содбизнес-Лайн"	1037 ДТУ	2011-11-15 04:00:00.0	2014-11-15 04:00:00.0	Действует
9260	Магазин	Россия, Москва, улица Рословка, 6	Общество с ограниченной ответственностью "Едим вкусно"	1585 ДТУ	2012-04-03 04:00:00.0	2017-04-03 04:00:00.0	Действует
9261	Кафе	Россия, Москва, улица Генерала Белобородова, 35/2	Общество с ограниченной ответственностью "АЛЬЯНС"	11735 ДПРУ	2010-02-19 04:00:00.0	2015-02-19 04:00:00.0	Действует
9262	Универсам	Россия, Москва, Коптевский бульвар, 11	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	8165 ДПРУ	2008-10-03 04:00:00.0	2013-10-03 04:00:00.0	Действует
9263	Столовая	Россия, Москва, Большая Марфинская улица, 4	"Производственный кооператив "Агрофирма "Фархад"	10999 ДПРУ	2009-12-28 04:00:00.0	2014-12-28 04:00:00.0	Аннулирована
9264	Ресторан	Россия, Москва, Волоколамское шоссе, 124	Общество с ограниченной ответственностью "Династия"	13415 ДПРУ	2011-01-17 04:00:00.0	2016-01-17 04:00:00.0	Действует
9265	Магазин	Россия, Москва, улица Бажова, 4с2	Закрытое акционерное общество "ТК "КРИСТИНА"	981 ПРВСВ	2007-04-11 04:00:00.0	2013-07-19 04:00:00.0	Действует
9266	Магазин	Россия, Москва, улица Свободы, 14	Общество с ограниченной ответственностью "Шмель-1"	1629 ДТУ	2012-04-12 04:00:00.0	2014-04-12 04:00:00.0	Действует
9267	Магазин	Россия, Москва, Уваровский переулок, 3	Общество с ограниченной ответственностью "Пингвин плюс"	11014 ДПРУ	2009-11-25 04:00:00.0	2012-11-25 04:00:00.0	Действует
9268	Магазин "Продукты"	Россия, Москва, Уваровский переулок, 3	Общество с ограниченной ответственностью "Континенталь"	2197 ДТУ	2012-08-17 04:00:00.0	2013-08-17 04:00:00.0	Действует
9269	Магазин	Россия, Москва, Коптевская улица, 22	Общество с ограниченной ответственностью "Магазин № 30"	7104 ДПРУ	2008-04-22 04:00:00.0	2014-04-22 04:00:00.0	Действует
9270	Магазин	Россия, Москва, Коптевская улица, 22	Общество с ограниченной ответственностью "ФЛАУР"	7511 ДПРУ	2008-06-27 04:00:00.0	2013-06-27 04:00:00.0	Действует
9271	Магазин	Россия, Москва, проспект Мира, 129	Закрытое акционерное общество "Стенд"	44704 ПРИУ	2008-08-29 04:00:00.0	2012-12-15 04:00:00.0	Действует
9272	Ресторан	Россия, Москва, Большая Академическая улица, 35с1	Закрытое акционерное общество "Гелия"	8347 ДПРУ	2008-11-04 04:00:00.0	2013-11-04 04:00:00.0	Действует
9273	Магазин	Россия, Москва, улица Свободы, 16	Общество с ограниченной ответственностью "БАНВА"	4649 ДПРУ	2007-05-18 04:00:00.0	2015-05-18 04:00:00.0	Действует
9274	Магазин	Россия, Москва, Авангардная улица, 11	Общество с ограниченной ответственностью "Агроаспект"	5739 ДПРУ	2007-10-10 04:00:00.0	2017-10-10 04:00:00.0	Действует
9275	Кафе	Россия, Москва, Митинская улица, 40	Закрытое акционерное общество "ЛАНЧ"	1489 ДТУ	2012-02-29 04:00:00.0	2016-02-29 04:00:00.0	Действует
9276	Магазин	Россия, Москва, Путевой проезд, 34а	Общество с ограниченной ответственностью "ЭДЕЛЬВЕЙС"	11184 ДПРУ	2009-12-25 04:00:00.0	2014-12-25 04:00:00.0	Действует
9277	Кафе	Россия, Москва, Путевой проезд, 34а	Общество с ограниченной ответственностью "Перфодеко"	13735 ДПРУ	2011-03-01 04:00:00.0	2016-03-01 04:00:00.0	Действует
9278	Магазин	Россия, Москва, Дмитровское шоссе, 103	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12541 ДПРУ	2010-07-23 04:00:00.0	2015-07-23 04:00:00.0	Действует
9279	Магазин	Россия, Москва, улица Малыгина, 1с2	Закрытое акционерное общество "Вегат Плюс"	7557 ДПРУ	2008-07-03 04:00:00.0	2013-07-03 04:00:00.0	Действует
9280	Магазин	Россия, Москва, улица Малыгина, 1с2	Общество с ограниченной ответственностью "Агроаспект"	11497 ДПРУ	2010-01-19 04:00:00.0	2015-01-19 04:00:00.0	Действует
9281	Магазин "Продукты"	Россия, Москва, Изумрудная улица, 40	Общество с ограниченной ответственностью "Каспий"	2130 ДТУ	2012-08-07 04:00:00.0	2017-08-07 04:00:00.0	Действует
9282	Магазин	Россия, Москва, Полярная улица, 17к1	Закрытое акционерное общество "Вегат Плюс"	6360 ДПРУ	2007-12-27 04:00:00.0	2012-12-27 04:00:00.0	Действует
9283	Универсам "Авоська"	Россия, Москва, Новая улица, 9	Общество с ограниченной ответственностью "Авоська-два"	13056 ДПРУ	2010-10-29 04:00:00.0	2015-10-29 04:00:00.0	Действует
9284	Кафе "Якитория"	Россия, Москва, Московская кольцевая автодорога, 73-й километр, 7	Закрытое акционерное общество "Бизнес-Сервис"	4134 ДПРУ	2007-03-02 04:00:00.0	2015-03-02 04:00:00.0	Действует
9285	Магазин	Россия, Москва, Московская кольцевая автодорога, 73-й километр, 7	Открытое акционерное общество "Седьмой Континент"	11460 ДПРУ	2010-02-19 04:00:00.0	2015-02-19 04:00:00.0	Действует
9286	Кафе	Россия, Москва, Осташковский проезд, 6с2	Общество с ограниченной ответственностью "ЕИФ"	5114 ДПРУ	2007-07-31 04:00:00.0	2017-07-31 04:00:00.0	Действует
9287	Магазин	Россия, Москва, Полярная улица, 16к1	Общество с ограниченной ответственностью "Отдохни-77"	10643 ДПРУ	2009-10-20 04:00:00.0	2017-10-20 04:00:00.0	Действует
9288	Универсам	Россия, Москва, проезд Черского, 13	Общество с ограниченной ответственностью "Инвестпроект"	226 ДТУ	2011-04-28 04:00:00.0	2016-04-28 04:00:00.0	Действует
9289	Кафе	Россия, Москва, Палехская улица, 126	Общество с ограниченной ответственностью "Комфорт медиа стайл"	233 ДТУ	2011-04-21 04:00:00.0	2014-04-21 04:00:00.0	Действует
9290	Магазин "Продукты"	Россия, Москва, Югорский проезд, 6	Общество с ограниченной ответственностью "РИО-трейд"	11703 ДПРУ	2010-02-19 04:00:00.0	2015-02-19 04:00:00.0	Действует
9291	Магазин	Россия, Москва, улица Софьи Ковалевской, 2	Общество с ограниченной ответственностью "Ариадна"	694 ДПРУ	2006-05-11 04:00:00.0	2014-05-11 04:00:00.0	Действует
9292	Ресторан	Россия, Москва, Дмитровское шоссе, 24	Общество с ограниченной ответственностью "ИСТОК"	9747 ДПРУ	2009-06-02 04:00:00.0	2014-06-02 04:00:00.0	Действует
9293	Бар	Россия, Москва, Дмитровское шоссе, 24	Общество с ограниченной ответственностью "ИСТОК"	830 ДПРУ	2008-01-23 04:00:00.0	2014-05-26 04:00:00.0	Действует
9294	Бар №1	Россия, Москва, Дмитровское шоссе, 24	Общество с ограниченной ответственностью "ИСТОК"	170 ДТУ	2011-04-14 04:00:00.0	2014-04-14 04:00:00.0	Действует
9295	Кафе	Россия, Москва, улица Декабристов, 17	Общество с ограниченной ответственностью "ТОРГОВАЯ КОМПАНИЯ "ЭКОКЛАСС"	7877 ДПРУ	2008-08-27 04:00:00.0	2014-08-27 04:00:00.0	Действует
9296	Ресторан	Россия, Москва, улица Декабристов, 17	Закрытое акционерное общество "Пирамида"	387 ДТУ	2011-05-27 04:00:00.0	2013-05-27 04:00:00.0	Действует
9297	Бар	Россия, Москва, улица Декабристов, 8	Общество с ограниченной ответственностью "Рентерра"	10795 ДПРУ	2009-10-30 04:00:00.0	2014-10-30 04:00:00.0	Действует
9298	Магазин	Россия, Москва, улица Декабристов, 8	Общество с ограниченной ответственностью "Отдохни-77"	486 ДТУ	2011-06-22 04:00:00.0	2014-06-22 04:00:00.0	Действует
9299	Магазин	Россия, Москва, улица Пестеля, вл6г	Общество с ограниченной ответственностью "ОТРАДА"	10741 ДПРУ	2009-10-16 04:00:00.0	2014-10-16 04:00:00.0	Действует
9300	Магазин	Россия, Москва, улица Чичерина, 4с1-2	Общество с ограниченной ответственностью "Искра 45"	2037 ДТУ	2012-07-18 04:00:00.0	2017-07-18 04:00:00.0	Действует
9301	Магазин	Россия, Москва, Петрозаводская улица, 9к2	Общество с ограниченной ответственностью "Фирма "Витязь"	790 ДПРУ	2006-05-22 04:00:00.0	2014-05-22 04:00:00.0	Действует
9302	Магазин	Россия, Москва, улица Ивана Сусанина, 2к1	Закрытое акционерное общество "ДИСКОНТцентр"	598 ПРСЗС	2008-08-01 04:00:00.0	2013-04-12 04:00:00.0	Действует
9303	Магазин	Россия, Москва, Дубнинская улица, 12к3	Общество с ограниченной ответственностью "БИЛЛА"	651 ДПРУ	2008-10-28 04:00:00.0	2014-05-05 04:00:00.0	Действует
9304	Магазин	Россия, Москва, Петрозаводская улица, 9к1	Общество с ограниченной ответственностью "АвитА"	8048 ДПРУ	2011-06-08 04:00:00.0	2013-09-12 04:00:00.0	Действует
9305	Кафе	Россия, Москва, Енисейская улица, 11	Общество с ограниченной ответственностью "Кофе Хаус. Эспрессо и Капучино Бар"	9331 ДПРУ	2009-04-01 04:00:00.0	2014-04-01 04:00:00.0	Действует
9306	Бар	Россия, Москва, Коровинское шоссе, 1к1	Общество с ограниченной ответственностью "ЛегионСтройГрупп"	5203 ДПРУ	2010-06-23 04:00:00.0	2013-08-10 04:00:00.0	Действует
9307	Магазин	Россия, Москва, Коровинское шоссе, 1к1	Закрытое акционерное общество "Сервис - ГАО"	1133 ПРСЗС	2005-12-23 04:00:00.0	2014-12-23 04:00:00.0	Действует
9308	Магазин	Россия, Москва, Левобережный район, Ленинградское шоссе, 112к4	Общество с ограниченной ответственностью "Столичная торговая компания"	5292 ДПРУ	2007-11-14 04:00:00.0	2015-08-22 04:00:00.0	Действует
9309	Магазин	Россия, Москва, улица Егора Абакумова, 9	Общество с ограниченной ответственностью "К-АССОЛЬ"	668 ДПРУ	2006-05-14 04:00:00.0	2014-05-14 04:00:00.0	Действует
9310	Магазин	Россия, Москва, Инженерная улица, 3	Открытое акционерное общество "Седьмой Континент"	2090 ДТУ	2012-08-20 04:00:00.0	2017-08-20 04:00:00.0	Действует
9311	Кафе	Россия, Москва, Ангарская улица, 39	Общество с ограниченной ответственностью "МИРА"	1212 ДТУ	2011-12-22 04:00:00.0	2016-12-22 04:00:00.0	Действует
9312	Кафе	Россия, Москва, Ярославское шоссе, 144с2	Общество с ограниченной ответственностью Компания "Магистра"	9443 ДПРУ	2009-04-21 04:00:00.0	2014-04-21 04:00:00.0	Аннулирована
9313	Магазин	Россия, Москва, Ангарская улица, 39	Общество с ограниченной ответственностью "АНГАРА"	745 ПРСЗС	2005-06-04 04:00:00.0	2013-06-04 04:00:00.0	Действует
9314	Магазин	Россия, Москва, Широкая улица, 31	Общество с ограниченной ответственностью "БИЛЛА"	42645 ПРИУ	2008-10-24 04:00:00.0	2014-10-07 04:00:00.0	Действует
9315	Кафе	Россия, Москва, Нелидовская улица, 13к1с1	Общество с ограниченной ответственностью "Афина"	1290 ДТУ	2011-12-30 04:00:00.0	2016-12-30 04:00:00.0	Действует
9316	Магазин	Россия, Москва, Левобережный район, Ленинградское шоссе, 68	Открытое акционерное общество "Седьмой Континент"	13170 ДПРУ	2010-12-14 04:00:00.0	2015-12-14 04:00:00.0	Действует
9317	Кафе	Россия, Москва, Левобережный район, Ленинградское шоссе, 68	Общество с ограниченной ответственностью "ТРИАДА ГРУППИНВЕСТ"	141 ДТУ	2011-04-04 04:00:00.0	2014-04-04 04:00:00.0	Действует
9318	Магазин	Россия, Москва, Левобережный район, Ленинградское шоссе, 68	Общество с ограниченной ответственностью "Бордо"	12427 ДПРУ	2010-06-18 04:00:00.0	2015-06-18 04:00:00.0	Действует
9319	Универсам	Россия, Москва, Дубравная улица, 34/29	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	11712 ДПРУ	2010-03-30 04:00:00.0	2015-03-30 04:00:00.0	Действует
9320	Кафе	Россия, Москва, Дубравная улица, 34/29	Общество с ограниченной ответственностью "ТЭЙСТИ ЛЭНД"	8113 ДПРУ	2008-09-25 04:00:00.0	2014-09-25 04:00:00.0	Действует
9321	Бар "Десерт"	Россия, Москва, Дубравная улица, 34/29	Общество с ограниченной ответственностью "Люксор Синемакс"	921 ДТУ	2011-10-11 04:00:00.0	2017-10-11 04:00:00.0	Действует
9322	Бар	Россия, Москва, Дубравная улица, 34/29	Общество с ограниченной ответственностью "Люксор Синемакс"	919 ДТУ	2011-10-11 04:00:00.0	2017-10-11 04:00:00.0	Действует
9323	Ресторан	Россия, Москва, Дубравная улица, 34/29	Общество с ограниченной ответственностью "Ресторанная Объединенная Сеть и Новейшие Технологии Евроамериканского Развития РЕСТОРАНТС"	6335 ДПРУ	2007-12-20 04:00:00.0	2012-12-20 04:00:00.0	Действует
9324	Магазин	Россия, Москва, 3-й Митинский проезд, 7	Общество с ограниченной ответственностью "ПОИСК"	131 ДПРУ	2006-02-08 04:00:00.0	2013-02-08 04:00:00.0	Действует
9325	Кафе	Россия, Москва, Гостиничный проезд, вл7а	Общество с ограниченной ответственностью "Асгард"	10528 ДПРУ	2009-10-02 04:00:00.0	2014-10-02 04:00:00.0	Действует
9326	Гипермаркет "О' КЕЙ"	Россия, Москва, проспект Мира, 211к2	Общество с ограниченной ответственностью "О' КЕЙ"	11268 ДПРУ	2009-12-18 04:00:00.0	2014-12-18 04:00:00.0	Действует
9327	Кафе	Россия, Москва, проспект Мира, 211к2	Общество с ограниченной ответственностью "Аврора Ай Ди Си"	12958 ДПРУ	2010-10-07 04:00:00.0	2015-10-07 04:00:00.0	Действует
9328	Бар "Суши бар"	Россия, Москва, проспект Мира, 211к2	Общество с ограниченной ответственностью "Аврора Ай Ди Си"	12944 ДПРУ	2010-10-07 04:00:00.0	2015-10-07 04:00:00.0	Действует
9329	Кафе №3	Россия, Москва, проспект Мира, 211к2	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	1778 ДТУ	2012-05-12 04:00:00.0	2015-05-12 04:00:00.0	Действует
9330	Бар "VIP бар"	Россия, Москва, проспект Мира, 211к2	Общество с ограниченной ответственностью "Аврора Ай Ди Си"	12959 ДПРУ	2010-10-07 04:00:00.0	2015-10-07 04:00:00.0	Действует
9331	Кафе №1	Россия, Москва, проспект Мира, 211к2	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	1779 ДТУ	2012-05-12 04:00:00.0	2015-05-12 04:00:00.0	Действует
9332	Кафе	Россия, Москва, проспект Мира, 211к2	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	12239 ДПРУ	2010-05-05 04:00:00.0	2013-05-05 04:00:00.0	Действует
9333	Магазин	Россия, Москва, Митинская улица, 40	Общество с ограниченной ответственностью "КАТРАН-Митино"	6804 ДПРУ	2008-03-06 04:00:00.0	2014-03-06 04:00:00.0	Действует
9334	Магазин	Россия, Москва, улица Свободы, 44	Открытое акционерное общество "Седьмой Континент"	1545 ДТУ	2012-04-18 04:00:00.0	2017-04-18 04:00:00.0	Действует
9335	Магазин	Россия, Москва, Туристская улица, 11	Закрытое акционерное общество "Авалон-М"	3814 ДПРУ	2007-01-23 04:00:00.0	2013-01-23 04:00:00.0	Действует
9336	Магазин	Россия, Москва, Туристская улица, 11	Общество с ограниченной ответственностью "АЛЬМИ-М"	11984 ДПРУ	2010-04-02 04:00:00.0	2015-04-02 04:00:00.0	Действует
9337	Магазин	Россия, Москва, Аэродромная улица, 14	Общество с ограниченной ответственностью "Компания РЭСС"	4533 ДПРУ	2007-05-03 04:00:00.0	2013-05-03 04:00:00.0	Действует
9338	Магазин	Россия, Москва, Снежная улица, 4	Общество с ограниченной ответственностью "РАНАЙ"	9194 ДПРУ	2009-03-04 04:00:00.0	2014-03-04 04:00:00.0	Приостановлена
9339	Кафе	Россия, Москва, Светлогорский проезд, 13	Общество с ограниченной ответственностью "Дом отдыха "Братцево"  Союза театральных деятелей Российской Федерации"	538 ДТУ	2011-07-01 04:00:00.0	2014-07-01 04:00:00.0	Действует
9340	Магазин	Россия, Москва, Пятницкое шоссе, 25к1	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	603 ДТУ	2011-07-06 04:00:00.0	2016-07-06 04:00:00.0	Действует
9341	Магазин	Россия, Москва, Онежская улица, 9/4ка	Общество с ограниченной ответственностью "ДИОНИС-К"	11121 ДПРУ	2009-12-02 04:00:00.0	2012-12-02 04:00:00.0	Действует
9342	Магазин	Россия, Москва, Онежская улица, 9/4ка	Общество с ограниченной ответственностью "ГАЛЕРЕЯ-БЛЮЗ"	13509 ДПРУ	2010-12-30 04:00:00.0	2015-12-30 04:00:00.0	Действует
9343	Магазин	Россия, Москва, Митинская улица, 37	Общество с ограниченной ответственностью "Скиф"	10275 ДПРУ	2009-09-04 04:00:00.0	2014-09-04 04:00:00.0	Аннулирована
9344	Магазин	Россия, Москва, улица Свободы, 48с1	Общество с ограниченной ответственностью "Агроаспект"	4873 ДПРУ	2007-06-29 04:00:00.0	2017-06-29 04:00:00.0	Действует
9345	Магазин	Россия, Москва, бульвар Яна Райниса, 25	Общество с ограниченной ответственностью "Виктория Н"	4520 ДПРУ	2007-05-02 04:00:00.0	2013-05-02 04:00:00.0	Действует
9346	Магазин	Россия, Москва, бульвар Яна Райниса, 25	Общество с ограниченной ответственностью "Садко-Л"	11784 ДПРУ	2010-03-12 04:00:00.0	2015-03-12 04:00:00.0	Действует
9347	Магазин	Россия, Москва, Сигнальный проезд, 6а	Закрытое акционерное общество "ТАЙМ-ОНЕД"	11696 ДПРУ	2010-02-19 04:00:00.0	2015-02-19 04:00:00.0	Действует
9348	Ресторан	Россия, Москва, Левобережный район, Ленинградское шоссе, 84	Общество с ограниченной ответственностью "Комбат"	7542 ДПРУ	2008-07-02 04:00:00.0	2013-07-02 04:00:00.0	Действует
9349	Кафе	Россия, Москва, Кронштадтский бульвар, 37г	Общество с ограниченной ответственностью "Фирма Ремонт квартир "Кронштадтский"	11447 ДПРУ	2010-01-02 04:00:00.0	2015-01-02 04:00:00.0	Действует
9350	Магазин	Россия, Москва, улица Хачатуряна, 16	Общество с ограниченной ответственностью "Афродита"	10234 ДПРУ	2009-08-18 04:00:00.0	2014-08-18 04:00:00.0	Действует
9351	Ресторан	Россия, Москва, Планерная улица, 12	Общество с ограниченной ответственностью "Дольче Вита"	401 ДТУ	2011-05-20 04:00:00.0	2014-05-20 04:00:00.0	Действует
9352	Ресторан	Россия, Москва, улица Генерала Белобородова, 16к1	Общество с ограниченной ответственностью "Рэст+"	3212 ДПРУ	2006-12-08 04:00:00.0	2012-12-08 04:00:00.0	Действует
9353	Кафе	Россия, Москва, Вишневая улица, 13	Общество с ограниченной ответственностью "Центр досуга "Вишневая, 13"	2026 ДПРУ	2006-08-25 04:00:00.0	2014-08-25 04:00:00.0	Действует
9354	Кафе	Россия, Москва, Большая Академическая улица, 47с2	Общество с ограниченной ответственностью "Ариозо"	12826 ДПРУ	2010-09-16 04:00:00.0	2015-09-16 04:00:00.0	Действует
9355	Ресторан	Россия, Москва, Большая Академическая улица, 47с2	Общество с ограниченной ответственностью "Ресторанная Объединенная Сеть и Новейшие Технологии Евроамериканского Развития РЕСТОРАНТС"	11847 ДПРУ	2010-03-18 04:00:00.0	2013-03-18 04:00:00.0	Действует
9356	Магазин "Продукты"	Россия, Москва, Сельскохозяйственная улица, 11к1	Общество с ограниченной ответственностью "ИП КОРОБОВА"	11093 ДПРУ	2009-12-01 04:00:00.0	2012-12-01 04:00:00.0	Действует
9357	Магазин	Россия, Москва, улица Генерала Белобородова, 14к1	Открытое акционерное общество "Седьмой Континент"	10538 ДПРУ	2009-10-26 04:00:00.0	2014-10-26 04:00:00.0	Действует
9358	Магазин	Россия, Москва, бульвар Матроса Железняка, 27	Общество с ограниченной ответственностью "Торговая компания САТУРН"	1148 ПРСЗС	2005-12-23 04:00:00.0	2013-12-23 04:00:00.0	Действует
9359	Магазин	Россия, Москва, 3-й Михалковский переулок, 8к2	Общество с ограниченной ответственностью "ГеоПолеСтрой"	8787 ДПРУ	2008-12-25 04:00:00.0	2013-12-25 04:00:00.0	Действует
9360	Магазин	Россия, Москва, улица Генерала Белобородова, 12к1	Закрытое акционерное общество "ДИСКОНТцентр"	1965 ДТУ	2012-07-03 04:00:00.0	2017-07-03 04:00:00.0	Действует
9361	Ресторан	Россия, Москва, Лодочная улица, 4	Общество с ограниченной ответственностью "Чайхана 1"	6196 ДПРУ	2007-12-06 04:00:00.0	2012-12-06 04:00:00.0	Действует
9362	Кафе "Якитория"	Россия, Москва, Пятницкое шоссе, 3	Общество с ограниченной ответственностью "Евро-Стиль"	6896 ДПРУ	2008-03-21 04:00:00.0	2013-03-21 04:00:00.0	Действует
9363	Универсам	Россия, Москва, Пятницкое шоссе, 3	Закрытое акционерное общество "СПАР  РИТЭЙЛ"	534 ДТУ	2011-06-21 04:00:00.0	2016-06-21 04:00:00.0	Действует
9364	Магазин	Россия, Москва, улица Генерала Белобородова, 17	Общество с ограниченной ответственностью "БИЛЛА"	42891 ПРИУ	2008-10-28 04:00:00.0	2014-11-30 04:00:00.0	Действует
9365	Магазин	Россия, Москва, Будайский проезд, 7к1	Общество с ограниченной ответственностью "Золотой гребешок"	124 ДТУ	2011-03-31 04:00:00.0	2014-03-31 04:00:00.0	Действует
9366	Магазин	Россия, Москва, Михалковская улица, 1/51	Закрытое акционерное общество "ТАНДЕР"	13121 ДПРУ	2010-11-19 04:00:00.0	2015-11-19 04:00:00.0	Действует
