№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
1902	Ресторан	Россия, Москва, улица Вавилова, 81	Общество с ограниченной ответственностью "Сафари экс"	2636 ДТУ	2012-11-01 04:00:00.0	2015-11-01 04:00:00.0	Действует
1903	Магазин	Россия, Москва, проспект Вернадского, 27к1	Общество с ограниченной ответственностью "ВИНАРИ"	1195 ДТУ	2011-12-16 04:00:00.0	2016-12-16 04:00:00.0	Действует
1904	Магазин	Россия, Москва, Кленовый бульвар, 16/1	Общество с ограниченной ответственностью "СЕФЕР"	10501 ДПРУ	2009-10-09 04:00:00.0	2014-10-09 04:00:00.0	Действует
1905	Магазин	Россия, Москва, улица Марии Ульяновой, вл15с1	Общество с ограниченной ответственностью "ЛОТЕКС"	13058 ДПРУ	2010-11-29 04:00:00.0	2013-11-29 04:00:00.0	Действует
1906	Магазин	Россия, Москва, Нагорная улица, 12к1	Общество с ограниченной ответственностью "ЮНИГРАНД-М"	7673 ДПРУ	2008-12-26 04:00:00.0	2013-07-25 04:00:00.0	Действует
1907	Магазин	Россия, Москва, Профсоюзная улица, 22/10к1	Общество с ограниченной ответственностью фирма "АДА"	3677 ДПРУ	2007-01-12 04:00:00.0	2015-01-12 04:00:00.0	Действует
1908	Универсам	Россия, Москва, улица Удальцова, 85к5	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	3357 ДПРУ	2007-01-15 04:00:00.0	2017-01-15 04:00:00.0	Действует
1909	Магазин	Россия, Москва, Большая Очаковская улица, 21	Закрытое акционерное общество "Стофф"	713 ПРЗЮЗ	2008-07-11 04:00:00.0	2013-03-31 04:00:00.0	Действует
1910	Магазин	Россия, Москва, Ставропольская улица, 62	Общество с ограниченной ответственностью "ВОЛМИ Н"	3865 ДПРУ	2007-01-26 04:00:00.0	2015-01-26 04:00:00.0	Действует
1911	Магазин	Россия, Москва, Краснодонская улица, 12	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	728 ПРЮВЮ	2005-02-25 04:00:00.0	2013-02-25 04:00:00.0	Приостановлена
1912	Магазин	Россия, Москва, Ставропольская улица, 38/2	Закрытое акционерное общество "НАМАНГАН"	11570 ДПРУ	2010-01-19 04:00:00.0	2015-01-19 04:00:00.0	Действует
1913	Ресторан	Россия, Москва, Ставропольская улица, 38/2	Закрытое акционерное общество "НАМАНГАН"	11568 ДПРУ	2010-01-19 04:00:00.0	2015-01-19 04:00:00.0	Действует
1914	Магазин	Россия, Москва, Нагатинская набережная, 12к4с2	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	2171 ДПРУ	2006-09-08 04:00:00.0	2016-09-08 04:00:00.0	Действует
1915	Магазин "Продукты"	Россия, Москва, Озерная улица, 10	Общество с ограниченной ответственностью "АСК-ПРОФИТ"	13130 ДПРУ	2010-11-11 04:00:00.0	2012-11-11 04:00:00.0	Действует
1916	Кафе	Россия, Москва, улица Дмитрия Ульянова, 42с1	Общество с ограниченной ответственностью "КВАРТЕТ"	2529 ДТУ	2012-10-09 04:00:00.0	2017-10-09 04:00:00.0	Действует
1917	Магазин	Россия, Москва, поселок Некрасовка, Некрасовская улица, 9	Общество с ограниченной ответственностью "АКТОР"	2105 ДТУ	2012-08-02 04:00:00.0	2017-08-02 04:00:00.0	Действует
1918	Магазин	Россия, Москва, улица Марии Ульяновой, 10	Общество с ограниченной ответственностью "Котэкс-Торг"	7072 ДПРУ	2010-09-03 04:00:00.0	2013-04-16 04:00:00.0	Действует
1919	Кафе "Якитория"	Россия, Москва, улица Коштоянца, 2к1	Общество с ограниченной ответственностью "ЛИРАН ЛИНК"	939 ПРЗЮЗ	2009-07-14 04:00:00.0	2013-09-30 04:00:00.0	Действует
1920	Ресторан	Россия, Москва, Привольная улица, 65/32	Общество с ограниченной ответственностью "ВОЯЖ"	11245 ДПРУ	2010-05-07 04:00:00.0	2012-12-18 04:00:00.0	Действует
1921	Кафе	Россия, Москва, Привольная улица, 65/32	Общество с ограниченной ответственностью "ЕвроТех"	5250 ДПРУ	2007-08-17 04:00:00.0	2013-08-17 04:00:00.0	Действует
1922	Магазин	Россия, Москва, Ставропольская улица, 50/22	Общество с ограниченной ответственностью "Отдохни-77"	8717 ДПРУ	2008-12-19 04:00:00.0	2013-12-19 04:00:00.0	Действует
1923	Магазин	Россия, Москва, улица Марии Ульяновой, 19	Общество с ограниченной ответственностью "Фирма "ВАГРАН"	13708 ДПРУ	2011-02-17 04:00:00.0	2016-02-17 04:00:00.0	Действует
1924	Магазин	Россия, Москва, Профсоюзная улица, 20/9	Общество с ограниченной ответственностью "ПАКС"	2246 ДПРУ	2006-09-12 04:00:00.0	2014-09-12 04:00:00.0	Действует
1925	Магазин	Россия, Москва, проспект Вернадского, 29	Общество с ограниченной ответственностью "Инвестпроект"	1442 ДТУ	2012-02-17 04:00:00.0	2017-02-17 04:00:00.0	Действует
1926	Магазин	Россия, Москва, улица Пржевальского, 5	Общество с ограниченной ответственностью "РУСА"	4998 ДПРУ	2007-07-13 04:00:00.0	2017-07-13 04:00:00.0	Действует
1927	Магазин	Россия, Москва, улица Удальцова, 32с2	Открытое акционерное общество "Седьмой Континент"	853 ДТУ	2011-10-06 04:00:00.0	2016-10-06 04:00:00.0	Действует
1928	Универсам	Россия, Москва, улица Генерала Кузнецова, 25к1	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	5003 ДПРУ	2007-07-17 04:00:00.0	2017-07-17 04:00:00.0	Действует
1929	Ресторан	Россия, Москва, улица Кржижановского, 6	Общество с ограниченной ответственностью "ИНРЕСТ"	8610 ДПРУ	2008-12-11 04:00:00.0	2013-12-11 04:00:00.0	Действует
1930	Магазин	Россия, Москва, улица Пржевальского, 2	Общество с ограниченной ответственностью "СтройИнвест"	13514 ДПРУ	2010-12-31 04:00:00.0	2012-12-31 04:00:00.0	Действует
1931	Ресторан	Россия, Москва, Привольная улица, 63	Общество с ограниченной ответственностью "Парус"	644 ДТУ	2011-07-08 04:00:00.0	2013-07-08 04:00:00.0	Действует
1932	Ресторан	Россия, Москва, Привольная улица, 63	Общество с ограниченной ответственностью "Время есть"	2020 ДТУ	2012-07-19 04:00:00.0	2015-07-19 04:00:00.0	Действует
1933	Универсам	Россия, Москва, Коломенская улица, 7	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12042 ДПРУ	2010-04-09 04:00:00.0	2015-04-09 04:00:00.0	Действует
1934	Магазин	Россия, Москва, улица Панферова, вл7с1	Общество с ограниченной ответственностью "СТАРТ"	10369 ДПРУ	2009-09-09 04:00:00.0	2014-09-09 04:00:00.0	Действует
1935	Магазин	Россия, Москва, улица Дмитрия Ульянова, 43к3	Общество с ограниченной ответственностью "Новый Импульс - 50"	2656 ДПРУ	2006-10-20 04:00:00.0	2013-10-20 04:00:00.0	Действует
1936	Магазин	Россия, Москва, Судостроительная улица, 23к1	Общество с ограниченной ответственностью "СВЕНТАНА-М"	11065 ДПРУ	2009-12-11 04:00:00.0	2012-12-11 04:00:00.0	Действует
1937	Магазин	Россия, Москва, Судостроительная улица, 23к1	Общество с ограниченной ответственностью "КЛАМИДАС"	12524 ДПРУ	2010-07-21 04:00:00.0	2013-07-21 04:00:00.0	Действует
1938	Магазин	Россия, Москва, Большая Черемушкинская улица, 20к1	Общество с ограниченной ответственностью "Интраском"	13377 ДПРУ	2010-12-17 04:00:00.0	2015-12-17 04:00:00.0	Действует
1939	Кафе	Россия, Москва, 2-й Очаковский переулок, 4	Общество с ограниченной ответственностью "МАК НАТ"	10940 ДПРУ	2009-11-26 04:00:00.0	2014-11-26 04:00:00.0	Действует
1940	Магазин	Россия, Москва, улица Гурьянова, 39с2	Общество с ограниченной ответственностью "САБАЕЛ"	11122 ДПРУ	2009-12-01 04:00:00.0	2014-12-01 04:00:00.0	Действует
1941	Ресторан "Планета Суши"	Россия, Москва, улица Удальцова, 40а	Общество с ограниченной ответственностью "Ресторанная Объединенная Сеть и Новейшие Технологии Евроамериканского Развития РЕСТОРАНТС"	773 ДТУ	2011-08-25 04:00:00.0	2014-08-25 04:00:00.0	Действует
1942	Кафе	Россия, Москва, улица Удальцова, 40а	Общество с ограниченной ответственностью "Леклер Кафе-Удальцова"	12862 ДПРУ	2010-09-21 04:00:00.0	2013-09-21 04:00:00.0	Действует
1943	Ресторан	Россия, Москва, улица Удальцова, 40а	Общество с ограниченной ответственностью "Ресторанная Объединенная Сеть и Новейшие Технологии Евроамериканского Развития РЕСТОРАНТС"	828 ДТУ	2011-08-25 04:00:00.0	2014-08-25 04:00:00.0	Действует
1944	Магазин	Россия, Москва, Спортивный проезд, 5	Закрытое акционерное общество "ТАНДЕР"	796 ДТУ	2011-08-16 04:00:00.0	2016-08-16 04:00:00.0	Действует
1945	Магазин	Россия, Москва, Судостроительная улица, 31к1	Общество с ограниченной ответственностью "БОРК-С" "BORC-S"	5068 ДПРУ	2007-07-25 04:00:00.0	2017-08-03 04:00:00.0	Действует
1946	Магазин	Россия, Москва, Судостроительная улица, 31к1	Общество с ограниченной ответственностью "ЭЛИК"	10491 ДПРУ	2009-09-23 04:00:00.0	2014-09-23 04:00:00.0	Действует
1947	Магазин	Россия, Москва, Судостроительная улица, 32к1	Общество с ограниченной ответственностью "Арома"	8520 ДПРУ	2008-11-28 04:00:00.0	2013-11-28 04:00:00.0	Действует
1948	Кафе	Россия, Московская область, Одинцовский район, Одинцово, улица Маршала Жукова, 42	Общество с ограниченной ответственностью "Технология гостеприимства"	12503 ДПРУ	2010-07-20 04:00:00.0	2015-07-20 04:00:00.0	Действует
1949	Магазин	Россия, Москва, Привольная улица, 57к1	Общество с ограниченной ответственностью "ЕТД и Ко"	12728 ДПРУ	2010-08-25 04:00:00.0	2013-08-25 04:00:00.0	Действует
1950	Магазин	Россия, Москва, Ленинский проспект, 81/2	Общество с ограниченной ответственностью "Съестная лавка, 81"	9790 ДПРУ	2009-06-12 04:00:00.0	2014-06-12 04:00:00.0	Действует
1951	Магазин	Россия, Москва, Озерная улица, 2/12	Общество с ограниченной ответственностью "НАДЕЖДА"	9046 ДПРУ	2009-02-09 04:00:00.0	2015-02-17 04:00:00.0	Действует
1952	Магазин "Продукты"	Россия, Москва, поселок Некрасовка, 1-я Вольская улица, 9к1	Общество с ограниченной ответственностью "МИКРИДАН"	1052 ПРЮВЮ	2005-07-26 04:00:00.0	2015-07-26 04:00:00.0	Действует
1953	Магазин "Продукты"	Россия, Москва, Кубанская улица, 14с1	Общество с ограниченной ответственностью "ГОРГУД"	2169 ДПРУ	2006-09-06 04:00:00.0	2014-09-06 04:00:00.0	Действует
1954	Ресторан	Россия, Москва, улица Удальцова, 42	Общество с ограниченной ответственностью "ЦС-Фуд Групп"	1605 ДТУ	2012-04-05 04:00:00.0	2017-04-05 04:00:00.0	Действует
1955	Ресторан	Россия, Москва, улица Удальцова, 42	Общество с ограниченной ответственностью "ОРСЕТТО"	6768 ДПРУ	2008-02-28 04:00:00.0	2013-02-28 04:00:00.0	Аннулирована
1956	Ресторан	Россия, Москва, улица Удальцова, 42	Общество с ограниченной ответственностью "КОМРАС"	10936 ДПРУ	2009-11-12 04:00:00.0	2014-11-12 04:00:00.0	Действует
1957	Кафе	Россия, Москва, улица Авиаконструктора Миля, 8к1	Общество с ограниченной ответственностью ООО"Питстоп"	6128 ДПРУ	2007-11-28 04:00:00.0	2012-11-28 04:00:00.0	Действует
1958	Универсам	Россия, Москва, поселок Некрасовка, 1-я Вольская улица, 19	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	2092 ДТУ	2012-08-01 04:00:00.0	2017-08-01 04:00:00.0	Действует
1959	Магазин	Россия, Москва, Нагатинская набережная, 34	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	588 ДТУ	2011-07-14 04:00:00.0	2016-07-14 04:00:00.0	Действует
1960	Магазин	Россия, Москва, Нагатинская набережная, 34	Общество с ограниченной ответственностью "АРНЕДО"	6145 ДПРУ	2007-11-28 04:00:00.0	2012-11-28 04:00:00.0	Действует
1961	Магазин	Россия, Москва, Судостроительная улица, 41	Общество с ограниченной ответственностью "ДИАНА"	1834 ДТУ	2012-06-01 04:00:00.0	2017-06-01 04:00:00.0	Действует
1962	Магазин	Россия, Москва, улица Полбина, 30с2	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	108 ДТУ	2011-03-31 04:00:00.0	2016-03-31 04:00:00.0	Действует
1963	Магазин	Россия, Москва, улица Полбина, 30с2	Общество с ограниченной ответственностью "Виктория - Московия"	11491 ДПРУ	2010-01-21 04:00:00.0	2015-01-21 04:00:00.0	Действует
1964	Кафе	Россия, Москва, улица Полбина, 30с2	Общество с ограниченной ответственностью Фирма "Роксолана"	2500 ДПРУ	2006-10-30 04:00:00.0	2014-10-30 04:00:00.0	Действует
