№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
1610	Лифты	Ленинский просп., д.102	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1611	Лифты	Мосфильмовский 2-й пер., д.21	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1612	Лифты	Ленинский просп. д.90	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1613	Лифты	Ленинский просп. д.90	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1614	Лифты	Ленинский просп. д.86	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1615	Лифты	Ленинский просп. д.86	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1616	Лифты	Крупской ул. д.8 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1617	Лифты	Фруктовая ул., д.3а	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1618	Лифты	Академика Бакулева ул. д.6, к.1	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
1619	Лифты	Академика Бакулева ул. д.6, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1620	Лифты	Шокальского пр., д.59, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1621	Лифты	Широкая ул., д.18	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1622	Лифты	Студёный пр., д.19	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1623	Лифты	Студёный пр., д.38, к.2	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
1624	Капитальный ремонт	Академика Павлова ул., д.27, к.2	2011-11-29 04:00:00.0	2012-12-31 04:00:00.0
1625	Подъемные платформы и работы по ММГН	Крылатская ул., д.31, к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1626	Лифты	Осенний б-р, д.10, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1627	Лифты	Осенний б-р, д.6	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
1628	Подъемные платформы и работы по ММГН	Осенний б-р, д.16, к.2	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1629	Подъемные платформы и работы по ММГН	Осенний б-р, д.16, к.2	2012-03-21 04:00:00.0	2012-12-31 04:00:00.0
1630	Подъемные платформы и работы по ММГН	Крылатские Холмы ул., д.41, к.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
1631	Лифты	Барвихинская ул., д.8, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1632	Лифты	Говорова ул., д.9	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1633	Подъемные платформы и работы по ММГН	Беловежская ул., д.39, к.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
1634	Лифты	Наро-Фоминская ул., д.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1635	Лифты	Наро-Фоминская ул., д.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1636	Лифты	Ореховый б-р, д.37, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1637	Лифты	Первомайская Нижняя ул., д.59	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
1638	Лифты	Первомайская Нижняя ул., д.59	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1639	Утепление фасадов	Зеленоград г., к.424а	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1640	Утепление фасадов	Зеленоград г., к.424б	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1641	Утепление фасадов	Зеленоград г., к.424в	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1642	Утепление фасадов	Зеленоград г., к.701	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1643	Утепление фасадов	Зеленоград г., к.703	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1644	Утепление фасадов	Зеленоград г., к.702	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1645	Утепление фасадов	Зеленоград г., к.704	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1646	Утепление фасадов	Зеленоград г., к.705	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1647	Утепление фасадов	Зеленоград г., к.901	2011-11-25 04:00:00.0	2012-12-31 04:00:00.0
1648	Подъемные платформы и работы по ММГН	Зеленоград г., к.924	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
1649	Лифты	Маршала Малиновского ул., д.6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1650	Лифты	Озёрная ул., д.13	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1651	Лифты	Мичуринский Проспект, Олимпийская Деревня ул., д.18	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1652	Лифты	Нежинская ул., д.21	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1653	Лифты	Нежинская ул., д.21	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1654	Лифты	Нежинская ул., д.19, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1655	Лифты	Нежинская ул., д.19, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1656	Лифты	Академика Анохина ул., д.6, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1657	Лифты	Веерная ул., д.7, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1658	Лифты	Веерная ул., д.7, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1659	Лифты	Матвеевская ул., д.6	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
1660	Лифты	Славянский б-р, д.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1661	Подъемные платформы и работы по ММГН	Лобачевского ул., д.100, к.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
