№ строки	Название	Адрес	Число парковочных мест	Время работы	Иное
128	Большая Черкизовская, д. 3, корп. 1	Большая Черкизовская, д. 3, корп. 1	5.00000000000	Круглосуточно	"
129	Семеновская площадь, д.1	Семеновская площадь, д.1	7.00000000000	Круглосуточно	"
130	Щелковское ш., д. 100	Щелковское ш., д. 100	5.00000000000	Круглосуточно	"
131	Измайловское ш., д. 71, стр. 16	Измайловское ш., д. 71, стр. 16	4.00000000000	Круглосуточно	"
132	Первомайская ул., д.106-110	Первомайская ул., д.106-110	5.00000000000	Круглосуточно	"
133	Городецкая ул., д. 5А	Городецкая ул., д. 5А	4.00000000000	Круглосуточно	"
134	Домодедовская, д.12	Домодедовская, д.12	4.00000000000	круглосуточно	"
135	Боровское шоссе, д.51. стр.1	Боровское шоссе, д.51. стр.1	5.00000000000	Круглосуточно	"
136	Строгинский бул., д.12	Строгинский бул., д.12	4.00000000000	Круглосуточно	"
137	Тушинская ул., д.17	Тушинская ул., д.17	4.00000000000	Круглосуточно	"
138	Габричевского ул., д.10	Габричевского ул., д.10	2.00000000000	Круглосуточно	"
139	Юности, д. 5	Юности, д. 5	4.00000000000	Круглосуточно	"
140	Преображенская пл., д. 11	Преображенская пл., д. 11	2.00000000000	Круглосуточно	"
141	Хорошевское шоссе, д.39	Хорошевское шоссе, д.39	4.00000000000	Круглосуточно	"
142	Хорошевское шоссе, д.22	Хорошевское шоссе, д.22	4.00000000000	Круглосуточно	"
143	Ленинградский проспект, д.37, к.6	Ленинградский проспект, д.37, к.6	4.00000000000	Круглосуточно	"
144	Фестивальная улица, д.7	Фестивальная улица, д.7	4.00000000000	Круглосуточно	"
145	Зеленый проспект, д. 21	Зеленый проспект, д. 21	4.00000000000	Круглосуточно	"
146	Яблочкова ул.,19	Яблочкова ул.,19	3.00000000000	Круглосуточно	"
147	Большая Семеновская, д. 26, стр. 2	Большая Семеновская, д. 26, стр. 2	6.00000000000	Круглосуточно	"
148	Проспект Буденного, д. 39, корп. 1	Проспект Буденного, д. 39, корп. 1	5.00000000000	Круглосуточно	"
149	Проспект Буденного, д. 53	Проспект Буденного, д. 53	5.00000000000	Круглосуточно	"
150	Сокольническая пл.	Сокольническая пл.	5.00000000000	Круглосуточно	"
151	Рижская пл.,3	Рижская пл.,3	4.00000000000	Круглосуточно	"
152	Костромская ул.,17	Костромская ул.,17	4.00000000000	Круглосуточно	"
153	Солнцевский проспект, 4	Солнцевский проспект, 4	3.00000000000	Круглосуточно	"
154	Народного Ополчения, д.46, корп.1	Народного Ополчения, д.46, корп.1	4.00000000000	Круглосуточно	"
155	Героев Панфиловцев ул., 1А	Героев Панфиловцев ул., 1А	3.00000000000	Круглосуточно	"
156	Хорошевское шоссе, д.1	Хорошевское шоссе, д.1	4.00000000000	Круглосуточно	"
157	Хорошевское шоссе, д.37	Хорошевское шоссе, д.37	2.00000000000	Круглосуточно	"
158	Зеленый проспект, д. 22	Зеленый проспект, д. 22	3.00000000000	Круглосуточно	"
159	Коровинское шоссе, 23	Коровинское шоссе, 23	3.00000000000	Круглосуточно	"
