name	url	id	source	theme
Научно-практические медицинские центры, учредителем которых является город Москва	http://data.mos.ru/datasets/513	513	Департамент здравоохранения города Москвы	Здравоохранение
Научно-техническое направление	http://data.mos.ru/datasets/553	553	Департамент образования города Москвы	Образование
Начальная школа - детский сад	http://data.mos.ru/datasets/555	555	Департамент образования города Москвы	Образование
Начальная школа - детский сад компенсирующего вида	http://data.mos.ru/datasets/554	554	Департамент образования города Москвы	Образование
Нежилые помещения, зарегистрированные в собственность г. Москвы	http://data.mos.ru/datasets/523	523	Департамент городского имущества города Москвы	Земля и имущество
Нестационарные торговые объекты	http://data.mos.ru/datasets/619	619	Департамент торговли и услуг города Москвы	Торговля
Образовательные учреждения города Москвы, реализующие программы среднего профессионального образования. Техникумы	http://data.mos.ru/datasets/556	556	Департамент образования города Москвы	Образование
Объекты гаражного назначения по программе &#171;Народный гараж&#187;	http://data.mos.ru/datasets/588	588	Комитет города Москвы по обеспечению реализации инвестиционных проектов в строительстве и контролю в области долевого строительства	Дороги и транспорт
Объекты инфраструктуры приспособленные для инвалидов	http://data.mos.ru/datasets/599	599	Департамент социальной защиты населения города Москвы	Социальная среда
Объекты культурного наследия и Выявленные объекты культурного наследия	http://data.mos.ru/datasets/530	530	Департамент культурного наследия города Москвы	Культура
Объекты ритуального обслуживания	http://data.mos.ru/datasets/607	607	Департамент торговли и услуг города Москвы	Социальная среда
Объекты розничной торговли и общественного питания, имеющие лицензию на розничную продажу алкогольной продукции с указанием срока ее действия	http://data.mos.ru/datasets/586	586	Департамент торговли и услуг города Москвы	Торговля
Органы ЗАГС Москвы	http://data.mos.ru/datasets/589	589	Управление записи актов гражданского состояния города Москвы	Государственные услуги
Остановки НГПТ	http://data.mos.ru/datasets/752	752	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Отделы трудоустройства	http://data.mos.ru/datasets/608	608	Департамент труда и занятости населения города Москвы	Трудоустройство
Пансионаты для ветеранов	http://data.mos.ru/datasets/600	600	Департамент социальной защиты населения города Москвы	Социальная среда
Парки (включая парки не подведомственные)	http://data.mos.ru/datasets/494	494	Департамент культуры города Москвы	Отдых
Парковки такси	http://data.mos.ru/datasets/621	621	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Паспортизация квартир в домах-новостройках, строительство которых выполнено за счет городского бюджета и по инвестиционным проектам	http://data.mos.ru/datasets/520	520	Департамент жилищной политики и жилищного фонда города Москвы	Земля и имущество
Перехватывающие парковки	http://data.mos.ru/datasets/622	622	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Перечень выданных субсидий и льгот субъектам малого и среднего предпринимательства	http://data.mos.ru/datasets/781	781	Департамент науки, промышленной политики и предпринимательства города Москвы	Предпринимательство
Перечень выданных субсидий организациям промышленности, науки и инновационной инфраструктуры города	http://data.mos.ru/datasets/591	591	Департамент науки, промышленной политики и предпринимательства города Москвы	Предпринимательство
Перечень приоритетных продуктов и технологий, используемых в отраслях городского хозяйства	http://data.mos.ru/datasets/593	593	Департамент науки, промышленной политики и предпринимательства города Москвы	Предпринимательство
Перечень приютов для бродячих животных (включая приюты префектур АО)	http://data.mos.ru/datasets/744	744	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	Справочная информация
Пешеходные зоны	http://data.mos.ru/datasets/920	920	Департамент физической культуры и спорта города Москвы	Улично-дорожная сеть
Пешеходные тоннели и фонтаны	http://data.mos.ru/datasets/745	745	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	Жилищно-коммунальное хозяйство
