dtfrom	dtto	zones	ind_id	ind_name	code	regname	value
19.08.2013	25.08.2013	3	1121	Остаточный хлор	22	Район Аэропорт 	0.24
19.08.2013	25.08.2013	3	1200	Запах при 60C	22	Район Аэропорт 	1-2
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	22	Район Аэропорт 	1
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	22	Район Аэропорт 	Тинистый
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	22	Район Аэропорт 	отс.
19.08.2013	25.08.2013	1	1000	Неизвестно (1000)	24	Район Беговой 	Хлорно-тинистый
19.08.2013	25.08.2013	1	1001	Неизвестно (1001)	24	Район Беговой 	Хлорно-тинистый
19.08.2013	25.08.2013	1	1002	Запах при 20C	24	Район Беговой 	1
19.08.2013	25.08.2013	1	1003	Неизвестно (1003)	24	Район Беговой 	21.8
19.08.2013	25.08.2013	1	1004	Цветность	24	Район Беговой 	7
19.08.2013	25.08.2013	1	1005	Мутность	24	Район Беговой 	0.47
19.08.2013	25.08.2013	1	1006	Водородный показатель (pH)	24	Район Беговой 	7.3
19.08.2013	25.08.2013	1	1013	Железо общее	24	Район Беговой 	<0.05
19.08.2013	25.08.2013	1	1050	Термотолерантные колиформные бактерии (ТКБ)	24	Район Беговой 	отс.
19.08.2013	25.08.2013	1	1053	Общее микробное число (ОМЧ)	24	Район Беговой 	отс.
19.08.2013	25.08.2013	1	1121	Остаточный хлор	24	Район Беговой 	0.52
19.08.2013	25.08.2013	1	1200	Запах при 60C	24	Район Беговой 	1-2
19.08.2013	25.08.2013	1	5147	Неизвестно (5147)	24	Район Беговой 	1
19.08.2013	25.08.2013	1	5148	Неизвестно (5148)	24	Район Беговой 	Хлорно-тинистый
19.08.2013	25.08.2013	1	5501	Общие колиформные бактерии (ОКБ)	24	Район Беговой 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	12	Бескудниковский район 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	12	Бескудниковский район 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1002	Запах при 20C	12	Бескудниковский район 	1
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	12	Бескудниковский район 	19.7
19.08.2013	25.08.2013	3	1004	Цветность	12	Бескудниковский район 	11
19.08.2013	25.08.2013	3	1005	Мутность	12	Бескудниковский район 	0.39
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	12	Бескудниковский район 	7.2
19.08.2013	25.08.2013	3	1013	Железо общее	12	Бескудниковский район 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	12	Бескудниковский район 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	12	Бескудниковский район 	отс.
19.08.2013	25.08.2013	3	1121	Остаточный хлор	12	Бескудниковский район 	0.40
19.08.2013	25.08.2013	3	1200	Запах при 60C	12	Бескудниковский район 	2
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	12	Бескудниковский район 	1
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	12	Бескудниковский район 	Хлорно-тинистый
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	12	Бескудниковский район 	отс.
19.08.2013	25.08.2013	1|3	1000	Неизвестно (1000)	20	Войковский район 	Хлорно-тинистый
19.08.2013	25.08.2013	1|3	1001	Неизвестно (1001)	20	Войковский район 	Хлорно-тинистый
19.08.2013	25.08.2013	1|3	1002	Запах при 20C	20	Войковский район 	1
19.08.2013	25.08.2013	1|3	1003	Неизвестно (1003)	20	Войковский район 	20.6
19.08.2013	25.08.2013	1|3	1004	Цветность	20	Войковский район 	8
19.08.2013	25.08.2013	1|3	1005	Мутность	20	Войковский район 	<0.30
19.08.2013	25.08.2013	1|3	1006	Водородный показатель (pH)	20	Войковский район 	7.6
19.08.2013	25.08.2013	1|3	1013	Железо общее	20	Войковский район 	<0.05
19.08.2013	25.08.2013	1|3	1050	Термотолерантные колиформные бактерии (ТКБ)	20	Войковский район 	отс.
19.08.2013	25.08.2013	1|3	1053	Общее микробное число (ОМЧ)	20	Войковский район 	отс.
19.08.2013	25.08.2013	1|3	1121	Остаточный хлор	20	Войковский район 	0.43
19.08.2013	25.08.2013	1|3	1200	Запах при 60C	20	Войковский район 	1-2
19.08.2013	25.08.2013	1|3	5147	Неизвестно (5147)	20	Войковский район 	1
19.08.2013	25.08.2013	1|3	5148	Неизвестно (5148)	20	Войковский район 	Хлорно-тинистый
19.08.2013	25.08.2013	1|3	5501	Общие колиформные бактерии (ОКБ)	20	Войковский район 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	18	Головинский район 	Тинистый
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	18	Головинский район 	Тинистый
19.08.2013	25.08.2013	3	1002	Запах при 20C	18	Головинский район 	1
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	18	Головинский район 	19.5
19.08.2013	25.08.2013	3	1004	Цветность	18	Головинский район 	11
19.08.2013	25.08.2013	3	1005	Мутность	18	Головинский район 	<0.30
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	18	Головинский район 	7.2
19.08.2013	25.08.2013	3	1013	Железо общее	18	Головинский район 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	18	Головинский район 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	18	Головинский район 	отс.
19.08.2013	25.08.2013	3	1121	Остаточный хлор	18	Головинский район 	0.49
19.08.2013	25.08.2013	3	1200	Запах при 60C	18	Головинский район 	1
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	18	Головинский район 	1
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	18	Головинский район 	Тинистый
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	18	Головинский район 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	11	Район Восточное Дегунино 	Тинистый
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	11	Район Восточное Дегунино 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1002	Запах при 20C	11	Район Восточное Дегунино 	2
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	11	Район Восточное Дегунино 	20.3
19.08.2013	25.08.2013	3	1004	Цветность	11	Район Восточное Дегунино 	11
19.08.2013	25.08.2013	3	1005	Мутность	11	Район Восточное Дегунино 	<0.30
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	11	Район Восточное Дегунино 	7.0
19.08.2013	25.08.2013	3	1013	Железо общее	11	Район Восточное Дегунино 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	11	Район Восточное Дегунино 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	11	Район Восточное Дегунино 	отс.
19.08.2013	25.08.2013	3	1121	Остаточный хлор	11	Район Восточное Дегунино 	0.51
19.08.2013	25.08.2013	3	1200	Запах при 60C	11	Район Восточное Дегунино 	1
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	11	Район Восточное Дегунино 	2
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	11	Район Восточное Дегунино 	Тинистый
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	11	Район Восточное Дегунино 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	14	Район Западное Дегунино 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	14	Район Западное Дегунино 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1002	Запах при 20C	14	Район Западное Дегунино 	1
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	14	Район Западное Дегунино 	19.5
19.08.2013	25.08.2013	3	1004	Цветность	14	Район Западное Дегунино 	13
19.08.2013	25.08.2013	3	1005	Мутность	14	Район Западное Дегунино 	0.38
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	14	Район Западное Дегунино 	7.2
19.08.2013	25.08.2013	3	1013	Железо общее	14	Район Западное Дегунино 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	14	Район Западное Дегунино 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	14	Район Западное Дегунино 	отс.
19.08.2013	25.08.2013	3	1121	Остаточный хлор	14	Район Западное Дегунино 	0.56
19.08.2013	25.08.2013	3	1200	Запах при 60C	14	Район Западное Дегунино 	1
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	14	Район Западное Дегунино 	1
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	14	Район Западное Дегунино 	Хлорно-тинистый
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	14	Район Западное Дегунино 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	13	Дмитровский район 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	13	Дмитровский район 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1002	Запах при 20C	13	Дмитровский район 	1
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	13	Дмитровский район 	17.3
19.08.2013	25.08.2013	3	1004	Цветность	13	Дмитровский район 	14
19.08.2013	25.08.2013	3	1005	Мутность	13	Дмитровский район 	0.69
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	13	Дмитровский район 	7.4
19.08.2013	25.08.2013	3	1013	Железо общее	13	Дмитровский район 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	13	Дмитровский район 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	13	Дмитровский район 	отс.
19.08.2013	25.08.2013	3	1121	Остаточный хлор	13	Дмитровский район 	0.58
19.08.2013	25.08.2013	3	1200	Запах при 60C	13	Дмитровский район 	1
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	13	Дмитровский район 	1
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	13	Дмитровский район 	Хлорно-тинистый
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	13	Дмитровский район 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	19	Район Коптево 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	19	Район Коптево 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1002	Запах при 20C	19	Район Коптево 	1
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	19	Район Коптево 	20.0
19.08.2013	25.08.2013	3	1004	Цветность	19	Район Коптево 	12
19.08.2013	25.08.2013	3	1005	Мутность	19	Район Коптево 	<0.30
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	19	Район Коптево 	7.2
19.08.2013	25.08.2013	3	1013	Железо общее	19	Район Коптево 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	19	Район Коптево 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	19	Район Коптево 	отс.
19.08.2013	25.08.2013	3	1121	Остаточный хлор	19	Район Коптево 	0.84
19.08.2013	25.08.2013	3	1200	Запах при 60C	19	Район Коптево 	1-2
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	19	Район Коптево 	1
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	19	Район Коптево 	Хлорно-тинистый
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	19	Район Коптево 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	17	Район Левобережный 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	17	Район Левобережный 	Хлорно-тинистый
19.08.2013	25.08.2013	3	1002	Запах при 20C	17	Район Левобережный 	1
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	17	Район Левобережный 	19.6
19.08.2013	25.08.2013	3	1004	Цветность	17	Район Левобережный 	8
19.08.2013	25.08.2013	3	1005	Мутность	17	Район Левобережный 	<0.30
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	17	Район Левобережный 	7.3
19.08.2013	25.08.2013	3	1013	Железо общее	17	Район Левобережный 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	17	Район Левобережный 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	17	Район Левобережный 	отс.
19.08.2013	25.08.2013	3	1121	Остаточный хлор	17	Район Левобережный 	0.46
19.08.2013	25.08.2013	3	1200	Запах при 60C	17	Район Левобережный 	1
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	17	Район Левобережный 	1
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	17	Район Левобережный 	Хлорно-тинистый
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	17	Район Левобережный 	отс.
19.08.2013	25.08.2013	3	1000	Неизвестно (1000)	27	Молжаниновский район 	Хлорный
19.08.2013	25.08.2013	3	1001	Неизвестно (1001)	27	Молжаниновский район 	Хлорный
19.08.2013	25.08.2013	3	1002	Запах при 20C	27	Молжаниновский район 	1
19.08.2013	25.08.2013	3	1003	Неизвестно (1003)	27	Молжаниновский район 	20.1
19.08.2013	25.08.2013	3	1004	Цветность	27	Молжаниновский район 	11
19.08.2013	25.08.2013	3	1005	Мутность	27	Молжаниновский район 	<0.30
19.08.2013	25.08.2013	3	1006	Водородный показатель (pH)	27	Молжаниновский район 	7.4
19.08.2013	25.08.2013	3	1013	Железо общее	27	Молжаниновский район 	<0.05
19.08.2013	25.08.2013	3	1050	Термотолерантные колиформные бактерии (ТКБ)	27	Молжаниновский район 	отс.
19.08.2013	25.08.2013	3	1053	Общее микробное число (ОМЧ)	27	Молжаниновский район 	отс.
19.08.2013	25.08.2013	3	1121	Остаточный хлор	27	Молжаниновский район 	1.05
19.08.2013	25.08.2013	3	1200	Запах при 60C	27	Молжаниновский район 	2
19.08.2013	25.08.2013	3	5147	Неизвестно (5147)	27	Молжаниновский район 	1
19.08.2013	25.08.2013	3	5148	Неизвестно (5148)	27	Молжаниновский район 	Хлорный
19.08.2013	25.08.2013	3	5501	Общие колиформные бактерии (ОКБ)	27	Молжаниновский район 	отс.
