0_Код;1_Название;1_Адрес;1_Регистрационный знак;1_Допуск;1_Вид парка;1_Период действия талона-допуска на эксплуатацию
79;Аттракцион Каноэ ривер;ГУК Измайловский ПКиО;0252-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 11.2013
80;Аттракцион Бамперные лодки;ГУК Измайловский ПКиО;0748-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 11.2013
82;Аттракцион Клоун;ГУК Измайловский ПКиО;0088-77;Срок действия истек, эксплуатация аттракциона не допускается;городские парки;04.2012 - 04.2013
83;Аттракцион Танки;ГУК Измайловский ПКиО;0096-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
86;Аттракцион Автодром;ГУК Измайловский ПКиО;0785-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
88;Аттракцион Родео;ГУК Измайловский ПКиО;0251-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
89;Аттракцион Полет;ГУК Измайловский ПКиО;0803-77;Действующий, эксплуатация аттракциона разрешена;городские парки;12.2012 - 12.2013
91;Аттракцион Дракон;ГУК Измайловский ПКиО;0802-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
92;Аттракцион Колесо обозрения;ГУК Измайловский ПКиО;0541-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
93;Аттракцион Карусель семейная / Merry go round;ГУК Измайловский ПКиО;1016-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
95;Аттракцион Бамперные лодки;ГУК Измайловский ПКиО;1013-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 10.2013
96;Аттракцион Mini Dance Party;ГУК Измайловский ПКиО;1463-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
98;Аттракцион Автодром;ГУК Измайловский ПКиО;1322-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
99;Аттракцион Детская железная дорога;ГУК Измайловский ПКиО;1014-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
2595;Tropicana;ВВЦ;1538-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
230;Воздушные шары;Большой Московский государственный цирк на проспекте Вернадского;0027-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2596;"Виртуальная реальность ""F3""";Парк 850-летия Москвы;1256-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
348;Емеля;Пенягинская улица, 16;1374-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2012 - 06.2013
355;"Качалка ""Лошадь""";Пенягинская улица, 16;1348-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2012 - 06.2013
351;CONVOY;Пенягинская улица, 16;1360-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 05.2014
352;Jumpin star;Пенягинская улица, 16;1356-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2012 - 06.2013
354;Бамперные лодки;Пенягинская улица, 16;1375-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2012 - 06.2013
358;Вертолет;Пенягинская улица, 16;0554-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2012 - 06.2013
359;Локомотив;Пенягинская улица, 16;0556-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2012 - 06.2013
2597;"Мини-джет ""Смелый летчик""";Парк 850-летия Москвы;0820-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2598;Большой автодром;Парк 850-летия Москвы;0330-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2601;Воздушные шары;ГУК Бабушкинский ПКиО;1128-77;Срок действия истек, эксплуатация аттракциона не допускается;окружные парки;04.2012 - 04.2013
366;Полет;улица Щорса, дом 5;1481-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
368;Mini Jet 4;улица Щорса, дом 5;1479-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
369;Космос;улица Щорса, дом 5;1480-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
371;Карусель Слоны-Зайцы;улица Щорса, дом 5;1482-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
372;Мотолодки;улица Щорса, дом 5;1484-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
373;Мини-джет;ул. Дольская, 1;1251-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
374;Мини-поезд;ул. Дольская, 1;1252-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
376;Карусель;ул. Дольская, 1;1003-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
2603;Аттракцион Цепочка;ГУК Бабушкинский ПКиО;0275-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2604;Аттракцион Полет;ГУК Бабушкинский ПКиО;1290-77;Срок действия истек, эксплуатация аттракциона не допускается;окружные парки;04.2012 - 04.2013
2906;Башня пиратов;ГУК ПКиО Сокольники;01549-77;Действующий, эксплуатация аттракциона разрешена;Городской парк;05.2013 - 05.2014
380;Симулятор F-3;ул. Дольская, 1;1250-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
2606;Аттракцион Джипы;ГУК Бабушкинский ПКиО;0278-77;Срок действия истек, эксплуатация аттракциона не допускается;окружные парки;04.2012 - 04.2013
2907;Качели;ГУК ПКиО Сокольники;01548-77;Действующий, эксплуатация аттракциона разрешена;городские парки;05.2013 - 05.2014
2908;Автодром 11х22;ГУК ПКиО Сокольники;01547-77;Действующий, эксплуатация аттракциона разрешена;городские парки;05.2013 - 05.2014
2909;Веселый паровозик;ГУК ПКиО Сокольники;01546-77;Действующий, эксплуатация аттракциона разрешена;городские парки;05.2013 - 05.2014
391;Солнышко;Новопесчаная улица дом 12;01461-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
392;Гусеница;Новопесчаная улица дом 12;01460-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
394;Танец слонов;Новопесчаная улица дом 12;01146-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
395;Вертолеты;Новопесчаная улица дом 12;01150-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
125;Аттракцион Качалка трамвай;ГУК Лианозовский ПКиО;01203-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
127;Аттракцион Качалка скутер;ГУК Лианозовский ПКиО;01218-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
129;Аттракцион Качалка багги;ГУК Лианозовский ПКиО;01207-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
131;Аттракцион Качалка веселый паровозик;ГУК Лианозовский ПКиО;01211-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
132;Аттракцион Качалка карета;ГУК Лианозовский ПКиО;01228-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
133;Аттракцион Качалка вертолет;ГУК Лианозовский ПКиО;01206-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
136;Аттракцион Лесная сказка;ГУК Бабушкинский ПКиО;0352-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
138;Аттракцион Драконы;ГУК Бабушкинский ПКиО;0354-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
139;Аттракцион Вертолеты;ГУК Бабушкинский ПКиО;0355-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
141;Аттракцион Карусель самолеты;ГУК Бабушкинский ПКиО;1450-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2012 - 06.2013
142;Аттракцион Корабль;ГУК Бабушкинский ПКиО;1451-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
144;Аттракцион Манеж;ГУК Перовский ПКиО;01286-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
145;Аттракцион Джипы;ГУК Перовский ПКиО;01423-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2897;" Детская лодка с электродвигателем ""Пират""";Улица Хачатуряна д.13;1541-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 11.2013
149;Аттракцион Детская железная дорога АССОРТИ;ГУК Перовский ПКиО;1524-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
151;Аттракцион Лодка бамперная Китенок;ГУК Перовский ПКиО;1526-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 11.2013
152;Аттракцион Мини-карусель Колибри;ГУК Перовский ПКиО;1523-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
153;Аттракцион Мини-Джет Пират;ПКиО Северное Тушино;01436-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2012 - 05.2013
155;Аттракцион Автодром-детский;ПКиО Северное Тушино;0633-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 05.2014
156;Аттракцион Цепочная карусель;ПКиО Северное Тушино;0626-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;09.2012 - 09.2013
