"0_ID";"1_Адрес";"1_Режим работы";"1_Доступность"
"143";"Голубинская ул.,  вл. 5, стр.2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"144";"Адмирала Лазарева ул., вл.17,стр.3";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"145";"Ленинский просп., д. 41А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"146";"Миклухо-Маклая ул., д. 24А";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"147";"Профсоюзная ул., д. 88Б";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"148";"Профсоюзная ул., д. 59А";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"149";"В. Ботылева ул., д. 25А";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"150";"Малая Филевская ул., д. 11, соор. 2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"151";"Минская ул., д. 16Б";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"152";"Рябиновая ул, пр-д 5320";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"153";"Горбунова ул., д. 3, стр. 3";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"154";"МЖД, Белорусское напр., 6-й км., зд. 4";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"155";"Ивана Франко ул., д. 37Б";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"156";"Наташи Ковшовой ул., д. 6А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"157";"Б. Дорогомиловская ул., д. 9";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"158";"Маршала Неделина ул., д. 2";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"159";"26 Бакинских Комиссаров ул., д. 7, корп. 6";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"160";"Барклая ул., д. 20А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"161";"Вернадского пр-т, вл. 105Б";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"162";"Удальцова ул., вл. 18А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
