№ строки	Вид ППТ	Вид распорядительного документа	Номер распорядительного документа	Дата распорядительного документа
192	Проекты планировки жилых территорий	Постановление Правительства Москвы	1385	2009-12-15 04:00:00.0
193	Проекты планировки жилых территорий	Постановление Правительства Москвы	329	2010-04-20 04:00:00.0
194	Проекты планировки жилых территорий	Постановление Правительства Москвы	485	2010-06-08 04:00:00.0
195	Проекты планировки жилых территорий	Постановление Правительства Москвы	198	2011-05-11 04:00:00.0
196	Проекты планировки жилых территорий	Постановление Правительства Москвы	885	2008-09-30 04:00:00.0
197	Проекты планировки жилых территорий	Постановление Правительства Москвы	330	2008-04-22 04:00:00.0
198	Проекты планировки жилых территорий	Постановление Правительства Москвы	125	2009-02-24 04:00:00.0
199	Проекты планировки жилых территорий	Постановление Правительства Москвы	1228	2008-12-30 04:00:00.0
200	Проекты планировки жилых территорий	Постановление Правительства Москвы	139	2009-02-24 04:00:00.0
201	Проекты планировки жилых территорий	Постановление Правительства Москвы	31	2009-01-27 04:00:00.0
202	Проекты планировки жилых территорий	Постановление Правительства Москвы	979	2008-10-21 04:00:00.0
203	Проекты планировки производственных территорий	Постановление Правительства Москвы	299	2003-04-29 04:00:00.0
204	Проекты планировки производственных территорий	Постановление Правительства Москвы	847	2004-12-07 04:00:00.0
205	Проекты планировки производственных территорий	Постановление Правительства Москвы	725	2006-09-26 04:00:00.0
206	Проекты планировки общественных территорий	Постановление Правительства Москвы	101	2003-02-25 04:00:00.0
207	Проекты планировки общественных территорий	Постановление Правительства Москвы	813	2003-09-30 04:00:00.0
208	Проекты планировки общественных территорий	Постановление Правительства Москвы	349	2007-05-15 04:00:00.0
209	Проекты планировки общественных территорий	Постановление Правительства Москвы	976	2007-11-13 04:00:00.0
210	Проекты планировки общественных территорий	Постановление Правительства Москвы	403	2003-05-27 04:00:00.0
211	Проекты планировки общественных территорий	Постановление Правительства Москвы	995-ПП	2008-10-28 04:00:00.0
212	Проекты планировки общественных территорий	Постановление Правительства Москвы	609	2008-07-22 04:00:00.0
213	Проекты планировки общественных территорий	Постановление Правительства Москвы	648	2009-06-30 04:00:00.0
214	Проекты планировки общественных территорий	Постановление Правительства Москвы	892	2010-10-05 04:00:00.0
215	Проекты планировки общественных территорий	Постановление Правительства Москвы	365	2011-08-16 04:00:00.0
216	Проекты планировки общественных территорий	Постановление Правительства Москвы	363	2011-08-16 04:00:00.0
217	Проекты планировки общественных территорий	Постановление Правительства Москвы	362	2011-08-16 04:00:00.0
218	Проекты планировки общественных территорий	Постановление Правительства Москвы	361	2011-08-16 04:00:00.0
219	Проекты планировки общественных территорий	Постановление Правительства Москвы	360	2011-08-16 04:00:00.0
220	Проекты планировки общественных территорий	Постановление Правительства Москвы	364	2011-08-16 04:00:00.0
221	Проекты планировки общественных территорий	Постановление Правительства Москвы	502	2011-10-25 04:00:00.0
222	Проекты планировки общественных территорий	Постановление Правительства Москвы	58	2012-02-21 04:00:00.0
223	Проекты планировки производственных территорий	Постановление Правительства Москвы	849	1999-09-14 04:00:00.0
224	Проекты планировки производственных территорий	Постановление Правительства Москвы	125	2000-02-15 04:00:00.0
225	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	979	2002-11-26 04:00:00.0
226	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	1034	2002-12-24 04:00:00.0
227	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	493	2003-06-24 04:00:00.0
228	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	153	2006-03-07 04:00:00.0
229	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	863	2005-11-01 04:00:00.0
230	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	884	2005-11-15 04:00:00.0
231	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	372	2005-05-31 04:00:00.0
232	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	1091	2003-12-30 04:00:00.0
233	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	959	2003-11-18 04:00:00.0
234	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	31	2004-01-27 04:00:00.0
235	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	19	2004-01-20 04:00:00.0
236	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	144	2004-03-16 04:00:00.0
237	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	350	2004-06-01 04:00:00.0
238	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	633	2004-09-21 04:00:00.0
239	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	870	2005-11-08 04:00:00.0
240	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	957	2005-11-29 04:00:00.0
241	Проекты планировки производственных территорий	Постановление Правительства Москвы	262	2007-04-10 04:00:00.0
242	Проекты планировки производственных территорий	Постановление Правительства Москвы	464	2007-06-06 04:00:00.0
243	Проекты планировки производственных территорий	Постановление Правительства Москвы	952	2007-10-30 04:00:00.0
244	Проекты планировки производственных территорий	Постановление Правительства Москвы	1125	2007-12-25 04:00:00.0
245	Проекты планировки производственных территорий	Постановление Правительства Москвы	987	2007-11-13 04:00:00.0
246	Проекты планировки производственных территорий	Постановление Правительства Москвы	1122	2007-12-25 04:00:00.0
247	Проекты планировки производственных территорий	Постановление Правительства Москвы	948	2008-10-14 04:00:00.0
248	Проекты планировки производственных территорий	Постановление Правительства Москвы	712	2008-08-12 04:00:00.0
249	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	209	2002-03-26 04:00:00.0
250	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	88	2002-01-29 04:00:00.0
251	Проекты планировки производственных территорий	Постановление Правительства Москвы	235	2012-05-22 04:00:00.0
252	Проект планировки общественных территорий	Постановление Правительства Москвы	288	2012-05-19 04:00:00.0
253	Проекты планировки жилых территорий	Постановление Правительства Москвы	413	2012-08-17 04:00:00.0
254	Проекты планировки территории различного назначения	Постановление Правительства Москвы	355	2012-07-25 04:00:00.0
255	Производственные территории (реорганизуемые с изменением назначения)	Постановление Правительства Москвы	537	2012-10-02 04:00:00.0
256	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	288	2006-05-02 04:00:00.0
257	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	886	2006-10-14 04:00:00.0
258	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	901	2006-11-14 04:00:00.0
259	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	901	2006-11-14 04:00:00.0
260	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	901	2006-11-14 04:00:00.0
261	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	901	2006-11-14 04:00:00.0
262	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	901	2006-11-14 04:00:00.0
263	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	901	2006-11-14 04:00:00.0
264	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	901	2006-11-14 04:00:00.0
265	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	162	2007-03-13 04:00:00.0
266	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	540	2003-07-08 04:00:00.0
267	Проекты планировки территорий природного комплекса	Постановление Правительства Москвы	407	2008-05-20 04:00:00.0
