0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Дата начала мероприятия;1_Окончание мероприятия;0_moddate;0_moduser
64;Ярмарка производителей из города Калуга (Дар земли)                                                                                                                                                                                                           ;Ярмарка производителей из города Калуга (Дар земли)                                                                                                                                                                                                           ;Грузинский вал, вл. 11, стр.4                                                                                                                                                                                                                                 ;37,577754;55,773979;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;17.04.2013;24.04.2013;12:00:00 AM;                                                                                                    
67;Ярмарка производителей из города Брест                                                                                                                                                                                                                        ;Ярмарка производителей из города Брест                                                                                                                                                                                                                        ;ул. Школьная, вл.34-38                                                                                                                                                                                                                                        ;37,675104;55,745589;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;08.04.2013;14.04.2013;12:00:00 AM;                                                                                                    
68;Ярмарка производителей из города Смоленск (Вымпел)                                                                                                                                                                                                            ;Ярмарка производителей из города Смоленск (Вымпел)                                                                                                                                                                                                            ;ул. Школьная, вл.34-38                                                                                                                                                                                                                                        ;37,675104;55,745589;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;22.04.2013;27.04.2013;12:00:00 AM;                                                                                                    
73;Ярмарка производителей из города Минская область                                                                                                                                                                                                              ;Ярмарка производителей из города Минская область                                                                                                                                                                                                              ;Коровинское шоссе, вл. 17                                                                                                                                                                                                                                     ;37,530503;55,870953;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;01.04.2013;06.04.2013;12:00:00 AM;                                                                                                    
74;Ярмарка производителей из города Иваново (Арансон)                                                                                                                                                                                                            ;Ярмарка производителей из города Иваново (Арансон)                                                                                                                                                                                                            ;Коровинское шоссе, вл. 17                                                                                                                                                                                                                                     ;37,530503;55,870953;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;08.04.2013;14.04.2013;12:00:00 AM;                                                                                                    
75;Ярмарка производителей из города Моск. Регион (Лидер)                                                                                                                                                                                                         ;Ярмарка производителей из города Моск. Регион (Лидер)                                                                                                                                                                                                         ;Коровинское шоссе, вл. 17                                                                                                                                                                                                                                     ;37,530503;55,870953;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;18.04.2013;24.04.2013;12:00:00 AM;                                                                                                    
78;Ярмарка производителей из города ТУЛА Мега-Сервис                                                                                                                                                                                                             ;Ярмарка производителей из города ТУЛА Мега-Сервис                                                                                                                                                                                                             ;Волжский бульвар, вл. 54                                                                                                                                                                                                                                      ;37,755302;55,69086;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;02.04.2013;05.04.2013;12:00:00 AM;                                                                                                    
79;Ярмарка производителей из города Липецк (Мясное подворье)                                                                                                                                                                                                     ;Ярмарка производителей из города Липецк (Мясное подворье)                                                                                                                                                                                                     ;Волжский бульвар, вл. 54                                                                                                                                                                                                                                      ;37,755302;55,69086;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;08.04.2013;14.04.2013;12:00:00 AM;                                                                                                    
80;Ярмарка производителей из города Смоленск (Вымпел)                                                                                                                                                                                                            ;Ярмарка производителей из города Смоленск (Вымпел)                                                                                                                                                                                                            ;Волжский бульвар, вл. 54                                                                                                                                                                                                                                      ;37,755302;55,69086;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;16.04.2013;21.04.2013;12:00:00 AM;                                                                                                    
81;Ярмарка производителей из города Тула (Комфорт)                                                                                                                                                                                                               ;Ярмарка производителей из города Тула (Комфорт)                                                                                                                                                                                                               ;Волжский бульвар, вл. 54                                                                                                                                                                                                                                      ;37,755302;55,69086;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;24.04.2013;28.04.2013;12:00:00 AM;                                                                                                    
85;Ярмарка производителей из города Калуга (Дар земли)                                                                                                                                                                                                           ;Ярмарка производителей из города Калуга (Дар земли)                                                                                                                                                                                                           ;ул. Юровская, вл. 99                                                                                                                                                                                                                                          ;37,39049;55,898236;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;08.04.2013;14.04.2013;12:00:00 AM;                                                                                                    
86;Ярмарка производителей из города Гомель                                                                                                                                                                                                                       ;Ярмарка производителей из города Гомель                                                                                                                                                                                                                       ;ул. Юровская, вл. 99                                                                                                                                                                                                                                          ;37,39049;55,898236;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;22.04.2013;28.04.2013;12:00:00 AM;                                                                                                    
90;Ярмарка производителей из города Липецк (Мясное подворье)                                                                                                                                                                                                     ;Ярмарка производителей из города Липецк (Мясное подворье)                                                                                                                                                                                                     ;Семеновская площадь, вл. 4                                                                                                                                                                                                                                    ;37,720942;55,781354;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ВАО                                                                                                                                                                                                                                                           ;15.04.2013;21.04.2013;12:00:00 AM;                                                                                                    
91;Ярмарка производителей из города Смоленск (Вымпел)                                                                                                                                                                                                            ;Ярмарка производителей из города Смоленск (Вымпел)                                                                                                                                                                                                            ;ул. Авиаконструктора Миля, вл. 8                                                                                                                                                                                                                              ;37,853049;55,684678;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;04.04.2013;09.04.2013;12:00:00 AM;                                                                                                    
92;Ярмарка производителей из города Брянск (Торг-сервис)                                                                                                                                                                                                         ;Ярмарка производителей из города Брянск (Торг-сервис)                                                                                                                                                                                                         ;ул. Авиаконструктора Миля, вл. 8                                                                                                                                                                                                                              ;37,853049;55,684678;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;12.04.2013;18.04.2013;12:00:00 AM;                                                                                                    
93;Ярмарка производителей из города Липецк (БонАПП)                                                                                                                                                                                                              ;Ярмарка производителей из города Липецк (БонАПП)                                                                                                                                                                                                              ;ул. Авиаконструктора Миля, вл. 8                                                                                                                                                                                                                              ;37,853049;55,684678;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮВАО                                                                                                                                                                                                                                                          ;22.04.2013;28.04.2013;12:00:00 AM;                                                                                                    
97;Ярмарка производителей из города Могилев (Арийэко)                                                                                                                                                                                                            ;Ярмарка производителей из города Могилев (Арийэко)                                                                                                                                                                                                            ;Шипиловский пр-д, вл. 39 (напротив)                                                                                                                                                                                                                           ;37,697575;55,612364;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;01.04.2013;07.04.2013;12:00:00 AM;                                                                                                    
99;Ярмарка производителей из города Могилев (Арийэко)                                                                                                                                                                                                            ;Ярмарка производителей из города Могилев (Арийэко)                                                                                                                                                                                                            ;Ореховый б-р,   вл. 24                                                                                                                                                                                                                                        ;37,743249;55,613643;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮАО                                                                                                                                                                                                                                                           ;11.04.2013;17.04.2013;12:00:00 AM;                                                                                                    
