0_uidnftn;1_Название;0_label;0_address;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_nrayon;0_nokrug;1_Административный округ;0_moddate;0_moduser;0_shape_leng;0_shape_area
536;Басманный                                                                                                                                                                                                                                                     ;Басманный                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;2;1;ЦАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,203540811;0,001200328
537;Капотня                                                                                                                                                                                                                                                       ;Капотня                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;5;ЮВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,155191588;0,001130815
538;Северное Бутово                                                                                                                                                                                                                                               ;Северное Бутово                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8;7;ЮЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,207499989;0,001269317
539;Чертаново Южное                                                                                                                                                                                                                                               ;Чертаново Южное                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;21;6;ЮАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,192315015;0,001309529
540;Выхино-Жулебино                                                                                                                                                                                                                                               ;Выхино-Жулебино                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;4;5;ЮВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,231185852;0,002104517
541;Братеево                                                                                                                                                                                                                                                      ;Братеево                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8;6;ЮАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,179232747;0,001103214
542;Люблино                                                                                                                                                                                                                                                       ;Люблино                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8;5;ЮВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,322552817;0,002553668
543;Новокосино                                                                                                                                                                                                                                                    ;Новокосино                                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;12;4;ВАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,142755592;0,000541954
578;Внуково                                                                                                                                                                                                                                                       ;Внуково                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;13;8;ЗАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,249872562;0,001819786
579;Внуково                                                                                                                                                                                                                                                       ;Внуково                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;13;8;ЗАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,173755997;0,000354039
580;Старое Крюково                                                                                                                                                                                                                                                ;Старое Крюково                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;12;10;ЗелАО                                                                                                                                                                                                                                                         ;0;                                                                                                    ;0,134653232;0,000629855
581;Матушкино                                                                                                                                                                                                                                                     ;Матушкино                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;9;10;ЗелАО                                                                                                                                                                                                                                                         ;0;                                                                                                    ;0,202727266;0,000724289
582;Отрадное                                                                                                                                                                                                                                                      ;Отрадное                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;11;3;СВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,188346873;0,001455954
583;Некрасовка                                                                                                                                                                                                                                                    ;Некрасовка                                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;12;5;ЮВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,330745017;0,001615415
557;Бибирево                                                                                                                                                                                                                                                      ;Бибирево                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;4;3;СВАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,163164396;0,000931662
558;Северное Тушино                                                                                                                                                                                                                                               ;Северное Тушино                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;4;9;СЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,17003068;0,001347381
559;Митино                                                                                                                                                                                                                                                        ;Митино                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;2;9;СЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,269878325;0,001797634
560;Ховрино                                                                                                                                                                                                                                                       ;Ховрино                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;16;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,144116845;0,000753391
561;Строгино                                                                                                                                                                                                                                                      ;Строгино                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;5;9;СЗАО                                                                                                                                                                                                                                                          ;0;                                                                                                    ;0,284862365;0,002397729
562;Очаково-Матвеевское                                                                                                                                                                                                                                           ;Очаково-Матвеевское                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;20;8;ЗАО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,304377525;0,002518192
563;Левобережный                                                                                                                                                                                                                                                  ;Левобережный                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;11;2;САО                                                                                                                                                                                                                                                           ;0;                                                                                                    ;0,164499592;0,000927
