1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
429м;Кузьминский парк - ул.Нижняя Хохловка;"Кузьминский парк - Кузьминская улица - Академика Скрябина улица - Рязанский проспект - ст.м.""""Рязанский проспект"""" - Карачаровская эстакада - Рязанский проспект - Нижегородская улица - Нижняя Хохловка улица";6;5;15;15,9;М2 класс В;7.00 / 8.30;21.00 / 20.00;ООО Фирма Авто-Пристань;;
430м;Хабаровская ул.  - Халтуринская ул.;Хабаровская ул. - Щелковское шоссе - Большая Чер-кизовская ул. - Халтуринская ул.;11;5;15;25,8;М2 класс В;5.00 /  5.00;19.00 /  19.00;"ООО """"БЕТТА-АВТОТРАНС""""";;
431м;"ст.м.""""Речной вокзал"""" - г.Зеленоград";"Ст.м.""""Речной вокзал"""" - Фестивальная улица (обратно: Беломорская улица - Смольная улица) - Ленинградское шоссе - г.Зеленоград: Московский проспект - Юности улица - Юности площадь -  Центральный проспект - Панфиловский проспект (обратно: Панфиловский проспект - Ленинградское шоссе) - Крюковская площадь (платформа Крюково)";12;8;20;59,4;М3 класс I;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
432м;"Ст.м.""""Проспект Вернадского"""" - Матвеевское";"Ст.м.""""Проспект Вернадского"""" - Вернадского проспект - Лобачевского улица - Аминьевское шоссе - Матвеевская улица - Веерная улица - Матвеевское";8;5;12;16,8;М2 класс В;6.30 / 7.00;23.00 / 22.30;"ООО """"БЕТТА-АВТОТРАНС""""";;
226м;"ст.м.""""Царицыно"""" - ст.Бирюлево-Тов.";"ст.м.""""Царицыно"""" - Каспийская улица - Липецкая улица - Элеваторная улица - Бирюлевская улица - Донбасская улица - ст.Бирюлево-Тов.";11;3;10;9,4;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
227м;Тимирязевская ул., д.54 - ул.З.и  А.Космодемьянских;Прямой маршрут: Тимирязевская улица, д.54 - Тимирязевская улица - Прянишникова улица - Михалковская улица - Коптевская улица - Новопетровская  улица - Клары Цеткин улица - Зои и Александра Космодемьянских улица.                 Обратный маршрут: Зои и Александра Космодемьянских улица - боковой проезд Ленинградского шоссе - Старо-Петровский проезд - 4-й Новоподмосковный переулок -Зои и Александра Космодемьянских улица - Клары Цеткин улица - Новопетровская  улица - Коптевская улица - Михалковская улица - Прянишникова улица - Тимирязевская улица - Тимирязевская улица, д.54;8;4;10;12,1;М2 класс В;7.30 / 7.30;23.00 / 23.00;"ОАО """"Группа  Автолайн""""";;
228м;"ст.м.""""Щукинская"""" - ст.м.""""Полежаевская""""";"ст.м.""""Щукинская"""" - Новощукинская улица - Марш.Новикова улица - Акад.Бочвара улица - Живописная улица - Марш.Жукова проспект - Хорошевское шоссе - ст.м.""""Полежаевская""""";8;6;12;16,4;М2 класс В;7.30 / 7.30;22.30 / 22.30;"ОАО """"Группа  Автолайн""""";;
229м;"ст.м.""""Молодежная"""" - ст.м.""""Крылатское""""";"Ст.м.""""Молодежная"""" - Ярцевская улица - площадь Академика Петрова - Крылатская улица - Гребной канал - Крылатская улица - Осенняя улица - Крылатские холмы улица - Осенний бульвар - ст.м.""""Крылатское""""";6;8;14;14,8;М2 класс В;7.30 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
230м;"Ст.м.""""Преображенская площадь"""" - Сиреневый бульв. (пл-дь Соловецких Юнг)";"Ст.м.""""Преображенская площадь"""" - Большая Черкизовская улица - Сиреневый бульвар (обратно: Щелковский проезд) - Сиреневый бульвар (пл.Соловецких Юнг)";10;3;10;15,6;М2 класс В;6.30 / 6.30;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
232м;"ст.м.""""Сходненская"""" - 1-й Тушинский  пр.";"ст.м.""""Сходненская"""" - бульв.Яна Райниса -  пр.Донелайтиса - Походный пр. - Строительный пр. - 1-й Тушинский пр.";4;5;10;4;М2 класс В;7.00 / 7.00;20.00 / 20.00;ИП ГАСЫМОВА ЗАРУНА ТАЛЫБ КЫЗЫ;;
234м;"ст.м.""""Преображенская пл."""" - Ивантеевская улица";"Ст.м.""""Преображенская площадь"""" - Черкизовская Большая улица - Краснобогатырская улица (обратно Черкизовская Малая улица) - Хромова улица - Черкизовская Малая улица - Бойцовая улица - Гражданская 3-я улица - Игральная улица - 2-й проезд Подбельского - Ивантеевская улица";4;5;15;7;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
235м;"ст.м.""""Преображенская пл."""" - ст.м.""""Ул.Подбельского""""";"Ст.м.""""Преображенская площадь"""" - Черкизовская Большая улица - Краснобогатырская улица (обратно Черкизовская Малая улица) - Хромова улица - Черкизовская Малая улица - Просторная улица - 4-я Гражданская улица - Бойцовая улица - Ивантеевская улица - ст.м.""""Ул.Подбельского""""";4;5;15;8,2;М2 класс В;7.30 / 7.30;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
236м;"ул.Камчатская - ст.м.""""Щелковская""""";"ул.Камчатская - ул.Красноярская - ул.Алтайская - ул.Уральская - ст.м.""""Щелковская""""";8;8;20;9,2;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
239м;"Ст.м.""""Первомайская"""" - пл.Соловецких Юнг";"Ст.м.""""Первомайская"""" - 9-я Парковая улица - Сиреневый бульвар - Соловецких Юнг площадь";5;3;10;6,3;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
242м;"ст.м.""""Нагатинская"""" - ул.Братеевская";"ст.м.""""Нагатинская"""" - Варшавское шоссе - Каширское шоссе - ст.м.""""Каширская"""" - Каширское шоссе - Борисовские Пруды улица - Хордовый проезд - Братеевская улица";19;5;10;25,5;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ОАО """"Группа  Автолайн""""";;
244м;"ст.м.""""Шаболовская"""" - ст.м.""""Академическая""""";"ст.м.""""Шаболовская"""" - Шаболовка улица - 1-й Рощинский проезд - Новая Заря улица - 4-й Рощинский проезд - Загородное шоссе (обратно: 4-й Загородный проезд - Севастопольский проспект) - Бол.Черемушкинская улица - Дм.Ульянова улица - ст.м.""""Академическая""""";12;3;8;12,7;М2 класс В;6.00 / 6.30;21.00 / 20.30;"ООО """"БЕТТА-АВТОТРАНС""""";;
246м;"ст.м.""""Калужская"""" - ст.м.""""Проспект Вернадского""""";"ст.м.""""Калужская"""" - Профсоюзная улица - Обручева улица - Ленинский проспект - Удальцова улица - Вернадского проспект - ст.м.""""Проспект Вернадского""""";6;5;10;9,4;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ОАО """"Группа  Автолайн""""";;
247м;"ст.м.""""Выхино"""" - мкр.Ивановское";"ст.м.""""Выхино"""" - Кр.Казанец улица - Вешняковская улица - Свободный проспект - ст.м.""""Новогиреево"""" - Зеленый проспект - Молостовых улица - Саянская улица (мкр.Ивановское)";13;4;8;16;М2 класс В;6.30 / 6.30;22.30 / 22.30;"ОАО """"Группа  Автолайн""""";;
248м;"ст.м.""""Беляево"""" - ст.м.""""Беляево"""" (кольцевой)";"1. Ст.м.""""Беляево"""" - Профсоюзная улица - ст.м.""""Коньково"""" - Островитянова улица - Акад.Опарина улица - Саморы Машела улица - Ленинский проспект - Миклухо-Маклая улица - ст.м.""""Беляево"""" (прямое направление)                                          2. Ст.м.""""Беляево"""" - Миклухо-Маклая улица - Ленинский проспект - Островитянова улица - Ленинский проспект - Саморы Машела улица - Акад.Опарина улица - Островитянова улица - ст.м.""""Коньково"""" - Профсоюзная улица - ст.м.""""Беляево"""" (обратное направление)";9;5;10;10;М2 класс В;7.30 / 8.00;22.00 / 22.00;ИП ВОЛКОВ СЕРГЕЙ ВАСИЛЬЕВИЧ;;
249м;"Ст.м.""""Черкизовская"""" -  платф.Перово";"Ст.м.""""Черкизовская"""" - Б.Черкизовская улица - Щелковское шоссе - ст.м.""""Щелковская"""" - 15-я Парковая улица - Бол.Купавенский проезд - Свободный проспект - Федеративный проспект - Новогиреевская улица - Зеленый проспект - ст.м.""""Перово"""" - Плеханова улица - Кусковская улица - платф.Перово";28;5;15;34,6;М2 класс В;6.00 / 6.00;22.00 / 22.00;ИП Власенко Виталий Васильевич;;
251м;"ст.м.""""Речной вокзал"""" - ст.м.""""Речной вокзал"""" (кольцевой)";"ст.м.""""Речной вокзал"""" - Фестивальная улица - Лавочкина улица - Дыбенко улица - Зеленоградская улица - платф.Ховрино - Фестивальная улица - ст.м.""""Речной вокзал"""" (кольц.)";8;3;6;8,5;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"Тариконс""""";;
253м;"Ст.м.""""Октябрьское поле"""" - ул.Живописная";"Ст.м.""""Октябрьское поле"""" - Народного Ополчения улица - Маршала Вершинина улица (обратно: Маршала Соколовского улица) - Расплетина улица - Берзарина улица - Живописная улица - Паршина улица - Генерала Глаголева улица - Маршала Тухачевского улица - Живописная улица";7;3;10;10,2;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
254м;"Грузинский пер. - ст.м.""""Филевский парк""""";"Грузинский переулок - Грузинский Вал улица - Пресненский Вал улица - ст.м.""""Ул.1905 года"""" - Трехгорный Вал улица - Шмитовский проезд - Бол.Филевская улица - Минская улица - ст.м.""""Филевский Парк""""";10;4;10;15,6;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"ТрансАвто""""";;
256м;"ст.м.""""Новые Черемушки"""" - ст.м.""""Профсоюзная""""";"ст.м.""""Новые Черемушки"""" - Профсоюзная улица - Гарибальди улица - Новочеремушкинская улица - Цюрупы улица - Нахимовский проспект - ст.м.""""Профсоюзная""""";4;5;10;7,1;М2 класс В;7.00 / 7.00;22.30 / 22.30;"ОАО """"Группа  Автолайн""""";;
257м;ул.Красковская - Николо-Архангельский пр.;ул.Красковская - ул.Лухмановская - ул.Рудневка - ул.Салтыковская - ул.Н.Старостина - ул.Новокосинская - Николо-Архангельский пр.(рынок Стройматериалов);9;10;15;13;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"АнКрос""""";;
258м;Платформа Окружная - микрорайон Марфи-но;"Платформа Окружная - Станционная улица - ст.м.""""Владыкино"""" - Станционная улица - боковой проезд Ботанической улицы - Ботаническая улица - Большая Марфинская улица (обратно: Академика Комарова улица - Ботаническая улица - Сусоколовское шоссе - ст.м.""""Владыкино"""" - Станционная улица) - мкр.Марфино";8;3;10;8,1;М2 класс В;7.30 / 7.30;23.00 / 23.00;"ООО """"Тариконс""""";;
259м;"ст.м.""""Ясенево"""" - пр.Карамзина";"ст.м.""""Ясенево"""" - Новоясеневский проспект - Паустовского улица (обратно: Ясногорская улица) - Голубинская улица - Инессы Арманд улица - Карамзина проезд";4;4;10;5;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ОАО """"Группа  Автолайн""""";;
260м;"Ст.м.""""Университет"""" - Матвеевское";"Ст.м.""""Университет"""" (Вернадского проспект) - Вернадского проспект - Ломоносовский проспект - Минская улица -Староволынская улица - Нежинская улица - Матвеевская улица - Веерная улица - Матвеевское";5;15;24;25,1;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
261м;"Ст.м.""""Свиблово"""" - Ясный пр.";"Ст.м.""""Свиблово"""" - Кольская улица - Полярная улица - Дежнева проезд - Ясный проезд";6;3;10;6,7;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ОАО """"Группа  Автолайн""""";;
262м;"Ст.м.""""Братиславская"""" - рынок """"Садовод""""";"Ст.м.""""Братиславская"""" - Перерва улица - Белореченская улица - Верхние поля улица - рынок """"Садовод""""";8;7;15;14,7;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
263м;ул.Мусы Джалиля - Борисовский пр.;ул.Мусы Джалиля - ул.Ясеневая - ул.Ген.Белова - Борисовский пр.;4;10;15;9,4;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
264м;"ст.м.""""Теплый Стан"""" - ст.м.""""Ясенево""""";"ст.м.""""Теплый Стан"""" - Новоясеневский проспект - Голубинская улица - Вильнюсская улица - Новоясеневский проспект - ст.м.""""Ясенево""""";4;5;10;7,8;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
265м;"Ст.м.""""Рижская"""" - ст.м.""""Сокольники""""";"Ст.м.""""Рижская"""" - Рижская эстакада - Сокольнический вал улица - ст.м.""""Сокольники""""";4;5;15;7,9;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
266м;"ст.м.""""Автозаводская"""" - ст.м.""""Пролетарская""""";"ст.м.""""Автозаводская"""" - Мастеркова улица (обратно Автозаводская улица) - Ленинская слобода улица - Машиностроения 1-я улица - Шарикоподшипниковская улица - Дубровская 1-я улица - ст.м.""""Пролетарская""""";8;4;10;7,3;М2 класс В;6.30 / 6.30;21.30 / 21.30;"ООО """"Трансроуд+""""";;
267м;"Ст.м.""""Сходненская"""" - 4-й мкр.Митино";"Ст.м.""""Сходненская"""" - Яна Райниса бульвар - Саломеи Нерис улица - Путилковское шоссе - Митинский 1-й переулок - Митинская улица - Ангелов переулок (обратно: Барышиха улица - Дубравная улица)";5;7;12;15,5;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
268м;"ст.м.""""Планерная"""" - 11-й мкр.Куркино";"ст.м.""""Планерная"""" - ул.Планерная - ул.Свободы - ул.Молодежная - ул.Строителей - ул.Воротынская - ул.Захарьинская - ул.Соловьиная роща - ул.Юровская - ул.Соколово-Мещерская - 11-й мкр.Куркино";9;10;12;24;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ОАО """"Группа  Автолайн""""";;
269м;"Ст.м.""""Комсомольская"""" - ул.Челябинская";"Ст.м.""""Комсомольская"""" - Русаковская улица - Большая Черкизовская улица - Щелковское шоссе - 16-я Парковая улица - Большой Купавенский проезд - Челябинская улица";29;3;10;36,2;М2 класс В;6.00 / 6.00;22.00 / 22.00;ИП Власенко Виталий Васильевич;;
270м;"Ст.м.""""Медведково"""" - Рижский вокзал";"Ст.м.""""Медведково"""" - Широкая улица - Осташковская улица - МКАД 91-й км - Ярославское шоссе - Мира проспект - Рижский вокзал";12;5;15;34,8;М3 класс А;6.00 / 7.00;22.00 / 22.30;"ООО """"ЭКСПРЕСС-ТОРИ""""";;
271м;"ст.м.""""Ул.Подбельского"""" - ул.16-я Парковая";"ст.м.""""Ул.Подбельского"""" - Ивантеевская улица - Открытое шоссе (обратно Маршала Рокоссовского бульвар - Подбельского 7-й проезд) - Халтуринская улица - Большая Черкизовская улица - Щелковское шоссе - Парковая 9-я улица - Измайловский бульвар - Парковая 15-я улица - Первомайская улица - Парковая 16-я улица";10;5;12;20,9;М2 класс В;6.10 / 7.00;22.00 / 22.30;"ООО """"ЭКСПРЕСС-ТОРИ""""";;
272м;"Ст.м.""""Преображенская площадь"""" - ул.16-я Парковая";"Ст.м.""""Преображенская пл."""" - Большая Черкизовская улица - Окружной проезд - Лечебная улица - Фортунатовская улица - Ткацкая улица - Измайловское шоссе - Первомайская улица - 16-я Парковая улица";10;3;10;18,4;М3 класс А;6.00 / 7.00;22.00 / 22.30;"ООО """"ЭКСПРЕСС-ТОРИ""""";;
274м;"ст.м.""""Черкизовская"""" - Новокосино";"Ст.м.""""Черкизовская"""" - Окружной проезд - Большая Черкизовская улица - Щелковское шоссе - Ст.м.""""Щелковская"""" - 15-я Парковая улица - Большой Купавенский проезд - Свободный проспект - ст.м.""""Новогиреево"""" - Вешняковская улица - Старый Гай улица - Кетчерская улица - Носовихинское шоссе - Городецкая улица - Новокосинская улица - Николая Старостина улица - Новокосино";30;5;10;38,5;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Трансроуд""""";;
275м;"ст.м.""""Нагатинская"""" - ст.м.""""Домодедовская""""";"Ст.м.""""Нагатинская"""" - Варшавское шоссе - Каширское шоссе - ст.м.""""Каширская"""" - Каширское шоссе - Борисовский проезд - Ореховый бульвар - ст.м.""""Домодедовская""""";5;10;20;25;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
276м;"ул.Братеевская - ст.м.""""Красногвардейская"""" - Каширское ш. (д.146)";"Братеевская улица - Алма-Атинская улица - Паромная улица (обратно: Ключевая улица - Борисовские Пруды улица) - Братеевская улица - Задонский проезд - Ореховый бульвар - ст.м.""""Красногвардейская"""" - Ореховый бульвар - ст.м.""""Домодедовская"""" - Домодедовская улица - Ясеневая улица - Каширское шоссе (д.146)";8;5;15;19,4;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
277м;"ст.м.""""Щукинская"""" - ст.м.""""Строгино""""";"ст.м.""""Щукинская"""" - улица Новощукинская - Строгинское шоссе - Исаковского улица - Неманский проезд - улица Маршала Катукова - ул.Кулакова - Строгинский бульвар - ст.м.""""Строгино""""";5;10;17;19,2;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
278м;"Ст.м.""""ВДНХ"""" - пл.Акад.Люльки";"Ст.м.""""ВДНХ"""" - Мира проспект - Шарля Де Голля площадь - Ярославская улица - Кибальчича улица - Павла Корчагина улица (обратно: Рижский проезд) - Академика Люльки площадь";6;3;10;5,2;М2 класс А;6.00 / 7.00;22.00 / 22.30;"ООО """"ЭКСПРЕСС-ТОРИ""""";;
279м;"по рабочим дням: мкр.Жулебино - Карачаровская эстакада                                      по выходным дням: мкр.Жулебино - ул.Нижегородская д.105 (ТК """"Город"""")";"по рабочим дням: мкр.Жулебино - Рязанский просп. - ст.м.""Рязанский просп."" - Рязанский просп. - Карачаровская эстакада;                                                 по выходным и праздничным дням: мкр.Жулебино - ул.Привольная - ул.Ген.Кузнецова - ул.Авиаконструктора Миля - ул.Полубоярова - ул.Саранская - ул.Привольная - Рязанский просп. - ст.м.""Рязанский проспект"" - Рязанский просп. - Карачаровская эстакада - ул.Нижегородская д.105 (ТК ""Город"")";10;5;10;11,9;М2 класс В;6.30 / 6.30;22.30 / 22.30;"ООО Фирма Авто-Пристань / ООО """"Компания """"Люберецкое транспортное агентство""""";;
280м;платф.Дегунино - пр.Русанова;"платф.Дегунино - Путевой пр. - Алтуфьевское ш. - ул.Декабристов - ул.Каргопольская - ул.Хачатуряна - ст.м.""""Отрадное"""" - ул.Декабристов - Северный бульв. - пр.Дежнева - ул.Заповедная - ул.Кольская - ст.м.""""Свиблово"""" - пр.Русанова";10;7;10;19,8;М2 класс В;6.10 / 7.00;22.00 / 22.30;"ООО """"ЭКСПРЕСС-ТОРИ""""";;
281м;"Ст.м.""""Первомайская"""" - пл.Соловецких Юнг";"Ст.м.""""Первомайская"""" - 9-я Парковая улица - Сиреневый бульвар - пл.Соловецких Юнг";5;3;10;6,2;М3 класс А, В;6.00 / 7.00;22.00 / 22.30;"ООО """"ЭКСПРЕСС-ТОРИ""""";;
282м;"ст.м.""""Красногвардейская"""" - ст.м.""""Марьино""""";"ст.м.""""Красногвардейская"""" - Мусы Джалиля улица - Братеевская улица - Хордовый проезд - Люблинская улица - ст.м.""""Марьино""""";8;4;10;10,7;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ОАО """"Группа  Автолайн""""";;
283м;"Ст.м.""""Улица 1905 года"""" - Филевский бульвар";"Ст.м.""""Улица 1905 года"""" - ул.Пресненский вал - ул.1905 года - Шмитовский проезд - Шелепихинская наб. - Филёвский бульвар";12;3;10;15,6;М2 класс В;8.00 / 8.00;22.30 / 22.30;"ООО """"СТАРПРОФИ""""";;
285м;"ст.м.""""Черкизовская"""" - 2-я Советская улица";"Ст.м.""""Черкизовская"""" - Окружной проезд - Лечебная улица - Фортунатовская улица - Ткацкая улица - Измайловское шоссе - ст.м.""""Партизанская"""" - Первомайская улица - Измайловский проезд - 2-я Советская улица";12;3;7;9,9;М2 класс В;7.30 / 7.30;18.00 / 18.00;"ООО """"Эвротранс""""";;
288м;"ст.м.""""Черкизовская"""" - ст.м.""""Партизанская""""";"Ст.м.""""Черкизовская"""" - Окружной проезд - Щербаковская улица - Измайловское шоссе - Виноградный проезд - ст.м.""""Партизанская""""";7;3;6;5,6;М2 класс В;6.30 / 6.30;17.00 / 17.00;"ООО """"Эвротранс""""";;
289м;Платф.Москворечье - Бирюлево-Загорье;"Платформа Москворечье - Каспийская улица - ст.м.""""Царицыно"""" - Каспийская улица - Липецкая улица - Элеваторная улица - Бирюлевская улица - Лебедянская улица - Михневская улица - Загорьевская улица - Липецкая улица (Бирюлево-Загорье)";15;3;10;20;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
290м;"ст.м.""""Бибирево"""" - ул.Корнейчука";"ст.м.""""Бибирево"""" - Костромская улица - Плещеева улица - Лескова улица (разворот при движении в обратном направлении) - Корнейчука улица";15;4;10;8,4;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
291м;"ст.м.""""Кузьминки"""" - платф.Плющево";"ст.м.""""Кузьминки"""" - Волгоградский проспект - Академика Скрябина улица - Сормовский проезд - Сормовская улица - Рязанский проспект - Луховицкая улица - платф.""""Плющево""""";14;7;15;16,8;М2 класс В;7.00 / 8.30;21.00 / 20.00;"ООО """"Трансроуд"""" / ООО Фирма Авто-Пристань";;
292м;"ст.м.""""Новогиреево"""" - Новокосино";"ст.м.""""Новогиреево"""" - Свободный проспект - Вешняковская улица - Старый Гай улица - Кетчерская улица - Носовихинское шоссе - Городецкая улица - Салтыковская улица - Н.Старостина улица - Новокосино";6;6;12;14,8;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ОАО """"Группа  Автолайн""""";;
294м;"Вологодский проезд - ст.м.""""Тимирязевская""""";"Вологодский проезд - Алтуфьевское шоссе - Череповецкая улица - Лианозовский проезд - Дмитровское шоссе - ст.м.""""Тимирязевская""""";12;6;14;32,3;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
295м;"ст.м.""""Молодженая"""" - ул.Вяземская";"ст.м.""""Молодежная"""" - Ярцевская улица - Оршанская улица - проезд вдоль Ярцевской улицы - Ельнинская улица - Ярцевская улица - Боженко улица - Кубинка улица - Можайское шоссе - Вяземская улица";3;7;15;7,6;М2 класс В;6.45 / 6.45;22.45 / 22.45;"ОАО """"Группа  Автолайн""""";;
296м;"ст.м.""""Черкизовская"""" - Вещевой рынок АСТ";"Ст.м.""""Черкизовская"""" - Окружной проезд - Большая Черкизовская улица - Щелковское шоссе - Сиреневый бульвар - вещевой рынок """"АСТ""""";7;3;8;6,4;М2 класс В;7.40 / 7.40;17.40 / 17.40;"ООО """"Эвротранс""""";;
297м;"Ст.м.""""Партизанская"""" - вещевой рынок АСТ";"Ст.м.""""Партизанская"""" - Виноградный проезд (обратно: Местный проезд) - Вещевой рынок АСТ";12;3;7;3,2;М2 класс В;7.00 / 7.00;17.00 / 17.00;"ООО """"Эвротранс""""";;
298м;"ст.м.""""Домодедовская"""" - ст.м.""""Красногвардей-ская""""";"Ст.м.""""Домодедовская"""" - Ореховый бульвар - Генерала Белова улица - Воронежская улица - Елецкая улица - Ясеневая улица - Ореховый бульвар - ст.м.""""Красногвардейская""""";6;3;10;5,9;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
299м;"Ст.м.""""Партизанская"""" - вещевой рынок АСТ (кольцевой)";"Ст.м.""""Партизанская"""" - Измайловское шоссе - Первомайская улица - Измайловский проезд - 2-я Советская улица - Вещевой рынок АСТ - Местный проезд - ст.м.""""Партизанская""""";14;3;7;3,6;М2 класс В;6.30 / 6.30;16.30 / 16.30;"ООО """"Эвротранс""""";;
300м;ул.Новаторов - мкр.Раменки;"ул.Новаторов - ул.Удальцова - ст.м.""""Просп.Вернадского"""" - ул.Удальцова - ул.Раменки - мкр.Раменки";13;7;10;12;М2 класс В;6.45 / 6.45;22.45 / 22.45;"ОАО """"Группа Автолайн"""" / ООО """"Транс-Вей""""";;
301м;"ул.Н.Старостина - ст.м.""""Черкизовская""""";"Николая Старостина улица - Новокосинская улица - Городецкая улица - Носовихинское шоссе - МКАД - Щелковское шоссе - ст.м.""""Щелковская"""" - Большая Черкизовская улица - Окружной проезд - ст.м.""""Черкизовская""""";10;8;15;36,8;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
302м;"Ст.м.""""Преображенская площадь"""" - ул.Н.Химушина";"Ст.м.""""Преображенская площадь"""" - Краснобогатырская улица - Погонный проезд - 3-й проезд Подбельского - Ивантеевская улица - ст.м.""""Ул.Подбельского"""" - Открытое шоссе - Тагильская улица - Николая Химушина улица";3;12;25;18,2;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
303м;"ст.м.""""Новослободская"""" - ул.Милашенкова";"ст.м.""""Новослободская"""" - ст.м.""""Менделеевская"""" -  ул.Новослободская - Савеловский вкз. - ул.Бутырская - ст.м.""""Дмитровская"""" - ул.Руставели - ул.Добролюбова - ул.Милашенкова";4;8;10;3;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
304м;"платф.Очаково - ст.м.""""Университет""""";"платф.Очаково - Стройкомбината проезд - Очаковское шоссе - Аминьевское шоссе - Матвеевская улица - Веерная улица - Нежинская улица - Староволынская улица - Минская улица - Ломоносовский проспект - ст.м.""""Университет""""";10;8;20;30,4;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
305м;"Ст.м.""""Текстильщики"""" - Ст.м.""""Текстильщики"""" (кольцевой)";"Ст.м.""""Текстильщики"""" - Волгоградский проспект - Волжский бульвар - Саратовская ул. - Грайвороновская ул. - Люблинская ул. - ст.м.""""Текстильщики"""" (кольцевой)";5;10;20;10;М2 класс В;7.00 / 8.30;21.00 / 20.00;ООО Фирма Авто-Пристань;;
306м;Братцево - Тушинский колх.рынок;Братцево - ул.Героев Панфиловцев - ул.Сходненская - ул.Лодочная - ул.Свободы - ул.Циолковского - ул.Тушинская - Тушинский колх.рынок;8;7;10;6,4;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ООО """"Такси 17""""";;
307м;"Ул.Лесная - ст.м.""""Комсомольская""""";"Лесная улица - Палиха улица - Борьбы площадь - Достоевского улица - 3-й Самотечный переулок - Дурова улица - Гиляровского улица - Мира проспект - Протопоповский переулок - Каланчевская улица - платформа Каланчевская - Каланчевская площадь -ст.м.""""Комсомольская""""";5;5;15;12,2;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
308м;"ст.м.""""Юго-Западная"""" - ст.м.""""Кунцевская""""";"ст.м.""""Юго-Западная"""" - Вернадского проспект - Лобачевского улица - Аминьевское шоссе - Рублевское шоссе - ст.м.""""Кунцевская""""";14;3;10;16,3;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
309м;"ст.м.""""Войковская"""" - ТЦ """"Рамстор-Сити""""";"ст.м.""""Войковская"""" - Ленинградское шоссе - ТЦ """"Рамстор-Сити""""";12;4;10;17,3;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
