1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
479м;"ст.м.""""Тушинская"""" - Новокрюковская улица (14-й мкр.Зеленограда)";"Ст.м.""""Тушинская"""" - Стратонавтов проезд -  Сходненский тупик - Волоколамское шоссе - Пятницкое шоссе - г.Зеленоград: Георгиевское шоссе - Андреевка улица - Логвиненко улица - Новокрюковская улица - Привокзальная площадь  (ст.Крюково) - Новокрюковская улица (14-й мкр.)";9;15;25;68,2;М3 класс I;6.00 / 6.00;23.00 / 23.00;"ОАО """"Группа Автолайн""""";;
480м;"Ст.м.""""Петровско-Разумовская"""" - Коровино";"Ст.м.""""Петровско-Разумовская"""" - Дмитровское шоссе - Коровинское шоссе -  Ангарская улица - Клязьминская улица  - Лобненская улица - Коровино";12;3;10;17;М2 класс В;7.00 / 7.00;22.00 / 22.00;ИП Абдулова Евгения Викторовна;;
482м;"ст.м.""""Бабушкинская"""" - платф.Лось";"ст.м.""""Бабушкинская"""" - Менжинского улица - Летчика Бабушкина улица - Тайнинская улица - Малыгина улица - Челюскинская улица - Стартовая улица - Анадырский проезд - платф.Лось";7;5;10;10,5;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ЗАО """"Компания ГРиМ""""";;
483м;"Ст.м.""""Бабушкинская"""" - пр.Шокальского - ст.м.""""Бабушкинская"""" (кольцевой)";"Ст.м.""""Бабушкинская"""" - Менжинского улица - Сухонская улица - Шокальского проезд - ст.м.""""Бабушкинская""""";4;3;10;4,9;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ЗАО """"Компания ГРиМ""""";;
484м;"Савеловский вкз. - ст.м.""""Рижская""""";"Ст.м.""""Савеловская"""" - Масловка Нижняя улица - Савеловская эстакада - Сущевский Вал улица - ст.м.""""Рижская""""";7;3;10;9,9;М2 класс В;7.00 / 7.30;23.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
488м;"ст.м.""""Планерная"""" - ул.Вилиса Лациса";"ст.м.""""Планерная"""" - ул.Планерная  - ул.Туристская - ул.Героев Панфиловцев - ул.Вилиса Лациса";3;5;15;6,2;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
491м;"ст.м.""""Кунцевская"""" - Матвеевское";"ст.м.""""Кунцевская"""" (ул.Молодогвардейская) -  Рублевское ш. - Аминьевское ш. - ул.Матвеевская - ул.Веерная - мкр.Матвеевское";10;5;10;11;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
492м;"Ст.м.""""Бибирево"""" - платф.Моссельмаш";"Ст.м.""""Бибирево"""" - Бибиревская улица - Пришвина улица - Коненкова улица - Лескова улица - ст.м.""""Алтуфьево"""" - Череповецкая улица - Лианозовский проезд - Дмитровское шоссе - Лобненская улица - Софьи Ковалевской улица - 800-летия Москвы улица - Коровинское шоссе - Ивана Сусанина улица - платформа Моссельмаш";10;7;12;24,4;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
493м;"Автозаводская ул. - Ст.м.""""Текстильщики"""" (Шоссейная ул.)";"Автозаводская ул. - Мастеркова ул. - Ленинская слобода ул. - 1-я Машиностроения ул. - Шарикоподшипниковская ул. - Южнопортовая ул. - ст.м.""""Кожуховская"""" (обратно: Трофимова ул. - Велозаводская ул.) - Кухмистерова ул. - Шоссейная ул. - ст.м.""""Текстильщики"""" (Шоссейная ул.)";8;7;15;21,6;М2 класс В;6.30 / 8.00;21.00 / 20.00;"ООО """"Трансроуд+""""";;
494м;"ст.м.""""Проспект Вер-надского"""" - Никулин-ский суд";"Прямой маршрут: ст.м.""""Проспект Вернадского"""" - Удальцова улица - Раменки улица - Мичуринский проспект - местный проезд - Никулинский суд. Обратный маршрут: Никулинский суд - местный проезд - Мичуринский проспект - оттянутый разворот (на пересечении с ул.Шувалова) - Мичуринский проспект - Раменки улица - Удальцова улица - ст.м.""""Просп. Вернадского""""";10;5;10;15,5;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
495м;"ст.м.""""Юго-Западная"""" - ул.Бакулева";"ст.м.""""Юго-Западная"""" - 26-ти Бакинских Комиссаров улица - Миклухо-Маклая улица - Акад.Опарина улица (обратно: Акад.Волгина улица) - Островитянова улица - Акад.Бакулева улица";8;4;10;9,5;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
478м;66-й квартал Кунцево - ул.Барклая;66-й квартал Кунцево - Барвихинская улица - Маршала Неделина улица - Красных зорь улица - Аминьевское шоссе - Филевская Малая улица - Пинский проезд - Филевская Большая улица - Барклая улица;4;10;25;19,4;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"ТрансАвто""""";;
