"0_ID";"1_Наименование";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Округ";"1_Район";"0_UNOM";"0_Площадь";"0_Собственник_СО";"1_Собственник"
"000007849";"Общественное питание на Краснодарская ул., 60А";"Краснодарская ул. 60А";"Краснодарская ул. 60А";"37,771864";"55,673674";;;;;;"ЮВАО";"Люблино";"2 702 039";"50";"Кафе Мечта";"РУСИМПОРТ"
"000007850";"Общественное питание на Ставрапольская ул., д.38/1";"Ставропольская ул. 38/2";"Ставропольская ул. 38/2";"37,7605549999999";"55,6812029999999";;;;;;"ЮВАО";"Люблино";"2 129 570";"50";"ЗАО ""НАМАНГАН""";"НАМАНГАН"
"000007851";"Общественное питание на Белореченская ул., д.13А";"Белореченская ул. 13 к. 3";"Белореченская ул. 13 к. 3";"37,7663489999999";"55,6733169999999";;;;;;"ЮВАО";"Люблино";"2 708 384";"50";"ЗАО ""НАМАНГАН""";"НАМАНГАН"
"000007852";"Общественное питание на Краснодарская ул., 58Г";"Краснодарская ул. 58Г";"Краснодарская ул. 58Г";"37,771584999";"55,6751649999999";;;;;;"ЮВАО";"Люблино";"2 707 499";"30";"Мир Пиццы";"Касса и Ко"
"000007853";"Общественное питание на Ул. Перерва, д.58";"ул. Перерва 58";"ул. Перерва 58";"37,7600189999999";"55,6629";;;;;;"ЮВАО";"Марьино";"67 535";"80";"АЛЬЯНС";"Кафе ""quick"""
"000007854";"Общественное питание на Ул. Перерва, д.58";"ул. Перерва 58";"ул. Перерва 58";"37,7604029999999";"55,662986";;;;;;"ЮВАО";"Марьино";"67 535";"80";"АЛЬЯНС";"Кафе ""quick"""
"000007855";"Общественное питание на Ул. Перерва, д. 43, корп. 1";"ул. Перерва 43 к. 1";"ул. Перерва 43 к. 1";"37,752106";"55,66039";;;;;;"ЮВАО";"Марьино";"2 706 178";"80";"ЛАНЧ";"ЛАНЧ"
"000007856";"Общественное питание на Ул. Люблинская, д. 157";"Люблинская ул. 157";"Люблинская ул. 157";"37,7443549999999";"55,6548749999999";;;;;;"ЮВАО";"Марьино";"67 103";"80";"ЛЮКС";"Люкс"
"000007857";"Общественное питание на Ул. Люблинская, д. 157";"Люблинская ул. 157";"Люблинская ул. 157";"37,7442029999999";"55,654844999";;;;;;"ЮВАО";"Марьино";"67 103";"80";"-";"АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ"
"000007858";"Общественное питание на Перечная ул., д.41";"Поречная ул. 5/14";"Поречная ул. 5/14";"37,753014";"55,6447829999999";;;;;;"ЮВАО";"Марьино";"67 136";"80";"УГРА";"ЮМИКС МК"
"000007859";"Общественное питание на Перерва ул., д.52";"ул. Перерва 52";"ул. Перерва 52";"37,744292";"55,6565229999999";;;;;;"ЮВАО";"Марьино";"67 284";"80";"ресторан ""Якитория""";"Форум-Альянс"
"000007860";"Общественное питание на Маршала Голованова ул., д.19";"ул. Маршала Голованова 19";"ул. Маршала Голованова 19";"37,723268999";"55,649191";;;;;;"ЮВАО";"Марьино";"5 622";"80";"КАМАЛ";"КАМАЛ"
"000007861";"Общественное питание на Братиславская ул., д.27, к.1";"Братиславская ул. 27 к. 1";"Братиславская ул. 27 к. 1";"37,765664";"55,654066";;;;;;"ЮВАО";"Марьино";"67 558";"80";"АЛЬЯНС";"Кафе ""quick"""
"000007862";"Общественное питание на Братиславская ул., д.16, к.1";"Братиславская ул. 16 к. 1";"Братиславская ул. 16 к. 1";"37,757332";"55,6596249999999";;;;;;"ЮВАО";"Марьино";"67 279";"80";"Кафе Макдоналдс";"МОСКВА- МАКДОНАЛДС"
"000007863";"Общественное питание на Батайский проезд, д.17А";"Батайский пр. 17А";"Батайский пр. 17А";"37,715576";"55,6427029999999";;;;;;"ЮВАО";"Марьино";"2 700 214";"80";"ГЕОРГИЙ И КО""";"ГЕОРГИЙ И КО"
"000007864";"Общественное питание на Люблинская ул., д.165, к.3";"Люблинская ул. 165 к. 3";"Люблинская ул. 165 к. 3";"37,74481";"55,64973";;;;;;"ЮВАО";"Марьино";"2 703 560";"80";"Кафе Макдоналдс";"МОСКВА- МАКДОНАЛДС"
"000007865";"Общественное питание на Новочеркасский бульвар, д.32";"Новочеркасский бульв. 32";"Новочеркасский бульв. 32";"37,732274";"55,646298";;;;;;"ЮВАО";"Марьино";"2 129 519";"80";"Кафе ""Веста""";"Веста"
"000007866";"Общественное питание на Братиславская ул., 14";"Братиславская ул. 14";"Братиславская ул. 14";"37,753854";"55,659475";;;;;;"ЮВАО";"Марьино";"67 288";"80";"ШАШЛЫЧНЫЙ ДВОРИК";"ПИГМАЛИОН"
"000007867";"Общественное питание на Новомарьинская ул., д.14/15";"Новомарьинская ул. 14/15";"Новомарьинская ул. 14/15";"37,758388999";"55,654484999";;;;;;"ЮВАО";"Марьино";"67 079";"80";"ПИЦЦЕРИЯ "" АЛЛО ПИЦЦА""";"ГАЛА ПИЦЦА"
"000007868";"Общественное питание на Братиславская ул д.13, к.1";"Братиславская ул. 13 к. 1";"Братиславская ул. 13 к. 1";"37,759880999";"55,661523";;;;;;"ЮВАО";"Марьино";"67 482";"80";"ВОСТОЧНЫЙ РАЙ";"ЦЕНТР ГРАНД"
"000007869";"Общественное питание на Братиславская ул., д.26";"Братиславская ул. 26";"Братиславская ул. 26";"37,763658";"55,654694";;;;;;"ЮВАО";"Марьино";"67 225";"55";"ресторан ""Две палочки""";"СЕРПУХОВСКАЯ"" КАФЕ ""ДВЕ ПАЛОЧКИ"""
"000007870";"Общественное питание на Братиславская ул., д.31, к.1";"Братиславская ул. 31 к. 1";"Братиславская ул. 31 к. 1";"37,7672069999999";"55,652852999";;;;;;"ЮВАО";"Марьино";"67 413";"50";"ТЫСЯЧА И ОДНА НОЧЬ";"КАФАРОВ"
"000007871";"Общественное питание на Братиславская ул., д.26";"Братиславская ул. 26";"Братиславская ул. 26";"37,763787";"55,654604";;;;;;"ЮВАО";"Марьино";"67 225";"45";"ЛА РОККА";"ЯНТАРЬ НТА"
"000007872";"Общественное питание на Братиславская ул., д.30";"Братиславская ул. 30";"Братиславская ул. 30";"37,765888";"55,651858";;;;;;"ЮВАО";"Марьино";"67 459";"55";"Ресторан ""Английский паб""";"Лэвиш"
"000007873";"Общественное питание на Новочеркасский бульвар, д.41, стр.8";"Новочеркасский бульв. 41 с. 8";"Новочеркасский бульв. 41 с. 8";"37,735364";"55,648851";;;;;;"ЮВАО";"Марьино";"2 704 810";"55";"БЕЛЫЙ ЛЕБЕДЬ";"БЕЛЫЙ ЛЕБЕДЬ"
"000007874";"Общественное питание на Маршала Голованова ул., д.11а";"ул. Маршала Голованова 11";"ул. Маршала Голованова 11";"37,729806";"55,646848999";;;;;;"ЮВАО";"Марьино";"5 615";"75";"ГРАНАТОВЫЙ САД";"ГРАНАТ"
"000007875";"Общественное питание на Перерва ул., д.43/1";"ул. Перерва 43 к. 1";"ул. Перерва 43 к. 1";"37,751184";"55,660282";;;;;;"ЮВАО";"Марьино";"2 706 178";"65";"-";"АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ"
"000007876";"Общественное питание на Перерва ул., д.30";"Братиславская ул. 30";"Братиславская ул. 30";"37,7666869999999";"55,6522549999999";;;;;;"ЮВАО";"Марьино";"67 459";"55";"-";"АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ"
"000007877";"Общественное питание на Братиславская ул., д.26";"Братиславская ул. 26";"Братиславская ул. 26";"37,764024";"55,6543449999999";;;;;;"ЮВАО";"Марьино";"67 225";"65";"-";"АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ"
"000007878";"Общественное питание на Люблинская ул., д.165, к.1";"Люблинская ул. 165 к. 1";"Люблинская ул. 165 к. 1";"37,74561";"55,64996";;;;;;"ЮВАО";"Марьино";"2 702 919";"35";"КАФЕ БЫСТРОГО ОБСЛУЖИВАНИЯ "" ТРАКТИР ""ЕЛКИ-ПАЛКИ""";"ЛАНЧ"
"000007879";"Общественное питание на Братиславская ул., д.14";"Братиславская ул. 14";"Братиславская ул. 14";"37,756586";"55,659068999";;;;;;"ЮВАО";"Марьино";"67 288";"33";"ВОЛНА";"ВОЛНА"
"000007880";"Общественное питание на Нижегородская ул., 80 корп. 1";"Нижегородская ул. 80 к. 1";"Нижегородская ул. 80 к. 1";"37,716352";"55,731551";;;;;;"ЮВАО";"Нижегородский";"16 126";"10";"Ям Ресторантс интернешнл Раша си ай си";"СК ""АЛЬЯНС-ТЕХНО """
"000007881";"Общественное питание на Нижегородская ул., 52";"Нижегородская ул. 50";"Нижегородская ул. 50";"37,70159";"55,735356999";;;;;;"ЮВАО";"Нижегородский";"2 706 906";"10";"Ям Ресторантс интернешнл Раша си ай си";"СК ""АЛЬЯНС-ТЕХНО """
"000007882";"Общественное питание на Нижегородская ул., 47";"Нижегородская ул. 47";"Нижегородская ул. 47";"37,7154189999999";"55,73282";;;;;;"ЮВАО";"Нижегородский";"2 130 115";"10";"Ям Ресторантс интернешнл Раша си ай си";"СК ""АЛЬЯНС-ТЕХНО """
"000007883";"Общественное питание на Рязанский проспект, 2";"Рязанский просп. 2 с. 1";"Рязанский просп. 2 с. 1";"37,738046";"55,7303009999999";;;;;;"ЮВАО";"Нижегородский";"2 702 265";"10";"Ям Ресторантс интернешнл Раша си ай си";"СК ""АЛЬЯНС-ТЕХНО """
