"0_Код объекта";"1_Наименование объекта";"1_Адрес объекта";"0_Координата X";"0_Координата Y";"1_Округ";"1_Район";"1_Вид объекта";"1_Период размещения";"1_Дата начала срока размещения";"1_Дата окончания срока размещения";"1_Номер свидетельства";"1_Дата выдачи свидетельства";"1_Специализация"
"000003925";"Рыба на Кутузовский пр-т., вл.26";"Кутузовский просп. 26 к. 1";"37,540494";"55,743166";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"30.09.2011";"31.12.2014";"805-000451";"07.10.2011";"Рыба"
"000003926";"Хлеб на Студенческая ул. вблизи вл.33";"Студенческая ул. 33 к. 2";"37,544802";"55,739667";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"26.09.2011";"31.12.2014";"805-000452";"07.10.2011";"Хлеб"
"000003927";"Рыба на Студенческая ул. вблизи вл.33";"Студенческая ул. 33 к. 2";"37,544884";"55,739682";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"26.09.2011";"31.12.2014";"805-000453";"07.10.2011";"Рыба"
"000003928";"мороженое на Кутузовский пр-т, вл.45";"Кутузовский просп. 45";"37,524113";"55,737145";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"15.09.2011";"31.12.2014";"805-000455";"10.10.2011";"Мороженое"
"000003929";"табак на ул.1812г., вл.15";"ул. 1812 Года 15";"37,516603";"55,744658";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000456";"07.10.2011";"Табак"
"000003930";"Овощи, фрукты на Киевская, 18";"Киевская ул. 18";"37,548596";"55,739144";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000457";"07.10.2011";"Овощи и фрукты"
"000003931";"мороженое на Кутузовский пр-т, вл.30/32";"Кутузовский просп. 30";"37,536015";"55,740895";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000458";"07.10.2011";"Мороженое"
"000003932";"мороженое на Пл.Победы, вл.1";"пл. Победы 1 к. Б";"37,520368999";"55,736540999";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"15.09.2011";"31.12.2014";"805-000459";"07.10.2011";"Мороженое"
"000003933";"мороженое на Пл.Победы, вл.2";"пл. Победы 2 к. 2";"37,52009";"55,737181";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"15.09.2011";"31.12.2014";"805-000460";"07.10.2011";"Мороженое"
"000003934";"бытовые учслуги на ул.генерала Ермолова, вл.8";"ул. Генерала Ермолова 10/6";"37,516052";"55,738466";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"29.09.2011";"31.12.2014";"805-000461";"07.10.2011";"Бытовые услуги"
"000003935";"Овощи, фрукты на ул.генерала Ермолова, вл.8";"ул. Генерала Ермолова 10/6";"37,516108";"55,738478";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000462";"07.10.2011";"Овощи и фрукты"
