0_OBJECTID;0_UIDNFTN;1_Наименование объекта;0_Географические координаты Х;0_Географические координаты Y;1_Описание местоположения;1_Количество мест;1_Ведомственная принадлежность;1_Наименование эксплуатирующей организации;1_Телефон эксплуатирующей организации
92;69;"Велосипедная парковка №21124 ""Пересечение Покровского бульвара и Подколокольного переулка""";9409,5758;9849,4339;Пересечение Покровского бульвара и Подколокольного переулка. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
93;70;"Велосипедная парковка №21127 ""Пересечение Покровского бульвара и Казарменного переулка""";9465,9403;9916,3563;Пересечение Покровского бульвара и Казарменного переулка. Офисно-деловая зона.  Рядом Милютинский сад;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
94;71;"Велосипедная парковка №21131 ""Пречистенская набережная, 45/1с2а""";6959,5986;8873,6919;Пречистенская наб. Вблизи д. 45/1с2а. Парковка в офисно-деловом и жилом районе;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
95;72;"Велосипедная парковка №21132 ""Пречистенский переулок, 7А""";5939,317;8485,1357;Пречистенский переулок 7А Институт открытого образования;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
96;73;"Велосипедная парковка №21133 ""Пушкинская площадь""";6852,4611;10969,2579;Парковка на Пушкинской площади. Парковка расположена в офисно-деловом и туристическом районе;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
97;74;"Велосипедная парковка №21136 ""Пятницкая улица, напротив д.18""";8189,0618;8388,8735;Напротив д. 18 по Пятницкой улице. Рядом метро Новокузнецкая;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
31;22;"Велосипедная парковка №21026 ""Большая Якиманка, 32""";7171,8098;7551,7163;Ул. Большая Якиманка, 32. Жилые районы;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
32;23;"Велосипедная парковка №21029 ""Большой Знаменский переулок, 21""";6572,6857;9142,9092;Большой Знаменский пер, 21. Генеральный Штаб ВС РФ;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
33;24;"Велосипедная парковка №21033 ""Большой Овчинниковский  переулок, 16""";8281,6925;8633,6106;Овчинниковский Б. пер., 16. Торговая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
34;25;"Велосипедная парковка №21035 ""Валовая улица, 28""";8089,8584;7063,4088;Валовая улица, 28. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
35;26;"Велосипедная парковка №21037 ""Волхонка, 5/6с4""";6981,0517;9021,059;Вблизи д. 5/6с4 по ул.Волхонка. Парковка в офисно-деловом районе;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
36;27;"Велосипедная парковка №21040 ""Моховая, 11к11""";7212,0153;9878,7215;Вблизи  ул. Моховая,д. 11к11. Парковка рядом с Геологическим музеем;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
37;28;"Велосипедная парковка №21041 ""Волхонка, 12""";6717,4183;8942,7183;Ул. Волхонка 12 ГМИИ Пушкина;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
38;29;"Велосипедная парковка №21042 ""Гоголевский бульвар, 10с1""";6409,7355;8919,9987;Гоголевский бульвар 10с1. Рядом Московский музей современного искусства и Музей Шахмат Центрального Дома Шахматиста им. Ботвинника М.М.;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
39;30;"Велосипедная парковка №21043 ""Николоямская улица, 1""";9367,2262;9092,2517;Николоямская улица, 1. Рядом государственная библиотека Иностранной Литературы им. Рудомино М.И.;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
40;31;"Велосипедная парковка №21044 ""Петровка, 29с1""";7348,1762;11070,2518;Петровка 29с1, рядом музей Петровские ворота и Государственный Литературный Музей;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
41;75;"Велосипедная парковка №21137 ""Пятницкая, 69""";8127,269;7219,3483;ул. Пятницкая, 69. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
