0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Управа;0_moddate;0_moduser;0_dokumenti;0_ploshad;0_kol_prikre
351;ООО «Гарант Трейд-М»                                                                                                                                                                                                                                          ;ООО «Гарант Трейд-М»                                                                                                                                                                                                                                          ;ул. Кировоградская, д.24А                                                                                                                                                                                                                                     ;6608,3279;-6109,5499;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Центральное                                                                                                                                                                                                                                      ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;380;200
352;ООО «Роза и карамель»                                                                                                                                                                                                                                         ;ООО «Роза и карамель»                                                                                                                                                                                                                                         ;Варшавское шоссе, д. 154                                                                                                                                                                                                                                      ;6211,9397;-8995,6944;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Южное                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;100;50
353;ООО «Лотос»                                                                                                                                                                                                                                                   ;ООО «Лотос»                                                                                                                                                                                                                                                   ;ул. Чертановская, д. 63, корп. 2                                                                                                                                                                                                                              ;5701,544;-7806,2566;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Южное                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;250;50
354;ООО «Аннино»                                                                                                                                                                                                                                                  ;ООО «Аннино»                                                                                                                                                                                                                                                  ;Варшавское шоссе, д. 143                                                                                                                                                                                                                                      ;6420,2019;-9287,3788;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Южное                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;60;50
355;ООО «Царицыно и Ко»                                                                                                                                                                                                                                           ;ООО «Царицыно и Ко»                                                                                                                                                                                                                                           ;ул. Веселая, д. 4                                                                                                                                                                                                                                             ;10584,6884;-4999,4347;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Царицыно                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;138;450
356;ООО «Астра Поларис»                                                                                                                                                                                                                                           ;ООО «Астра Поларис»                                                                                                                                                                                                                                           ;ул. Ереванская, д.28 к.1                                                                                                                                                                                                                                      ;11327,6139;-4348,1106;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Царицыно                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;525;300
357;ООО «Фудтрейд»                                                                                                                                                                                                                                                ;ООО «Фудтрейд»                                                                                                                                                                                                                                                ;Пролетарский пр-т, д.27                                                                                                                                                                                                                                       ;10035,1805;-3463,4094;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Царицыно                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;150;100
358;ООО «Золотой Скорпион»                                                                                                                                                                                                                                        ;ООО «Золотой Скорпион»                                                                                                                                                                                                                                        ;ул. Севанская, д. 23                                                                                                                                                                                                                                          ;9441,8928;-4785,2048;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Царицыно                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;65,7;500
359;ООО «Гарант Трейд-М»                                                                                                                                                                                                                                          ;ООО «Гарант Трейд-М»                                                                                                                                                                                                                                          ;Пролетарский пр-т, д.2 А                                                                                                                                                                                                                                      ;9954,9943;-2012,7553;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Москворечье-Сабурово                                                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;1200;300
360;ООО «Прогресс»                                                                                                                                                                                                                                                ;ООО «Прогресс»                                                                                                                                                                                                                                                ;ул. Москворечье, д. 31                                                                                                                                                                                                                                        ;10233,9898;-2357,0816;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Москворечье-Сабурово                                                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;80;300
361;ООО «Катрин»                                                                                                                                                                                                                                                  ;ООО «Катрин»                                                                                                                                                                                                                                                  ;ул. Высокая, д. 12                                                                                                                                                                                                                                            ;9975,9611;1434,9911;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Нагатино-Садовники                                                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;70;500
362;ООО «Орма»                                                                                                                                                                                                                                                    ;ООО «Орма»                                                                                                                                                                                                                                                    ;ул. Ак. Миллионщикова, д. 31 «А»                                                                                                                                                                                                                              ;9259,6384;-494,6113;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Нагатино-Садовники                                                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;250;500
363;ООО «Гамма Адмирал»                                                                                                                                                                                                                                           ;ООО «Гамма Адмирал»                                                                                                                                                                                                                                           ;ул. Ак. Миллионщикова, д. 7, корп. 1                                                                                                                                                                                                                          ;9655,762;564,4076;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Нагатино-Садовники                                                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;530;500
364;ООО «Нива»                                                                                                                                                                                                                                                    ;ООО «Нива»                                                                                                                                                                                                                                                    ;Нагатинская наб., д. 22                                                                                                                                                                                                                                       ;9973,9955;1786,2244;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Нагатино-Садовники                                                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;151;500
365;ЗАО «ТиК Продукты»                                                                                                                                                                                                                                            ;ЗАО «ТиК Продукты»                                                                                                                                                                                                                                            ;Варшавское ш., д. 59                                                                                                                                                                                                                                          ;8098,5614;964,0978;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Нагатино-Садовники                                                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;160;100
366;ООО «АТАК»                                                                                                                                                                                                                                                    ;ООО «АТАК»                                                                                                                                                                                                                                                    ;ул. Ключевая, д.16/29                                                                                                                                                                                                                                         ;16519,0053;-3572,8388;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Братеево                                                                                                                                                                                                                                                   ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;795,81;1000
367;ООО «Боулинг цент «Шоссе»                                                                                                                                                                                                                                     ;ООО «Боулинг цент «Шоссе»                                                                                                                                                                                                                                     ;Каширское ш., д.96 к.2                                                                                                                                                                                                                                        ;13425,2458;-5796,5015;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Орехово-Борисово Северное                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;919;300
368;ЗАО «ДИСКОНТцентр»                                                                                                                                                                                                                                            ;ЗАО «ДИСКОНТцентр»                                                                                                                                                                                                                                            ;ул. Генерала Белова, д. 5А                                                                                                                                                                                                                                    ;13762,5315;-4813,1663;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Орехово-Борисово Северное                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;506,9;200
