0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Тип;1_Административный округ;0_moddate;0_moduser
10263;м. Фили;м. Фили;ул. Новозаводская, д. 2;37,51478798;55,74686974;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10264;пл. Сетунь;пл. Сетунь;ул. Барвихинская пересечение с ул. Толбухина;37,39755151;55,72344698;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10266;пос. Мосрентген конечная;пос. Мосрентген конечная;Поселок Мосрентген (ул. Дачная, д. 22);37,47350087;55,62104974;0;;;;;неавтоматизированный;Моск. Обл.;12:00:00 AM; 
10267;Ткацкая фабрика;Ткацкая фабрика;Севастопольский пр-т, вл. 49;37,58314847;55,67127944;0;;;;;автоматизированный;ЮЗАО;12:00:00 AM; 
10268;ул. Нагорная;ул. Нагорная;Нахимовский пр-т, д. 22;37,59014716;55,66881955;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10269;ул. Крылатские Холмы;ул. Крылатские Холмы;Рублевское ш., д. 30;37,41990908;55,74657875;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10270;Дворец спорта Крылья Советов, в центр;Дворец спорта Крылья Советов, в центр;Можайское ш. пересеч. ул. Витебская;37,40760597;55,71699635;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10271;м. Севастопольская зап. вых. ;м. Севастопольская зап. вых. ;ул. Азовская, (д. 24) ст.м. Севастопольская ;37,59838766;55,65166165;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10383;м. Коломенская;м. Коломенская;Пр-т Андропова, вл. 21;37,66472674;55,68003326;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10384;м. Пражская;м. Пражская;ул. Кировоградская ( д. 24/1);37,6085902;55,60943422;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10386;м. Беговая;м. Беговая;Хорошевское ш., вл. 1;37,54372475;55,77374517;0;;;;;автоматизированный;САО;12:00:00 AM; 
10387;Митинская улица (м-н Нептун);Митинская улица (м-н Нептун);ул. Митинская, вл. 52;37,353584;55,85248938;0;;;;;неавтоматизированный;СЗАО;12:00:00 AM; 
10389;м. Братиславская;м. Братиславская;Мячковский б-р, вл. 6;37,74996913;55,65838702;0;;;;;автоматизированный;ЮВАО;12:00:00 AM; 
10393;Ул. Красного Маяка, д.10  к Битц. аллее ;Ул. Красного Маяка, д.10 к Битц. аллее ;м. Чертановская (пересечение ул. Красн. Маяка,10 с ул.Чертановская);37,59368929;55,6124953;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10394;19 Таксомоторный парк;19 Таксомоторный парк;ул. Ташкентская, д. 29;37,80618825;55,6974021;0;;;;;неавтоматизированный;ЮВАО;12:00:00 AM; 
10396;Хохловка;Хохловка;ул. Нижегородская, д. 98;37,72200921;55,73126767;0;;;;;неавтоматизированный;ЮВАО;12:00:00 AM; 
10397;ул. Ухтомская;ул. Ухтомская;Госпитальный вал, вл. 16;37,71062946;55,77361879;0;;;;;неавтоматизированный;ЮВАО;12:00:00 AM; 
10398;м. Кунцевская;м. Кунцевская;Рублевское ш. у ст. м. Кунцевская;37,44663601;55,73194388;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10399;м. Университет;м. Университет;Ломоносовский пр-т, вл. 23;37,53782998;55,69203864;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10400;м. Университет;м. Университет;Ломоносовский пр-т, МГУ;37,53389502;55,69419903;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10402;м. Калужская (южн. вых.);м. Калужская (южн. вых.);ул. Обручева, д. 27;37,54117819;55,65759405;0;;;;;автоматизированный;ЮЗАО;12:00:00 AM; 
10404;м. Семеновская;м. Семеновская;ул. Б. Семеновская, д. 4;37,71803762;55,78424101;0;;;;;автоматизированный;ВАО;12:00:00 AM; 
10405;м. Полежаевская;м. Полежаевская;Хорошевское ш., вл. 88;37,51631314;55,77747956;0;;;;;неавтоматизированный;САО;12:00:00 AM; 
10408;площадь Индиры Ганди;площадь Индиры Ганди;Мичуринский пр-т, вл. 8;37,51539341;55,7066947;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10409;площадь Индиры Ганди;площадь Индиры Ганди;Ломоносовский пр-т, д. 32 (пересеч. с ул. Дружбы, 2) ;37,5132052;55,70678773;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10410;м. Каширская, южн. вых. ;м. Каширская, южн. вых. ;Каширское шоссе, вл. 28;37,65071794;55,65409477;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10411;м. Каширская сев. вых.;м. Каширская сев. вых.;Каширское шоссе, д. 27;37,65137321;55,65546357;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10412;м. Каширская южн. вых. ;м. Каширская южн. вых. ;Каширское шоссе;37,65100761;55,65606968;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10413;13 Городская б-ца;13 Городская б-ца;ул. Велозаводская, д. 1/1;37,66394055;55,71690892;0;;;;;автоматизированный;ЮВАО;12:00:00 AM; 
10414;м. Молодежная зап. вых.;м. Молодежная зап. вых.;ул. Ярцевская, вл. 25;37,41562522;55,74055806;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10415;м. Сокол, вост. вых.;м. Сокол, вост. вых.;Ленинградский пр-т, вл 76;37,51498799;55,80462223;0;;;;;автоматизированный;САО;12:00:00 AM; 
10416;Шмитовский пр-д Детская б-ца;Шмитовский пр-д Детская б-ца;Шмитовский пр-д , вл. 29;37,54026776;55,75611787;0;;;;;неавтоматизированный;ЦАО;12:00:00 AM; 
10523;ул. Академика Комарова, в центр;ул. Академика Комарова, в центр;ул. Ботаническая, д. 23;37,60102482;55,83006517;0;;;;;автоматизированный;СВАО;12:00:00 AM; 
10524;м. Баррикадная (у выхода из метро) ;м. Баррикадная (у выхода из метро) ;ул. Баррикадная, вл. 4;37,57916219;55,76150023;0;;;;;неавтоматизированный;ЦАО;12:00:00 AM; 
10525;м. Ботанический сад;м. Ботанический сад;Лазоревый пр-д, д. 1;37,63875557;55,84649929;0;;;;;неавтоматизированный;СВАО;12:00:00 AM; 
10526;ул. Братеевская, вл .21;ул. Братеевская, вл .21;ул. Братеевская, вл. 21;37,76977556;55,63538169;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10527;3 м/р Братеево;3 м/р Братеево;ул. Братеевская, вл. 31;37,76559721;55,63553022;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10530;АТС;АТС;ул. Шипиловская, д. 32 А;37,72059994;55,62055328;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10531;1-ый м/р Жулебино;1-ый м/р Жулебино;ул. Привольная, д. 13;37,83819588;55,70036013;0;;;;;неавтоматизированный;ЮВАО;12:00:00 AM; 
10532;м. Площадь Ильича, вых. к пригор. поездам;м. Площадь Ильича, вых. к пригор. поездам;м. Площадь Ильича, (Золоторожский вал, д.40);37,68066192;55,74753939;0;;;;;автоматизированный;ЦАО;12:00:00 AM; 
10533;м. Выхино;м. Выхино;ул. Красный Казанец, вл. 20;37,81775048;55,71755419;0;;;;;автоматизированный;ВАО;12:00:00 AM; 
10535;м. Автозаводская;м. Автозаводская;ул. Автозаводская, вл. 8;37,65908878;55,70749948;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10536;м. Домодедовская м-н Мебель-град ;м. Домодедовская м-н Мебель-град ;Ореховый б-р, д. 14/3 (пересеч. с ул. Ген. Белова);37,71803162;55,61012588;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10538;м. Печатники;м. Печатники;ул. Шоссейная м. Печатники;37,72934564;55,69210458;0;;;;;автоматизированный;ЮВАО;12:00:00 AM; 
10540;м. Новогиреево, к-тр Киргизия ;м. Новогиреево, к-тр Киргизия ;Зеленый пр-т, д. 62, стр.5;37,81939515;55,75133636;0;;;;;автоматизированный;ВАО;12:00:00 AM; 
