0_ID;1_Вид транспорта;1_Наименование проездного докумета;1_Стоимость проездного документа;1_Срок действия проездного докумета;0_Использование транспортного приложения к банковской карте
218;Автобус, троллейбус, трамвай;Смарт-карта на 30 дней;840.0;30 дней, включая день продажи;0
223;Метрополитен, монорельс;Льготный обучающиеся / студенты;350.0;Календарный месяц;0
228;Метрополитен, монорельс, автобус, троллейбус, трамвай;Не более 20 поездок;500.0;90 дней, включая день продажи;0
233;Метрополитен, монорельс, автобус, троллейбус, трамвай;Смарт-карта на 90 дней;5200.0;90 дней, включая день продажи;0
238;Метрополитен, монорельс, автобус, троллейбус, трамвай;Билеты "90 минут" : Не более 1 поездки, с возможностью реализации  водителем в салоне подвижного состава;50.0;5 дней, включая день продажи;0
243;Метрополитен, монорельс, автобус, троллейбус, трамвай;Билеты "90 минут" : Не более 40 поездок;1500.0;90 дней, включая день продажи;0
248;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 3 поездки в течение календарного месяца;84.0;С момента изготовления на срок действия банковской карты;0
253;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 8 поездок в течение календарного месяца;224.0;С момента изготовления на срок действия банковской карты;0
258;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 13 поездок в течение календарного месяца;364.0;С момента изготовления на срок действия банковской карты;0
262;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 17 поездок в течение календарного месяца;476.0;С момента изготовления на срок действия банковской карты;0
266;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 21 поездка в течение календарного месяца;588.0;С момента изготовления на срок действия банковской карты;
272;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 27 поездок в течение календарного месяца;756.0;С момента изготовления на срок действия банковской карты;
278;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 33 поездки в течение календарного месяца;924.0;С момента изготовления на срок действия банковской карты;
3;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 60 поездок в течение календарного месяца;1680.0;С момента изготовления на срок действия банковской карты;0
4;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 39 поездок в течение календарного месяца;1092.0;С момента изготовления на срок действия банковской карты;0
8;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 43 поездки в течение календарного месяца;1204.0;С момента изготовления на срок действия банковской карты;0
9;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 44 поездки в течение календарного месяца;1232.0;С момента изготовления на срок действия банковской карты;0
12;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 47 поездок в течение календарного месяца;1316.0;С момента изготовления на срок действия банковской карты;0
13;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 48 поездок в течение календарного месяца;1344.0;С момента изготовления на срок действия банковской карты;0
17;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 52 поездки в течение календарного месяца;1456.0;С момента изготовления на срок действия банковской карты;1
18;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 53 поездки в течение календарного месяца;1484.0;С момента изготовления на срок действия банковской карты;1
22;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 57 поездок в течение календарного месяца;1596.0;С момента изготовления на срок действия банковской карты;1
23;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 5 месяцев;4250.0;5 месяцев;1
27;Московско-Тверская пригородная пассажирская компания;Билет. 6 дат;210.0;1 месяц;1
28;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 61 поездка в течение календарного месяца;1708.0;С момента изготовления на срок действия банковской карты;1
32;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 65 поездок в течение календарного месяца;1820.0;С момента изготовления на срок действия банковской карты;1
33;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 66 поездок в течение календарного месяца;1848.0;С момента изготовления на срок действия банковской карты;1
37;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 70 поездок в течение календарного месяца;1960.0;С момента изготовления на срок действия банковской карты;1
38;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 1 поездка в течение календарного месяца;26.0;С момента изготовления на срок действия банковской карты;1
42;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 5 поездок в течение календарного месяца;130.0;С момента изготовления на срок действия банковской карты;1
