0_OBJECTID;0_UIDNFTN;0_NAME;1_Адрес;0_X;0_Y;1_Число парковочных мест;1_Время работы;1_Иное
108;102;Стоянка легкового такси;Энтузиастов ш., 7А;37,701229;55,748948;4;Круглосуточно;введена в эксплуатацию
109;103;Стоянка легкового такси;Мясницкий пр-д., 4/2;37,646836;55,76805;5;Круглосуточно;введена в эксплуатацию
110;105;Стоянка легкового такси;Б. Сухаревская пл., 2;37,63269;55,772276;4;Круглосуточно;введена в эксплуатацию
111;110;Стоянка легкового такси;Улица Крымский Вал, 9;37,605717;55,731499;6;Круглосуточно;введена в эксплуатацию
112;61;Стоянка легкового такси;Зеленый проспект, д. 54-56;37,81446833;55,75150135;4;Круглосуточно;
113;73;Стоянка легкового такси;Сокольническая пл., 9А;37,67968993;55,79019639;10;Круглосуточно;
114;78;Стоянка легкового такси;Б. Купавенский пр-д., д. 6, к.1;37,81950659;55,77650589;3;Круглосуточно;
115;220;Стоянка легкового такси;Хачатуряна ул.,8;37,59208181;55,85736661;4;Круглосуточно;
116;1;Стоянка у ТЦ Остров (Перекресток);Мичуринский проспект, д.36;37,49753992;55,6975453;3;Круглосуточно;
117;11;Стоянка легкового такси;Мичуринский проспект., д.3, к.1;37,512771;55,704495;5;Круглосуточно;
118;135;Стоянка легкового такси;Планерная ул., д.12, корп.1;37,43645318;55,86147692;3;Круглосуточно;
119;79;Стоянка легкового такси;Красный Казанец;37,818954;55,716983;2;Круглосуточно;
120;153;Стоянка легкового такси;Щукинская ул. д.42;37,4635961;55,80908548;3;Круглосуточно;
121;213;Стоянка легкового такси;Череповецкая ул.,17;37,58611768;55,89908901;3;Круглосуточно;
122;52;Стоянка легкового такси;Зеленый проспект, д. 24-26;37,78948641;55,75170925;4;Круглосуточно;
123;56;Стоянка легкового такси;Измайловский Вал, д. 30, стр. 2;37,7183675;55,78302886;3;Круглосуточно;
124;59;Стоянка легкового такси;Зеленый проспект, д. 81;37,82001674;55,75132191;4;Круглосуточно;
125;197;Стоянка легкового такси;Бутырская улица. д.9;37,583946;55,795298;3;Круглосуточно;
126;62;Стоянка легкового такси;Зеленый проспект, д. 79А;37,81608862;55,75195235;4;Круглосуточно;
127;67;Стоянка легкового такси;Большая Черкизовская, д. 3, корп. 1;37,71767742;55,79693702;5;Круглосуточно;
128;72;Стоянка легкового такси;Семеновская площадь, д.1;37,72072306;55,7824368;7;Круглосуточно;
129;77;Стоянка легкового такси;Щелковское ш., д. 100;37,82951918;55,81114567;5;Круглосуточно;
130;83;Стоянка легкового такси;Измайловское ш., д. 71, стр. 16;37,74913654;55,78885925;4;Круглосуточно;
131;84;Стоянка легкового такси;Первомайская ул., д.106-110;37,81459577;55,79340637;5;Круглосуточно;
132;50;Стоянка легкового такси;Городецкая ул., д. 5А;37,86665474;55,7427293;4;Круглосуточно;
133;26;Стоянка у Домодедовской 12;Домодедовская, д.12;37,706429;55,614171;4;круглосуточно;
134;5;Стоянка легкового такси;Боровское шоссе, д.51. стр.1;37,3524214;55,63729407;5;Круглосуточно;
135;136;Стоянка легкового такси;Строгинский бул., д.12;37,40025385;55,80403122;4;Круглосуточно;
136;137;Стоянка легкового такси;Тушинская ул., д.17;37,44365846;55,82704214;4;Круглосуточно;
137;140;Стоянка легкового такси;Габричевского ул., д.10;37,46053154;55,81659522;2;Круглосуточно;
138;53;Стоянка легкового такси;Юности, д. 5;37,81111492;55,73217166;4;Круглосуточно;
139;57;Стоянка легкового такси;Преображенская пл., д. 11;37,71462247;55,79686365;2;Круглосуточно;
140;175;Стоянка легкового такси;Хорошевское шоссе, д.39;37,512406;55,777623;4;Круглосуточно;
141;176;Стоянка легкового такси;Хорошевское шоссе, д.22;37,543048;55,774135;4;Круглосуточно;
142;186;Стоянка легкового такси;Ленинградский проспект, д.37, к.6;37,543219;55,793561;4;Круглосуточно;
143;189;Стоянка легкового такси;Фестивальная улица, д.7;37,474641;55,854709;4;Круглосуточно;
144;60;Стоянка легкового такси;Зеленый проспект, д. 21;37,78428294;55,7509568;4;Круглосуточно;
145;201;Стоянка легкового такси;Яблочкова ул.,19;37,5809576;55,81849698;3;Круглосуточно;
146;66;Стоянка легкового такси;Большая Семеновская, д. 26, стр. 2;37,706172;55,782103;6;Круглосуточно;
147;70;Стоянка легкового такси;Проспект Буденного, д. 39, корп. 1;37,73389449;55,76405136;5;Круглосуточно;
148;71;Стоянка легкового такси;Проспект Буденного, д. 53;37,73934737;55,75814046;5;Круглосуточно;
149;74;Стоянка легкового такси;Сокольническая пл.;37,67820483;55,79244534;5;Круглосуточно;
150;219;Стоянка легкового такси;Рижская пл.,3;37,63296808;55,79326329;4;Круглосуточно;
151;223;Стоянка легкового такси;Костромская ул.,17;37,60106526;55,88438698;4;Круглосуточно;
