0_Код;1_Наименование;0_Код ОМК ТЕ;1_Сокращенная текстовая запись фактического адреса объекта учета;1_Телефон;1_Дата открытия;1_WEB-страница, содержащая сведения о государственных услугах;1_Наименование дополнительной услуги;1_WEB-страница, содержащая сведения о графике работы;1_ФИО руководителя;1_Площадь МФЦ;1_Количество «окон»
0020;МФЦ района Тёплый Стан;0709;ул. Академика Варги, д. 26а;(499) 940-98-58;02.05.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы";http://pgu.mos.ru/ru/mfc/;Кузьменко Елена Николаевна;1069;36
0019;МФЦ района Южное Бутово;0711;ул. Маршала Савицкого, д.28 и д. 30;(499) 940-98-18;26.03.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы";http://pgu.mos.ru/ru/mfc/;Гоч Сергей Степанович;1500,4;58
0024;МФЦ района Можайский;0809;ул. Маршала Неделина, д. 40;(499) 940-32-50;29.10.2012;http://pgu.mos.ru/ru/services/#mfc;"Фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных платежей через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Сапожникова Анастасия Сергеевна;2306;38
0025;МФЦ района Кунцево;0807;ул. Маршала Неделина, д. 40;(499) 940-18-30;29.10.2012;http://pgu.mos.ru/ru/services/#mfc;"Фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных платежей через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Мейер Виктор Викторович;2306;38
0036;МФЦ района Ивановское;0407;ул. Алексея Дикого, д.3;(499) 940 45 78;24.12.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Пермякова Наталья Борисовна;1060;43
0033;МФЦ района Крюково;1005;Зеленоград, корп.2019;(499) 940 15 78;28.12.2012;http://pgu.mos.ru/ru/services/#mfc;доступ к сети Интернет;http://pgu.mos.ru/ru/mfc/;Восьмерик Юрий Иванович;835;31
0043;МФЦ района Бирюлёво Восточное;0606;ул.Загорьевская, д.10, корп.4;(499) 940 32 82;12.03.2013;http://pgu.mos.ru/ru/services/#mfc;Фото- и копировальные услуги, доступ к порталам государственных и муниципальных услуг;http://pgu.mos.ru/ru/mfc/;Алексеев Артем Сергеевич;1365;43
0049;МФЦ района Тимирязевский;0215;ул.Тимирязевская, д.8, корп.1;(499) 940-04-14;22.04.2013;http://pgu.mos.ru/ru/services/#mfc;Доступ к сети Интернет;http://pgu.mos.ru/ru/mfc/;Лазарев Игорь Васильевич;1180,7;30
0048;МФЦ района Капотня;0505;Капотня, 2-й квартал, д.22;(499) 940 42 50;18.02.2013;http://pgu.mos.ru/ru/services/#mfc;Фото- и копировальные услуги, доступ к сети Интернет;http://pgu.mos.ru/ru/mfc/;Галанин Михаил Викторович;1133,4;26
0006;МФЦ района Ростокино;0312;ул. Бажова, д. 6;(495) 276-11-26;17.09.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги; оплата госпошлин и коммунальных услуг через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Земенков Михаил Владимирович;830,8;27
0015;МФЦ района Некрасовка;0512;Рождественская ул., д. 21, корп. 6;(499) 940-43-20;22.10.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет";http://pgu.mos.ru/ru/mfc/;Шутова Анастасия Владимировна;889;27
0012;МФЦ района Печатники;0511;Шоссейная ул., д. 86;(495) 530-44-30;17.10.2011;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Сергеев Александр Николаевич;1546;30
0021;МФЦ района Тропарёво-Никулино;0817;просп. Вернадского, д. 97, корп. 3;(499) 940-98-01;13.03.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Орловский Игорь Константинович;1016;39
0029;МФЦ района Ломоносовский;0706;ул.Гарибальди, д.6, корп.1;(499) 940 00 41;10.12.2012;http://pgu.mos.ru/ru/services/#mfc;Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы;http://pgu.mos.ru/ru/mfc/;Лыщенко Иван Иванович;1180,5;40
0044;МФЦ района Вешняки;0404;ул.Алексея Дикого, д.3;(499) 940 42 92;24.12.2013;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных платежей через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Булгакова Елена Анатольевна;2060;46
0031;МФЦ района Бескудниково;0203;ул.Дубнинская, д.40а, корп.1;(495) 531 31 00;11.02.2013;http://pgu.mos.ru/ru/services/#mfc;Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных платежей через платёжные терминалы;http://pgu.mos.ru/ru/mfc/;Снетков Александр Николаевич;1055;37
0027;межрайонный МФЦ районов Матушкино и Савёлки;"1009;1010";г. Зеленоград, корп. 337;(499) 940-15-55;31.10.2011;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Ещенко Оксана Александровна;985;22
0005;МФЦ района Северное Медведково;0314;ул. Тихомирова, д. 12, корп. 1;(495) 276-11-53;10.09.2012;http://pgu.mos.ru/ru/services/#mfc;;http://pgu.mos.ru/ru/mfc/;Иванникова Татьяна Юрьевна;850;35
