0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
47;POINT (4200434.7586 7519204.93);7399.0;"Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи """"Преображенский""""";"ГБОУ ДТД и М """"Преображенский""""";107553,г.Москва, ул.Большая Черкизовская, дом 15;14731.764145;15111.3279216;2401232.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Дворец;"(499) 161-15-06; (499) 161-14-56";http://dtdim.ucoz.com/
48;POINT (4205145.449999999 7509616.276299998);7543.0;"Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи """"Восточный""""";"ГБОУ ДТД и М """"Восточный""""";111123, г.Москва, Владимирская 1-я улица, дом 20;17406.827134;9727.57435357;2122312.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Дворец;(499) 721-69-91;http://www.dtdim-vostok.ru
49;POINT (4165612.409600001 7508803.248000003);789.0;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1671;ГБОУ детский сад № 1671;121609 г. Москва, ул. Крылатские холмы, д.11;-4891.689975;9238.7318529;2126984.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад компенсирующего вида;413-70-35;http://1671.ru
50;POINT (4174199.1429000013 7516778.212899998);6754.0;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества """"Детский музыкальный театр """"Домисолька""""";"ГБОУ ЦДТ ДМТ """"Домисолька""""";123298, г. Москва, ул. Маршала Бирюзова, д. 5;-47.74615;13722.545656;2114898.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;"(499) 198-09-83; (499) 198-18-82";http://domisolka.ru/
51;POINT (4164500.9375 7487959.024599999);678.0;"Государственное бюджетное образовательное учреждение города Москвы Станция юных техников """"Солнцево""""";"ГБОУ СЮТ """"Солнцево""""";119620, г. Москва, ул. Волынская, д. 8, корп. 2;-5533.9892;-2509.29956784;2112576.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Станция;435-35-33;http://sut-solncevo.mskzapad.ru
52;POINT (4181579.1092999987 7497971.836199999);6959.0;"Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр """"Кёкушин Каратэ""""";"ГБОУ ДЮЦ """"Кёкушин Каратэ""""";119333, г. Москва, ул. Губкина, д. 6, стр. 1;4120.567475;3136.4184344;2801481.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;(499) 134-24-30;http://кекушин.рф
53;POINT (4179992.1481 7546102.6536);7131.0;"Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр """"Северный""""";"ГБОУ ДЮЦ """"Северный""""";127204, г.Москва, 7-я Северная линия, д.13, стр.1, 2, 3;3205.11870201;30182.0514033;2131250.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;(499) 767-78-63;http://ducsever.ru
54;POINT (4157238.717700001 7486746.931400001);809.0;Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1844;ГБОУ ЦРР-детский сад № 1844;119634 г.Москва, ул. Шолохова, д. 9, корпус 2;-9643.1456;-3186.17817778;2112556.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Центр развития ребенка – детский сад;732-30-00;
55;POINT (4188488.3390999995 7513892.477399997);8159.0;Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1678;ГБОУ ЦРР - детский сад № 1678;129090 г. Москва, пер. Васнецова, д.2;8007.3209716;12106.619849;2126195.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Центр развития ребенка – детский сад;684-77-17;http://www.crrds1678.mskobr.ru
56;POINT (4196491.2831000015 7483585.455600001);8735.0;"Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей """"Детский телевизионный учебный центр""""";"ГБОУ ЦДОД """"Детский телевизионный учебный центр""""";115569 г. Москва, ул. Маршала Захарова, д. 14, к. 2;12567.2409305;-4964.57836749;2122874.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр дополнительного образование детей;"(495) 394-07-73; (495) 390-75-66; (495) 394-00-12";http://dtvcentr.ru
57;POINT (4174351.4157 7492511.664899997);8493.0;Государственное бюджетное образовательное учреждение города Москвы детский сад № 1729;ГБОУ детский сад № 1729;107066 г. Москва, ул. Старая Басманная, д.24, стр.7;37.667708999999995;55.766763;9513.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад компенсирующего вида;265-15-40;
58;POINT (4167890.6688 7505857.172600001);865.0;"Государственное бюджетное образовательное учреждение города Москвы дом детского творчества """"Кунцево""""";"ГБОУ ДДТ """"Кунцево""""";121467, г.Москва, ул. Молодогвардейская, д. 2, корп. 3;-3607.97390435;7578.79098549;72146.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Дом;"(499) 149-16-56; (499) 149-16-59; (499) 141-98-26";http://ddt-kuncevo.mskzapad.ru
59;POINT (4169656.150600001 7502575.434);876.0;"Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества """"Аминьево""""";"ГБОУ ЦРТДиЮ """"Аминьево""""";121357, г.Москва, ул. Артамонова, д.11;-2612.87410913;5729.68516536;2127094.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;443-20-45;http://crtd-aminievo.mskzapad.ru
60;POINT (4158101.8323 7515942.113700002);889.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции """"Рублево""""";"ГБОУ ЦППРиК """"Рублево""""";121500, г.Москва, ул. Василия Ботылева, д. 31;-9119.785;13262.2768609;2128180.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;(499) 727-18-55;http://rublevo.mskzapad.ru
61;POINT (4178655.1202999987 7535623.438900001);8657.0;"Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества """"Гермес""""";"ГБОУ ЦРТДЮ """"Гермес""""";127411, г. Москва,  ул. Учинская, д. 10;2457.652475;24307.238931;2132831.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;484-99-33;http://cmt-germes.ru/
