0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;1_Подчинен
9401;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""                                                                                                                                                                    ";"ГБОУ ЦО № 1404 ""Гамма""                                                                                                                                                                                                                                        ";107014, Москва,  ул. Большая Оленья,  д. 3                                                                                                                                                                                                                    ;11907,96559;15239,9475;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96                                                                                                                                                                                                             ";-                                                                                                                                                                                                                                                             ;Восточное окружное управление образования                                                                                                                                                                                                                     
8642;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1576                                                                                                                                                                            ;ГБОУ гимназия № 1576                                                                                                                                                                                                                                          ;125299, г. Москва, ул. Большая Академическая, д.22-А                                                                                                                                                                                                          ;1947,677025;17358,37725;2136709;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;450-77-07                                                                                                                                                                                                                                                     ;http://1576.ultranet.ru/about/                                                                                                                                                                                                                                ;Северное окружное управление образования                                                                                                                                                                                                                      
8470;Государственное бюджетное образовательное учреждение города Москвы гимназия №1563                                                                                                                                                                             ;ГБОУ гимназия  № 1563                                                                                                                                                                                                                                         ;105215,  Москва, ул. 13-я  Парковая ул.  д. 33                                                                                                                                                                                                                ;19587,9152;15687,91979;2115880;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;468-09-44                                                                                                                                                                                                                                                     ;http://гимназия1563.рф                                                                                                                                                                                                                                        ;Восточное окружное управление образования                                                                                                                                                                                                                     
8644;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1590                                                                                                                                                                            ;ГБОУ гимназия № 1590                                                                                                                                                                                                                                          ;125581, г. Москва, ул. Фестивальная, д. 16                                                                                                                                                                                                                    ;-56,86635;21432,38722;2112068;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;"(495) 454-02-80; (495) 454-31-31                                                                                                                                                                                                                              ";http://www.g1590.ru                                                                                                                                                                                                                                           ;Северное окружное управление образования                                                                                                                                                                                                                      
8747;Государственное бюджетное образовательное учреждение города Москвы Московская международная гимназия                                                                                                                                                          ;ГБОУ ММГ                                                                                                                                                                                                                                                      ;111123, Москва,  3-я Владимирская улица  дом 5                                                                                                                                                                                                                ;18124,55503;10648,47314;2122217;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;304-37-94                                                                                                                                                                                                                                                     ;http://goummg.ru                                                                                                                                                                                                                                              ;Восточное окружное управление образования                                                                                                                                                                                                                     
8504;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1520 имени Капцовых                                                                                                                                                             ;ГБОУ Гимназия № 1520 им. Капцовых                                                                                                                                                                                                                             ;125009 г.Москва, Леонтьевский пер., д.19/2, стр.1                                                                                                                                                                                                             ;6673,7126;10449,99242;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;"(495) 629-60-71; (495) 629-08-78; (495) 629-01-18; (495) 629-06-98; (495) 629-42-31; (495) 629-50-22; (495) 629-38-77                                                                                                                                         ";http://1520gym.ru/                                                                                                                                                                                                                                            ;Центральное окружное управление образования                                                                                                                                                                                                                   
8506;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1513 ""Московская городская лингвистическая гимназия""                                                                                                                            ";ГБОУ гимназия № 1513                                                                                                                                                                                                                                          ;121099 г. Москва, Новинский б-р, д.3, стр.2                                                                                                                                                                                                                   ;5219,8357;9374,920353;2127735;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(499) 254-08-29                                                                                                                                                                                                                                               ;http://1513.ru/                                                                                                                                                                                                                                               ;Центральное окружное управление образования                                                                                                                                                                                                                   
8745;Государственное бюджетное образовательное учреждение города Москвы гимназия № 45 имени Л.И.Мильграма                                                                                                                                                          ;ГБОУ гимназия №45                                                                                                                                                                                                                                             ;117036, г. Москва, ул. Гримау, д.8                                                                                                                                                                                                                            ;5122,01585;2631,251653;2108441;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;779-77-69                                                                                                                                                                                                                                                     ;http://ms45.edu.ru/                                                                                                                                                                                                                                           ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
10247;"Негосударственное образовательное учреждение ""Елизаветинская гимназия"" (филиал)                                                                                                                                                                               ";"НОУ ""Елизаветинская гимназия""                                                                                                                                                                                                                                 ";119017 Б. Ордынка улица, д. 36                                                                                                                                                                                                                                ;7899,732289;7838,329801;2112962;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(495) 951-84-46,(495) 651-84-47                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             
5007;"Негосударственное общеобразовательное учреждение Православная гимназия ""Радонеж""                                                                                                                                                                              ";НОУ Православная гимназия Радонеж                                                                                                                                                                                                                             ;117574 Одоевского проезд, 13                                                                                                                                                                                                                                  ;981,574725;-7564,33497;3000269;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(495) 423-51-22                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             
3735;Негосударственное образовательное учреждение Православная Свято-Петровская школа                                                                                                                                                                              ;НОУ Православная Свято-Петровская школа                                                                                                                                                                                                                       ;103064 Тессинский переулок, д.3                                                                                                                                                                                                                               ;9577,969033;9366,38376;2700671;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(495) 916-34-94                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             
3815;"Негосударственное образовательное учреждение Гимназия ""Эллада""                                                                                                                                                                                                ";НОУ Гимназия Эллада                                                                                                                                                                                                                                           ;115409 Кошкина улица, 6                                                                                                                                                                                                                                       ;10920,27832;-2639,772862;2123045;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(499) 324-83-28,(499) 324-83-29                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             
4975;"Негосударственное образовательное учреждение ""Классическая гимназия при Греко-латинском кабинете Ю.А. Шичалина""                                                                                                                                               ";НОУ Классическая гимназия при Греко-латинском кабинете Ю.А. Шичалина                                                                                                                                                                                          ;129110 Орлово-Давыдовский переулок, д. 5                                                                                                                                                                                                                      ;8915,3525;13015,16304;2126229;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(495) 680-92-41                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;Негосударственное                                                                                                                                                                                                                                             
