1_Протокол;1_Статья;1_Категория нарушения;1_Адреса проверок;1_Административный округ;1_Район;1_Наименование нарушителя;1_ИНН;1_Предписание;1_Устранить до
9020367 от 05.03.12;Ст.6.5 п.1;правонарушения в области землепользования;"г. Москва, ул. Стартовая, ост. ""ул. Стартовая, д.31""";Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью Компания ""Бизнестехнологии""";7709552124;9020367 от 05.03.12;05.июн
9003124/12 от 07.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пл. Ганецкого, вл.1;Северный;Войковский;"Общество с ограниченной ответственностью фирма ""Фрезия-1""";7726023071;9003124/12 от 07.03.12;07.июн
9003240 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Рябиновая, вл.26;Западный;Очаково-Матвеевское;"Закрытое акционерное общество ""Производственно-заготовительное предприятие ""Бумажник""";7710753065;9003240 от 12.03.12;13.июн
9003240/1 от 12.03.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, ул. Рябиновая, вл.26;Западный;Очаково-Матвеевское;"Закрытое акционерное общество ""Производственно-заготовительное предприятие ""Бумажник""";7710753065;9003240/1 от 12.03.12;12.июн
9084587 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Авиационная, вл.66;Северо-Западный;Щукино;Индивидуальный предприниматель Дудин Юрий Алексеевич;7,74E+11;9084587 от 12.03.12;12.июн
9016803 от 12.03.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Воронцовская, д.13/14, стр.3;Центральный;Таганский;"Закрытое акционерное общество ""МСУМР""";7709281996;9016803 от 12.03.12;12.июл
9003240/2 от 12.03.12;Ст.6.8 п.1;правонарушения в области землепользования;г. Москва, ул. Рябиновая, вл.26;Западный;Очаково-Матвеевское;"Закрытое акционерное общество ""Производственно-заготовительное предприятие ""Бумажник""";7710753065;9003240/2 от 12.03.12;12.июн
9003125/2 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Красный Казанец, вл.18 Г;Восточный;Вешняки;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9003125/2 от 12.03.12;12.июл
9003125/3 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Красный Казанец, вл.18В;Восточный;Вешняки;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9003125/3 от 12.03.12;13.июл
9076788/2к от 05.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Ленинский просп., вл.106, корп.1;Западный;Проспект Вернадского;"Товарищество собственников жилья ""КВАРТ-106""";7729429714;9076788/2к от 05.03.12;05.июн
9003125/1 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Красный Казанец, вл.18, стр.1;Восточный;Вешняки;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9003125/1 от 12.03.12;12.июл
9050434 от 06.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Кошкина, вл.21;Южный;Москворечье-Сабурово;"Общество с ограниченной ответственностью ""СПЛИН""";7724256553;9050434 от 06.03.12;16.июл
9066340 от 11.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Азовская, вл.25, корп.1;Юго-Западный;Зюзино;Индивидуальный предприниматель Самсиани Леван Эспандриевич;7,73E+11;9066340 от 11.03.12;11.июл
9076912 от 07.03.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ш. Очаковское, вл.10, корп.1, стр.2;Западный;Очаково-Матвеевское;"Общество с ограниченной ответственностью ""Школьные Годы""";7731257156;9076912 от 07.03.12;07.июн
9020422 от 07.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пр. Гостиничный, вл.8;Северо-Восточный;Марфино;"Общество с ограниченной ответственностью ""КОМПАНИЯ ГРАНД и Л""";7715065376;9020422 от 07.03.12;14.июн
9066327 от 11.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Обручева, вл.28Г, стр.1;Юго-Западный;Обручевский;"Общество с ограниченной ответственностью ""Стройкодор-2000""";7728198775;9066327 от 11.03.12;10.июн
