1_Протокол;1_Статья;1_Категория нарушения;1_Адреса проверок;1_Административный округ;1_Район;1_Наименование нарушителя;1_ИНН;1_Предписание;1_Устранить до
9084904/1 от 14.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Авиационная, вл.68, корпус 2;Северо-Западный;Щукино;"Открытое акционерное общество ""АПРЭО""";7734048880;9084904/1 от 14.05.12;14.авг
9030802 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. 15-я Парковая, вл.26;Восточный;Восточное Измайлово;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9030802 от 15.05.12;10.июл
9066697 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Ленинский просп., вл.60/2, правая сторона;Юго-Западный;Гагаринский;"Общество с ограниченной ответственностью ""ЮНИОН БЕН""";7737043390;9066697 от 15.05.12;15.ноя
9084904/2 от 14.05.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, ул. Авиационная, вл.68, корпус 2;Северо-Западный;Щукино;"Открытое акционерное общество ""АПРЭО""";7734048880;9084904/2 от 14.05.12;14.авг
9020680 от 14.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пр. Гостиничный, вл.8;Северо-Восточный;Марфино;Индивидуальный предприниматель Варенов Юрий Павлович;7,72E+11;9020680 от 14.05.12;14.авг
9030499 от 14.05.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, Новогиреевская ул., вл.28А;Восточный;Перово;"Общество с ограниченной ответственностью ""Сударыня""";7717668891;9030499 от 14.05.12;14.авг
9030803 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. 16-я Парковая, вл.31;Восточный;Восточное Измайлово;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9030803 от 15.05.12;10.июл
9017101 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, бульв. Рождественский, вл.21;Центральный;Мещанский;"Общество с ограниченной ответственностью ""Формат-Инвест""";7734240320;9017101 от 15.05.12;15.авг
9050795 от 15.05.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, пр. Хлебозаводский, вл.7;Южный;Нагатино-Садовники;"Открытое акционерное общество ""Московский булочно-кондитерский комбинат ""Коломенское""";7724174710;9050795 от 15.05.12;15.окт
9084692 от 15.05.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Свободы, д.47/2;Северо-Западный;Южное Тушино;"Общество с ограниченной ответственностью ""РСК-БЕРКУТ""";7733110511;9084692 от 15.05.12;15.ноя
9077210/3 от 15.05.12;Ст.6.6 п.1;правонарушения в области землепользования;г. Москва, Ленинский просп., вл.166;Западный;Тропарево-Никулино;"Закрытое акционерное общество ""ЛИПСОН""";7703186810;9077210/3 от 15.05.12;15.авг
9030804 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Первомайская ул., вл.82;Восточный;Восточное Измайлово;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9030804 от 15.05.12;10.июл
9077210/2 от 15.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Ленинский просп., вл.166;Западный;Тропарево-Никулино;"Закрытое акционерное общество ""ЛИПСОН""";7703186810;9077210/2 от 15.05.12;15.авг
9003442/4 от 15.05.12;Ст.6.8 п.1;правонарушения в области землепользования;г. Москва, ш. Сколковское, вл.33;Западный;Можайский;"Общество с ограниченной ответственностью ""Афида-сервис""";7728191089;9003442/4 от 15.05.12;15.сен
9003442/2 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ш. Сколковское, вл.33;Западный;Можайский;"Общество с ограниченной ответственностью ""ПластСити""";7721602685;9003442/2 от 15.05.12;15.сен
9003442/3 от 15.05.12;Ст.6.8;правонарушения в области землепользования;г. Москва, ш. Сколковское, вл.33;Западный;Можайский;"Общество с ограниченной ответственностью ""ПластСити""";7721602685;9003442/3 от 15.05.12;15.сен
9050632 от 14.05.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, Варшавское ш., вл.36, г. Москва, ул. Нагатинская, вл.1;Южный;Нагорный;"Общество с ограниченной ответственностью ""ХАНТ-ХОЛДИНГ""";5006004770;9050632 от 14.05.12;14.окт
9050701 от 14.05.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Воронежская ул., вл.21;Южный;Орехово-Борисово Южное;"Общество с ограниченной ответственностью Фирма ""ФАП-94""";7724229285;9050701 от 14.05.12;14.сен
9003403/1 от 15.05.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, Литовский бульв., вл.22;Юго-Западный;Ясенево;"Закрытое акционерное общество ""Диалайт""";7729058080;9003403/1 от 15.05.12;15.авг
9003442/1 от 15.05.12;Ст.6.8;правонарушения в области землепользования;г. Москва, ш. Сколковское, вл.33;Западный;Можайский;"Общество с ограниченной ответственностью ""Юнгхайнрих подъемно-погрузочная техника""";7715364168;9003442/1 от 15.05.12;15.сен
9003403 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Литовский бульв., вл.22;Юго-Западный;Ясенево;"Закрытое акционерное общество ""Диалайт""";7729058080;9003403 от 15.05.12;15.авг
9030805 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, бульв. Измайловский, вл.63;Восточный;Восточное Измайлово;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9030805 от 15.05.12;10.июл
9020805/3 от 15.05.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, Ярославское ш., д.65;Северо-Восточный;Ярославский;"Общество с ограниченной ответственностью ""Ярославский Посад""";7716101203;9020805/3 от 15.05.12;15.авг
9040640 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, 5-й квартал Капотня, вл.30;Юго-Восточный;Капотня;"Общество с ограниченной ответственностью ""Кристина - М""";7723303899;9040640/3к от 15.05.12;15.авг
9030808 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. 16-я Парковая, вл.19;Восточный;Восточное Измайлово;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9030808 от 15.05.12;10.июл
9030806 от 15.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Первомайская ул., вл.88;Восточный;Восточное Измайлово;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9030806 от 15.05.12;10.июл
9017130 от 15.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, пер. Переведеновский, вл.13, стр.1;Центральный;Басманный;"Общество с ограниченной ответственностью  ""Переведеновский""";7707674663;9017130 от 15.05.12;15.сен
9066539 от 11.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, промзона 62 Теплого Стана, ( ул.Профсоюзная, вл.133Б);Юго-Западный;Теплый Стан;"Общество с  ограниченной ответственностью ""НПК-РУСАР""";7728256561;9066539 от 11.05.12;11.авг
9077120 от 03.05.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Рябиновая, вл.69, стр.5;Западный;Очаково-Матвеевское;"Общество с ограниченной ответственностью ""Билдинг-АРРРО""";7729391323;9077120 от 03.05.12;03.авг
9040793 от 04.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Нижегородская ул., вл.72;Юго-Восточный;Нижегородский;"Общество с ограниченной ответственностью ""ОРХИДЕЯ""";7722501288;9040793 от 04.05.12;04.сен
9040558/2к1 от 04.05.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, ул. Перерва, вл.21А;Юго-Восточный;Марьино;"Региональная общественная организация помощи автомобилистам ""Защита""";7723136937;9040558/2к1 от 04.05.12;06.авг
9020669 от 02.05.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Сущевский Вал, д.71;Северо-Восточный;Марьина Роща;"Общество с ограниченной ответственностью ""Тальвег АБС""";7734216790;9020669 от 02.05.12;02.сен
9020793 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Ботаническая, вл.6;Северо-Восточный;Марфино;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020793 от 03.05.12;06.авг
9020795 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Бориса Галушкина, (ост. пл. Академика Люльки);Северо-Восточный;Алексеевский;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020795 от 03.05.12;06.авг
9020696 от 03.05.12;Ст.6.3 п.2;правонарушения в области землепользования;г. Москва, Лианозово, 2-й микрорайон, корп.14;Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью ""ФСГ КОРД""";7715252954;9020696 от 03.05.12;03.авг
9077115 от 04.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Озерная, вл.33, стр.3;Западный;Очаково-Матвеевское;"Общество с ограниченной ответственностью ""Компания ""Русские продукты""";7729363037;9077115 от 04.05.12;04.июл
9020794 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Новоалексеевская, (ост. м. Алексеевская);Северо-Восточный;Алексеевский;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020794 от 03.05.12;06.авг
9020753/2 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Широкая, вл.9, ОТМ №2;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020753/2 от 03.05.12;03.авг
9040773/п от 02.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Рязанский просп., вл.14;Юго-Восточный;Рязанский;"Общество с ограниченной ответственностью ""ОРХИДЕЯ""";7722501288;9040773/п от 02.05.12;02.авг
9020752/2 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, пр. Заревый, вл.19, ОТМ №2;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020752/2 от 03.05.12;03.авг
9020753/1 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Широкая, вл.9, ОТМ №1;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020753/1 от 03.05.12;03.авг
9040774/п от 02.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Рязанский просп., вл.20;Юго-Восточный;Рязанский;"Общество с ограниченной ответственностью ""ОРХИДЕЯ""";7722501288;9040774/п от 02.05.12;02.авг
9077299 от 02.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Воробьевы Горы, причал;Западный;Раменки;"Открытое акционерное общество ""Пассажирский порт""";7725009028;9077299 от 02.05.12;02.авг
9077244 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Рябиновая, вл.38Б;Западный;Очаково-Матвеевское;"Общество с ограниченной ответственностью  ""Агрофирма ""МИЦЕЛИЙ""";5032023722;9077244 от 03.05.12;03.авг
9040775 от 02.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Рязанский просп., вл.24;Юго-Восточный;Рязанский;"Общество с ограниченной ответственностью ""ОРХИДЕЯ""";7722501288;9040775 от 02.05.12;02.авг
9003444 от 04.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Литовский бульв., вл.1;Юго-Западный;Ясенево;"Гаражно-строительный кооператив ""Узкое""";7728304906;9003444 от 04.05.12;04.сен
9050801 от 04.05.12;Ст.6.4;правонарушения в области землепользования;г. Москва, ул. Бехтерева, вл.2;Южный;Царицыно;Индивидуальный предприниматель Гусейнов Мамедалы Иса Оглы;7,72E+11;9050801 от 04.05.12;01.авг
9077300/12к от 04.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Кутузовский просп., вл.37А;Западный;Дорогомилово;"Гаражно-потребительский кооператив ""Кутузово""";7730067378;9077300/12к от 04.05.12;04.авг
9020705 от 04.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Декабристов, вл.12-14;Северо-Восточный;Отрадное;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020705 от 04.05.12;06.авг
9003472 от 04.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Авиационная, вл.22;Северо-Западный;Щукино;"Общество с ограниченной ответственностью ""ДЕЛЬТА МЕНЕДЖМЕНТ""";7718240280;9003472 от 04.05.12;03.авг
9017181/к от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, бульв. Гоголевский, вл.29;Центральный;Арбат;"Общество с ограниченной ответственностью ""АЛЬФАСИТИ""";7706264368;9017181/к от 03.05.12;03.авг
9020706 от 04.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Декабристов, вл.43;Северо-Восточный;Отрадное;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020706 от 04.05.12;06.авг
9030536 от 04.05.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, ул. Вешняковская, д.39Г;Центральный;Хамовники;"Общество с ограниченной ответственностью ""Ода-В""";7720037720;9030536 от 04.05.12;03.авг
9030546 от 03.05.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Рудневка, д.18;Восточный;Косино-Ухтомский;Индивидуальный предприниматель Каракаев Станислав Юрьевич;7,72E+11;9030546 от 03.05.12;03.сен
9020596 от 05.05.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, ул. Таежная, вл.8, стр.1;Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью ""Жилфондпроект""";7717502889;9020596 от 05.05.12;05.июл
9003473/2к1 от 05.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Цимлянская, вл.7;Юго-Восточный;Люблино;"Закрытое акционерное общество ""ИЛГАЧ-ПЛЮС""";7721110764;9003473/2к1 от 05.05.12;05.сен
9050797 от 04.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, метро Южная, (северо-западный выход);Южный;Чертаново Северное;"Общество с ограниченной ответственностью ""АСТРА ПОЛАРИС""";7724213292;9050797 от 04.05.12;04.июл
9084792/1 от 04.05.12;Ст.6.11;правонарушения в области землепользования;г. Москва, Волоколамское ш., вл.95;Северо-Западный;Покровское-Стрешнево;"Общество с ограниченной ответственностью ""Дженсер сервис Ю17""";7728699443;9084792/1 от 04.05.12;04.авг
9084792 от 04.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Волоколамское ш., вл.95;Северо-Западный;Покровское-Стрешнево;"Общество с ограниченной ответственностью ""Дженсер сервис Ю17""";7728699443;9084792 от 04.05.12;04.июн
9050798 от 04.05.12;Ст.6.12;правонарушения в области землепользования;"г. Москва, ул. Кировоградская, (станция метро ""Южная"")";Южный;Чертаново Северное;"Общество с ограниченной ответственностью ""АСТРА ПОЛАРИС""";7724213292;9050798 от 04.05.12;04.июл
9017213/6к от 04.05.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Красная Пресня, д.9, стр.2;Центральный;Пресненский;"Общество с ограниченной ответственностью ""Техстройсервис-5""";7729097699;9017213/6к от 04.05.12;04.сен
9066593 от 04.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Миклухо-Маклая, вл.43-45;Юго-Западный;Коньково;"Общество с ограниченной ответственностью ""Тома""                                                                                                                                                                                                           ";7724051330;9066593 от 04.05.12;03.авг
9077273/2 от 04.05.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Большая Филевская, д.19/18, корп.2;Западный;Филевский Парк;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (открытое акционерное общество)";7734202860;9077273/2 от 04.05.12;03.июн
9020704 от 04.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Юрловский пр., вл.5;Северо-Восточный;Отрадное;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020704 от 04.05.12;06.авг
9017114/6 от 04.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, метро Кузнецкий мост, (ул. Рождественка, вл. 6/9/20);Центральный;Мещанский;Индивидуальный предприниматель Полло Татьяна Викторовна;7,72E+11;9017114/6 от 04.05.12;04.сен
9020752/1 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, пр. Заревый, вл.19, ОТМ №1;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020752/1 от 03.05.12;03.авг
9066643 от 02.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, метро Бульвар Дмитрия Донского, северный вход, бульвар Дмитрия Донского, нечетная сторона, вход у дороги;Юго-Западный;Северное Бутово;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9066643 от 02.05.12;02.авг
9077273 от 02.05.12;Ст.9.9 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Большая Филевская, д.19/18, корп.2;Западный;Филевский Парк;"Общество с ограниченной ответственностью ""Аптечная сеть Оз""";7709068298;9077273 от 02.05.12;03.июн
9094087 от 28.04.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Клязьминская, вл.11, корп.4;Северный;Дмитровский;"Закрытое акционерное общество ""Импульс-МК""";7707007395;9094087 от 28.04.12;28.июл
9084681 от 02.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Кулакова, вл.27;Северо-Западный;Строгино;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9084681 от 02.05.12;02.авг
9084682 от 02.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Маршала Катукова, вл.3;Северо-Западный;Строгино;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9084682 от 02.05.12;02.авг
9003451/3п от 03.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Чугунные Ворота, вл.23;Юго-Восточный;Выхино-Жулебино;"Местная общественная организация автолюбителей ""Выхино-Жулебино""";7721234939;9003451/3п от 03.05.12;03.сен
9084683 от 02.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Таллинская ул., вл.32;Северо-Западный;Строгино;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9084683 от 02.05.12;02.авг
9016993/13к от 03.05.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Доватора, д.13;Центральный;Хамовники;"Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям ""Хамовники"" Департамента семейной и молодежной политики города Москвы";7704701365;9016993/13к от 03.05.12;30.ноя
9050637/7к от 03.05.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Балаклавский просп., вл.33;Южный;Чертаново Северное;"Общество с ограниченной ответственностью ""Плодимпекс""";7725154314;9050637/7к от 03.05.12;03.сен
9077056/5к от 02.05.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Брянская, вл.2;Западный;Дорогомилово;"ЖСК ""Московский Союз художников - 2""";7730010149;9077056/5к от 02.05.12;24.июл
9017135 от 02.05.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, ул. Рочдельская, вл.11/5, стр.2;Центральный;Пресненский;"Закрытое акционерное общество ""АСГАРД""";7706066327;9017135 от 02.05.12;02.авг
9040731 от 02.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Волгоградский просп., вл.47;Юго-Восточный;Текстильщики;"Общество с ограниченной ответственностью ""Цна-1""";5040054869;9040731 от 02.05.12;02.окт
9050602 от 26.04.12;Ст.6.12;правонарушения в области землепользования;г. Москва, бульв. Кленовый, вл.12;Южный;Нагатинский Затон;"Общество с ограниченной ответственностью фирма ""КОЛОБОК""";7725045019;9050602 от 26.04.12;03.сен
9077035 от 28.04.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, пр. 2-й Сетуньский, рядом с вл.4;Западный;Раменки;"Общество с ограниченной ответственностью ""ППСК ТЭЦ-25""";7729119134;9077035 от 28.04.12;28.июл
9020657 от 02.05.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пр. Анадырский, вл.10;Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью ""ВОСТОК-СЕВЕР""";7715258850;9020657 от 02.05.12;02.авг
9017061/к от 27.04.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Новый Арбат, вл.7/1, стр.3;Центральный;Арбат;"Общество с ограниченной ответственностью ""Исток""";7707662509;9017061/к от 27.04.12;27.июл
9077035/1 от 28.04.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, Веерная ул., вл.1;Западный;Очаково-Матвеевское;"Общество с ограниченной ответственностью ""ППСК ТЭЦ-25""";7729119134;9077035/1 от 28.04.12;28.июл
9066665 от 02.05.12;Ст.6.2 п.2;правонарушения в области землепользования;г. Москва, просп. Вернадского, пересечение с Ломоносовским проспектом;Юго-Западный;Гагаринский;"Закрытое акционерное общество ""ПроЭль""";7724208341;9066665 от 02.05.12;02.ноя
9030593 от 03.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. 5-я Парковая, вл.57;Восточный;Северное Измайлово;"Общество с ограниченной ответственностью ""АСПАТЕК""";7725188440;9030593 от 03.05.12;01.июн
9020749/2 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Грекова, вл.16, ОТМ №2;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020749/2 от 03.05.12;03.авг
9020749/3 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Грекова, вл.16, ОТМ №3;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020749/3 от 03.05.12;03.авг
9077250/1 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. 50 лет Октября, д.8, стр.В;Западный;Солнцево;"Производственный кооператив ""Ремшина""";7732022936;9077250/1 от 03.05.12;23.июл
9020749/1 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Грекова, вл.16, ОТМ №1;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020749/1 от 03.05.12;03.авг
9020750 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Широкая, вл.1, корп.1;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020750 от 03.05.12;03.авг
9050800 от 03.05.12;Ст.6.12;правонарушения в области землепользования;"г. Москва, Чертановская ул., автобусная остановка ""улица Сумская""";Южный;Чертаново Северное;"Общество с ограниченной ответственностью ""МЦКДО""";7726275777;9050800 от 03.05.12;03.июл
9020751/2 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, пр. Заревый, вл.14/12, ОТМ №2;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020751/2 от 03.05.12;03.авг
9050799/1 от 03.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Кировоградская, вл.6;Южный;Чертаново Северное;"Общество с ограниченной ответственностью ""МЦКДО""";7726275777;9050799/1 от 03.05.12;03.июл
9020751/1 от 03.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, пр. Заревый, вл.14/12, ОТМ №1;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9020751/1 от 03.05.12;03.авг
9030594 от 03.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. 11-я Парковая, вл.43;Восточный;Северное Измайлово;"Общество с ограниченной ответственностью ""АСПАТЕК""";7725188440;9030594 от 03.05.12;01.июн
9066541/4к от 03.05.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Малая Юшуньская ул., д.1, корп.1;Юго-Западный;Зюзино;"Закрытое акционерное общество ""Партнер""";7706027230;9066541/4к от 03.05.12;27.авг
9084684 от 02.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Таллинская ул., вл.20;Северо-Западный;Строгино;"Общество с ограниченной ответственностью ""Рент сервис""";7722305678;9084684 от 02.05.12;02.авг
9084841 от 04.05.12;Ст.9.7 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, Волоколамский пр., д.3, корп.1;Северо-Западный;Покровское-Стрешнево;"Общество с ограниченной ответственностью ""РЭДБЕРН""";7714503637;9084841 от 04.05.12;04.сен
9084723 от 03.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Расплетина, вл.2, стр.2;Северо-Западный;Щукино;"Гаражно-строительный кооператив ""Лантан""";7734139150;9084723 от 03.05.12;03.сен
9040772/п от 02.05.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Михайлова, вл.4;Юго-Восточный;Рязанский;"Общество с ограниченной ответственностью ""ОРХИДЕЯ""";7722501288;9040772/п от 02.05.12;02.авг
9084716 от 03.05.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Народного Ополчения, д.29, корп.1;Северо-Западный;Хорошево-Мневники;"Общество с ограниченной ответственностью ""БИК""";7701013000;9084716 от 03.05.12;03.сен
9077229/п от 03.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Кутузовский просп., вл.2/1;Западный;Дорогомилово;"Открытое акционерное общество ""Гостиница ""Украина""";7730118505;9077229/п от 03.05.12;03.июл
9066527 от 03.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Кедрова, вл.18;Юго-Западный;Академический;Индивидуальный предприниматель Миронов Владимир Андреевич;7,72E+11;9066527 от 03.05.12;03.сен
9030738 от 11.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. 2-я Владимирская, вл.38, стр.1;Восточный;Перово;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9030738 от 11.05.12;01.авг
9066575 от 10.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Миклухо-Маклая, вл.47;Юго-Западный;Коньково;"Общество с ограниченной ответственностью ""ЛАРТЕН-ТРЕЙД""";7715291872;9066575 от 10.05.12;10.авг
9030726 от 11.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Перовская, вл.8, стр.1;Восточный;Перово;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9030726 от 11.05.12;01.авг
9066573 от 10.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Строителей, вл.7;Юго-Западный;Ломоносовский;"Общество с ограниченной ответственностью ""ЛАРТЕН-ТРЕЙД""";7715291872;9066573 от 10.05.12;10.авг
9030725 от 11.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Новогиреевская ул., вл.20, стр.1;Восточный;Перово;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9030725 от 11.05.12;01.авг
9030741 от 11.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, просп. Зеленый, вл.31/32Е;Восточный;Перово;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9030741 от 11.05.12;01.авг
9066666 от 10.05.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Балаклавский просп., вл.20;Юго-Западный;Зюзино;"Общество с ограниченной ответственностью ""ПРАЙМ КОНСАЛТ""";7725238412;9066666 от 10.05.12;10.авг
