"0_UID";"1_Название объекта";"1_Адрес";"0_Координата X";"0_Координата Y";"1_Наименование парка";"1_Имя WiFi сети";"1_Зона покрытия (метры)";"1_Условия доступа"
1326;"Wi-Fi точка №18";"Лазо улица, дом 7";17468,6834;8204,0248;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1327;"Wi-Fi точка №19";"Лазо улица, дом 7";17435,6104;8032,0453;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1328;"Wi-Fi точка №20";"Лазо улица, дом 7";17349,6207;7993,6806;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1329;"Wi-Fi точка №3";"Большая Филевская улица, дом 22";-450,2586;8864,1615;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха Фили"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1330;"Wi-Fi точка №4";"Большая Филевская улица, дом 22";-1402,7605;9171,0788;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха Фили""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1331;"Wi-Fi точка №5";"Большая Филевская улица, дом 22";-429,0919;9290,1415;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха Фили"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1332;"Wi-Fi точка №5";"Таганская улица, дом 40-42";10503,7779;7965,8993;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Таганский"" ";" Moscow_Wi-Fi_Free";20;"открытая сеть"
1333;"Wi-Fi точка №6";"Таганская улица, дом 40-42";10653,5323;7922,5075;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Таганский""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1334;"Wi-Fi точка №7";"Таганская улица, дом 40-42";10662,7928;7896,3137;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Таганский""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1335;"Wi-Fi точка №8";"Таганская улица, дом 40-42";10675,4928;7865,0928;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Таганский""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1336;"Wi-Fi точка №9";"Таганская улица, дом 40-42";10685,2824;7837,3115;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Таганский""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1337;"Wi-Fi точка №6";"Старая Бассманная улица, дом 15";10161,6709;11172,5895;"Государственное учреждение культуры города Москвы ""Сад культуры и отдыха имени Н.Э.Баумана"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1338;"Wi-Fi точка №7";"Старая Басманная  улица, дом 15";10116,6917;11318,1107;"Государственное учреждение культуры города Москвы ""Сад культуры и отдыха имени Н.Э.Баумана"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1339;"Wi-Fi точка №8";"Старая Басманная  улица, дом 15";10173,8418;11086,8644;"Государственное учреждение культуры города Москвы ""Сад культуры и отдыха имени Н.Э.Баумана"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1340;"Wi-Fi точка №9";"Старая Басманная  улица, дом 15";10142,6209;11332,9274;"Государственное учреждение культуры города Москвы ""Сад культуры и отдыха имени Н.Э.Баумана"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1341;"Wi-Fi точка №7";"Каретный Ряд улица, дом 4, строение 7";6884,6675;11452,387;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1342;"Wi-Fi точка №8";"Каретный ряд улица, дом 3, строение 7";7133,3763;11537,583;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1343;"Wi-Fi точка №8";"Каретный Ряд улица, дом 3, строение 7";6889,43;11630,1873;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1344;"Wi-Fi точка №9";"Каретный Ряд улица, дом 3, строение 7";6860,3258;11610,079;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1345;"Wi-Fi точка №10";"Каретный Ряд улица, дом 3, строение 7";6860,855;11556,633;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1346;"Wi-Fi точка №1";"Мантулинская  улица, дом 5, строение 2";3385,0168;9805,5509;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1347;"Wi-Fi точка №6";"Мантулинская  улица, дом 5, строение 2";3332,1;9835,978;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1348;"Wi-Fi точка №7";"Мантулинская  улица, дом 5, строение 2";3217,006;9850,5301;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1349;"Wi-Fi точка №8";"Мантулинская  улица, дом 5, строение 2";3261,9853;9841,2697;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1350;"Wi-Fi точка №9
";"Мантулинская  улица, дом 5, строение 2
";3292,4124;9857,1447;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1351;"Wi-Fi точка №5";"Народный проспект, дом 17";15846,2552;11504,8407;"Государственное учреждение культуры города Москвы ""Измайловский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1352;"Wi-Fi точка №6";"Сокольнический, дом 1, строение 1
";11184,949;14158,0877;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1353;"Wi-Fi точка №7";"Сокольнический, дом 1, строение 1
";11213,6564;14189,5732;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1354;"Wi-Fi точка №8";"Сокольнический, дом 1, строение 1
";11238,395;14227,541;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1355;"Wi-Fi точка №9";"Сокольнический, дом 1, строение 1
";11145,526;14191,5576;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1356;"Wi-Fi точка №10";"Сокольнический, дом 1, строение 1
";11085,7301;14187,8534;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1357;"Wi-Fi точка №11";"Сокольнический, дом 1, строение 1
";11148,701;14252,941;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1358;"Wi-Fi точка №12";"Сокольнический, дом 1, строение 1
";11097,9009;14261,9369;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1359;"Wi-Fi точка №13";"Сокольнический, дом 1, строение 1
";11179,9219;14285,2202;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1360;"Wi-Fi точка №14";"Сокольнический, дом 1, строение 1
";11224,372;14300,0369;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1361;"Wi-Fi точка №15";"Сокольнический, дом 1, строение 1
";11147,775;14333,9037;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1362;"Wi-Fi точка №16";"Сокольнический, дом 1, строение 1
";11074,2207;14298,1848;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1363;"Wi-Fi точка №17";"Сокольнический, дом 1, строение 1
";11091,6832;14486,0394;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1364;"Wi-Fi точка №18";"Сокольнический, дом 1, строение 1
";11213,9209;14364,3308;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1365;"Wi-Fi точка №19";"Сокольнический, дом 1, строение 1
";11259,4294;14344,7516;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1366;"Wi-Fi точка №20";"Сокольнический, дом 1, строение 1
";11309,9649;14274,3723;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1367;"Wi-Fi точка №21";"Сокольнический, дом 1, строение 1
";10916,3964;14212,9888;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";20;"открытая сеть"
1368;"Wi-Fi точка №22";"Сокольнический, дом 1, строение 1
";10944,4423;14209,8138;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1369;"Wi-Fi точка №23";"Сокольнический, дом 1, строение 1
";10666,6292;14034,1302;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1370;"Wi-Fi точка №24";"Сокольнический, дом 1, строение 1
";10623,2375;14044,9781;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1371;"Wi-Fi точка №25";"Сокольнический, дом 1, строение 1
";10617,9458;14242,0931;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1372;"Wi-Fi точка №26";"Сокольнический, дом 1, строение 1
";10501,5289;14175,9471;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1373;"Wi-Fi точка №27";"Сокольнический, дом 1, строение 1
";10330,8723;14275,1661;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1374;"Wi-Fi точка №6";"Кузьминки-Заречье улица, дом 1, строение 2";17007,646;3061,7051;"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1375;"Wi-Fi точка №6";"Кузьминки-Заречье улица, дом 1, строение 2";16916,3646;3191,3512;"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки» ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1376;"Wi-Fi точка №7";"Кузьминки-Заречье улица, дом 1, строение 2";16893,875;3145,0491;"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки» ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1601;"Wi-Fi точка №8";"Кузьминки-Заречье улица, дом 1, строение 2";16852,8645;3127,8511;"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки» ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1602;"Wi-Fi точка №9";"Кузьминки-Заречье улица, дом 1, строение 2";16815,8227;3063,0281;"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1603;"Wi-Fi точка №10";"Кузьминки-Заречье улица, дом 1, строение 2";16745,708;3032,6009;"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки» ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1604;"Wi-Fi точка №11";"Кузьминки-Заречье улица, дом 1, строение 2";16917,6875;3056,4135;"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки» ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1605;"Wi-Fi точка №12";"Кузьминки-Заречье улица, дом 1, строение 2";16945,4688;3139,7574;"Государственное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»";"Moscow_Wi-Fi_Free";20;"открытая сеть"
