0_OBJECTID;0_UIDNFTN;1_Кадастровый номер;1_Адрес;1_Площадь;0_ZPO;1_Разрешение на использование
606;25184284;77:03:0005024:57;ул Чечулина (г Москва, улица Чечулина, вл 20А);9918; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
607;25188717;77:09:0004013:29;ул Верхняя Масловка (г Москва, ул Верхняя Масловка, вл 29а);4393; ;осуществления учебно-воспитательной деятельности
608;25216032;77:09:0003021:3;ул Астрадамская (г Москва, ул Астрадамская, вл 5В);9794,3; ;ЭКСПЛУАТАЦИИ ДЕТСКИХ ЯСЛЕЙ-САДА
609;25188974;77:10:0006003:33;мкр 15-й (г Москва, 15-й микрорайон г Зеленограда, корпус 1548);8419; ;эксплуатации здания с целью организации учебно-воспитательного процесса детей
610;25184737;77:03:0006023:45;ул Молостовых (г Москва, ул Молостовых, вл 1, корпус 5);9791; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
611;25318521;77:03:0002017:58;ул Алтайская (г. Москва, ул. Алтайская, вл. 18А);10250; ;эксплуатации здания учебно-воспитательного комплекса и прилегающей территории
612;25185249;77:04:0004001:49;ул Юных Ленинцев (г Москва, ул Юных Ленинцев, вл 35, корпус 2);13764; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ОБРАЗОВАНИЯ № 654
613;25184935;77:04:0003007:35;ул Шоссейная (г Москва, ул Шоссейная, вл 10);11739; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
614;25229354;77:04:0002005:71;кв-л Грайвороново 90а (г Москва, кв-л Грайвороново 90а, корп 15);9321; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
615;25226241;77:01:0002003:92;ул Житная (г Москва, ул Житная, вл 6-8, стр 1);857; ;эксплуатации зданий историко-культурного назначения
616;25212577;77:03:0002020:1007;ул Богатырская 3-я (г. Москва, 3-я Богатырская ул., вл. 5);6976,47; ;земельные участки, предназначенные для размещения объектов образования (1.2.7)
617;25230622;77:06:0001006:14;ул Крупской (г Москва, ул Крупской, вл 9);9698; ;эксплуатации имущественного комплекса школы-интерната без права изменения функционального назначения
618;25214894;77:02:0020008:2;ул Гончарова (г Москва, ул Гончарова, вл 6а);2772; ;эксплуатации здания лечебно-профилактического учреждения.
619;25298454;77:03:0007003:110;ул Молдагуловой (г Москва, ул Молдагуловой, вл 14/1, стр 1);1362; ;ЭКСПЛУАТАЦИИ АДМИНИСТРАТИВНОГО ЗДАНИЯ
