0_Код;Название;Адрес;Число парковочных мест;Время работы;Стоимость
146;Парковка №53 (Зона 1005);Неглинная улица,2/4;9;Круглосуточно;50 рублей в час
147;Парковка №54 (Зона 1005);Неглинная улица,2/6;10;Круглосуточно;50 рублей в час
148;Парковка №56 (Зона 1005);Неглинная улица,18/1;7;Круглосуточно;50 рублей в час
149;Парковка №57 (Зона 1005);Неглинная улица,20/2с1;11;Круглосуточно;50 рублей в час
150;Парковка №58 (Зона 1005);Рождественский бульвар,20;8;Круглосуточно;50 рублей в час
151;Парковка №59 (Зона 1005);Рождественский бульвар,16;3;Круглосуточно;50 рублей в час
152;Парковка №61 (Зона 1005);Рождественский бульвар,12;5;Круглосуточно;50 рублей в час
153;Парковка №62 (Зона 1005);Рождественский бульвар,12;24;Круглосуточно;50 рублей в час
154;Парковка №34 (Зона 1003);Средний Кисловский переулок,6;2;Круглосуточно;50 рублей в час
155;Парковка №35 (Зона 1003);Средний Кисловский переулок,8;13;Круглосуточно;50 рублей в час
156;Парковка №37 (Зона 1003);Малый Кисловский переулок,3;7;Круглосуточно;50 рублей в час
157;Парковка №38 (Зона 1003);Малый Кисловский переулок,6;5;Круглосуточно;50 рублей в час
158;Парковка №39 (Зона 1003);Малый Кисловский переулок,7;4;Круглосуточно;50 рублей в час
159;Парковка №40 (Зона 1003);Малый Кисловский переулок,7/10;3;Круглосуточно;50 рублей в час
160;Парковка №41 (Зона 1003);Малый Кисловский переулок,8/12;7;Круглосуточно;50 рублей в час
161;Парковка №42 (Зона 1003);Малый Кисловский переулок,13;8;Круглосуточно;50 рублей в час
162;Парковка №44 (Зона 1003);Тверской бульвар,22;6;Круглосуточно;50 рублей в час
163;Парковка №45 (Зона 1003);Малый Гнездниковский переулок,22;5;Круглосуточно;50 рублей в час
164;Парковка №46 (Зона 1003);Тверской бульвар,20;3;Круглосуточно;50 рублей в час
165;Парковка №47 (Зона 1003);Тверской бульвар,18;11;Круглосуточно;50 рублей в час
166;Парковка №48 (Зона 1003);Тверской бульвар,14с5;5;Круглосуточно;50 рублей в час
167;Парковка №50 (Зона 1003);Тверской бульвар,10;7;Круглосуточно;50 рублей в час
168;Парковка №51 (Зона 1003);Тверской бульвар,8;3;Круглосуточно;50 рублей в час
169;Парковка №52 (Зона 1003);Тверской бульвар,4;5;Круглосуточно;50 рублей в час
170;Парковка №53 (Зона 1003);Тверской бульвар,2;7;Круглосуточно;50 рублей в час
171;Парковка №54 (Зона 1003);Леонтьевский переулок,2/26;5;Круглосуточно;50 рублей в час
172;Парковка №56 (Зона 1003);Большой Кисловский переулок,5с2;7;Круглосуточно;50 рублей в час
173;Парковка №57 (Зона 1003);Большой Кисловский переулок,1/3с4;2;Круглосуточно;50 рублей в час
174;Парковка №58 (Зона 1003);Большой Кисловский переулок,1/13;5;Круглосуточно;50 рублей в час
175;Парковка №59 (Зона 1003);Большой Кисловский переулок,9;7;Круглосуточно;50 рублей в час
176;Парковка №60 (Зона 1003);Никитский бульвар,14;11;Круглосуточно;50 рублей в час
177;Парковка №61 (Зона 1003);Никитский бульвар,10;35;Круглосуточно;50 рублей в час
178;Парковка №62 (Зона 1003);Калашный переулок,5;27;Круглосуточно;50 рублей в час
179;Парковка №63 (Зона 1003);Калашный переулок,6с1;3;Круглосуточно;50 рублей в час
180;Парковка №64 (Зона 1003);Калашный переулок,4/1;3;Круглосуточно;50 рублей в час
181;Парковка №65 (Зона 1003);Никитский бульвар,6;11;Круглосуточно;50 рублей в час
182;Парковка №6 (Зона 1002);Нижний Кисловский переулок,18/9;10;Круглосуточно;50 рублей в час
183;Парковка №2 (Зона 1002);Нижний Кисловский переулок,5;4;Круглосуточно;50 рублей в час
184;Парковка №3 (Зона 1002);Нижний Кисловский переулок,3;11;Круглосуточно;50 рублей в час
185;Парковка №7 (Зона 1002);Нижний Кисловский переулок,8/2;6;Круглосуточно;50 рублей в час
186;Парковка №10 (Зона 1002);Нижний Кисловский переулок,2/10;9;Круглосуточно;50 рублей в час
187;Парковка №11 (Зона 1002);Большой Кисловский переулок,1/12;16;Круглосуточно;50 рублей в час
188;Парковка №14 (Зона 1002);Большой Кисловский переулок,4;6;Круглосуточно;50 рублей в час
189;Парковка №15 (Зона 1002);Большой Кисловский переулок,2;16;Круглосуточно;50 рублей в час
190;Парковка №16 (Зона 1002);Романов переулок,3с1;11;Круглосуточно;50 рублей в час
191;Парковка №17 (Зона 1002);Романов переулок,8;3;Круглосуточно;50 рублей в час
192;Парковка №18 (Зона 1002);Романов переулок,2;8;Круглосуточно;50 рублей в час
193;Парковка №19 (Зона 1002);Романов переулок,2/6;8;Круглосуточно;50 рублей в час
194;Парковка №20 (Зона 1002);Староваганьковский переулок,3;8;Круглосуточно;50 рублей в час
195;Парковка №21 (Зона 1002);Староваганьковский переулок,18;14;Круглосуточно;50 рублей в час
196;Парковка №22 (Зона 1002);Староваганьковский переулок,19;7;Круглосуточно;50 рублей в час
197;Парковка №23 (Зона 1002);Староваганьковский переулок,15с1;12;Круглосуточно;50 рублей в час
198;Парковка №24 (Зона 1002);Гоголевский бульвар,19;19;Круглосуточно;50 рублей в час
199;Парковка №1 (Зона 1001);Ленивка улица,1;3;Круглосуточно;50 рублей в час
200;Парковка №2 (Зона 1001);Ленивка улица,1/45;3;Круглосуточно;50 рублей в час
201;Парковка №3 (Зона 1001);Ленивка улица,1/45;10;Круглосуточно;50 рублей в час
202;Парковка №5 (Зона 1001);Колымажный переулок,4c1;8;Круглосуточно;50 рублей в час
203;Парковка №6 (Зона 1001);Колымажный переулок,2/12;11;Круглосуточно;50 рублей в час
204;Парковка №7 (Зона 1001);Гоголевский бульвар,8;5;Круглосуточно;50 рублей в час
205;Парковка №8 (Зона 1001);Малый Знаменский переулок,11;16;Круглосуточно;50 рублей в час
206;Парковка №9 (Зона 1001);Малый Знаменский переулок,7/10с1;6;Круглосуточно;50 рублей в час
207;Парковка №10 (Зона 1001);Колымажный переулок,10;6;Круглосуточно;50 рублей в час
208;Парковка №11 (Зона 1001);Колымажный переулок,5/3;15;Круглосуточно;50 рублей в час
209;Парковка №12 (Зона 1001);Малый Знаменский переулок,2/12;10;Круглосуточно;50 рублей в час
210;Парковка №13 (Зона 1001);Малый Знаменский переулок,14к8;4;Круглосуточно;50 рублей в час
211;Парковка №14 (Зона 1001);Малый Знаменский переулок,14;8;Круглосуточно;50 рублей в час
212;Парковка №15 (Зона 1001);Большой Знаменский переулок,3/5с1;18;Круглосуточно;50 рублей в час
213;Парковка №17 (Зона 1001);Гоголевский бульвар,14;10;Круглосуточно;50 рублей в час
214;Парковка №18 (Зона 1001);Гоголевский бульвар,10;6;Круглосуточно;50 рублей в час
215;Парковка №19 (Зона 1001);Гоголевский бульвар,8с3;11;Круглосуточно;50 рублей в час
216;Парковка №20 (Зона 1001);Большой Знаменский переулок,2;15;Круглосуточно;50 рублей в час
217;Парковка №21 (Зона 1001);Большой Знаменский переулок,2;11;Круглосуточно;50 рублей в час
218;Парковка №23 (Зона 1001);Большой Знаменский переулок,2/16;3;Круглосуточно;50 рублей в час
219;Парковка №5 (Зона 1005);Звонарский переулок,2;5;Круглосуточно;50 рублей в час
