"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Площадь (га)";"1_Телефон";"1_Типы захоронений";"1_Статус кладбища";"0_POINT_X";"0_POINT_Y"
44.00000000000;"Ивановское кладбище";"Ивановское кладбище";"Ул. Сталеваров, д. 30";37.83923300000;55.76938300000;0.00000000000;"";"";"";"";10.40000000000;"791-05-39";"";"Закрытое";4212244.14190000020;7512642.66050000020
45.00000000000;"Ивановское кладбище";"Ивановское кладбище";"Поселение Сосенское, д. Ямонтово";37.47352100000;55.54427100000;0.00000000000;"";"";"";"";1.04000000000;"448-67-88";"";"Закрытое";4171533.26759999990;7468222.71800000030
46.00000000000;"Изваринское кладбище";"Изваринское кладбище";"Поселение Внуковское, с. Изварино";37.26274000000;55.62576400000;0.00000000000;"";"";"";"";1.38000000000;"448-67-88";"";"Закрытое";4148069.23490000000;7484273.74280000010
47.00000000000;"Измайловское кладбище";"Измайловское кладбище";"Измайловский пр., вл. 30";37.76963400000;55.80182100000;0.00000000000;"";"";"";"";2.23560000000;"791-05-39";"";"Закрытое";4204496.41700000040;7519064.56690000000
48.00000000000;"Исаково кладбище";"Исаково кладбище";"Поселение Михайлово-Ярцевское, д. Исаково";37.18072100000;55.39936900000;0.00000000000;"";"";"";"";4.49000000000;"232-40-21";"";"Закрытое";4138938.92040000020;7439764.51080000030
49.00000000000;"Калитниковское кладбище";"Калитниковское кладбище";"Б. Калитниковский пр., д. 11";37.69135600000;55.73185200000;0.00000000000;"";"";"";"";16.27500000000;"670-50-09";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4195782.54970000030;7505219.13190000040
50.00000000000;"Капотненское кладбище";"Капотненское кладбище";"1-й Капотненский пр., д. 11";37.79048700000;55.63809800000;0.00000000000;"";"";"";"";2.20660000000;"355-30-29";"";"Закрытое";4206817.76130000040;7486705.98110000040
51.00000000000;"Качаловское кладбище";"Качаловское кладбище";"Северное Бутово, МКР-5, ул. Старокачаловская, вл. 8а";37.58148200000;55.57135700000;0.00000000000;"";"";"";"";1.00000000000;"(916) 929-89-74";"Захоронение урной в землю";"Закрытое";4183551.43099999990;7473553.93530000000
52.00000000000;"Кленово кладбище";"Кленово кладбище";"Поселение Кленовское, д. Кленово";37.34782200000;55.32151500000;0.00000000000;"";"";"";"";2.15000000000;"232-40-21";"";"Закрытое";4157540.51780000000;7424517.34570000040
53.00000000000;"Клоково кладбище";"Клоково кладбище";"Поселение Первомайское, д. Клоково";37.26494800000;55.51826700000;0.00000000000;"";"";"";"";0.20000000000;"952-47-37, 952-29-63";"";"Закрытое";4148315.02770000000;7463107.92030000030
54.00000000000;"Котляковское кладбище";"Котляковское кладбище";"Ул. Деловая, д. 20а";37.63870800000;55.62243100000;0.00000000000;"";"";"";"";37.76450000000;"325-23-10";"Захоронение урной в землю";"Закрытое";4189921.80040000010;7483616.61589999960
55.00000000000;"Красное кладбище";"Красное кладбище";"Поселение Краснопахорское, с. Красное";37.29228100000;55.42642100000;0.00000000000;"";"";"";"";1.10000000000;"232-40-21";"";"Закрытое";4151357.72260000000;7445069.48780000020
56.00000000000;"Кувекинское кладбище";"Кувекинское кладбище";"Поселение Десеновское, д. Кувекино";37.43034400000;55.49199800000;0.00000000000;"";"";"";"";1.20000000000;"448-67-88";"";"Закрытое";4166726.82569999990;7457944.43090000000
57.00000000000;"Кузнецово кладбище";"Кузнецово кладбище";"Поселение Новофедоровское, д. Кузнецово";36.94614200000;55.45949900000;0.00000000000;"";"";"";"";1.10000000000;"952-47-37, 952-29-63";"";"Закрытое";4112825.70640000000;7451561.12050000020
58.00000000000;"Кузьминское кладбище";"Кузьминское кладбище";"ул. Академика Скрябина, д. 19";37.80104000000;55.70237400000;0.00000000000;"";"";"";"";42.85550000000;"378-60-82";"Открытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг";"Закрытое";4207992.51609999970;7499393.46800000030
59.00000000000;"Кузьминское (мусульманское) кладбище";"Кузьминское (мусульманское) кладбище";"ул. Академика Скрябина, д. 19";37.80700200000;55.70287500000;0.00000000000;"";"";"";"";2.38320000000;"378-60-82";"Открытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг";"Закрытое";4208656.20289999990;7499492.44269999950
60.00000000000;"Кунцевское кладбище";"Кунцевское кладбище";"ул. Рябиновая, д. 1";37.41744300000;55.70750500000;0.00000000000;"";"";"";"";16.82840000000;"440-69-84";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4165290.69430000010;7500407.17760000010
61.00000000000;"Леоновское кладбище";"Леоновское кладбище";"1-я ул. Леонова, вл. 8";37.64631400000;55.84422400000;0.00000000000;"";"";"";"";2.39390000000;"(499) 188-42-46";"Захоронение урной в землю";"Закрытое";4190768.49780000000;7527467.36560000010
62.00000000000;"Летовское кладбище";"Летовское кладбище";"Поселение Сосенское, с. Летово";37.40678600000;55.56260700000;0.00000000000;"";"";"";"";0.51000000000;"448-67-88";"";"Закрытое";4164104.36159999990;7471831.30910000020
63.00000000000;"Лианозовское кладбище";"Лианозовское кладбище";"83-й км МКАД";37.56378300000;55.91196700000;0.00000000000;"";"";"";"";12.30000000000;"(499) 188-42-46";"Захоронение урной в землю";"Закрытое";4181581.18949999990;7540910.70930000020
64.00000000000;"Лукошкино кладбище";"Лукошкино кладбище";"Поселение Кленовское, д. Лукошкино";37.26589000000;55.32437200000;0.00000000000;"";"";"";"";1.40000000000;"232-40-21";"";"Закрытое";4148419.88940000020;7425076.33959999960
65.00000000000;"Львово кладбище";"Львово кладбище";"Поселение Вороновское, д. Львово";37.12504800000;55.28472200000;0.00000000000;"";"";"";"";5.00000000000;"232-40-21";"";"Закрытое";4132741.42989999990;7417322.10960000010
