0_OBJECTID;0_UIDNFTN; 1_Наименование;1_Адрес;0_X;0_Y;1_Режим работы;0_Товары; 0_QUANTITY
70;59;Ярмарка выходного дня;ул. Михайлова, дом 29 корп. 1;17155,075;6661,7791;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
71;1;Ярмарка выходного дня;Троилинский пер., дом 4/7;5421,5435;9046,2986;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
72;51;Ярмарка выходного дня;Зелёный просп., дом 2;16907,7167;8947,4416;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;50
73;62;Ярмарка выходного дня;шоссе Энтузиастов, дом 26;13885,3501;9368,6326;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
74;109;Ярмарка выходного дня;Осенний бульв., дом 11;-5747,0804;10214,677;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;55
75;102;Ярмарка выходного дня;Филёвский бульв., дом 5;-603,8739;10789,5407;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;20
76;11;Ярмарка выходного дня;Сытинский туп., дом 3;6401,2737;10824,4285;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;50
77;110;Ярмарка выходного дня;ул. Удальцова, дом 75А;-142,229;1201,638;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;15
78;64;Ярмарка выходного дня;ул. Трофимова, дом 17;11088,8227;4066,6525;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;48
79;55;Ярмарка выходного дня;Ферганская ул., дом 17;20183,0736;4423,7517;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;49
80;49;Ярмарка выходного дня;Лухмановская ул., дом 5;25165,1401;5454,8161;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
81;112;Ярмарка выходного дня;ул. Ватутина, дом 18 корп. 2;-2897,2328;6165,599;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;25
82;5;Ярмарка выходного дня;Климентовский пер., дом 10 стр. 1;8138,925;8245,3096;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
83;8;Ярмарка выходного дня;5-й Котельнический пер., дом 8;9463,1251;8379,4861;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;55
