1_Номер;0_name;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Количество квартир;0_moddate;0_moduser
1008;Большая Черкизовская 3 к.2                                                                                                                                                                                                                                    ;Большая Черкизовская 3 к.2                                                                                                                                                                                                                                    ;Большая Черкизовская 3 к.2                                                                                                                                                                                                                                    ;13677,48565;14583,47922;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;300;12:00:00 AM;                                                                                                    
1010;Гурьянова 2 к.4                                                                                                                                                                                                                                               ;Гурьянова 2 к.4                                                                                                                                                                                                                                               ;Гурьянова 2 к.4                                                                                                                                                                                                                                               ;13924,49235;2986,424627;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;300;12:00:00 AM;                                                                                                    
1011;Гурьянова 4 к.1                                                                                                                                                                                                                                               ;Гурьянова 4 к.1                                                                                                                                                                                                                                               ;Гурьянова 4 к.1                                                                                                                                                                                                                                               ;14001,7869;2760,459682;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;180;12:00:00 AM;                                                                                                    
1012;Гурьянова 2 к.1                                                                                                                                                                                                                                               ;Гурьянова 2 к.1                                                                                                                                                                                                                                               ;Гурьянова 2 к.1                                                                                                                                                                                                                                               ;14091,44455;2903,865315;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;288;12:00:00 AM;                                                                                                    
1013;Люсиновская 39 стр.2                                                                                                                                                                                                                                          ;Люсиновская 39 стр.2                                                                                                                                                                                                                                          ;Люсиновская 39 стр.2                                                                                                                                                                                                                                          ;37,623524;55,722649;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;73;12:00:00 AM;                                                                                                    
1014;Молодцова 22                                                                                                                                                                                                                                                  ;Молодцова 22                                                                                                                                                                                                                                                  ;Молодцова 22                                                                                                                                                                                                                                                  ;37,638241;55,879834;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;6;12:00:00 AM;                                                                                                    
1015;Молодцова 24                                                                                                                                                                                                                                                  ;Молодцова 24                                                                                                                                                                                                                                                  ;Молодцова 24                                                                                                                                                                                                                                                  ;37,639282;55,880721;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;6;12:00:00 AM;                                                                                                    
1016;Молодцова 26                                                                                                                                                                                                                                                  ;Молодцова 26                                                                                                                                                                                                                                                  ;Молодцова 26                                                                                                                                                                                                                                                  ;37,639775;55,881396;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;6;12:00:00 AM;                                                                                                    
1018;Лобачевского 45                                                                                                                                                                                                                                               ;Лобачевского 45                                                                                                                                                                                                                                               ;Лобачевского 45                                                                                                                                                                                                                                               ;37,469172;55,69075;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;182;12:00:00 AM;                                                                                                    
1020;Новочеремушкинская 55 к.2                                                                                                                                                                                                                                     ;Новочеремушкинская 55 к.2                                                                                                                                                                                                                                     ;Новочеремушкинская 55 к.2                                                                                                                                                                                                                                     ;37,569795;55,670804;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;96;12:00:00 AM;                                                                                                    
1021;Озерная д.2 кор.1                                                                                                                                                                                                                                             ;Озерная д.2 кор.1                                                                                                                                                                                                                                             ;Озерная д.2 кор.1                                                                                                                                                                                                                                             ;37,469442;55,688389;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;156;12:00:00 AM;                                                                                                    
1022;Озерная д.2 кор.2                                                                                                                                                                                                                                             ;Озерная д.2 кор.2                                                                                                                                                                                                                                             ;Озерная д.2 кор.2                                                                                                                                                                                                                                             ;37,470117;55,689032;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;128;12:00:00 AM;                                                                                                    
1023;Озерная д.2 кор.3                                                                                                                                                                                                                                             ;Озерная д.2 кор.3                                                                                                                                                                                                                                             ;Озерная д.2 кор.3                                                                                                                                                                                                                                             ;37,468444;55,688505;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;128;12:00:00 AM;                                                                                                    
1029;пос.Толстопальцево Ленина 51 к.1                                                                                                                                                                                                                              ;пос.Толстопальцево Ленина 51 к.1                                                                                                                                                                                                                              ;пос.Толстопальцево Ленина 51 к.1                                                                                                                                                                                                                              ;37,213516;55,620307;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;3;12:00:00 AM;                                                                                                    
1030;пос.Толстопальцево Ленина 51 к.2                                                                                                                                                                                                                              ;пос.Толстопальцево Ленина 51 к.2                                                                                                                                                                                                                              ;пос.Толстопальцево Ленина 51 к.2                                                                                                                                                                                                                              ;37,214192;55,620198;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;3;12:00:00 AM;                                                                                                    
1032;просп. Защитников Москвы 1                                                                                                                                                                                                                                    ;просп. Защитников Москвы 1                                                                                                                                                                                                                                    ;просп. Защитников Москвы 1                                                                                                                                                                                                                                    ;37,914868;55,69819;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;306;12:00:00 AM;                                                                                                    
1033;просп. Защитников Москвы 11                                                                                                                                                                                                                                   ;просп. Защитников Москвы 11                                                                                                                                                                                                                                   ;просп. Защитников Москвы 11                                                                                                                                                                                                                                   ;37,920447;55,701753;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;320;12:00:00 AM;                                                                                                    
1034;просп. Защитников Москвы 13                                                                                                                                                                                                                                   ;просп. Защитников Москвы 13                                                                                                                                                                                                                                   ;просп. Защитников Москвы 13                                                                                                                                                                                                                                   ;37,922163;55,702728;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;384;12:00:00 AM;                                                                                                    
1035;просп. Защитников Москвы 15                                                                                                                                                                                                                                   ;просп. Защитников Москвы 15                                                                                                                                                                                                                                   ;просп. Защитников Москвы 15                                                                                                                                                                                                                                   ;37,923526;55,703782;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;384;12:00:00 AM;                                                                                                    
1036;просп. Защитников Москвы 3 к.1                                                                                                                                                                                                                                ;просп. Защитников Москвы 3 к.1                                                                                                                                                                                                                                ;просп. Защитников Москвы 3 к.1                                                                                                                                                                                                                                ;37,91583;55,698893;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;196;12:00:00 AM;                                                                                                    
1037;просп. Защитников Москвы 7 к.1                                                                                                                                                                                                                                ;просп. Защитников Москвы 7 к.1                                                                                                                                                                                                                                ;просп. Защитников Москвы 7 к.1                                                                                                                                                                                                                                ;37,91804;55,700305;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;138;12:00:00 AM;                                                                                                    
1038;просп. Защитников Москвы 7 к.2                                                                                                                                                                                                                                ;просп. Защитников Москвы 7 к.2                                                                                                                                                                                                                                ;просп. Защитников Москвы 7 к.2                                                                                                                                                                                                                                ;37,917622;55,700795;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;358;12:00:00 AM;                                                                                                    
1039;просп. Защитников Москвы 9 к.1                                                                                                                                                                                                                                ;просп. Защитников Москвы 9 к.1                                                                                                                                                                                                                                ;просп. Защитников Москвы 9 к.1                                                                                                                                                                                                                                ;37,919435;55,700941;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;256;12:00:00 AM;                                                                                                    
