1_Тип сооружения;1_Адрес расположения
Тоннель пешеходный;г.Москва, Дмитровское шоссе, дом 24, соор. 2
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 26А, соор. 1
Тоннель пешеходный;г.Москва, Севастопольский проспект, дом 22, соор. 1
Тоннель пешеходный;г.Москва, г.Зеленоград, корп.1004, соор.2
Тоннель пешеходный;г.Москва, г.Зеленоград, корп.1001, соор.1
Тоннель пешеходный;г.Москва, г.Зеленоград, корп.1106, соор.4
Тоннель пешеходный;г.Москва, г.Зеленоград, корп.1109, соор.1
Тоннель пешеходный;г.Москва, г.Зеленоград, корп.161, соор.1
Тоннель пешеходный;г.Москва, г.Зеленоград, 1-й Западный проезд, дом 3, соор.1
Тоннель пешеходный;г.Москва, г.Зеленоград, корп.118, соор.1
Тоннель пешеходный;г.Москва, 1-я Тверская-Ямская улица, дом 28, соор. 1
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 8, соор. 1
Тоннель пешеходный;г.Москва, Большая Тульская улица, дом 2, соор. 1
Тоннель пешеходный;г.Москва, улица Золоторожский Вал, дом 42, соор. 1
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 32, соор. 1
Тоннель пешеходный;г.Москва, Площадь Победы, дом 2 кор. 2, соор. 1
Тоннель пешеходный;г.Москва, улица Сергия Радонежского, дом 2, соор. 1
Тоннель пешеходный;г.Москва, площадь Революции, Никольская улица, дом 5
Тоннель пешеходный;г.Москва, улица Дмитриевского, дом 14, соор. 1
Тоннель пешеходный;г.Москва, Дмитровское шоссе, дом 66, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе , дом 14А, соор. 1
Тоннель пешеходный;г.Москва, Новотушинский проезд, дом 6, корп. 1, соор.1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 188, соор.1
Тоннель пешеходный;г.Москва, район Южное Бутово, Варшавское шоссе, дом 198, соор.1
Тоннель пешеходный;г.Москва, район Северное Бутово, Варшавское шоссе, дом 170А, соор.1
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 52А, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 150, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 132А, соор. 1
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 30А, соор. 1
Тоннель пешеходный;г.Москва, Потешная улица, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Можайское шоссе, дом 4, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, улица Новый Арбат, дом 2, соор. 1
Тоннель пешеходный;г.Москва, 3-й Крутицкий переулок, дом 2, соор. 1
Тоннель пешеходный;г.Москва, проспект Мира, дом 38, соор. 1
Тоннель пешеходный;г.Москва, Загородное шоссе, дом 2А, соор. 1
Тоннель пешеходный;г.Москва, Тверская улица, дом 16, соор. 1
Тоннель пешеходный;г.Москва, Лениградский проспект, вл. 80, соор. 1
Тоннель пешеходный;г.Москва, МКАД, 32км, вл.17, соор1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 122, соор. 1
Тоннель пешеходный;Московская область, Ленинский район, Киевское шоссе, 25,8км, поселок Рассказовка
Тоннель пешеходный;г.Москва, Ленинградское шоссе, вл. 88, соор. 2
Тоннель пешеходный;Московская область, Химкинский районЛенинградское шоссе, деревня Родионово, улица Репина
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 150А, соор. 1
Тоннель пешеходный;г.Москва, Рублевское шоссе, дом 56, соор. 1
Тоннель пешеходный;г.Москва, улица Сайкина, дом 6/5, соор. 1
Тоннель пешеходный;г.Москва, улица Соломеи Нерис, дом 6, соор. 1
Тоннель пешеходный;г.Москва, Ленинградское шоссе, вл. 30, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 132, соор. 1
Тоннель пешеходный;г.Москва, Севастопольский проспект, дом 1
Тоннель пешеходный;г.Москва, Севастопольский проспект, дом 52, соор. 1
Тоннель пешеходный;г.Москва, Дмитровское шоссе, вл. 86, соор. 1
Тоннель пешеходный;г.Москва, улица Золоторожский Вал, дом 34, соор. 1
Тоннель пешеходный;г.Москва, улица Земляной Вал, дом 52, соор. 1
Тоннель пешеходный;г.Москва, Рязанский проспект, дом. 60, соор. 1
Тоннель пешеходный;г.Москва, шоссе Энтузиастов, дом 58, соор. 1
Тоннель пешеходный;г.Москва, Смоленская площадь, дом 13, соор. 1
Тоннель пешеходный;Московская область, Ленинский район, Киевское шоссе, 25,8км, поселок Московский
Тоннель пешеходный;г.Москва, 1-я Тверская-Ямская улица, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 66, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Рязанский проспект, дом. 12, соор. 1
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 108, соор. 1
Тоннель пешеходный;г.Москва, Звенигородское шоссе, дом 26А, соор. 1
Тоннель пешеходный;г.Москва, Валовая улица, дом 29, соор. 1
Тоннель пешеходный;г.Москва, Пролетарский проспект, дом 10, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 130Б, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 118Б, соор. 1
Тоннель пешеходный;г.Москва, Малая Сухаревская площадь, дом 12, соор. 1 
Тоннель пешеходный;г.Москва, улица Новый Арбат, дом 36, соор. 4
Тоннель пешеходный;г.Москва, улица Большие Каменщики, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Волгоградский проспект, дом. 26А, соор. 1
Тоннель пешеходный;г.Москва, Рязанский проспект, дом. 76/2, соор. 1
Тоннель пешеходный;г.Москва, Тверская улица, дом 4, соор. 2
Тоннель пешеходный;г.Москва, улица Академика Королева, дом 12, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 138А, соор. 1
Тоннель пешеходный;г.Москва, Можайское шоссе, дом 54, соор.1
Тоннель пешеходный;г.Москва, г.Зеленоград, район Крюково, корп.1801, соор.1
Тоннель пешеходный;г.Москва, площадь Победы, дом 2, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Сретенский бульвар, дом 11А, соор. 1
Тоннель пешеходный;г.Москва, Волгоградский проспект, дом. 39А, соор. 1
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 99, соор. 1
Тоннель пешеходный;г.Москва, Звенигородское шоссе, дом 1, соор. 2
Тоннель пешеходный;г.Москва, улица Советской Армии, дом 17, соор. 1
Тоннель пешеходный;г.Москва, проспект Академика Сахарова, дом 6, соор. 1
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 54, соор. 1
Тоннель пешеходный;г.Москва, Ленинградское шоссе, вл. 94, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 146, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 36А, соор. 1
Тоннель пешеходный;г.Москва, МЖД, Белорусское, 6-ой км, д. 3, соор. 1
Тоннель пешеходный;г.Москва, Ленинградское шоссе, вл. 88, соор. 1
Тоннель пешеходный;г.Москва, Комсомольский проспект, д 28, соор. 1
Тоннель пешеходный;г.Москва, 1-я Тверская-Ямская улица, дом 14, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 4, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 100, соор. 1
Тоннель пешеходный;г.Москва, улица Варварка, дом 1, соор. 1 
Тоннель пешеходный;г.Москва, Крымский вал улица, дом 10А, соор. 1
Тоннель пешеходный;г.Москва, улица Новый Арбат, дом 28, соор. 1
Тоннель пешеходный;г.Москва, Балаклавский проспект, дом 12, кор. 3, соор. 1
Тоннель пешеходный;г.Москва, Чертановская улица, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 88Б, соор. 1
Тоннель пешеходный;г.Москва, Боровское шоссе, дом 46, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 78, соор. 1
Тоннель пешеходный;г.Москва, Шмитовский проезд, дом 44, соор. 1
Тоннель пешеходный;г.Москва, ул. Большая Филевская, дом 6, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 88/26, соор. 1
Тоннель пешеходный;г.Москва, улица Зацепский Вал, дом 2, соор. 3А
Тоннель пешеходный;г.Москва, улица Большая Якиманка дом 58, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 1А, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 2А, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 12, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 12, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 38/66, соор. 1
Тоннель пешеходный;г.Москва, Щелковское шоссе, дом 90, соор. 1
Тоннель пешеходный;г.Москва, проспект Мира, дом 112, соор. 1
Тоннель пешеходный;г.Москва, шоссе Энтузиастов, вл. 44А , соор. 1
Тоннель пешеходный;г.Москва, Большая Семеновская улица, дом 26, соор. 1
Тоннель пешеходный;г.Москва, Ярославское шоссе , дом 2, соор. 1
