0_uidnftn;1_Наименование;0_label;1_Трасса маршрута;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_moddate;0_moduser;1_Сторона фиксации;1_Административный округ;0_shape_leng
26;Маршрут №4 по ЦАО;Маршрут №4 по ЦАО;ул. Мясницкая - ул. Большая Лубянка;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,020101208
27;Маршрут №5 по ЦАО;Маршрут №5 по ЦАО;ул. Сретенка - ул. Садовая-Сухаревская - Ананьевский пер. - Костянский пер. - Сретенский бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,017288056
28;Маршрут №6 а,б,в по ЦАО;Маршрут №6 а,б,в по ЦАО;пр-т Мира;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЦАО;0,038573933
29;Маршрут №7 по ЦАО;Маршрут №7 по ЦАО;Лесная ул. - 2-й Лесной пер. - ул. Бутырский Вал - Новолесная ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,017211805
30;Маршрут №8 по ЦАО;Маршрут №8 по ЦАО;Садовая-Каретная ул. - Садовая-Триумфальная ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,010470748
31;Маршрут №9 по ЦАО;Маршрут №9 по ЦАО;ул. Новослободская - пл. Савеловского вокзала - ул. Новослободская;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЦАО;0,043065931
32;Маршрут №10А по ЦАО;Маршрут №10А по ЦАО;Центральный АО;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,037055484
33;Маршрут №11а;Маршрут №11а;ул. Конюшковская - Краснопресненская наб. - ул. 1905 Года - ул. Красная Пресня;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,05175171
34;Маршрут №11б;Маршрут №11б;Краснопресненская наб. - Пресненская наб. - 1-й Красногвардейский пр-д - ул. Мантулинская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,057831479
35;Маршрут №11в по ЦАО;Маршрут №11в по ЦАО;Звенигородское шоссе;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЦАО;0,067107094
36;Маршрут №12 по ЦАО;Маршрут №12 по ЦАО;ул. Рочдельская - ул. Трехгорный Вал - ул. Пресненский Вал - ул. Грузинский Вал - пл. Тверской Заставы - ул. Грузинский Вал - ул. Пресненский Вал - ул. Рочдельская;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЦАО;0,044141674
37;Маршрут №13 по ЦАО;Маршрут №13 по ЦАО;Садовническая наб. - ул. Балчуг - Садовническая ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,047970118
191;Маршрут №6 по ЮЗАО;Маршрут №6 по ЮЗАО;ул. Вавилова (от Ломоносовкого пр-та до ул. Дмитрия Ульянова);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮЗАО;0,025158276
192;Маршрут №7 по ЮЗАО;Маршрут №7 по ЮЗАО;Новоясеневский пр-т (от м. Теплый стан до м. Ясененво);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮЗАО;0,066803379
193;Маршрут №8 по ЮЗАО;Маршрут №8 по ЮЗАО;Дмитрия Донского бул. (от ул. Грина до м. Бульвар Дмитрия Донского);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮЗАО;0,011099323
194;Маршрут №1 по ЮАО;Маршрут №1 по ЮАО;Дербеневская наб. - Дербеневская наб.;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮАО;0,034103553
195;Маршрут №2 по ЮАО;Маршрут №2 по ЮАО;Павелецкая наб.;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮАО;0,010203706
196;Маршрут №3 по ЮАО;Маршрут №3 по ЮАО;Булатниковский пр-д - ул. Медынская - ул. Булатниковская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЮАО;0,043978432
197;Маршрут №4 по ЮАО;Маршрут №4 по ЮАО;ул. Подольских курсантов - разворот в районе 3-го дорожного пр. - ул. Подольских курсантов - ул. Харьковская;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮАО;0,060808309
198;Маршрут №5 по ЮАО;Маршрут №5 по ЮАО;ул. Подольских курсантов;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮАО;0,046808065
199;Маршрут №6 по ЮАО;Маршрут №6 по ЮАО;Стапинский пр. - ул. Мелитопольская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЮАО;0,021841507
200;Маршрут №7 по ЮАО;Маршрут №7 по ЮАО;ул. Мелитопольская - ул. Никопольская - ул. Булатниковская - ул. 3-я Никопольская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЮАО;0,019301964
201;Маршрут №8 по ЮАО;Маршрут №8 по ЮАО;ул. Липецкая (от ул. Ряжская)-разворот на МКАД-ул. Липецкая (до ул. Ряжская);0;0;0;;;;;12:00:00 AM;;Правая сторона;ЮАО;0,023258965
202;Маршрут №1 по ЗелАО;Маршрут №1 по ЗелАО;ул. Советская - ул. Ленина - ул. Новокрюковская;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗелАО;0,016534714
203;Маршрут №2 по ЗелАО;Маршрут №2 по ЗелАО;Панфиловский пр. - Крюковская пл.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЗелАО;0,010079539
204;Маршрут №3 по ЗелАО;Маршрут №3 по ЗелАО;Центральный пр-т;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗелАО;0,026634918
