0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Муниципальный район;1_Организационно-правовая форма;1_Управляющая компания;1_Юридический адрес управляющей компании;1_Вид рынка;1_Режим работы;0_moddate;0_moduser
32;Пеан-СВ                                                                                                                                                                                                                                                       ;Пеан-СВ                                                                                                                                                                                                                                                       ;Ул. Профсоюзная, вл. 154 А, стр. 1, 2, 3                                                                                                                                                                                                                      ;37,506853;55,621317;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;Теплый Стан                                                                                                                                                                                                                                                   ;ООО                                                                                                                                                                                                                                                           ;«ПЕАН-СВ»                                                                                                                                                                                                                                                     ;"117321 г. Москва, ул. Профсоюзная, вл. 154 А
                                                                                                                                                                                                                 ";Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 9-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
33;Бицевский                                                                                                                                                                                                                                                     ;Бицевский                                                                                                                                                                                                                                                     ;Площадь у станции метро «Новоясеневская» (Новоясеневский проспект)                                                                                                                                                                                            ;37,550943;55,601546;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;Ясенево                                                                                                                                                                                                                                                       ;ООО                                                                                                                                                                                                                                                           ;«Бор-1»                                                                                                                                                                                                                                                       ;119261 г. Москва, Ленинский проспект, д.72/2                                                                                                                                                                                                                  ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 9-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
34;Калужская с/х ярмарка                                                                                                                                                                                                                                         ;Калужская с/х ярмарка                                                                                                                                                                                                                                         ;Пересечение ул. Профсоюзной и Новоясеневского проспекта                                                                                                                                                                                                       ;37,505429;55,618984;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;Ясенево                                                                                                                                                                                                                                                       ;ООО                                                                                                                                                                                                                                                           ;«Калужская сельскохозяйственная ярмарка»                                                                                                                                                                                                                      ;107031 г. Москва, ул. Кузнецкий мост, д.7                                                                                                                                                                                                                     ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
35;С\Х рынок Теплый стан                                                                                                                                                                                                                                         ;С\Х рынок Теплый стан                                                                                                                                                                                                                                         ;Ул. Теплый Стан, вл.1 Б, стр.1-7                                                                                                                                                                                                                              ;37,501546;55,618424;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;Теплый Стан                                                                                                                                                                                                                                                   ;ЗАО                                                                                                                                                                                                                                                           ;«СТРОЙТЕХИНВЕСТ»                                                                                                                                                                                                                                              ;"117465 г. Москва, ул. Теплый Стан, вл. 1 Б, стр.3
                                                                                                                                                                                                            ";Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
36;Карен                                                                                                                                                                                                                                                         ;Карен                                                                                                                                                                                                                                                         ;Новоясеневский проспект, вл. 1                                                                                                                                                                                                                                ;37,513046;55,616201;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;Ясенево                                                                                                                                                                                                                                                       ;ООО                                                                                                                                                                                                                                                           ;«Торговая компания - КАРЕН»                                                                                                                                                                                                                                   ;117292, Москва, ул. Профсоюзная, д. 4, корп. 4                                                                                                                                                                                                                ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 7-00-19-00 час                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
37;Черемушкинский                                                                                                                                                                                                                                                ;Черемушкинский                                                                                                                                                                                                                                                ;Ул. Вавилова, вл. 64/1                                                                                                                                                                                                                                        ;37,550627;55,683337;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЮЗАО                                                                                                                                                                                                                                                          ;Гагаринский                                                                                                                                                                                                                                                   ;ООО                                                                                                                                                                                                                                                           ;«ЧЕРЕМУШКИНСКИЙ РЫНОК»                                                                                                                                                                                                                                        ;117261, г. Москва, Ломоносовский проспект, д.1/64                                                                                                                                                                                                             ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
38;Дорогомиловский                                                                                                                                                                                                                                               ;Дорогомиловский                                                                                                                                                                                                                                               ;Ул. Можайский Вал, д. 10                                                                                                                                                                                                                                      ;37,554126;55,742626;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;Дорогомилово                                                                                                                                                                                                                                                  ;ООО                                                                                                                                                                                                                                                           ;«НОВЫЕ БИЗНЕС СИСТЕМЫ И ТЕХНОЛОГИИ»                                                                                                                                                                                                                           ;121059 г. Москва, ул. Можайский Вал, д. 10                                                                                                                                                                                                                    ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 7-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
39;Багратионовский                                                                                                                                                                                                                                               ;Багратионовский                                                                                                                                                                                                                                               ;Ул. Барклая, вл.10 (д.10)                                                                                                                                                                                                                                     ;37,554126;55,742626;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;Филевский парк                                                                                                                                                                                                                                                ;ООО                                                                                                                                                                                                                                                           ;«НОВЫЕ БИЗНЕС СИСТЕМЫ И ТЕХНОЛОГИИ»                                                                                                                                                                                                                           ;121059 г. Москва, ул. Можайский Вал, д. 10                                                                                                                                                                                                                    ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 7-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
40;Кунцевский                                                                                                                                                                                                                                                    ;Кунцевский                                                                                                                                                                                                                                                    ;Ул. Маршала Неделина, вл. 19                                                                                                                                                                                                                                  ;37,40711;55,725932;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;Можайский                                                                                                                                                                                                                                                     ;ОАО                                                                                                                                                                                                                                                           ;«Кунцевский рынок»                                                                                                                                                                                                                                            ;121354 г.Москва, ул. Маршала Неделина, д.19                                                                                                                                                                                                                   ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
41;ТЦ Ново-переделкино                                                                                                                                                                                                                                           ;ТЦ Ново-переделкино                                                                                                                                                                                                                                           ;Боровское шоссе, вл. 51                                                                                                                                                                                                                                       ;37,352319;55,636501;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;Ново-Переделкино                                                                                                                                                                                                                                              ;ООО                                                                                                                                                                                                                                                           ;«ТИМАЛЪ»                                                                                                                                                                                                                                                      ;119634 г.Москва, Боровское шоссе, д. 51, стр.1                                                                                                                                                                                                                ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 9-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
42;Солневский                                                                                                                                                                                                                                                    ;Солневский                                                                                                                                                                                                                                                    ;Ул. Щорса, вл. 5Б                                                                                                                                                                                                                                             ;37,407361;55,645941;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;Солнцево                                                                                                                                                                                                                                                      ;ООО                                                                                                                                                                                                                                                           ;«Сигма-ХХI век»                                                                                                                                                                                                                                               ;121165 г. Москва, ул. Студенческая, д.31, стр. 1                                                                                                                                                                                                              ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
