Реестровый номер,Фамилия,Имя,Отчество,Присвоение статуса Реквизиты решения о присвоении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении сведений об адвокате в реестр,Приостановление статуса Реквизиты решения совета адвокатской палаты о приостоновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о приостоновлении статуса адвоката,Возобновление статуса Реквизиты решения совета адвокатской палаты о возобновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о возобновлении,Прекращение статуса Реквизиты решения совета адвокатской палаты о прекращении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о прекращении статуса,Исключение сведений об адвокате из реестра Реквизиты уведомления совета адвокатской палаты,Реквизиты распоряжения территориального органа Минюста России об исключении сведений об адвокате,Внесение изменений Содержание изменений,Реквизиты распоряжения территориального органа Минюста России о внесении в реестр изменений,Column,Column2,Column3
77/5444,Дунаев,Виктор,Федорович,№ от 17.02.1998,№5047-а от 26.09.2002,,,,, №131 от 14.02.2005, №47-а от 22.02.2005,,,,,прекр.ст.,кабинет,
77/5445,Дукальский,Владимир,Станиславович,№ от 16.03.1999,№5047-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5446,Ямпольский,Дмитрий,Владимирович,№ от 30.05.2000,№5010-а от 26.09.2002,,,,,,,,,,,,"АБ ""Падва и партнеры""",
77/5447,Яшин,Николай,Алексеевич,№ от 30.05.1989,№5009-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5448,Янчева,Людмила,Павловна,№ от 12.04.1994,№5010-а от 26.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/5449,Янченко,Александр ,Александрович,№ от 01.10.1991,№5010-а от 26.09.2002,,,,,,,,,,,,кабинет,
77/5450,Яминская,Алла,Зиновьевна,№ от 30.05.1989,№5018-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5451,Ярославская,Ирина,Любомировна,№ от 03.02.1950,№5010-а от 26.09.2002,,,,, №3052 от 12.10.2010, №275-а от 18.10.2010,,,,,прекращен ст.,МГКА,
77/5452,Якушев,Валерий,Кимович,№ от 26.03.1996,№5018-а от 26.09.2002,,,,,,,,,,,,кабинет,
77/5453,Яширина,Ирина, Анатольевна,№ от 25.06.2002,№5018-а от 26.09.2002,,,,,,,,,Филатова, №5612-а от 03.12.2002,,кабинет,
77/5454,Яблочкин,Нухим,Шефтелович,№ от 08.08.1960,№5007-а от 26.09.2002,,,,, №3 от 18.03.2009, №106-а от 31.03.2009,,,,,прекр.ст.,МГКА,
77/5455,Яшаров,Виталий,Геннадьевич,№ от 16.07.2001,№5007-а от 26.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/5456,Яшаров,Геннадий,Ильич,№ от 16.07.1974,№5009-а от 26.09.2002,,,,,,,,,,,прекращен ст.,МГКА,
77/5457,Яшаров,Станислав,Геннадьевич,№ от 30.05.1995,№5009-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5458,Янгулов,Рашид,Шамилевич,№ от 28.05.1991,№5007-а от 26.09.2002,,,,,,,,,,,,"АБ ""Рез., Гаг., Абуш.и парт.""",
77/5459,Яндаров,Аслан,Дудаевич,№ от 06.07.1999,№5007-а от 26.09.2002,,,,,,,,,,,,кабинет,
77/5460,Яковлев,Кирилл,Всеволодович,№ от 26.05.1992,№5007-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5461,Ярцева,Валентина,Борисовна,№ от 02.12.1997,№5009-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5462,Ясинская,Анастасия,Павловна,№ от 24.07.2001,№5009-а от 26.09.2002,,,,,,,,,,,,"АБ ""Номос""",
77/5463,Тарасов,Владимир,Петрович,№ от 21.09.1999,№5052-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5464,Табунов,Александр,Николаевич,№ от 02.03.1976,№5052-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5465,Дубинина,Ольга,Васильевна,№ от 25.03.1997,№5055-а от 26.09.2002, №4 от 25.03.2004, №82 от 07.04.2004,,,,,,,,,приост.ст.,МГКА,
77/5466,Донковцева,Элеонора,Святославовна,№ от 25.03.1997,№5022-а от 26.09.2002,,,,, №2 от 03.02.2004, №41-а от 04.03.2004,,,,,прекращен ст.,,
77/5467,Дубинин,Владимир,Сергеевич,№ от 28.02.1978,№5055-а от 26.09.2002,,,,,,,,,,,,кабинет,
77/5468,Дубровская,Сильва,Абрамовна,№ от 17.03.1967,№5056-а от 26.09.2002,№2 от 17.02.2011,№38-а от 01.03.2011,,,№ 10 от 27.10.2011,№ 224-а от 08.11.2011,,,,,,МГКА,
77/5469,Дудин,Сергей,Валентинович,№ от 28.02.2002,№5056-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5470,Данилов,Евгений,Петрович,№ от 26.04.1994,№5013-а от 26.09.2002,,,,, №7 от 19.07.2007, №137-а от 31.07.2007,,,,,прекр.ст.,"КА ""Е.Данилов и партнеры""",МРКА
77/5471,Донцова,Ирина,Николаевна,№ от 27.05.1997,№5022-а от 26.09.2002, №6 от 17.06.2010, №163-а от 25.06.2010,,,,,,,,,приост.ст.,"АБ ""Юрис""",
77/5472,Донягина,Елена,Борисовна,№ от 05.06.2001,№5022-а от 26.09.2002,№9 от 29.09.2011,№196-а от 14.10.2011,,,,,,,,,,МГКА,
77/5473,Дрель,Марина,Иосифовна,№ от 12.10.1992,№5055-а от 26.09.2002, №1 от 25.01.2007, №23-а от 08.02.2007,,,,,,,,,приост.ст.,МГКА,приост.ст.
77/5474,Лахова,Юлия,Геннадьевна,№ от 05.06.2001,№5133-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5475,Гуров,Александр,Юрьевич,№ от 24.01.1989,№4999-а от 26.09.2002,,,,,,,,,,,,"АБ ""Интер-лекс"" (Орлова и партнеры)",
77/5476,Галманова,Вера,Николаевна,№ от 09.12.1986,№5054-а от 26.09.2002, №134 от 14.02.2005, №44-а от 22.02.2005,,,,,,,,,приост.ст.,МГКА,
77/5477,Гагарин,Николай,Алексеевич,№ от 01.03.1983,№5054-а от 26.09.2002,,,,,,,,,,,,"АБ ""Рез., Абуш., Гаг.и парт.""",
77/5478,Буянов,Борис,Николаевич,№ от 07.02.1979,№4328-а от 24.09.2002, №12 от 20.12.2006, №257-а от 29.12.2006,,,,,,,,,приост.ст.,МГКА,
77/5479,Бушин,Владимир,Витальевич,№ от 01.06.1993,№4328-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5480,Котова,Алина,Николаевна,№ от 13.11.2001,№5013-а от 26.09.2002,,,,,,,,,,,,"КА ""Юр.защита""",
77/5481,Козырева,Ольга,Юрьевна,№ от 16.04.1996,№5005-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5482,Козырева,Ирина,Александровна,№ от 28.02.1986,№5005-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5483,Коломин,Владимир,Васильевич,№ от 26.04.1994,№5005-а от 26.09.2002,,,,,,,,,,,,"МКА ""Практика""",
77/5484,Иванченкова,Надежда,Евгеньевна,№ от 18.11.1997,№4984-а от 26.09.2002,,,,,,,,,Васильева,№175-а от 16.06.2003,,МГКА,
77/5485,Иорданский,Евгений,Львович,№ от 28.02.1986,№5021-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5486,Лукьянова,Генриэтта,Павловна,№ от 05.04.1955,№5004-а от 26.09.2002, №12 от 21.12.2011,№7-а от 16.01.2012,,,,,,,,,,МГКА,
77/5487,Лычагина,Галина,Александровна,№ от 29.09.1993,№4978-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5488,Лапутин,Юлий,Михайлович,№ от 30.01.1996,№5063-а от 26.09.2002,,,,,,,,,,,,МГКА,Мос.Столичная КА
77/5489,Ларин,Юрий,Александрович,№ от 16.10.1984,№5063-а от 26.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/5490,Исаева,Екатерина,Юрьевна,№ от 01.06.1999,№5021-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5491,Игнатенко,Андрей,Николаевич,№ от 27.06.1989,№4973-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5492,Игишева,Ирина,Валентиновна,№ от 24.07.1990,№4973-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5493,Исаева,Светлана,Георгиевна,№ от 17.03.1987,№5021-а от 26.09.2002,,,,, №1158 от 23.04.2010, №116-а от 30.04.2010,,,,,прекр.ст.,МГКА,
77/5494,Исаченков,Александр,Михайлович,№ от 11.02.1992,№5021-а от 26.09.2002,,,,,,,,,,,,МГКА,"МКА ""Щит и Меч"""
77/5495,Ермилова,Любовь,Владимировна,№ от 26.03.1996,№4980-а от 26.09.2002, №1369 от 23.12.2003, №375-а от 30.12.2003,,,,,,,,,приост.ст.,МГКА,
77/5496,Ермакова,Наталья,Александровна,№ от 18.11.1986,№4989-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5497,Еремчук,Илья,Васильевич,№ от 13.11.2001,№4989-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5498,Ераксин,Николай,Валентинович,№ от 11.06.2002,№4987-а от 26.09.2002,,,,, №4 от 25.03.2004, №85-а от 07.04.2004,,,,,прекращен ст.,,
77/5499,Еремеев,Евгений,Николаевич,№ от 11.12.2001,№4987-а от 26.09.2002,,,,,,,,,,,,"КА ""Консул""",кабинет
77/5500,Еремина,Надежда,Алексеевна,№ от 06.02.2001,№4987-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5501,Елкина,Евгения,Валерьевна,№ от 13.04.1999,№4987-а от 26.09.2002,,,,,,,,,Бозкурт,№192-а от 04.10.2005 ,,"АБ ""Падва и партнеры""",
77/5502,Гусев,Николай,Николаевич,№ от 01.03.1977,№5013-а от 26.09.2002,,,,, №61 от 15.05.2006, №251-а от 26.12.2006,,,,,прекр.ст.,МГКА,
77/5503,Варцабо,Вячеслав,Владимирович,№ от 02.03.1976,№4977-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5504,Дьячек,Сергей,Порфирьевич,№ от 10.10.2000,№5059-а от 29.09.2002,,,,,,,,,,,,МГКА,
77/5505,Дунаев,Игорь,Евгеньевич,№ от 02.07.1985,№5059-а от 29.09.2002,,,,,,,,,,,,МГКА,
77/5506,Душин,Лев,Петрович,№ от 22.01.1985,№5059-а от 29.09.2002,№9 от 29.09.2011,№196-а от 14.10.2011,,,,,,,,,,МГКА,
77/5507,Доля,Федор,Павлович,№ от 31.05.1988,№5016-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5508,Дымской,Артем,Сергеевич,№ от 22.06.1999,№5059-а от 26.09.2002,,,,,,,,,,,,"АБ ""АЛМ-Фельдманс""",
77/5509,Дорогуш,Вера,Витальевна,№ от 25.01.1972,№5016-а от 26.09.2002,,,,, №4 от 25.03.2004, №85-а от 07.04.2004,,,,,прекращен ст.,,
77/5510,Сайфуллин,Владислав,Зарифович,№ от 26.06.2002,№4164-а от 24.09.2002,,,,,,,,,,,,"МКА ""Столичный адвокат""",
77/5511,Спицына,Ольга,Алексеевна,№ от 21.02.2002,№4168-а от 24.09.2002,,,,,№ 9 от 29.09.2011,№ 194-а от 14.10.2011,,,,,,кабинет,
77/5512,Смирнова,Наталья,Евгеньевна,№ от 23.05.2002,№4166-а от 24.09.2002,,,,,,,,,,,,"АБ ""Эксперт""",
77/5513,Скабелин,Игорь,Сергеевич,№ от 20.01.2004,№4165-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/5514,Скуратов,Николай,Викторович,№ от 22.12.1995,№4118-а от 24.09.2002,,,,,,,,,,,,МЮЦ,
77/5515,Стрелков,Олег,Евгеньевич,№ от 20.06.2002,№4119-а от 24.09.2002,,,,,,,,,,,,МЮЦ,
77/5516,Степанова,Анна,Игоревна,№ от 20.06.2002,№4156-а от 24.09.2002,,,,, №3 от 16.03.2010, №80-а от 24.03.2010,,,,,прекрщён ст.,"АБ ""ЮринФлот""",
77/5517,Смирнов,Андрей,Анатольевич,№ от 16.05.1994,№4155-а от 24.09.2002,,,,,,,,,,,,МЮЦ,
77/5518,Смирнов,Александр,Адольфович,№ от 18.04.2002,№4154-а от 24.09.2002,,,,,,,,,,,,"АБ ""Эксперт""",
77/5519,Смирнов,Виктор,Егорович,№ от 10.02.2000,№4167-а от 24.09.2002,,,,,,,,,,,,МЮЦ,
77/5520,Дрель,Антон,Вениаминович,№ от 01.06.1993,№5055-а от 26.09.2002,,,,,,,,,,,,"АБ ""АЛМ-Фельдманс""",
77/5521,Буянова,Лидия,Алексеевна,№ от 30.07.1985,№4328-а от 24.09.2002, №11 от 27.10.2005, №225-а от 11.11.2005, №3 от 23.03.2006, №67-а от 05.04.2006,,,,,,,приост.ст.,МГКА,приост.ст.
77/5522,Борисова,Светлана,Юрьевна,№ от 16.12.1986,№5024-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5523,Борисова,Ирина,Эдуардовна,№ от 01.06.2001,№5130-а от 26.09.2002,,,,,,,,,,,приост.ст.,МГКА,
77/5524,Борисов,Михаил,Николаевич,№ от 28.02.1975,№5130-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5525,Анисимова,Ирина,Марковна,№ от 28.02.1975,№5027-а от 26.09.2002,,,,, №9 от 15.09.2005, №198-а от 04.10.2005,,,,,прекр.ст.,МГКА,
77/5526,Анищик,Евгений,Николаевич,№ от 14.03.1989,№5027-а от 26.09.2002,,,,, №11 от 20.11.2007, №214-а от 07.12.2007,,,,,прекр.ст.,МГКА,
77/5527,Аношин,Виктор,Михайлович,№ от 24.05.1994,№5027-а от 26.09.2002,,,,,,,,,,,,МГКА,"МКА ""Гарантия"""
77/5528,Цзен,Матвей,Николаевич,№ от 25.06.2002,№4367-а от 24.09.2002,,,,,,,,,,,,"МКА ""Бинецкий и партнеры""",
77/5529,Цокол,Юлия,Владимировна,№ от 13.01.1998,№4367-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5530,Червин,Александр,Иосифович,№ от 06.04.1951,№4355-а от 24.09.2002,,,,, №4 от 25.03.1994, №84-а от 07.04.2004,,,,,прекращен ст.,,
77/5531,Чернова,Любовь,Васильевна,№ от 17.09.1991,№4355-а от 24.09.2002,,,,, №5 от 21.05.2008, №106-а от 02.06.2008,,,,,прекр.ст.,МГКА,
77/5532,Черников,Олег,Юрьевич,№ от 25.06.2002,№4355-а от 24.09.2002, №1 от 30.01.2008, №27-а от 15.02.2008,,,,,,,,,приост.ст.,"КА г.М ""Барщевский и партнеры""",
77/5533,Челяпов,Леонид,Юрьевич,№ от 17.09.1985,№4366-а от 24.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/5534,Чаадаев,Сергей,Григорьевич,№ от 21.05.1991,№4367-а от 24.09.2002,,,,,,,,,,,,"АБ ""Чаадаев и партнеры""",
77/5535,Чаадаева,Инна,Георгиевна,№ от 01.11.1994,№4367-а от 24.09.2002,,,,,,,,,,,,"АБ ""Чаадаев и партнеры""",
77/5536,Тюрин,Юрий,Михайлович,№ от 31.03.1992,№4369-а от 24.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/5537,Тюрина,Раиса,Александровна,№ от 29.05.1990,№4369-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5538,Трусова,Наталия,Дмитриевна,№ от 30.01.1990,№4369-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5539,Трошкин,Николай,Никитич,№ от 25.06.2002,№4369-а от 24.09.2002,,,,, №6 от 27.05.2004, №134-а от 18.06.2004,,,,,прекращен ст.,,
77/5540,Тютерев,Валерий,Константинович,№ от 21.05.1991,№4369-а от 24.09.2002,,,,, №7 от 16.06.2004, №200-а от 29.06.2004,,,,,прекращен ст.,,
77/5541,Сучкова,Нина,Николаевна,№ от 16.09.1997,№4368-а от 24.09.2002,,,,,,,,,,,,"МКА ""Коллеги""",
77/5542,Сухомлинов,Виталий,Анатольевич,№ от 28.02.2002,№4368-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5543,Сухова,Елена,Юрьевна,№ от 11.12.2001,№4368-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/5544,Рижская,Мария,Павловна,№ от 01.06.1999,№4366-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5545,Маслова,Вера,Фоминична,№ от 12.01.1988,№4362-а от 24.09.2002,№8 от 09.08.2012,№4316 от 24.08.2012,,,,,,,Дунаевская,№5581-а от 28.10.2002 ,,"КА ""Северо-Запад""",
77/5546,Маслова,Виктория,Гарриевна,№ от 01.06.2001,№4362-а от 24.09.2002,,,,, №2114 от 22.12.2004, №17-а от 17.01.2005,,,,,прекращен ст.,МГКА,
77/5547,Кунцева,Ольга,Виленовна,№ от 24.04.1990,№4364-а от 24.09.2002,,,,, №1 от 28.01.2009, №47-а от 12.02.2009,,,,,прекр.ст.,МГКА,
77/5548,Горшков,Василий,Дмитриевич,№ от 12.03.2000,№5027-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5549,Горчакова-Хинкина,Ольга,Николаевна,№ от 03.02.1998,№5019-а от 26.09.2002,,,,,,,,,,,приост.ст.,МГКА,
77/5550,Городкова,Клавдия,Валентиновна,№ от 16.06.1998,№5019-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5551,Городисский,Андрей,Михайлович,№ от 11.01.1994,№5019-а от 26.09.2002,,,,,,,,,,,,"АБ ""А.Городисский и партнеры""",
77/5552,Городисская,Елена,Юрьевна,№ от 28.05.1991,№5019-а от 26.09.2002,,,,,,,,,,,,"АБ ""А.Городисский и партнеры""",
77/5553,Горшенин,Лев,Георгиевич,№ от 20.06.1995,№5019-а от 26.09.2002,,,,, №94 от 14.06.2006, №154-а от 21.07.2006,,,,,прекращен ст.,МГКА,
77/5554,Бакумова,Светлана,Вадимовна,№ от 01.06.1999,№5058-а от 26.09.2002, №959-а от 02.10.2003, №308-а от 08.10.2003,,,,,,,,,приост.ст.,МГКА,
77/5555,Бакланов,Валентин,Александрович,№ от 09.10.1984,№5058-а от 26.09.2002,,,,,,,,,,,,"МГКА ""Экономика и право""",
77/5556,Баклан,Валентина,Алексеевна,№ от 29.05.1990,№5058-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5557,Кошечкина,Ирина,Борисовна,№ от 11.12.2001,№4972-а от 26.09.2002,,,,,,,,,,,,МРКА,
77/5558,Козина,Наталия,Арташесовна,№ от 12.08.1975,№4972-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5559,Козлов,Сергей,Петрович,№ от 26.02.1980,№4972-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5560,Кочнев,Константин,Викторович,№ от 28.02.2002,№4973-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5561,Кочубей,Иван,Викторович,№ от 13.11.2001,№4973-а от 26.09.2002,,,,,,,,,,,,"АБ ""Рез., Гаг., Абуш.и парт.""",
77/5562,Кошелева,Лариса,Филипповна,№ от 07.04.1953,№4973-а от 26.09.2002,,,,,,,,,,,,МГКА,"КА ""Юков, Хренов и партнеры"""
77/5563,Крючкова,Алина,Игоревна,№ от 30.05.2000,№4977-а от 26.09.2002,№ 22 от   15.12.2003  № 10 от 27.10.2011,№ 375-а  от 30.12.2003  № 218-а от 08.11.2011, №980 от 02.06.2004, №126-а от 10.06.2004,,,,,Мирошниченко,№10-а от 03.02.2003 ,,приост.,
77/5564,Кварацхелия,Нина,Игоревна,№ от 30.05.2000,№4975-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5565,Караханян,Самвел,Гургенович,№ от 06.07.1999,№4975-а от 26.09.2002,,,,,,,,,,,,"КА г.М ""Барщевский и партнеры""",
77/5566,Тырса,Валерий,Иванович,№ от 17.12.1998,№4610-а от 24.09.2002,,,,,,,,,,,,Межтеррит.КА,
77/5567,Абрамян,Грач,Оганесович,№ от 24.01.2002,№4588-а от 24.09.2002,,,,,,,,,,,,"КА ""Лотос""",
77/5568,Боговский,Павел,Борисович,№ от 14.12.2000,№4598-а от 24.09.2002,,,,,,,,,,,,Межтеррит.КА,
77/5569,Афанасьев,Илья,Михайлович,№ от 20.06.2002,№4581-а от 24.09.2002,,,,, №12 от 18.12.2008, №07-а от 11.01.2009,,,,,прекр.ст.,"МКА сист. биоэкол.безоп. и здравоохр.""",
77/5570,Андреев,Кристиан,Викторович,№ от 27.12.2001,№4580-а от 24.09.2002,,,,,,,,,,,,Мос.корпоративная КА,
77/5571,Агатова,Елена,Александровна,№ от 16.10.2000,№4584-а от 24.09.2002,,,,, №958 от 02.10.2003, №309-а от 08.10.2003,,,,,прекр.ст.,,
77/5572,Анисимов,Евгений,Николаевич,№ от 10.02.2000,№4583-а от 24.09.2002,,,,, №12 от 20.12.2006, №260-а от 29.12.2006,,,,,прекр.ст.,кабинет,
77/5573,Александрова,Елена,Витальевна,№ от 25.08.1999,№4593-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/5574,Алешина,Наталья,Владимировна,№ от 25.10.2001,№4585-а от 24.09.2002,,,,,,,,,,,,"МКА ""Ресурс""",
77/5575,Абраменко,Федор,Александрович,№ от 24.01.2002,№4586-а от 24.09.2002,,,,,,,,,,,,Межтеррит.КА,
77/5576,Алешкина,Елена,Николаевна,№ от 27.12.2001,№4582-а от 24.09.2002,,,,,,,,,,,,"МКА ""Традиция""",
77/5577,Анпилогова,Лариса,Геннадьевна,№ от 28.05.1998,№4442-а от 24.09.2002, №3052 от 12.10.2010, №272-а от 18.10.2010,,,,,,,,,приост.ст.,МГКА,
77/5578,Богданова,Татьяна,Владимировна,№ от 26.05.1992,№4437-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5579,Березкина,Светлана,Александровна,№ от 02.07.1991,№4437-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5580,Березин,Вадим,Валентинович,№ от 27.05.1997,№4437-а от 24.09.2002,,,,,,,,,,,,МГКА,"МКА ""Прав.центр ""Арбат"""
77/5581,Березин,Александр,Валерьевич,№ от 24.04.2002,№4437-а от 24.09.2002,,,,,,,,,,,,"КА ""Мост""",
77/5582,Бодрова,Галина,Николаевна,№ от 25.09.1990,№4437-а от 24.09.2002,,,,,,,,,,,,"МКА ""Бинецкий и партнеры""",
77/5583,Горбачева,Мария,Петровна,№ от 27.04.1954,№4448-а от 24.09.2002,,,,, №988 от 02.06.2004, №127-а от 10.06.2004,,,,,прекращен ст.,,
77/5584,Заика,Леонид,Михайлович,№ от 09.02.1999,№4660-а от 24.09.2002,,,,,,,,,,,,"АБ ""Заика, Бокарева и партнеры""",
77/5585,Жуган,Василий,Петрович,№ от 13.11.2001,№4442-а от 24.09.2002,№6 от 23.06.2011,№120-а от 29.06.2011,,,,,,,,,,"КА ""Юр.защита""",
77/5586,Горемыкина,Елена,Геннадьевна,№ от 13.01.1998,№4448-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5587,Горбаткова,Светлана,Анатольевна,№ от 29.01.2002,№4448-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5588,Горбачев,Алексей,Вячеславович,№ от 05.06.2001,№4448-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5589,Гриднева,София,Эмануиловна,№ от 10.10.1989,№4442-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5590,Гончарова,Ида,Мануиловна,№ от 06.06.1962,№4448-а от 24.09.2002,,,,,№3 от 27.03.2012,№1418 от 06.04.2012,,,,,,МГКА,
77/5591,Гриднев,Тимофей,Владимирович,№ от 14.10.1997,№4442-а от 24.09.2002,,,,,,,,,,,,"МКА ""Гриднев и партнеры""",
77/5592,Григорьев,Всеволод,Валерьевич,№ от 26.07.2001,№4442-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5593,Дербышев,Вячеслав,Михайлович,№ от 13.11.2001,№4458-а от 24.09.2002,,,,,,,,,,,,"КА ""Юр.защита""",
77/5594,Дергачева,Ия,Михайловна,№ от 18.01.2000,№4458-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5595,Деревянко,Светлана,Вячеславна,№ от 01.06.1999,№4458-а от 24.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/5596,Джанхотова,Залина,Магометовна,№ от 21.03.2002,№3510-а от 23.09.2002,,,,,,,,,,,,Межтеррит.КА,
77/5597,Рабинова,Галина,Анатольевна,№ от 27.08.1990,№2655-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5598,Одягайло,Владимир,Федорович,№ от 26.05.1992,№3728-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/5599,Боташева,Кулистан,Азретовна,№ от 15.10.1996,№3756-а от 24.09.2002,№6  от 17.06.2010 отменено №8 от 05.08.2010 ,№163-а  от 25.06.2010 №224-а от отменено 24.08.2010 ,№7  от 19.07.2010 отменено №8 от 05.08.2010 ,№191-а  от 27.07.2010 отменено №224-а от 24.08.2010 ,,,,,,,,МГКА,
77/5600,Атанесян,Гамлет,Амаякович,№ от 25.07.1989,№3657-а от 24.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/5601,Федорович,Игорь,Владимирович,№ от 27.05.1997,№5060-а от 26.09.2002,,,,,,,,,,,,"МКА ""Практика""",
77/5602,Филатова,Татьяна,Петровна,№ от 09.09.1969,№5014-а от 26.09.2002,,,,, №2 от 28.02.1008, №48-а от 14.03.2008,,,,,прекр.ст.,МГКА,
77/5603,Качмазов,Христафор,Семенович,№ от 25.02.1992,№5050-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5604,Кашкаров,Александр,Анатольевич,№ от 13.11.2001,№5050-а от 26.09.2002,,,,,,,,,,,,"АБ ""ЛЭНКС""",
77/5605,Кашутина,Елена,Владимировна,№ от 01.06.1993,№5050-а от 26.09.2002,,,,,,,,,,,,МГКА,"КА ""Русская правда"""
77/5606,Кащенко,Марина,Вячеславовна,№ от 29.05.1987,№5050-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5607,Комарова,Елена,Петровна,№ от 16.10.1959,№5061-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5608,Калашников,Владимир,Ильич,№ от 10.11.1992,№4980-а от 26.09.2002,№2 от 17.02.2011,№38-а от 01.03.2011,,,,,,,,,,МГКА,
77/5609,Колоколов,Дмитрий,Германович,№ от 29.11.1994,№5005-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5610,Кучма,Тамара,Алексеевна,№ от 08.06.1999,№5006-а от 26.09.2002,,,,,,,,,,,,"КА ""Нерсисян и партнеры""",Межрег.КА
77/5611,Коновалова,Светлана,Юльевна,№ от 26.02.1980,№5008-а от 26.09.2002,,,,, №2 от 22.02.2007, №48-а от 13.03.2007,,,,,прекр.ст.,МГКА,
77/5612,Кошкин,Максим,Георгиевич,№ от 31.05.1988,№5008-а от 26.09.2002,,,,,,,,,,,,МГКА,"АБ ""Лекс консалтинг"""
77/5613,Хейфец,Елена,Феликсовна,№ от 26.02.1982,№4993-а от 26.09.2002,,,,,,,,,,,,"АБ ""Хейфец и партнеры"" (ХеЛПи)",
77/5614,Хускивадзе,Ольга,Чичиковна,№ от 24.12.1985,№5075-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5615,Хохлов,Андрей,Иванович,№ от 09.10.1990,№5060-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5616,Хромовичев,Виктор,Иванович,№ от 23.06.1987,№5060-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/5617,Хейфец,Леонид,Самуилович,№ от 29.08.1975,№4993-а от 26.09.2002,,,,,,,,,,,,"КА г.М ""Чаадаев, Хейфец и партнеры""",
77/5618,Порошин,Александр,Юрьевич,№ от 30.01.1996,№5024-а от 26.09.2002,,,,,,,,,,,,МГКА,
