№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
69	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1260	119333, г. Москва, ул. Фотиевой, дом 14, корп. 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	137-57-81	http://school-1260.ru
70	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информационных технологий № 1368	117041, г. Москва, улица Академика Понтрягина, дом 17, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	715-11-63	http://school1368.ru
71	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1215 имени Ромена Роллана	129110 г.Москва, Больничный пер., д.4, стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 681-08-50	http://1215school.ucoz.ru/
72	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1225	105062 г.Москва, Лялин пер., д.12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 916-20-66	http://schuc1225.mskobr.ru/
73	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского)языка № 1241	123022 г.Москва, Б.Трехгорный пер., д.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	252-37-88	http://schuc1241.mskobr.ru
74	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  с углубленным изучением иностранного языка № 1243	103090 г. Москва, М.Кисловский пер., д.12/8	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 690-36-03; (495) 690-59-28; (495) 690-36-73; (495) 690-47-04; (495) 690-04-35; (495) 690-44-48	http://schu1243.cao.mskobr.ru/
75	Государственное бюджетное образовательное учреждение города Москвы средняя об щеобразовательная школа с углубленным изучением английского языка № 1262 имени А.Н. Островского	119049 г. Москва, ул. Житная, д.6/8	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	238-10-90	http://sch1262.ru/
76	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и французского языков № 1950	123056 г.Москва, ул.Зоологическая, д.28, стр 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	254-95-37	http://1950.nsv.ru/
77	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1416	127576 г. Москва, ул. Новгородская, д. 8	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 209-42-29	http://school1416.3dn.ru/
78	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1973	119454 г.Москва, ул. Лобачевского, д. 92	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	932-87-09	http://1973.mskzapad.ru
