№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
19738	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ШАНЯ	Разовый	24.0
19739	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ДЯТЬКОВО	Разовый	19.0
19740	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КРИВОЛУЧЬЕ	Разовый	66.0
19741	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ТУЛА-3 ВЯЗЕМСКАЯ	Разовый	57.0
19742	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ФРЯЗИНО ПАСС	Разовый	404.0
19743	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЩЕКИНО	Разовый	34.0
19744	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПОНЫРИ	Разовый	52.0
19745	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	РЯЗАНЬ-2	Разовый	172.0
19746	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	МИХАЙЛОВСКИЙ РУДНИК	Разовый	42.0
19747	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЛУЖКИ- ОРЛОВСКИЕ	Разовый	35.0
19748	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КУРБАКИНСКАЯ	Разовый	8.0
19749	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	РАМЕНСКОЕ	Разовый	1457.0
19750	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	БРОННИЦЫ	Абонемент	3.0
19751	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ОТДЫХ	Абонемент	49.0
19752	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ШУГАРОВО	Абонемент	1.0
19753	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПЛ 88 КМ	Абонемент	19.0
19754	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КРАСКОВО	Абонемент	8.0
19755	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	РОДНИКИ	Разовый	174.0
19756	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЕГОРЬЕВСК 2	Разовый	41.0
19757	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ХОРОШЕВО	Разовый	55.0
19758	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	МОСКВА Т ПАВЕЛ	Разовый	76.0
19759	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЧЕРТАНОВО	Разовый	70.0
19760	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КРЮКОВО	Разовый	1323.0
19761	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КРЮКОВО	Абонемент	80.0
19762	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПОКРОВКА	Разовый	42.0
19763	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	НОВОПОДРЕЗКОВО	Абонемент	14.0
19764	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ХИМКИ	Абонемент	36.0
19765	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	СОНКОВО	Разовый	77.0
19766	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КУВШИНОВО	Разовый	3.0
19767	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	П-РАЗУМОВСКАЯ	Разовый	1236.0
19768	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ФИРСАНОВКА	Разовый	137.0
19769	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	СХОДНЯ	Разовый	571.0
19770	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ТВЕРЬ	Абонемент	4.0
19771	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПОВАРОВКА	Разовый	145.0
19772	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЗАВИДОВО	Абонемент	3.0
19773	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ДРЕЗНА	Разовый	142.0
19774	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	МОСКВОРЕЧЬЕ	Разовый	321.0
19775	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	МОСКВА КАЗ	Абонемент	127.0
19776	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КОРЕНЕВО	Разовый	300.0
19777	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЛЮБЛИНО Д	Абонемент	1.0
19778	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	СОРТИРОВОЧНАЯ	Разовый	320.0
19779	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЧЕРУСТИ	Абонемент	1.0
19780	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЭЛЕКТРОСТАЛЬ	Разовый	117.0
19781	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ГОЛИЦИНО	Абонемент	68.0
19782	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	СОЛНЕЧНАЯ	Разовый	413.0
19783	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ОПАЛИХА	Абонемент	3.0
19784	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПЕРХУШКОВО	Абонемент	13.0
19785	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ТЕСТОВСКАЯ	Разовый	101.0
19786	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	УВАРОВКА	Разовый	48.0
19787	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ДОРОХОВО	Разовый	213.0
19788	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ТУШИНО	Абонемент	32.0
19789	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	МОСКВА БЕЛ	Разовый	4869.0
19790	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ТОЛСТОПАЛЬЦЕВО	Разовый	209.0
19791	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ВНУКОВО	Абонемент	4.0
19792	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КОКОШКИНО	Разовый	333.0
19793	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЛЕНИНГРАДСКАЯ	Разовый	1104.0
19794	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КОКОШКИНО	Абонемент	9.0
19795	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	МАЛЫЕ ВЯЗЕМЫ	Абонемент	2.0
19796	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	СКОЛКОВО	Разовый	198.0
19797	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	НЕМЧИНОВКА	Абонемент	5.0
19798	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	СЕЛЯТИНО	Разовый	284.0
19799	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	БЕСКУДНИКОВО	Разовый	715.0
19800	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЛОСЬ	Абонемент	39.0
19801	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЛОБНЯ	Разовый	1198.0
19802	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КАТУАР	Абонемент	7.0
19803	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	СОФРИНО	Разовый	549.0
19804	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЛИАНОЗОВО	Разовый	865.0
19805	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ВЕРБИЛКИ	Разовый	132.0
19806	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЗАПРУДНАЯ	Абонемент	1.0
19807	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ТРИКОТАЖНАЯ	Абонемент	2.0
19808	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЯХРОМА	Разовый	172.0
19809	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	БОЛЬШ ВОЛГА	Разовый	128.0
19810	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	САДОВАЯ	Разовый	39.0
19811	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ИВАНТЕЕВКА	Абонемент	17.0
19812	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	БОЛШЕВО	Разовый	1654.0
19813	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КАРАЧЕВ	Разовый	48.0
19814	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ВЫГОНИЧИ	Разовый	8.0
19815	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ГЛИНКА	Разовый	16.0
19816	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КАЛУГА 1	Абонемент	2.0
19817	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КИМОВСК	Разовый	8.0
19818	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	УЗЛОВАЯ 1	Разовый	101.0
19819	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ФРЯЗИНО ПАСС	Абонемент	11.0
19820	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	НОВОМОСКОВСКАЯ-1	Разовый	56.0
19821	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КАЛУГА 2	Разовый	63.0
19822	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	БАХЧИВАНДЖИ	Разовый	450.0
19823	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	АШУКИНСКАЯ	Разовый	311.0
19824	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ХОДЫНИНО	Разовый	15.0
19825	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПОЛОТНЯНЫЙ ЗАВОД	Разовый	24.0
19826	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ХОТЫНЕЦ	Разовый	41.0
19827	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЛЬГОВ- КИЕВСКИЙ	Разовый	90.0
19828	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ДЕТСКАЯ	Разовый	214.0
19829	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	МАРМЫЖИ	Разовый	12.0
19830	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	СОКОЛОВСКАЯ	Абонемент	3.0
19831	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПАНКИ	Разовый	658.0
19832	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	АКРИ	Разовый	26.0
19833	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ФРЕЗЕР	Разовый	113.0
19834	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ХРИПАНЬ	Разовый	43.0
19835	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ХРИПАНЬ	Абонемент	1.0
19836	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КУЗЯЕВО	Разовый	20.0
19837	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПЛ 88 КМ	Разовый	969.0
19838	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	АВСЮНИНО	Абонемент	2.0
19839	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЖИЛЕВО	Разовый	90.0
19840	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПЛ 63 КМ	Разовый	39.0
19841	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ОП 55 КМ	Абонемент	1.0
19842	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КОНОБЕЕВО	Разовый	238.0
19843	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ТЕСНА	Разовый	46.0
19844	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЛЕНИНСКАЯ	Абонемент	1.0
19845	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ВЗЛЕТНАЯ	Разовый	213.0
19846	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ХОВРИНО	Разовый	613.0
19847	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КЛИН	Разовый	1136.0
19848	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ПОДСОЛНЕЧНАЯ	Разовый	1205.0
19849	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	НОВОПОДРЕЗКОВО	Разовый	215.0
19850	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	НЕЛИДОВО	Разовый	46.0
19851	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ТОРОПЕЦ	Разовый	10.0
19852	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	РЖЕВ- БАЛТИЙСКИЙ	Разовый	195.0
19853	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	ЗУБЦОВ	Разовый	4.0
19854	ОАО "ЦППК"	2013-01-26T00:00:00.000+03:00	КЛИН	Абонемент	14.0
19855	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЦАРИЦЫНО	Разовый	1665.0
19856	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЛЮБЛИНО Д	Абонемент	5.0
19857	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МАЛАХОВКА	Разовый	1023.0
19858	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ДОМОДЕДОВО	Разовый	1368.0
19859	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПЛ 88 КМ	Разовый	934.0
19860	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПЛ 88 КМ	Абонемент	27.0
19861	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ШАТУРА	Абонемент	4.0
19862	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЧЕРТАНОВО	Разовый	69.0
19863	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КАШИРА	Разовый	382.0
19864	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВОСТРЯКОВО	Разовый	112.0
19865	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПАНКИ	Абонемент	47.0
19866	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	СТУПИНО	Разовый	428.0
19867	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ШУГАРОВО	Разовый	51.0
19868	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЭЛЕКТРОЗАВОДСКАЯ	Абонемент	44.0
19869	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ОТДЫХ	Абонемент	71.0
19870	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БЫКОВО	Разовый	871.0
19871	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	СЕТУНЬ	Абонемент	30.0
19872	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БИРЮЛЕВО ТОВ	Разовый	610.0
19873	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КОСИНО	Разовый	462.0
19874	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОЖАЙСК	Разовый	374.0
19875	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ШИФЕРНАЯ	Абонемент	1.0
19876	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЗАГОРНОВО	Разовый	182.0
19877	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ОП 55 КМ	Разовый	46.0
19878	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПЕРЕДЕЛКИНО	Разовый	472.0
19879	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ДЕДОВСК	Абонемент	101.0
19880	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КУНЦЕВО 1	Разовый	1179.0
19881	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ГОЛИЦИНО	Абонемент	112.0
19882	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ОПАЛИХА	Разовый	353.0
19883	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ДЕГУНИНО	Абонемент	30.0
19884	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ТУЧКОВО	Разовый	710.0
19885	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КАТУАР	Разовый	367.0
19886	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ТУЧКОВО	Абонемент	26.0
19887	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЛОБНЯ	Абонемент	80.0
19888	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ШЕРЕМЕТЬЕВСКАЯ	Абонемент	3.0
19889	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	АЛАБИНО	Абонемент	2.0
19890	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БАШКИНО	Разовый	7.0
19891	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЗАГОРЯНСКАЯ	Разовый	292.0
19892	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОНИНО	Разовый	852.0
19893	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЩЕЛКОВО	Абонемент	29.0
19894	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЧКАЛОВСКАЯ	Разовый	542.0
19895	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БОЛШЕВО	Абонемент	130.0
19896	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МЫТИЩИ	Абонемент	185.0
19897	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПУШКИНО	Абонемент	174.0
19898	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЛОСИНООСТРОВСК	Разовый	1788.0
19899	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КАЛУГА 1	Разовый	392.0
19900	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БАБЫНИНО	Разовый	60.0
19901	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОСКВА ЯРОСЛАВ	Абонемент	276.0
19902	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ТИХОНОВА ПУСТ	Разовый	30.0
19903	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	АРСАКИ	Разовый	39.0
19904	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЯУЗА	Разовый	240.0
19905	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ИВАНТЕЕВКА 2	Абонемент	64.0
19906	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МАМОНТОВСКАЯ	Абонемент	18.0
19907	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ФАБРИКА 1 МАЯ	Абонемент	21.0
19908	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КОРАБЛИНО	Разовый	39.0
19909	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	СЕРЕБР ПРУДЫ	Разовый	8.0
19910	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КЛЯЗЬМА	Абонемент	9.0
19911	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	СКОПИН	Разовый	11.0
19912	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОСКВА 3	Разовый	138.0
19913	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	СЕРП И МОЛОТ	Разовый	1145.0
19914	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЗАРЯ	Разовый	424.0
19915	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВЫХИНО	Абонемент	128.0
19916	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ОРЕХОВО ЗУЕВО	Разовый	958.0
19917	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЭЛЕКТРОГОРСК	Разовый	100.0
19918	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЭЛЕКТРОГОРСК	Абонемент	3.0
19919	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЧЕРУСТИ	Разовый	52.0
19920	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	УХТОМСКАЯ	Абонемент	33.0
19921	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОСКВА КУР	Абонемент	208.0
19922	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	УСАД	Абонемент	3.0
19923	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЭЛЕКТРОСТАЛЬ	Абонемент	5.0
19924	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЧУХЛИНКА	Разовый	709.0
19925	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ОРЕЛ	Разовый	232.0
19926	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КУРСК	Разовый	241.0
19927	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЯСНОГОРСК	Разовый	82.0
19928	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЩИГРЫ	Разовый	14.0
19929	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЛУЖКИ- ОРЛОВСКИЕ	Разовый	15.0
19930	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	СУРАЖ	Разовый	6.0
19931	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	НАВЛЯ	Разовый	239.0
19932	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	САФОНОВО	Разовый	53.0
19933	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	РУДНЯ	Разовый	15.0
19934	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	РОСЛАВЛЬ-1	Разовый	48.0
19935	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПЛАВСК	Разовый	25.0
19936	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПОВАРОВО 1	Разовый	105.0
19937	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПОДСОЛНЕЧНАЯ	Разовый	1177.0
19938	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ТОРЖОК	Разовый	82.0
19939	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КАЛАШНИКОВО	Разовый	53.0
19940	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БЕЖЕЦК	Разовый	25.0
19941	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КАШИН	Разовый	11.0
19942	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОССЕЛЬМАШ	Разовый	126.0
19943	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ХОВРИНО	Разовый	490.0
19944	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЧУПРИЯНОВКА	Абонемент	1.0
19945	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	АЛАБУШЕВО	Абонемент	4.0
19946	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПЛАНЕРНАЯ	Абонемент	7.0
19947	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПЛАНЕРНАЯ	Разовый	101.0
19948	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПОДОЛЬСК	Абонемент	155.0
19949	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БУТОВО	Абонемент	21.0
19950	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВЕСЕННЯЯ	Разовый	361.0
19951	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БИРЮЛЕВО ПАСС	Разовый	787.0
19952	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВЕЛЬЯМИНОВО	Разовый	102.0
19953	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВЕШНЯКИ	Разовый	402.0
19954	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПРИВАЛОВО	Разовый	23.0
19955	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВЗЛЕТНАЯ	Разовый	209.0
19956	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОСКВА БЕЛ	Абонемент	37.0
19957	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КУРОВСКАЯ	Разовый	877.0
19958	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	РАСТОРГУЕВО	Абонемент	6.0
19959	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	РАСТОРГУЕВО	Разовый	487.0
19960	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ФАБРИЧНАЯ	Разовый	1159.0
19961	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ОВРАЖКИ	Разовый	56.0
19962	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КРИВАНДИНО	Разовый	37.0
19963	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БАКОВКА	Разовый	364.0
19964	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЗИЛ	Разовый	73.0
19965	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЗИЛ	Абонемент	1.0
19966	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ШИФЕРНАЯ	Разовый	50.0
19967	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	БЕЛЫЕ СТОЛБЫ	Абонемент	11.0
19968	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЖИЛЕВО	Разовый	96.0
19969	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОСКВА Т ПАВЕЛ	Разовый	78.0
19970	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВОЛОКОЛАМСК	Абонемент	1.0
19971	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КРАСНОГОРСКАЯ	Разовый	544.0
19972	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КРАСНОГОРСКАЯ	Абонемент	11.0
19973	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЛИАНОЗОВО	Разовый	634.0
19974	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	МОСКВА КИЕВ	Абонемент	66.0
19975	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КРЕКШИНО	Разовый	52.0
19976	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПАВШИНО	Абонемент	66.0
19977	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ИКША	Абонемент	3.0
19978	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ПЕТЕЛИНО	Абонемент	6.0
19979	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВНУКОВО	Абонемент	3.0
19980	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ВЕРБИЛКИ	Абонемент	2.0
19981	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	СОЛНЕЧНАЯ	Разовый	336.0
19982	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	НАХАБИНО	Абонемент	72.0
19983	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЛЕСНОЙ ГОРОДОК	Разовый	267.0
19984	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	КРАСНЫЙ БАЛТИЕЦ	Абонемент	3.0
19985	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ТАЛДОМ САВ	Разовый	189.0
19986	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ЧЕХОВСКАЯ	Разовый	70.0
19987	ОАО "ЦППК"	2013-01-27T00:00:00.000+03:00	ХЛЕБНИКОВО	Абонемент	5.0
