№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
76	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РЕВЯКИНО	Разовый	31.0
77	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЗАЛЕГОЩЬ	Разовый	26.0
78	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МУРАТОВКА	Разовый	72.0
79	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЕФРЕМОВ	Разовый	20.0
80	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	УЗЛОВАЯ 1	Разовый	85.0
81	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЖДАНКА	Разовый	8.0
82	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛАГЕРНЫЙ	Разовый	14.0
83	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЯРЦЕВО	Разовый	16.0
84	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КАРАЧЕВ	Разовый	32.0
85	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПОЧЕП	Разовый	22.0
86	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	САДОВАЯ	Разовый	34.0
87	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПАВЕЛЕЦ ТУЛЬСК	Разовый	21.0
88	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЖУКОВКА	Абонемент	4.0
89	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КОЗЕЛЬСК	Разовый	3.0
90	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КРЮКОВО	Абонемент	91.0
91	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СОНКОВО	Разовый	93.0
92	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КУВШИНОВО	Разовый	5.0
93	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛЕВОБЕРЕЖНАЯ	Абонемент	6.0
94	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	УДОМЛЯ	Разовый	41.0
95	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЛ 88 КМ	Разовый	1093.0
96	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПАНКИ	Абонемент	105.0
97	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФРЕЗЕР	Разовый	269.0
98	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РОДНИКИ	Разовый	198.0
99	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФАБРИЧНАЯ	Разовый	1536.0
100	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ВИНОГРАДОВО	Разовый	363.0
101	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ШАТУРА	Абонемент	4.0
102	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СОВХОЗ	Абонемент	4.0
