№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
7080	Московская промышленная газета	просп. Мира 49	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	01.03.2012 0:00:00	01.03.2015 0:00:00	100-000644	01.03.2012 0:00:00
7081	Ретранс	просп. Мира 49	ЦАО	Мещанский	Павильон	с 1 января по 31 декабря	03.04.2012 0:00:00	03.04.2015 0:00:00	100-001023	03.04.2012 0:00:00
7082	БестТорг	просп. Мира 49	ЦАО	Мещанский	Модульный объект	с 1 апреля по 1 ноября	07.09.2011 0:00:00	07.09.2014 0:00:00	100-000161	07.09.2012 0:00:00
7083	печать на Каширское шоссе, вл. 16	Каширское шоссе 16	ЮАО	Нагатино-Садовники	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	600-002808	01.02.2012 0:00:00
7084	РС Айсберри	Большая Спасская ул.	ЦАО	Красносельский	Модульный объект	с 1 января по 31 декабря	12.04.2012 0:00:00	12.04.2015 0:00:00	100-000607	12.04.2012 0:00:00
7085	ВЕРОНА	пр. Серебрякова 5	СВАО	Свиблово	Модульный объект	с 1 января по 31 декабря	30.05.2012 0:00:00	29.05.2015 0:00:00		
7086	Центр-ОП	Большой Харитоньевский пер. 9	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000769	02.09.2011 0:00:00
7087	Шарг Маркет	Медынская ул. 8 к. 2	ЮАО	Бирюлево Западное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-001909	19.10.2011 0:00:00
7088	Вест Торг	Медынская ул. 8 к. 2	ЮАО	Бирюлево Западное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-001973	27.10.2011 0:00:00
7089	Фирма Диарт	Медынская ул. 8 к. 2	ЮАО	Бирюлево Западное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002070	02.11.2011 0:00:00
7090	Хлеб, хлебобулочные изделия на Большой Харитоньевский пер. 9	Большой Харитоньевский пер. 9	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
7091	РС Айсберри	Снежная ул. 13 к. 1	СВАО	Свиблово	Модульный объект	с 1 января по 31 декабря	28.11.2011 0:00:00	29.11.2014 0:00:00	300-000446	28.11.2011 0:00:00
7092	Центропечать, Молодцова,2	ул. Молодцова 2А	СВАО	Северное Медведково	Модульный объект	с 1 августа по 1 ноября	27.04.2012 0:00:00	27.04.2015 0:00:00	300-000735	14.06.2012 0:00:00
7093	Печать на Симоновский вал, д.13 (Южное агенство печати)	Симоновский вал, вл.13	ЮВАО	Южнопортовый	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	500-004519	28.11.2011 0:00:00
7094	Павильон продукты на проспект Андропова, вл. 27	просп. Андропова 27	ЮАО	Нагатинский затон	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002038	19.10.2011 0:00:00
7095	печать на Симоновский вал, д.15	Симоновский вал, д.15	ЮВАО	Южнопортовый	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	500-004611	08.12.2011 0:00:00
7096	Бытовое обслуживание на 3-й Крутицкий пер. д.13	3-й Крутицкий пер. 13	ЮВАО	Южнопортовый	Модульный объект	с 1 августа по 1 ноября	22.04.2011 0:00:00	22.04.2014 0:00:00	500-004176	22.09.2011 0:00:00
7097	Дилинг Сити	Берингов пр. 4	СВАО	Свиблово	Модульный объект	с 1 января по 31 декабря	06.09.2011 0:00:00	05.09.2014 0:00:00	300-000415	20.09.2011 0:00:00
7098	Печать на Проспекте Андропова, вл. 27	просп. Андропова 27	ЮАО	Нагатинский затон	Модульный объект	с 1 января по 31 декабря	01.02.2012 0:00:00	01.02.2015 0:00:00	600-002805	01.02.2012 0:00:00
7099	Грант-Р	просп. Мира 54	ЦАО	Мещанский	Павильон	с 1 января по 31 декабря	01.03.2012 0:00:00	01.03.2015 0:00:00	100-001017	01.03.2012 0:00:00
7100	Саунд	просп. Мира 68	ЦАО	Мещанский	Павильон	с 1 января по 31 декабря	19.03.2012 0:00:00	19.03.2015 0:00:00	100-001013	19.03.2012 0:00:00
7101	Нестеров М.Г.	просп. Мира 92 с. 1	ЦАО	Мещанский	Лоток	с 1 января по 31 декабря	27.03.2012 0:00:00	27.03.2015 0:00:00	100-001328	27.03.2012 0:00:00
7102	Мороженое на Новокузнецкая ул. 39	Новокузнецкая ул. 39	ЦАО	Замоскворечье	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
7103	Мороженое на Новокузнецкая ул.	Новокузнецкая ул.	ЦАО	Замоскворечье	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
7104	Медимпорт	просп. Мира 92 с. 1	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	08.02.2012 0:00:00	08.02.2015 0:00:00	100-000965	08.02.2012 0:00:00
7105	СтимЛайн	просп. Мира 68	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	07.08.2012 0:00:00	07.08.2015 0:00:00	100-000228	07.08.2012 0:00:00
7106	МДТЗК	просп. Мира 92 с. 1	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	08.11.2011 0:00:00	08.11.2014 0:00:00	100-000903	08.11.2011 0:00:00
7107	Мороженое	просп. Мира 89	СВАО	Останкинский	Модульный объект	с 1 января по 31 декабря	02.11.2011 0:00:00	03.11.2014 0:00:00	300-000444	17.11.2011 0:00:00
7108	Кафе;  на просп. Мира 92 с. 1	просп. Мира 92 с. 1	ЦАО	Мещанский	Павильон	с 1 апреля по 1 ноября	03.04.2012 0:00:00	03.04.2015 0:00:00		
7109	рыба на ул. Дербеневская, вл. 1	Дербеневская ул. 1	ЮАО	Даниловский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-001880	30.09.2011 0:00:00
7110	Аджиев Канамат Солтанович	Подсосенский пер. 11	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	100-000790	16.05.2012 0:00:00
7111	хлеб и хлебобулочные изделия на Дербеневская ул., вл. 1	Дербеневская ул. 1	ЮАО	Даниловский	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	600-002784	04.10.2011 0:00:00
7112	Ярмарка Центральная	Подсосенский пер. 11	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	24.12.2014 0:00:00	100-000789	22.05.2012 0:00:00
7113	Виктория	Подсосенский пер. 11	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	100-000330	16.05.2012 0:00:00
7114	Самчкуашвили Б.К.	Сухонская ул. 1	СВАО	Южное Медведково	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	01.08.2014 0:00:00		
7115	Элита	Нижняя Радищевская ул. 5 с. 1	ЦАО	Таганский	Павильон	с 1 января по 31 декабря	23.12.2011 0:00:00	23.01.2014 0:00:00	100-000191	23.12.2011 0:00:00
7116	Атлант	Новорязанская ул. 21 с. 1	ЦАО	Красносельский	Модульный объект	с 1 января по 31 декабря	25.10.2011 0:00:00	25.10.2014 0:00:00	100-000633	25.10.2011 0:00:00
7117	Компания Новый проект	Краснопрудная ул. 3 с. 3	ЦАО	Красносельский	Павильон	с 1 января по 31 декабря	09.11.2011 0:00:00	09.11.2014 0:00:00	100-000512	09.11.2011 0:00:00
7118	Овощи и фрукты Кантемировская ул., вл. 20, корп. 1	Кантемировская ул. 20 к. 1	ЮАО	Москворечье-Сабурово	Модульный объект	с 1 января по 31 декабря	31.10.2011 0:00:00	31.10.2014 0:00:00	600-002535	31.10.2011 0:00:00
7119	Табак на ул. Бажова,6	ул. Бажова 6	СВАО	Ростокино	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	300-000753	14.06.2012 0:00:00
7120	табак на Севанская ул., вл. 7	Севанская ул., вл.7	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002598	19.12.2011 0:00:00
7121	Лотереи Москвы	Новорязанская ул. 16/11 с. 1	ЦАО	Красносельский	Павильон	с 1 января по 31 декабря	11.05.2012 0:00:00	11.05.2015 0:00:00	100-000618	11.05.2012 0:00:00
7122	печать на ул.Бажова,6	ул. Бажова 6	СВАО	Ростокино	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	300-000488	05.12.2011 0:00:00
7123	Анкор	Енисейская ул. 11	СВАО	Бабушкинский	Модульный объект	с 1 января по 31 декабря	05.09.2011 0:00:00	04.09.2014 0:00:00	300-000400	19.09.2011 0:00:00
7124	овощи и фрукты на ул. Маломосковская, вл. 31	Маломосковская ул. 31	СВАО	Алексеевский	Модульный объект	с 1 января по 31 декабря	24.08.2011 0:00:00	23.08.2014 0:00:00		
7125	печать на ул. Севанская, вл. 15	Севанская ул., вл.15	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	600-002797	21.11.2011 0:00:00
7126	Барави-Т	Новая Басманная ул. 15 с. 1	ЦАО	Красносельский	Модульный объект	с 1 января по 31 декабря	25.08.2011 0:00:00	25.08.2014 0:00:00	100-000886	25.08.2011 0:00:00
7127	АП Басманное	ул. Покровка 47	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	100-000808	18.04.2012 0:00:00
7128	печать на ул.Маломосковская,вл.31	Маломосковская ул. 31	СВАО	Алексеевский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	300-000495	27.12.2011 0:00:00
7129	Центр-ОП	Новорязанская ул. 2/7	ЦАО	Красносельский	Модульный объект	с 1 января по 31 декабря	02.09.2011 0:00:00	02.09.2014 0:00:00	100-000709	02.09.2011 0:00:00
7130	кондитерские изделия на Веселая ул., вл. 33	Веселая ул., вл.33	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-001900	17.10.2011 0:00:00
7131	Информационно-справочная служба на пр. Андропова вл. 38	просп. Андропова 38	ЮАО	Нагатино-Садовники	Киоск	с 1 января по 31 декабря	31.12.2011 0:00:00	31.12.2014 0:00:00		
7132	хлеб и хлебобулочные изделия на ул.Веселая, вл. 33	Веселая ул., вл.33	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-001874	13.10.2011 0:00:00
7133	Сурик ООО	Краснопрудная ул. 7-9	ЦАО	Красносельский	Модульный объект	с 1 января по 31 декабря	19.03.2012 0:00:00	19.03.2015 0:00:00	100-000249	19.01.2012 0:00:00
7134	гастрономия на ул. Бажова, вл. 9	ул. Бажова 9	СВАО	Ростокино	Модульный объект	с 1 января по 31 декабря	05.09.2011 0:00:00	04.09.2014 0:00:00	300-000397	19.09.2011 0:00:00
7135	Бахчевые культуры на Трофимова ул., вл. 1	ул. Трофимова 1/17	ЮАО	Даниловский	Бахчевой развал	с 1 августа по 1 ноября	01.01.2011 0:00:00	31.12.2014 0:00:00		
7136	кондитерские изделия на ул.Трофимова, вл. 4	ул. Трофимова 4	ЮАО	Даниловский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-001873	13.10.2011 0:00:00
7137	"ТД Богатырь", Студёный,7	Студёный пр. 7	СВАО	Северное Медведково	Модульный объект	с 1 января по 31 декабря	19.07.2011 0:00:00	18.07.2014 0:00:00	300-000262	22.07.2011 0:00:00
7138	Фоторозница	Нижний Сусальный пер. 5 с. 1	ЦАО	Басманный	Павильон	с 1 января по 31 декабря	12.04.2012 0:00:00	12.04.2015 0:00:00	100-000383	20.02.2012 0:00:00
7139	МАВИ-Д	Большая Спасская ул. 8	ЦАО	Красносельский	Модульный объект	с 1 января по 31 декабря	18.08.2011 0:00:00	18.08.2014 0:00:00	100-000753	18.08.2011 0:00:00
7140	МАВИ-Д	Большая Спасская ул. 8	ЦАО	Красносельский	Модульный объект	с 1 января по 31 декабря	18.08.2011 0:00:00	18.08.2014 0:00:00	100-000881	18.08.2011 0:00:00
7141	Щербаков В.В.	Снежная ул. 16А с. 1	СВАО	Свиблово	Павильон	с 1 января по 31 декабря	23.03.2012 0:00:00	23.03.2014 0:00:00	300-000721	14.06.2012 0:00:00
7142	табак на ул.Бехтерева, вл. 41/1	Бехтерева ул., вл. 41, корп.1	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002083	07.11.2011 0:00:00
7143	общественное питание на Бехтерева ул.,вл.41, корп.1	Бехтерева ул., вл.41, корп.1	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-001883	14.10.2011 0:00:00
7144	Центропечать-М	Медынская ул. 12 к. 1	ЮАО	Бирюлево Западное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002437	06.12.2011 0:00:00
7145	Лагуна Койл	ул. Большие Каменщики 8	ЦАО	Таганский	Модульный объект	с 1 января по 31 декабря	20.02.2012 0:00:00	20.02.2015 0:00:00	100-001130	20.02.2012 0:00:00
7146	Кругозор	ул. Земляной Вал 24/30 с. 1	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000744	01.09.2012 0:00:00
7147	общественное питание на Пролетарский проспект, вл.16	Пролетарский проспект, вл.16	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002412	05.12.2011 0:00:00
7148	Печать на Пролетарский проспект, вл. 16	Пролетарский проспект, вл.16	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002393	02.12.2011 0:00:00
7149	Рандеву В	Николоямская ул. 29 с. 3	ЦАО	Таганский	Павильон	с 1 января по 31 декабря	05.04.2012 0:00:00	05.04.2015 0:00:00	100-000292	05.04.2012 0:00:00
7150	Продукты питания на Ереванская ул., вл. 2, корп. 1	Пролетарский просп. 23	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2012 0:00:00	01.07.2014 0:00:00	600-002983	01.07.2012 0:00:00
7151	цветы на Пролетарский пр-т, вл. 16, корп. 1	Пролетарский пр-т, вл.16, корп.1	ЮАО	Царицыно	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002010	31.10.2011 0:00:00
7152	Цветы на Пролетарский пр., вл. 23	Пролетарский просп. 23	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	600-002974	01.07.2012 0:00:00
7153	Прохладительные напитки; Мороженое на просп. Мира 92 с. 1	просп. Мира 92 с. 1	ЦАО	Мещанский	Модульный объект	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
7154	Звездочка	просп. Мира 92 с. 1	ЦАО	Мещанский	Павильон	с 1 января по 31 декабря	15.02.2012 0:00:00	15.02.2015 0:00:00	100-000654	15.02.2012 0:00:00
7155	Прохладительные напитки; Мороженое на просп. Мира 92 с. 1	просп. Мира 92 с. 1	ЦАО	Мещанский	Модульный объект	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
7156	Фирма Звездочка	просп. Мира 92 с. 1	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	30.01.2012 0:00:00	30.01.2015 0:00:00	100-000642	30.01.2012 0:00:00
7157	ТК КАРДОС	просп. Мира 92 с. 1	ЦАО	Мещанский	Лоток	с 1 января по 31 декабря	12.03.2012 0:00:00	12.03.2015 0:00:00	100-001327	12.03.2012 0:00:00
7158	Овощи и фрукты на Новокузнецкая ул.	Новокузнецкая ул.	ЦАО	Замоскворечье	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
7159	печать на Ярославская ул.,вл.8	Ярославская ул. 8 к. 4	СВАО	Алексеевский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	300-000898	21.06.2012 0:00:00
7160	Агенство печати Басманное	ул. Покровка 20/1 с. 1	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	07.02.2012 0:00:00	07.02.2015 0:00:00	100-000664	07.02.2012 0:00:00
7161	Цветы ст.м. Каширская юж.выход	Каширское шоссе	ЮАО	Москворечье-Сабурово	Павильон	с 1 января по 31 декабря	20.10.2011 0:00:00	20.10.2014 0:00:00	600-001924	28.09.2011 0:00:00
7162	Продукты ул Ярославская, вл. 8-10	Ярославская ул. 8 к. 5	СВАО	Алексеевский	Павильон	с 1 января по 31 декабря	19.07.2012 0:00:00	19.07.2015 0:00:00		
7163	Кафе ул. ярославская, вл. 8-10	Ярославская ул. 8 к. 8	СВАО	Алексеевский	Павильон	с 1 января по 31 декабря	19.07.2012 0:00:00	19.07.2015 0:00:00		
7164	продукты питания на Павелецкая наб., вл. 4	Павелецкая наб. 4	ЮАО	Даниловский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002499	06.12.2011 0:00:00
7165	Кондитерские товары Каширское ш., вл. 26, корп. 2	Каширское шоссе 26 к. 2	ЮАО	Москворечье-Сабурово	Модульный объект	с 1 января по 31 декабря	01.10.2011 0:00:00	01.10.2014 0:00:00	600-002695	01.11.2011 0:00:00
7166	Холдинговая компания "Сегодня Пресс"	Снежная ул. 18	СВАО	Свиблово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	300-000506	14.12.2011 0:00:00
7167	печать на ул. Севанская, вл. 60 (напротив)	Севанская ул., вл.60	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	600-002768	29.12.2011 0:00:00
7168	Псарьки	ул. Земляной Вал 37 С. 2	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000735	27.10.2011 0:00:00
7169	табак на ул. Нагатинская, вл. 33	Нагатинская ул. 33	ЮАО	Нагатино-Садовники	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.12.2014 0:00:00	600-001988	13.10.2011 0:00:00
7170	Овощи-фрукты проспект Мира, 198	просп. Мира 198	СВАО	Ростокино	Лоток	с 1 апреля по 1 ноября	01.04.2011 0:00:00	01.11.2013 0:00:00		
7171	Снегири	Енисейская ул. 11	СВАО	Бабушкинский	Модульный объект	с 1 января по 31 декабря	06.09.2011 0:00:00	05.09.2014 0:00:00	300-000411	20.09.2011 0:00:00
7172	Прохладительные напитки на Верхняя Сыромятническая ул. 7 с. 1	Верхняя Сыромятническая ул. 7 с. 1	ЦАО	Басманный	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
7173	Пресса для всех	Краснопрудная ул. 3-5 с. 1	ЦАО	Красносельский	Модульный объект	с 1 января по 31 декабря	30.03.2012 0:00:00	30.03.2015 0:00:00	100-000504	30.03.2012 0:00:00
7174	бакалея на ул.Севанская, вл. 7	Севанская ул., вл.7	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002587	15.12.2011 0:00:00
7175	МДТЗК	ул. Щепкина 38 с. 1	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	08.11.2011 0:00:00	08.11.2014 0:00:00	100-001048	08.11.2011 0:00:00
7176	Печать	ул. Академика Королёва 3	СВАО	Останкинский	Модульный объект	с 1 января по 31 декабря	07.03.2012 0:00:00	07.03.2015 0:00:00	300-000727	14.06.2012 0:00:00
7177	Юхаев	ул. Щепкина 38 с. 1	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	09.08.2011 0:00:00	09.08.2014 0:00:00	100-001050	10.05.2012 0:00:00
7178	Филатов С.С.	ул. Щепкина 38 с. 1	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	03.02.2012 0:00:00	03.02.2015 0:00:00	100-001053	03.02.2012 0:00:00
7179	Гасанов Н.Г. оглы	Трифоновская ул. 55	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	07.09.2011 0:00:00	07.09.2014 0:00:00	100-000921	07.09.2011 0:00:00
7180	Автоком сервис	ул. Гиляровского 35	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	02.05.2012 0:00:00	02.05.2015 0:00:00	100-001011	02.05.2012 0:00:00
7181	Кривченков А.Ю.	ул. Гиляровского 35	ЦАО	Мещанский	Ролл-бар	с 1 апреля по 1 ноября	14.05.2012 0:00:00	14.05.2015 0:00:00	100-000166	14.05.2012 0:00:00
7182	Мороженое на Новокузнецкая ул.	Новокузнецкая ул.	ЦАО	Замоскворечье	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
7183	Данвеста	ул. Гиляровского 35	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	30.09.2011 0:00:00	30.09.2014 0:00:00	100-000451	30.09.2011 0:00:00
7184	Ремонт обуви на Михневской 11	Михневская ул. 11 к. 1	ЮАО	Бирюлево Восточное	Модульный объект	с 1 января по 31 декабря	01.12.2012 0:00:00	01.12.2014 0:00:00	600-002970	13.06.2012 0:00:00
7185	Печать на платформе "Бирюлево-пассажирская"	ж/д ст. Бирюлево - Пассажирская	ЮАО	Бирюлево Восточное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002450	06.12.2011 0:00:00
7186	Овощи-фрукты ул. Космонавтов, вл. 26	ул. Космонавтов 26	СВАО	Алексеевский	Модульный объект	с 1 января по 31 декабря	05.04.2012 0:00:00	04.04.2015 0:00:00	300-000669	08.06.2012 0:00:00
7187	Металлоремонт на Михневской 11	Михневская ул. 11 к. 1	ЮАО	Бирюлево Восточное	Модульный объект	с 1 января по 31 декабря	01.12.2011 0:00:00	01.12.2014 0:00:00	600-002969	13.06.2012 0:00:00
7188	Воля, ул. Грекова, 10	ул. Грекова 10	СВАО	Северное Медведково	Лоток	с 1 января по 31 декабря	27.04.2012 0:00:00	27.04.2015 0:00:00		
7189	Печать; 3-я Рыбинская ул., 22	3-я Рыбинская ул. 22 с. 1	ВАО	Сокольники	Модульный объект	с 1 января по 31 декабря	06.10.2011 0:00:00	06.10.2014 0:00:00		
7190	Кривченков А.Ю.	ул. Сретенка	ЦАО	Мещанский	Ролл-бар	с 1 апреля по 1 ноября	29.06.2012 0:00:00	29.06.2015 0:00:00	100-000194	29.06.2012 0:00:00
7191	Овощи и фрукты на Стремянный пер.	Стремянный пер.	ЦАО	Замоскворечье	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
7192	Бахчевые культуры на Каширском ш. 16	Каширское шоссе 16	ЮАО	Нагатино-Садовники	Бахчевой развал	с 1 августа по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
7193	Наджафов М.Ю. оглы	ул. Гиляровского 45	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	31.08.2011 0:00:00	31.08.2014 0:00:00	100-000964	31.08.2011 0:00:00
7194	Рема	Большой Златоустинский пер. 3/5 с. 1	ЦАО	Басманный	Павильон	с 1 января по 31 декабря	05.07.2012 0:00:00	08.07.2015 0:00:00	100-000677	28.04.2012 0:00:00
7195	Холдинговая компания "Сегодня-Пресс"	ул. Гиляровского 45	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	07.10.2011 0:00:00	07.10.2014 0:00:00	100-001366	07.10.2011 0:00:00
7196	Продукты	Большая Марьинская ул. 8А	СВАО	Останкинский	Павильон	с 1 января по 31 декабря	09.03.2012 0:00:00	09.03.2015 0:00:00		
7197	Хошабов Б.М.	Большой Златоустинский пер. 3/5 с. 1	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	30.03.2012 0:00:00	30.03.2015 0:00:00	100-000248	29.03.2012 0:00:00
7198	Колорит	ул. Гиляровского 45	ЦАО	Мещанский	Модульный объект	с 1 января по 31 декабря	18.10.2011 0:00:00	18.10.2014 0:00:00	100-000533	18.10.2011 0:00:00
7199	Цветы Кантемировская ул., вл. 22, корп. 1	Кантемировская ул. 22 к. 1	ЮАО	Москворечье-Сабурово	Модульный объект	с 1 января по 31 декабря	01.11.2011 0:00:00	01.11.2014 0:00:00	600-002432	01.11.2011 0:00:00
7200	общественное питание на Касимовская ул., вл. 31	Касимовская ул., вл.31	ЮАО	Бирюлево Восточное	Модульный объект	с 1 января по 31 декабря	01.10.2011 0:00:00	01.06.2014 0:00:00	600-00283	23.03.2012 0:00:00
7201	Продукты питания на Пролетарском проспекте, вл.16	Пролетарский просп. 16 к. 1	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2012 0:00:00	01.07.2014 0:00:00	600-002985	01.07.2012 0:00:00
7202	Южное агентство печати	ул. Земляной Вал 42/20	ЦАО	Таганский	Модульный объект	с 1 января по 31 декабря	03.02.2012 0:00:00	03.02.2015 0:00:00	100-001143	03.02.2012 0:00:00
7203	Валерия	ул. Амундсена 14	СВАО	Свиблово	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	01.11.2015 0:00:00		
7204	табак на ул. Кантемировская, вл. 45	Кантемировская ул., вл.45	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002720	29.12.2011 0:00:00
7205	Городская информационно-справочная служба",Широкая,11	Широкая ул. 11	СВАО	Северное Медведково	Модульный объект	с 1 января по 31 декабря	12.01.2012 0:00:00	11.01.2014 0:00:00	300-000746	14.06.2012 0:00:00
7206	Мороженое на ул. Веселая, вл. 33	Весёлая ул. 33	ЮАО	Царицыно	Модульный объект	с 1 января по 31 декабря	28.04.2012 0:00:00	28.04.2015 0:00:00	600-002940	28.04.2012 0:00:00
7207	Овощи-фрукты на Михневской ул., ж/д ст.ирюлево-Пассажирская	Михневская ул.,ж/д ст. Бирюлево-Пассажирская	ЮАО	Бирюлево Восточное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002650	22.12.2011 0:00:00
7208	МегаПроф - Н. Сусальный, вл. 5	Нижний Сусальный пер. 5 С. 1	ЦАО	Басманный	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00	100-000231	07.08.2012 0:00:00
7209	рыба на ул. Трофимова, вл. 4	ул. Трофимова 4	ЮАО	Даниловский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-001922	03.10.2011 0:00:00
7210	печать на ул. Трофимова, вл. 3	ул. Трофимова 3	ЮАО	Даниловский	Киоск	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	600-002545	21.11.2011 0:00:00
