№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
45	Мороженое, соки, воды на Зеленоград, Район Крюково, У корп.1453 в составе торговой зоны № 23, пл.6 кв.м	Зеленоград  к. 1453	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	05.06.2012 0:00:00	05.06.2015 0:00:00	1000-001539	06.06.2012 0:00:00
46	Зеленоград, Район Крюково у корп.1454 (пр.621, между корп.1453 и 1454) пл.5 кв. м	Зеленоград  к. 1454	ЗелАО	Крюково	Автоцистерна	с 1 января по 31 декабря	08.06.2012 0:00:00	08.06.2015 0:00:00	1000-001556	14.06.2012 0:00:00
47	мороженое на Зеленоград, Район Крюково, между корп.1539 и 1546, в составе торговой зоны 8, пл.6	Зеленоград  к. 1539	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	14.07.2011 0:00:00	14.07.2014 0:00:00	1000-001191	15.09.2011 0:00:00
48	бытовое обслуживание на Зеленоград, Район Крюково, между корп.1539 и 1546, в составе торговой зоны 8, пл.6	Зеленоград  к. 1546	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	21.10.2011 0:00:00	21.10.2014 0:00:00	1000-01333	21.10.2011 0:00:00
49	Молоко на Зеленоград, Район Крюково, У корп.1466 в составе торговой зоны № 21, пл.6 кв.м	Зеленоград  к. 1466	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	05.08.2011 0:00:00	05.08.2014 0:00:00	1000-01279	22.09.2011 0:00:00
50	Гастрономия на Зеленоград, Район Силино, Зеленоград, ПЗ Алабушево, пр.4803 в составе торговой зоны № 9, пл.12 кв.м	Зеленоград, Алабушевская ул.	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00		
51	печать на Зеленоград, Район Крюково, у корп.1519, пл.8	Зеленоград  к. 1519	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01217	19.09.2011 0:00:00
52	Печать на Зеленоград у корп. 1640	Зеленоград  к. 1640	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.01.2014 0:00:00		
53	печать на Зеленоград, Район Крюково, у корп.1640, пл.8,5	Зеленоград  к. 1640	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	01.01.2014 0:00:00	1000-01227	19.09.2011 0:00:00
54	печать на Зеленоград, Район Крюково, у корп.1546, пл.8,5	Зеленоград  к. 1546	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01318	19.10.2011 0:00:00
55	гастрономия на Зеленоград, Район Крюково, между корп.1537 и 1538, в составе торговой зоны 7, пл.30	Зеленоград  к. 1538	ЗелАО	Крюково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01231	19.09.2011 0:00:00
56	Цветы на Зеленоград, Район Крюково, у корп.1522 в составе торговой зоны № 5, пл.9 кв.м	Зеленоград  к. 1522	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	06.06.2012 0:00:00	06.06.2015 0:00:00	1000-001547	13.06.2012 0:00:00
57	зоотовары на Зеленоград, Район Крюково, у корп.1537, в составе торговой зоны 6, пл.46 кв.м	Зеленоград  к. 1537	ЗелАО	Крюково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01481	28.12.2011 0:00:00
58	Зеленоград, район Крюково, у корп.1640 (пр. № 648)	Зеленоград  к. 1640	ЗелАО	Крюково	Елочный базар	с 20 декабря по 31 декабря	20.12.2012 0:00:00	31.12.2014 0:00:00	1000-001573	21.08.2012 0:00:00
59	цветы на Зеленоград, Район Крюково, у корп.1537, в составе торговой зоны 6, пл.46 кв.м	Зеленоград  к. 1537	ЗелАО	Крюково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01482	30.12.2011 0:00:00
60	печать на Зеленоград, Район Крюково, у корп.1522, пл.8,5	Зеленоград  к. 1522	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01223	19.09.2011 0:00:00
61	Мороженое, соки, воды на Зеленоград, район Крюково, у корп. 1537	Зеленоград  к. 1537	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.01.2014 0:00:00	1000-01192	15.09.2011 0:00:00
62	Мороженое, соки, воды на Зеленоград, Район Крюково, у корп.1522 в составе торговой зоны № 5, пл.6 кв.м	Зеленоград  к. 1522	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	08.06.2012 0:00:00	08.06.2015 0:00:00	1000-001555	14.06.2012 0:00:00
63	гастрономия на Зеленоград, Район Крюково, у корп.1522, в составе торговой зоны 5, пл.18	Зеленоград  к. 1522	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01230	19.09.2011 0:00:00
64	печать на Зеленоград, Район Крюково, у корп.1513, пл.8,5	Зеленоград  к. 1513 с. 1	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01226	19.09.2011 0:00:00
65	печать на Зеленоград, Район Крюково, у корп.1818, пл.6	Зеленоград  к. 1818	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01206	16.09.2011 0:00:00
66	ремонт обуви на Зеленоград, Район Силино, у корп.1204, в составе торговой зоны  4, пл.18	Зеленоград  к. 1204	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	12.08.2011 0:00:00	12.08.2014 0:00:00	1000-01178	12.08.2011 0:00:00
67	Мороженое, соки, воды Район Силино, У корп. у корп.1204 в составе торговой зоны № 2	Зеленоград  к. 1204	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	12.09.2011 0:00:00	12.09.2014 0:00:00	1000-01294	22.09.2011 0:00:00
