№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
1247	Сезонное кафе	просп. Мира 33 к. 1	ЦАО	Мещанский	36.0	РОСИНТЕР-РЕСТОРАНТС	РОСИНТЕР РЕСТОРАНС
1248	Сезонное кафе	Вельяминовская ул. 6 с. 2	ВАО	Соколиная гора	80.0	НЬОККИ	ООО Парма
1249	Сезонное кафе	Селезнёвская ул. 28 с. 1	ЦАО	Тверской	40.0	ЭМ АЙ БИ	ЭМАЙБИ
1250	Сезонное кафе	ул. Народного Ополчения 28 к. 1	СЗАО	Хорошево-Мневники	55.0	ПИВКО	СОНТЕК-ВОСТОК
1251	Сезонное кафе	Селезнёвская ул. 34 к. 1	ЦАО	Тверской	30.0	КАПРИЗ	ЛАЗОН
1252	Сезонное кафе	Лесная ул. 45	ЦАО	Тверской	60.0	БОТИК ПЕТРА	МДЖОЛНИР
1253	Сезонное кафе	Олимпийский просп. 16 с. 1	ЦАО	Мещанский	40.0	Аэлита	АЭЛИТА
1254	Сезонное кафе	Селезнёвская ул. 34 к. 1	ЦАО	Тверской	30.0	КАПРИЗ	ЛАЗОН
1255	Сезонное кафе	Селезнёвская ул. 19/2	ЦАО	Тверской	60.0	БЕЛЫЙ КВАДРАТ	Французский торговый дом
1256	Сезонное кафе	Новослободская ул. 14/19 с. 8	ЦАО	Тверской	30.0	КОНФИТЮР	КОНФИТЮР
1257	Сезонное кафе	Новослободская ул. 14/19 с. 8	ЦАО	Тверской	20.0	КАЛЬЯН	ДУ-БЕШ 5Х5
1258	Сезонное кафе	Новослободская ул. 14/19 с. 1	ЦАО	Тверской	60.0	Птицы	Кафесито
1259	Сезонное кафе	просп. Мира 46	ЦАО	Мещанский	71.57000000000001	РЕСТТОРГ (кафе Де марко)	РЕСТТОРГ
1260	Сезонное кафе	Сущёвская ул. 13-15	ЦАО	Тверской	60.0	Еда под пиво	Геомил
1261	Сезонное кафе	Новослободская ул. 14/19 с. 8	ЦАО	Тверской	30.0	JVL АРТКЛУБ	ПЕРСПЕКТИВА-МАРКЕТ
1262	Сезонное кафе	Новослободская ул. 14/19 с. 1	ЦАО	Тверской	30.0	КОНФИТЮР	КОНФИТЮР
1263	Сезонное кафе	Лесная ул. 53 с. 1	ЦАО	Тверской	30.0	Фишка-БАР	Фишка-Бар
1264	Сезонное кафе	ул. Бутырский Вал 10	ЦАО	Тверской	50.0	Сирена	КОФЕ СИРЕНА
1265	Сезонное кафе	просп. Мира 48 с. 6	ЦАО	Мещанский	42.0	КАРТПРОМ	КАРТПРОМ
1266	Сезонное кафе	Новолесная ул. 2	ЦАО	Тверской	30.0	ПИПЛ	СЕРВИСКОМПЛЕКТ
1267	Сезонное кафе	Ленинградский просп. 78 к. 1	САО	Аэропорт	80.0	Керамика С.К.Максима Пицца	Максима Пицца
1268	Сезонное кафе	ул. Усиевича 12	САО	Аэропорт	80.0	БАКУ	СТЕЛС
1269	Сезонное кафе	ул. 8 Марта 14	САО	Савеловский	35.0	Бест Фуд	Бест Фуд
1270	Сезонное кафе	Щёлковское шоссе 12 С. 1	ВАО	Северное Измайлово	35.0	ПАНТЕРА	ЛИОН
1271	Сезонное кафе	ул. Маршала Катукова 20	СЗАО	Строгино	368.3	ТЕМПЛ БАР	ВАНИЛЬ
1272	Сезонное кафе	просп. Мира 112	СВАО	Алексеевский	16.0	КОФЕ ХАУС	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
1273	Сезонное кафе	Бутырская ул. 89 с. 2	САО	Савеловский	25.0	Пив Бум	Профгрупп
1274	Сезонное кафе	Волоколамское шоссе 1 с. 1	САО	Сокол	0.01	Сливки.О	Сливки
1275	Сезонное кафе	ул. Маршала Катукова 19	СЗАО	Строгино	80.0	Макдональдс	МОСКВА- МАКДОНАЛДС
1276	Сезонное кафе	просп. Мира 112	СВАО	Алексеевский	48.0	ВАБИСАБИ, ШОКОЛАДНИЦА	Галерея - АЛЕКС
1277	Сезонное кафе	Бутырская ул. 97	САО	Савеловский	20.0	Бизнес-альянс	Бизнес-Альянс
1278	Сезонное кафе	Амурская ул. 12А	ВАО	Гольяново	100.0	БАЗИС	Базис
1279	Сезонное кафе	просп. Мира 97	СВАО	Останкинский	20.0	Кофейня "Шоколадница"	Галерея - АЛЕКС
1280	Сезонное кафе	Ленинградский просп. 80 к. 21	САО	Сокол	0.01	ЯКИТОРИЯ	ТУРФОРУМ
1281	Сезонное кафе	Ленинградский просп. 80 к. 21	САО	Сокол	0.01	ДАНБОРГ	ДАНБОРГ
1282	Сезонное кафе	Волоколамское шоссе 15/22	САО	Сокол	0.01	НЕВКА	БИЗНЕС КЛУБ "НЕВКА"
1283	Сезонное кафе	ул. Маршала Василевского 17	СЗАО	Щукино	86.0	КАФЕ "ЯКИТОРИЯ"	ФУДИСТ
1284	Сезонное кафе	просп. Мира 116	СВАО	Алексеевский	16.0	КОФЕ ХАУС	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
1285	Сезонное кафе	Щукинская ул. 42	СЗАО	Щукино	115.0	РЕСТОРАН "АКАДЕМИЯ-ЩУКА"	Академия-щука
1286	Сезонное кафе	Ленинградское шоссе 3 с. 1	САО	Сокол	0.01	Очарование востока	Амитэль
1287	Сезонное кафе	просп. Мира 116	СВАО	Алексеевский	12.0	ЯПОША	РЕСТОРАННЫЕ ТРАДИЦИИ
1288	Сезонное кафе	Волоколамское шоссе 16	САО	Сокол	0.01	Сердючка	Супер Серви
1289	Сезонное кафе	ул. Бочкова 3	СВАО	Останкинский	20.0	Корчма "Тарас Бульба"	ДИ ЭНД ДЖИ ГАЛЕРИ
1290	Сезонное кафе	ул. Бочкова 3	СВАО	Останкинский	20.0	Ланч трактир "Елки-Палки"	ЛАНЧ
1291	Сезонное кафе	Щёлковское шоссе 33	ВАО	Гольяново	86.0	ТАНУКИ	Альянс
1292	Сезонное кафе	Щёлковское шоссе 68	ВАО	Северное Измайлово	30.0	Якитория ООО "Нами"	НАМИ
1293	Сезонное кафе	просп. Мира 118	СВАО	Алексеевский	48.0	ТРАКТИР "ЁЛКИ-ПАЛКИ"	ЛАНЧ
1294	Сезонное кафе	просп. Мира 99	СВАО	Останкинский	20.0	МУЗА	МУЗА
1295	Сезонное кафе	ул. Маршала Катукова 11 к. 1	СЗАО	Строгино	10.0	Альбасет	Альбасет
1296	Сезонное кафе	Садовая-Самотёчная ул. 20 с. 1	ЦАО	Тверской	30.0	ДЕЛЬТА-2001 ТН"	ДЕЛЬТА-2001 ТН
1297	Сезонное кафе	Садовая-Самотёчная ул. 24/27	ЦАО	Тверской	30.0	ДЕ ВИЛЛЬ	ПОСТМЕДИА-2
1298	Сезонное кафе	1-я Брестская ул. 41	ЦАО	Тверской	100.0	Полисад кафе	Орионика
1299	Сезонное кафе	Садовая-Сухаревская ул. 6 с. 1	ЦАО	Мещанский	134.67000000000002	Райт	Кафе "Курабье"
1300	Сезонное кафе	ул. Мнёвники 13	СЗАО	Хорошево-Мневники	50.0	БЮРОКРАТЪ	ДжимМил
1301	Сезонное кафе	1-й Тверской-Ямской пер. 18	ЦАО	Тверской	30.0	СТУДИЯ	СТУДИЯ
1302	Сезонное кафе	Бакунинская ул. 1-3	ЦАО	Басманный	50.0	-	ИНКА
1303	Сезонное кафе	Большая Грузинская ул. 69	ЦАО	Тверской	60.0	Ред эспрессо бар	Ред кафе на Брестской
1304	Сезонное кафе	Большая Грузинская ул. 69	ЦАО	Тверской	60.0	Ред эспрессо бар	Ред кафе на Брестской
1305	Сезонное кафе	Долгоруковская ул. 7	ЦАО	Тверской	50.0	Старбакс кофейня	КОФЕ СИРЕНА
1306	Сезонное кафе	Садовая-Самотёчная ул. 7 с. 1	ЦАО	Тверской	60.0	ВИВАЧЕ	АЙРОНИ
1307	Сезонное кафе	Большая Грузинская ул. 69	ЦАО	Тверской	60.0	Ред эспрессо бар	Ред кафе на Брестской
1308	Сезонное кафе	Садовая-Самотёчная ул. 3	ЦАО	Тверской	100.0	СЕТТЕБЕЛЛО"	КЦ КУКЛЫ
1309	Сезонное кафе	Садовая-Самотёчная ул. 13 с. 1	ЦАО	Тверской	30.0	BOOКАФЕ	ТРИУМФ МЕНЕДЖМЕНТ
1310	Сезонное кафе	Хорошёвское шоссе 22	САО	Хорошевский	40.0	Краснов П.Е.	КРАСНОВ П.Е.
1311	Сезонное кафе	Большая Грузинская ул. 69	ЦАО	Тверской	60.0	ГастроПаб	ГастроПаб
1312	Сезонное кафе	Садовая-Самотёчная ул. 13 с. 1	ЦАО	Тверской	60.0	КОРЧМА	ТРАКТИР КИРПИЧИКИ
1313	Сезонное кафе	Краснопролетарская ул. 4	ЦАО	Тверской	40.0	Азиявок	Хайвент
1314	Сезонное кафе	Большая Спасская ул. 15 с. 4	ЦАО	Красносельский	475.0	СИРЕНА	СИРЕНА-1
1315	Сезонное кафе	Самотёчная ул. 1/15	ЦАО	Тверской	40.0	КАФЕ	ВЕСТАКОМПАНИ
1316	Сезонное кафе	ул. Фадеева 5	ЦАО	Тверской	40.0	ТРУ-ЛЯ-ЛЯ"	РОТЕЛЛ
1317	Сезонное кафе	ул. Грузинский Вал	ЦАО	Тверской	50.0	Девятый вал	Девятый вал
1318	Сезонное кафе	1-я Брестская ул. 22	ЦАО	Тверской	40.0	МОРЕ СУШИ	НОВЫЕ РЕСТОРАНЫ
1319	Сезонное кафе	ул. Маршала Федоренко 15	САО	Западное Дегунино	20.0	Кузьма и Ерема	Кузьма и Ерема
1320	Сезонное кафе	Дубнинская ул. 32	САО	Восточное Дегунино	40.0	ЛЕОПАРД	ЛЕОПАРД
1321	Сезонное кафе	ул. Плещеева 4	СВАО	Бибирево	100.0	ХОУМ БАР	ХОУМ БАР 2
1322	Сезонное кафе	ул. Малыгина 20	СВАО	Лосиноостровский	72.0	Бэниск	БЭНИСК
1323	Сезонное кафе	Костромская ул. 17	СВАО	Бибирево	90.0	ПРИМА	ПРИМА
1324	Сезонное кафе	ул. Пришвина 22	СВАО	Бибирево	40.0	МОСКВА МАКДОНАЛДС	МОСКВА- МАКДОНАЛДС
1325	Сезонное кафе	Тайнинская ул. 19	СВАО	Лосиноостровский	370.0	Пеал	Пеал
1326	Сезонное кафе	ул. Пришвина 22	СВАО	Бибирево	40.0	МАРАКЕШ ресторан	Хайвент
1327	Сезонное кафе	пр. Шокальского 67 к. 2	СВАО	Северное Медведково	60.0	Ресторан	ЭГИДА
1328	Сезонное кафе	ул. Плещеева 12	СВАО	Бибирево	30.0	СПОРТ-БАР	УНИВЕР ГОЛД
1329	Сезонное кафе	ул. Пришвина 18А	СВАО	Бибирево	50.0	Аббасов Я.М.	АББАСОВ Я.М.
1330	Сезонное кафе	Широкая ул. 13А	СВАО	Северное Медведково	60.0	МАКДОНАЛДС	МОСКВА- МАКДОНАЛДС
1331	Сезонное кафе	ул. Софьи Ковалевской 14	САО	Дмитровский	500.0	Нет Нейм	ЕВРОИДЕАЛ ГАРАНТ
1332	Сезонное кафе	Стартовая ул. 12	СВАО	Лосиноостровский	1500.0	КИЦ МЕДИНВЕК	Коммерческий инженерный Мединвек
1333	Сезонное кафе	Дубнинская ул. 79 к. 2	САО	Восточное Дегунино	50.0	БиГ Успех	БиГ Успех
1334	Сезонное кафе	ул. Пришвина 3Б	СВАО	Бибирево	148.0	АВЕРС МАРКЕТ"	АВЕРСМАРКЕТ
1335	Сезонное кафе	Воротынская ул. 16	СЗАО	Куркино	110.0	АРТ БАР "ЛЕОНА"	ТЕХМЕТ
1336	Сезонное кафе	ул. Академика Королёва 13 с. 1	СВАО	Останкинский	20.0	Персона Грата	ОРГТЕСТ
1337	Сезонное кафе	пл. Ганецкого 1	САО	Войковский	50.0	ДАНБОРГ	ДАНБОРГ
1338	Сезонное кафе	ул. Космонавтов 2	СВАО	Алексеевский	135.0	ПЕТТИНА	Гефест
1339	Сезонное кафе	ул. Космонавтов 13	СВАО	Алексеевский	56.0	НАМАСТЕ	ТЕХНО-ИНВЕСТ
1340	Сезонное кафе	Ленинградское шоссе 16А с. 3	САО	Войковский	1.0	КОФЕ СИРЕНА	КОФЕ СИРЕНА
1341	Сезонное кафе	ул. Академика Королёва 28 к. 1	СВАО	Марфино	56.0	ПАВЛИН-МАВЛИН	ЛИНК ТРЕЙД
1342	Сезонное кафе	Ленинградское шоссе 16А с. 4	САО	Войковский	1.0	ХЛЕБ & CO	ЭЛЬЗАС
1343	Сезонное кафе	Ленинградское шоссе 16А с. 4	САО	Войковский	1.0	ГАЛЕРЕЯ-АЛЕКС	Галерея - АЛЕКС
1344	Сезонное кафе	Ленинградское шоссе 16А с. 3	САО	Войковский	1.0	МАКСИМУМ	МАКСИМУМ
1345	Сезонное кафе	Открытое шоссе 24 к. 11	ВАО	Метрогородок	30.0	ВИЗУС	ВОСТОК-50
1346	Сезонное кафе	ул. Зои и Александра Космодемьянских 32	САО	Коптево	30.0	" Вымпел-1"	ВЫМПЕЛ-1
1347	Сезонное кафе	Большая Академическая ул. 15 к. 1	САО	Коптево	30.0	" Вымпел-1"	ВЫМПЕЛ-1
1348	Сезонное кафе	Волоколамское шоссе 90 с. 2	СЗАО	Покровское-Стрешнево	30.0	МАКДОНАЛДС	МОСКВА- МАКДОНАЛДС
1349	Сезонное кафе	Тушинская ул. 17	СЗАО	Покровское-Стрешнево	25.0	КАФЕ	ТЭЙСТИ ЛЭНД
1350	Сезонное кафе	Тушинская ул. 17	СЗАО	Покровское-Стрешнево	15.0	ГРАНД-БУФЕТ	ГРАНД-Буфет
1351	Сезонное кафе	пр. Стратонавтов 9 к. 2	СЗАО	Покровское-Стрешнево	20.0	КАФЕ	МИНОТАВР
1352	Сезонное кафе	Тушинская ул. 24	СЗАО	Покровское-Стрешнево	20.0	РИТУАЛЬНЫЕ УСЛУГИ	ВОЕННО-МЕМОРИАЛЬНАЯ КОМПАНИЯ 1
1353	Сезонное кафе	ул. Милашенкова 15	СВАО	Бутырский	388.0	БРИГ	БРИГ
1354	Сезонное кафе	просп. Мира 186 к. 1	СВАО	Алексеевский	50.0	ЗОЛОТАЯ ЛЕСТНИЦА	ЗОЛОТАЯ ЛЕСТНИЦА
1355	Сезонное кафе	Волоколамское шоссе 116	СЗАО	Покровское-Стрешнево	30.0	Шины-Диски	Тушино-Шина
1356	Сезонное кафе	Курганская ул. 4	ВАО	Гольяново	90.0	СТАРОЕ ГОЛЬЯНОВО	Старое Гольяново" КАФЕ-БАР "Старое Гольяново"
1357	Сезонное кафе	Большая Академическая ул. 35	САО	Коптево	30.0	" Вымпел-1"	ВЫМПЕЛ-1
1358	Сезонное кафе	ул. Свободы 20	СЗАО	Покровское-Стрешнево	10.0	КАФЕ КОФЕДРОМ	КАФФЕ
1359	Сезонное кафе	Большая Академическая ул. 39	САО	Коптево	30.0	" Вымпел-1"	ВЫМПЕЛ-1
1360	Сезонное кафе	ул. Генерала Белобородова 16 к. 1	СЗАО	Митино	1.0	РЕСТОРАН "КОРОНА"	Рэст +
1361	Сезонное кафе	Лиственничная аллея 2А	САО	Тимирязевский	30.0	ГП МСХА ИМ. К.А. ТИМИРЯЗЕВА	МСХА ИМ. ТИМИРЯЗЕВА К.А.
1362	Сезонное кафе	Большая Академическая ул. 47 с. 2	САО	Коптево	30.0	-	ЦЕНТР СЕРВИС-Л
1363	Сезонное кафе	Лодочная ул. 4	СЗАО	Южное Тушино	150.0	ЧАЙХАНА №1	ЧАЙХАНА 1
1364	Сезонное кафе	ул. Сущёвский Вал 9 с. 1	СВАО	Марьина роща	100.0	ЗОЛОТАЯ ВОБЛА	ЗОЛОТАЯ ВОБЛА
1365	Сезонное кафе	Первомайская ул. 34/16	ВАО	Измайлово	181.0	АГАТ-СТ КАФЕ "ШТИРЛИЦ"	АГАТ-СТ
1366	Сезонное кафе	Первомайская ул. 33	ВАО	Измайлово	220.0	БРИЗ	Бриз
1367	Сезонное кафе	просп. Мира 92 с. 1	ЦАО	Мещанский	56.0	КК ТОРГОВЫЙ ДОМ	КОММЕРЧЕСКАЯ КОМПАНИЯ "ТОРГОВЫЙ ДОМ"
1368	Сезонное кафе	ул. Народного Ополчения 46 к. 1	СЗАО	Щукино	52.0	РАШН КАРАМЕЛЬ РЕСТОРАНТС "Ростикс"	РАШН КАРАМЕЛЬ РЕСТОРАНТС
1369	Сезонное кафе	Ленинградский просп. 37 к. 6	САО	Хорошевский	40.0	Роберто	Роберто
1370	Сезонное кафе	ул. Народного Ополчения 46 к. 1	СЗАО	Щукино	56.0	РОСИНТЕР РЕСТОРАНТС	РОСИНТЕР РЕСТОРАНТС
1371	Сезонное кафе	Первомайская ул. 86/18	ВАО	Восточное Измайлово	140.0	КАФЕ "Тако"	ПОЛИФОРМ АКТИВ
1372	Сезонное кафе	Первомайская ул. 106А	ВАО	Восточное Измайлово	120.0	КАФЕ	ТЭЙСТИ ЛЭНД
1373	Сезонное кафе	Первомайская ул. 47/19	ВАО	Измайлово	80.0	ЛАКОМКА-97	ЛАКОМКА - 97
1374	Сезонное кафе	ул. Нижняя Масловка 10 с. Б	САО	Савеловский	20.0	ГУД ЛАГ	ГУД-ЛАК
1375	Сезонное кафе	ул. Сущёвский Вал 31 с. 1	СВАО	Марьина роща	80.0	ТАНУКИ	КУСИРА
1376	Сезонное кафе	Преображенская пл. 12	ВАО	Преображенское	154.0	БАР ПРИ КИНОТЕАТР ИМ. МОССОВЕТА	КИНОТЕАТР ИМ. МОССОВЕТА
1377	Сезонное кафе	ул. Маршала Бирюзова 21	СЗАО	Щукино	82.0	КАФЕ "ПРИМАВЕРА"	ПРОФИ
1378	Сезонное кафе	ул. Народного Ополчения 49 к. 1	СЗАО	Щукино	56.0	ГАЛЕРЕЯ АЛЕКС "ШОКОЛАДНИЦА"	Галерея - АЛЕКС
1379	Сезонное кафе	Преображенская пл. 6	ВАО	Преображенское	50.0	БАРРАНДОВ	БАРР 11
1380	Сезонное кафе	Преображенская пл. 6	ВАО	Преображенское	50.0	ТЕТ-А-ТЕТ	БОН АППЕТИТ
1381	Сезонное кафе	Преображенская пл. 8	ВАО	Преображенское	17.0	СТАРБАКС КОФЕ	КОФЕ СИРЕНА
1382	Сезонное кафе	Преображенская ул. 5/7	ВАО	Преображенское	100.0	ТАНУКИ	ЛИДЕР
1383	Сезонное кафе	Ленинградский просп. 48	САО	Аэропорт	10.0	КОФЕ ХАУЗ	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
1384	Сезонное кафе	ул. Маршала Бирюзова 22 к. 1	СЗАО	Щукино	80.0	КАФЕ-ПИЦЦЕРИЯ	НАДИН ПЛЮС
1385	Сезонное кафе	Ленинградский просп. 48	САО	Аэропорт	50.0	ЗОЛОТАЯ БУХАРА	ВИЛБИНГ
1386	Сезонное кафе	Новопесчаная ул. 16 к. 1	САО	Сокол	0.01	НЕВКА	БИЗНЕС КЛУБ "НЕВКА"
1387	Сезонное кафе	Ленинградский просп. 48	САО	Аэропорт	20.0	СИ ТОРИЯ	ФЛАЙ-А
1388	Сезонное кафе	Бутырская ул. 11	САО	Савеловский	20.0	СПАСАТЕЛЬНЫЙ КРУГ	ГЛЕКСИ
1389	Сезонное кафе	ул. Маршала Бирюзова 31	СЗАО	Щукино	50.0	КАФЕ "МАМАН"	ИТТАНА
1390	Сезонное кафе	Ленинградский просп. 48	САО	Аэропорт	40.0	ЗОЛОТАЯ БУХАРА	ВИЛБИНГ
1391	Сезонное кафе	Большая Черкизовская ул. 6	ВАО	Преображенское	30.0	РОСИНТЕР РЕСТОРАНТС"	РОСИНТЕР РЕСТОРАНТС
1392	Сезонное кафе	Измайловский бульв. 49	ВАО	Измайлово	70.0	МЕГА СЕРВИС	МЕГА СЕРВИС
1393	Сезонное кафе	Петровско-Разумовский пр. 16	САО	Савеловский	20.0	МИМИНО	АЛЕКСАНДРИЯ
1394	Сезонное кафе	15-я Парковая ул. 27	ВАО	Восточное Измайлово	30.0	КАФЕ-БАР ПАРК АВЕНЮ	ППК
1395	Сезонное кафе	Новопесчаная ул. 12	САО	Сокол	0.01	МЕДИА-АТЕЛЬЕ	МЕДИА-АТЕЛЬЕ
1396	Сезонное кафе	Никитинская ул. 13	ВАО	Измайлово	40.0	РИПО "МЕЧТА"	РИПО "МЕЧТА"
1397	Сезонное кафе	Новопесчаная ул. 10 с. 1	САО	Сокол	0.01	Седьмой элемент	ЭНАЙС
1398	Сезонное кафе	Ленинградский просп. 47 с. 2	САО	Хорошевский	40.0	"IL-PATIO" "Планета Суши"	Рестамар
1399	Сезонное кафе	ул. Маршала Бирюзова 32	СЗАО	Щукино	36.0	КОФЕ СИРЕНА	КОФЕ СИРЕНА
1400	Сезонное кафе	Ленинградский просп. 47 с. 2	САО	Хорошевский	40.0	Кулинариум	Аркона
1401	Сезонное кафе	Большая Черкизовская ул. 30Б	ВАО	Преображенское	80.0	ТРАКТИР	ТЕРНИК
1402	Сезонное кафе	Чапаевский пер. 10/2	САО	Сокол	0.01	кафе "Сады Семирамиды"	ВМФ
1403	Сезонное кафе	Таллинская ул. 7	СЗАО	Строгино	20.0	КАФЕ СИНДБАД	Лефкар
1404	Сезонное кафе	ул. Маршала Бирюзова 34 к. 2	СЗАО	Щукино	42.0	КАФЕ "ПИПЛ"	МИР
1405	Сезонное кафе	Таллинская ул. 7	СЗАО	Строгино	277.3	АПС	АПС
1406	Сезонное кафе	Вятская ул. 41	САО	Савеловский	140.0	КЭМИЛЬФО	КЭМИЛЬФО
1407	Сезонное кафе	ул. Кулакова 24 к. 1	СЗАО	Строгино	20.0	Кафе	Гермес
1408	Сезонное кафе	Халтуринская ул. 11А	ВАО	Преображенское	24.0	ФОРСАЖ	ФОРСАЖ
1409	Сезонное кафе	Ленинградский просп. 62А	САО	Аэропорт	10.0	МУ-МУ В ТК "ГАЛЕРЕЯ АЭРОПОРТ"	ФАСТЛЕНД
1410	Сезонное кафе	ул. Черняховского 3	САО	Аэропорт	20.0	Корчма "Тарас Бульба"	СИТИ
1411	Сезонное кафе	Сиреневый бульв. 15А	ВАО	Северное Измайлово	25.0	ВИВАТ ПИЦЦА	ВИВАТ ПИЦЦА
1412	Сезонное кафе	Сиреневый бульв. 23А	ВАО	Северное Измайлово	100.0	Кафе "Ахилес"	АЛЬФА-ГАРАНТ
1413	Сезонное кафе	Сиреневый бульв. 25А	ВАО	Северное Измайлово	100.0	Ресторан "Ли-Лу"	Соло
1414	Сезонное кафе	Сиреневый бульв. 31	ВАО	Северное Измайлово	35.0	"ВОСТОЧКА" ООО "АФК Холдинг Групп"	МОСКОМИМУЩЕСТВО
1415	Сезонное кафе	Ленинградский просп. 68 с. 23	САО	Аэропорт	40.0	ПЯТЫЙ ОКЕАН	ФРЭНЧ
1416	Сезонное кафе	Щёлковское шоссе 3 с. 1	ВАО	Гольяново	48.0	УДАЧА+	Удача+
1417	Сезонное кафе	Сиреневый бульв. 31	ВАО	Северное Измайлово	30.0	ИЛЬ-ПАТИО	ПАУЛХАУС
1418	Сезонное кафе	ул. Панфилова 12	САО	Сокол	0.01	ФЛАЙТИ	ФЛАЙТИ
1419	Сезонное кафе	Щёлковское шоссе 6	ВАО	Северное Измайлово	20.0	Сахара	ТАНДЕМ
1420	Сезонное кафе	Бутырская ул. 76 с. 1	СВАО	Бутырский	377.0	ИЛЬ ПАТИО	РОСИНТЕР РЕСТОРАНТС
1421	Сезонное кафе	ул. Исаковского 33 к. 6	СЗАО	Строгино	50.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
1422	Сезонное кафе	Петровско-Разумовский пр. 29 с. 4	САО	Савеловский	30.0	БРАЙТОН КОРПОРЕЙШН	БРАЙТОН КОРПОРЕЙШН
1423	Сезонное кафе	Щёлковское шоссе 9	ВАО	Гольяново	20.0	КАНТИНА	КАНТИНА "Вкус Востока"
1424	Сезонное кафе	просп. Мира 91 к. 1	СВАО	Останкинский	66.0	Джонни Грин Паб	Юстус
1425	Сезонное кафе	ул. Маршала Катукова 23	СЗАО	Строгино	371.0	ЧАЙХОНА № 1	Ориден
1426	Сезонное кафе	Строгинский бульв. 1 к. 2	СЗАО	Строгино	12.0	КОФЕ ХАУС ЭСПРЕССО И КАПУЧИНО БАР	Кофе Хаус Эспрессо и Капучино Бар
1427	Сезонное кафе	Волоколамское шоссе 1 к. А	САО	Сокол	0.01	ДЖЕК РЕББИТ СПИМС	ПП "СОКОЛ РС"
1428	Сезонное кафе	ул. Всеволода Вишневского	САО	Тимирязевский	30.0	Факт Фудс	ФАКТ-ФУДС
1429	Сезонное кафе	Уральская ул. 5А	ВАО	Гольяново	114.0	НОВЫЕ САЯНЫ	Новые Саяны
1430	Сезонное кафе	Краснобогатырская ул. 2 с. 84	ВАО	Богородское	50.0	РАФ	РАФ
1431	Сезонное кафе	Бойцовая ул. 22 к. 2	ВАО	Богородское	75.0	АЛУС	АЛУС
1432	Сезонное кафе	ул. Космонавта Волкова 12	САО	Войковский	1.0	ЕВРОСТАР	ЕВРОСТАР
1433	Сезонное кафе	Аргуновская ул. 3 к. 1	СВАО	Останкинский	20.0	Академия-Гриль	КАФЕ-ГРИЛЬ АКАДЕМИЯ
1434	Сезонное кафе	бульв. Маршала Рокоссовского 31	ВАО	Богородское	50.0	СЛАВИЧ	ТД СЛАВИЧ
1435	Сезонное кафе	Ленинградское шоссе 8 с. 2	САО	Войковский	1.0	АРИСТОЛАЙН КАФЕ МИКС МАКС	АРИСТОЛАЙН
1436	Сезонное кафе	Ярославская ул. 8 к. 8	СВАО	Алексеевский	15.0	ДИЗАЙН КАФЕ	ФУД ПРЕЗЕНТ
1437	Сезонное кафе	Ярославская ул. 8 к. 7	СВАО	Алексеевский	60.0	ТРАКТИР У ТИМОФЕЕЧА	КАНТРИ-МАРКЕТ 2000
1438	Сезонное кафе	Цветной бульв. 20/1	ЦАО	Мещанский	25.0	Люксор	Люксор
1439	Сезонное кафе	ул. Зои и Александра Космодемьянских 1 с. 1	САО	Войковский	1.0	ТОРГОВЫЙ КОМПЛЕКС НА ВОЙКОВСКОЙ	НОКИ И К
1440	Сезонное кафе	Ярославская ул. 10 к. 5	СВАО	Алексеевский	23.0	ПИВОЙ РЕСТОРАН "ШТИРЛИЦ"	ПИВНОЙ ДОМ
1441	Сезонное кафе	ул. Дубки 6	САО	Тимирязевский	30.0	АртТрейд	Арт-Трейд
1442	Сезонное кафе	Дмитровское шоссе 15 к. 1	САО	Тимирязевский	30.0	Кафе ХАУС	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
1443	Сезонное кафе	пл. Ганецкого 1	САО	Войковский	1.0	Гатрономическая Академия Рожниковского	Гастрономическая Академия Рожниковского
1444	Сезонное кафе	Хабаровская ул. 10/30	ВАО	Гольяново	40.0	ТРИНЭС	ТРИНЭС
1445	Сезонное кафе	Уральская ул. 17	ВАО	Гольяново	40.0	ЕВРОСТИЛЬ	ЕВРОСТИЛЬ
1446	Сезонное кафе	Ярославская ул. 15 к. 2	СВАО	Алексеевский	50.0	ТРИО	ФИРМА "ТРИО"
1447	Сезонное кафе	Петрозаводская ул. 24Б	САО	Ховрино	386.0	ГУРМАН ПИЦЦА	Гурман Пицца
1448	Сезонное кафе	Петрозаводская ул. 24Б	САО	Ховрино	368.0	СТАЙЛ	СТАЙЛ
1449	Сезонное кафе	Янтарный пр. 3	СВАО	Лосиноостровский	391.7	Татами	Татами
1450	Сезонное кафе	ул. Лётчика Бабушкина 26	СВАО	Лосиноостровский	220.20000000000002	" Вымпел-1"	ВЫМПЕЛ-1
1451	Сезонное кафе	ул. Римского-Корсакова 2А	СВАО	Отрадное	100.0	РЕСТОРАН ЗЕЛЕНОЕ ЯБЛОКО	Д.А.В.2006
