№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
316	Сезонное кафе	ул. Малая Ордынка 19 с. 1	ЦАО	Замоскворечье	50.0	Продукты	ГРАД
317	Сезонное кафе	ул. Большая Полянка 27	ЦАО	Якиманка	298.40000000000003	Хлеб и вино	Вкуслэнд
318	Сезонное кафе	Кусковская ул. 1Б	ВАО	Перово	94.0	АСЯ	Авгас Инвест
319	Сезонное кафе	ул. Неверовского 15	ЗАО	Дорогомилово	2000.0	БАКИНСКИЙ БУЛЬВАР	НАИНА
320	Сезонное кафе	Марксистская ул. 20 с. 1	ЦАО	Таганский	60.0	ПЯТЫЙ ОКЕАН	ФРЭНЧ
321	Сезонное кафе	Марксистская ул. 20 с. 1	ЦАО	Таганский	70.0	АНЕЙ-БАЗИ	ПТФ АНЕЙ
322	Сезонное кафе	Бутиковский пер. 7	ЦАО	Хамовники	100.0	ООО "ОМЕГА"	ОМЕГА
323	Сезонное кафе	Нижегородская ул. 2 к. 1	ЦАО	Таганский	60.0	Кафе ЯКИТОРИЯ	ТОБИКО
324	Сезонное кафе	Кутузовский просп. 36А	ЗАО	Дорогомилово	449.0	СУДАРЬ И К	СУДАРЬ
325	Сезонное кафе	Пятницкая ул. 36	ЦАО	Замоскворечье	50.0	ресторан "Дайкон"	ВОСЬМОЕ НЕБО
326	Сезонное кафе	Смоленский бульв. 1 с. 2	ЦАО	Хамовники	40.0	ПОРТ КАФЕ	ФАРЕКС М
327	Сезонное кафе	Озерковская наб. 26	ЦАО	Замоскворечье	50.0	Ресторан Джведи	Ривер групп
328	Сезонное кафе	1-й пер. Тружеников 4	ЦАО	Хамовники	100.0	ЛИГА-КОМ	ЛИГА-КОМ
329	Сезонное кафе	1-й Голутвинский пер. 3-5 с. 1	ЦАО	Якиманка	60.0	ХМУРОЕ УТРО	СЕТЬ ГОРОДСКОГО ОБСЛУЖИВАНИЯ
330	Сезонное кафе	1-й пер. Тружеников 4	ЦАО	Хамовники	100.0	ЛИГА-КОМ	ЛИГА-КОМ
331	Сезонное кафе	Озерковская наб. 26	ЦАО	Замоскворечье	50.0	АКВАМАРИН	Балоян
332	Сезонное кафе	Таганская ул. 44	ЦАО	Таганский	40.0	ООО "Эдем"	Эдем
333	Сезонное кафе	1-й пер. Тружеников 27/2	ЦАО	Хамовники	30.0	Пиццерия	Спорт Фуд
334	Сезонное кафе	Воронцовская ул. 6 с. 1	ЦАО	Таганский	150.0	ФЛОКСА	ФЛОКСА
335	Сезонное кафе	Новокузнецкая ул. 5 с. 1	ЦАО	Замоскворечье	50.0	Путь к себе	Путь к себе
