№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
5043	25228415	77:03:0002016:31	ул БАЙКАЛЬСКАЯ    (г Москва, ул Байкальская, вл 46А)	10375.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
5044	25226235	77:01:0001092:22	ул Трубная    (г Москва, ул Трубная, вл 31, стр 1)	2310.0	Субъект РФ - город Москва	Нет	эксплуатации здания и территории под учебно-воспитательные цели
5045	25184741	77:03:0007006:69	ул Вешняковская    (г Москва, ул Вешняковская, вл 3А)	10313.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5046	25184740	77:03:0007006:66	ул Кетчерская    (г. Москва, Кетчерская улица, вл. 8Б)	9041.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5047	25304480	77:01:0001058:3	ул Арбат    (г Москва, ул Арбат, вл 53, стр 1/6)	2578.0	Субъект РФ - город Москва	Нет	эксплуатации земельных участков музеев
5048	25305144	77:08:0002023:1	ул Рословка    (г Москва, ул Рословка, вл 8)	9906.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы № 2004
5049	25305467	77:08:0009005:7	ул Академика Бочвара    (г. Москва, ул. Академика Бочвара, вл. 2, корп. 2)	5438.0	Субъект РФ - город Москва	Нет	для эксплуатации учебно-производственных корпусов без права изменения функционального назначения объекта
5050	25317857	77:02:0015001:23	ул Менжинского    (г Москва, ул Менжинского, вл 21)	8481.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада.
5051	25317543	77:02:0004008:15	ул Сухонская    (г Москва, ул  Сухонская, вл 12-а)	15435.0	Субъект РФ - город Москва	Нет	использования территории и эксплуатации здания школы
5052	25272177	77:01:0006041:15	ул Мельникова    (г Москва, ул Мельникова, вл 2, стр 1)	6075.0	Субъект РФ - город Москва	Нет	учебно-воспитательной деятельности без права коммерческого использования
5053	25186644	77:06:0009008:13	б-р Литовский    (г Москва , б-р Литовский, вл 17, корпус 4)	16892.0	Субъект РФ - город Москва	Нет	эксплуатации общеобразовательной школы
5054	25787915	77:05:04013:006	проспект Андропова, дом 39	2567700.0	Субъект РФ - город Москва	Нет	эксплуатации музея-заповедника
5055	25408908	77:04:0004001:45	ул Артюхиной    (г. Москва, ул. Артюхиной, вл. 4, корп. 2)	4491.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ № 1275
5056	25456653	77:09:0004004:60	ул Самеда Вургуна    (г Москва, ул Самеда Вургуна, вл 9)	5384.0	Субъект РФ - город Москва	Нет	ОСУЩЕСТВЛЕНИЯ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ
5057	25274669	77:04:0004007:51	ул 7-я Текстильщиков    (г Москва, ул 7-я Текстильщиков, д 16, корпус 1)	1958.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ТЕХНИКУМА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5058	25453473	77:05:0002003:24	ул Автозаводская    (г Москва, ул Автозаводская, вл 15, корпус 2)	9653.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
5059	25210091	77:08:0003005:127	ул Свободы    (г Москва, ул Свободы, вл  95)	8321.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САНАТОРИЯ
5060	25209389	77:05:0012002:127	ул Мусы Джалиля    (г Москва, ул Мусы Джалиля, вл 17, корпус 4)	4905.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
5061	25497953	77:04:0002008:42	проезд Вешняковский 4-й    (г Москва, 4-й Вешняковский проезд, вл 6)	9223.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА БЕЗ ПРАВА НОВОГО КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА В ТЕХНИЧЕСКОЙ ЗОНЕ
5062	25366128	77:07:0001001:92	ш Рублевское    (г Москва, ш Рублевское, вл 58)	119722.0	Субъект РФ - город Москва	Да	земельные участки, предназначенные для размещения производственных и административных зданий, строений, сооружений коммунального хозяйства, материально-технического снабжения, сбыта и заготовок (1.2.9)
5063	25438617	77:02:0024031:8	пер Институтский    (г Москва, пер Институтский, вл 5)	3101.16	Субъект РФ - город Москва	Нет	эксплуатации здания станции скорой помощи
5064	25433179	77:05:0010004:250	ул Бирюлевская    (г Москва, ул Бирюлевская, вл 52Г)	352.0	Субъект РФ - город Москва	Да	эксплуатации газорегуляторного пункта № 378-378а
5065	25439300	77:06:0007004:7	ул Теплый Стан    (г Москва, ул Теплый Стан, вл 12-а)	8075.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
5066	25477378	77:05:0002002:140	ул Ленинская Слобода    (г Москва, ул Ленинская Слобода, вл  5, корпус 2, вл  5, корпус 2, стр 1-4)	5756.0	Субъект РФ - город Москва	Нет	эксплуатации существующих зданий и строений подстанции скорой помощи № 3
5067	25453027	77:04:0003005:27	проезд 2-й Южнопортовый    (г Москва,  2-й Южнопортовый проезд, дом 17, корпус 1)	1900.0	Субъект РФ - город Москва	Да	эксплуатации существующего здания канализационной насосной станции
5068	25232039	77:08:0003007:15	ул Героев Панфиловцев    (г Москва, ул Героев Панфиловцев, вл 13, корпус 2)	17829.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 106
5069	25231419	77:06:0011001:17	ул Ратная    (г Москва, ул Ратная, вл 14 Б)	10183.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ АДМИНИСТРАТИВНОГО ЗДАНИЯ
5070	25232989	77:09:0002012:36	ул Клязьминская    (г Москва, ул Клязьминская, вл 10А)	8829.0	Субъект РФ - город Москва	Нет	эксплуатации детских яслей-сада.
5071	25214933	77:02:0021010:6	проезд Марьиной Рощи 9-й    (г Москва, проезд Марьиной Рощи 9-й, вл 8а)	3027.0	Субъект РФ - город Москва	Нет	эксплуатации поликлиники
5072	25229251	77:03:0006023:73	ул Молостовых    (г. Москва, ул. Молостовых, вл. 7, к. 1)	4965.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5073	25184988	77:04:0003008:59	ул Гурьянова    (г Москва, ул Гурьянова, вл 63)	8737.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
5074	25361678	77:01:0005013:59	Олсуфьевский переулок    (г Москва, пер Олсуфьевский, вл 1, стр 1)	1860.0	Субъект РФ - город Москва	Нет	эксплуатации здания поликлиники и благоустройства прилегающей территории
5075	25451436	77:02:0014011:69	проезд Русанова    (г. Москва, проезд Русанова, вл. 9, корп. 2)	9419.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
5076	25453990	77:05:0011009:12	ул Елецкая    (г Москва, ул Елецкая, вл 31, корпус 2)	13421.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
5077	25181033	77:01:0001037:98	пер Милютинский    (г. Москва, пер. Милютинский, вл. 16, стр. 3)	1644.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения административных и офисных зданий (1.2.7)
5078	25184403	77:03:0005018:38	ул 15-я Парковая    (г Москва, ул 15-я Парковая, вл 43, стр 1)	6559.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5079	25184401	77:03:0005018:32	ш Щелковское    (г Москва, ш Щелковское, вл 82Б)	11432.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы и прилегающей территории
5080	25230994	77:06:0007005:29	ул Генерала Тюленева    (г Москва, ул Генерала Тюленева, вл 23, корпус 2)	5110.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
5081	25229470	77:04:0002018:20	пр-кт Волгоградский    (г Москва, пр-кт Волгоградский, вл 101, корпус 3)	12866.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
5082	25231338	77:06:0009010:22	ул Голубинская    (г Москва, ул Голубинская, д 24, корпус 2)	8472.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без изменения функционального назначения
5083	25229446	77:04:0002008:62	проезд Вешняковский 4-й    (г Москва , проезд 4-й  Вешняковский, вл 1, корпус 1)	3412.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД ЦЕНТР АДАПТАЦИИ И ПЕРЕПОДГОТОВКИ
5084	25233250	77:09:0004010:45	ул 8 Марта    (г Москва, ул 8 Марта, вл 6А, стр 2)	3314.0	Субъект РФ - город Москва	Нет	для осуществления учебно-воспитательной деятельности
5085	25227370	77:02:0002010:90	ул Мурановская    (г Москва, ул Мурановская, вл 13А)	10414.0	Субъект РФ - город Москва	Нет	эксплуатации здания образовательного учреждения
5086	25209393	77:05:0012002:142	б-р Ореховый    (г Москва, б-р Ореховый, вл 49, корпус 1, стр 1, 2)	6753.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И РЕНТГЕНХРАНИЛИЩА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
5087	25209384	77:05:0009003:164	проезд Востряковский    (г Москва, проезд Востряковский, вл 19 б)	8797.0	Субъект РФ - город Москва	Нет	эксплуатации существующего детского сада с прилегающим земельным участком
5088	25209607	77:07:0013003:133	пр-кт Мичуринский    (г Москва, пр-кт Мичуринский, вл 42)	24686.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 38 ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
5089	25184966	77:04:0002019:32	ул Люблинская    (г Москва, ул Люблинская, дом 11, корп 3)	4390.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5090	25188109	77:09:0001019:87	ул Авангардная    (г Москва, ул Авангардная, вл 11А)	14479.0	Субъект РФ - город Москва	Нет	эксплуатации для осуществления учебно-воспитательной деятельности
5091	25456565	77:09:0002013:42	ул Клязьминская    (г Москва, ул Клязьминская, вл 7, корпус 4)	14825.0	Субъект РФ - город Москва	Нет	эксплуатации общеобразовательной школы
5092	25299685	77:07:0013006:138	ул Лобачевского    (г Москва, ул Лобачевского, вл 56)	8398.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 463
5093	25483543	77:04:0004007:6	ул АРТЮХИНОЙ    (г Москва, улица Артюхиной, дом 27, корп.3)	2509.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5094	25394679	77:07:0007006:2	наб Бережковская    (г Москва, наб Бережковская, вл 24/А)	2050.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЙ И СООРУЖЕНИЙ И ДЛЯ ВЫПОЛНЕНИЯ ОСНОВНОЙ ПРОИЗВОДСТВЕННОЙ ДЕЯТЕЛЬНОСТИ
5095	25454267	77:05:0012005:73	ул Братеевская    (г Москва, ул Братеевская, вл 18)	21339.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
5096	25271471	77:01:0003014:29	ул Малая Почтовая    (г Москва, ул Малая Почтовая, вл 4/1, стр 1)	1000.0	Субъект РФ - город Москва	Да	эксплуатации здания школьно-базовой столовой
5097	25304520	77:01:0006002:6	ул Крымский Вал    (г Москва, ул Крымский Вал, вл 9, стр А)	2301.0	Субъект РФ - город Москва	Да	эксплуатации насосной станции
5098	25298820	77:05:0007002:222	ш ВАРШАВСКОЕ    (г Москва, ш Варшавское, вл 134)	20929.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ АВТОБАЗЫ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ
5099	25318080	77:02:0021001:25	ул Милашенкова    (г Москва, ул Милашенкова, вл 12в)	100.0	Субъект РФ - город Москва	Да	эксплуатации временной автостоянки служебного транспорта на 3 машиноместа
5100	25319754	77:04:0004029:59	ул Перерва    (г Москва, ул Перерва, вл 88)	1797.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ СНЕГОСПЛАВНОГО ПУНКТА
5101	25299625	77:08:0002011:130	ул Барышиха    (г Москва, ул Барышиха, вл 8, корпус 1, стр 1)	476.0	Субъект РФ - город Москва	Да	эксплуатации центрального теплового пункта №158
5102	25254326	77:05:0010009:122	проезд ЗАГОРЬЕВСКИЙ    (г Москва, проезд Загорьевский, вл 2)	3032.0	Субъект РФ - город Москва	Да	эксплуатации существующей территории под канализационную насосную станцию
5103	25451832	77:02:0023013:45	ул Староалексеевская    (г Москва, ул Староалексеевская, вл 18)	2793.0	Субъект РФ - город Москва	Нет	эксплуатации здания поликлиники
5104	25408207	77:03:0006006:28	ул Перовская    (г Москва, ул Перовская, вл 27)	9149.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5105	25499766	77:06:0012001:30	ул Скобелевская    (г Москва, ул Скобелевская, вл 25, корп.3)	6495.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
5106	25186851	77:07:0005010:16	ул Новозаводская    (г Москва, ул  Новозаводская, вл 6)	48500.0	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
5107	25184840	77:04:0002005:70	ул Саратовская    (г. Москва, ул. Саратовская, вл. 19)	32889.0	Субъект РФ - город Москва	Нет	эксплуатации зданий школы - интерната
5108	25171019	77:08:0003003:7	ул ВИЛИСА ЛАЦИСА    (г Москва, ул Вилиса Лациса, вл 11, корпус 2)	18322.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
5109	25273397	77:03:0001012:40	ул Ивантеевская    (г Москва, Ивантеевская улица, вл 32 Б)	3589.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5110	25231418	77:06:0009003:13	ул Голубинская    (г Москва, ул Голубинская, вл 21, корпус 2  и владение 21, корпус 2, строение 2)	3280.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса поликлиники без права изменения функционального назначения
5111	25213120	77:08:0003007:1002	б-р Яна Райниса    (г. Москва, бульвар Яна Райниса, вл. 4, корп. 6)	6928.35	Субъект РФ - город Москва	Нет	Эксплуатация здания поликлиники (земельные участки, предназначенные для размещения объектов здравоохранения)
5112	25227343	77:02:0002010:17	ул Лескова    (г Москва, ул Лескова, вл 8б)	3307.0	Субъект РФ - город Москва	Нет	эксплуатации поликлиники.
5113	25227435	77:02:0002012:81	ул Плещеева    (г Москва, ул Плещеева, д 3б)	10158.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ здания дошкольного учреждения
5114	25225541	77:01:0001047:69	пер Филипповский    (г Москва, пер Филипповский, вл 11, стр 2)	428.0	Субъект РФ - город Москва	Нет	эксплуатации здания для работы с детьми, подростками и молодежью по месту жительства и благоустройства прилегающей территории
5115	25230453	77:05:0010003:20	ул Бирюлевская    (г Москва, Бирюлевская улица, дом 23, корп. 1)	16721.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ  ЗДАНИЙ И СООРУЖЕНИЙ ШКОЛЫ
5116	25229879	77:05:0001010:22	проезд 5-Й  Донской    (г Москва, проезд 5-й Донской, вл 21А, стр 1-11, 13-15, 17-22, 25-28)	121939.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ И СТРОЕНИЙ БОЛЬНИЦЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
5117	25184786	77:03:0006024:51	ул Молостовых    (г Москва, ул Молостовых, вл 4Б)	10643.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5118	25208314	77:01:0006026:230	ул Большая Коммунистическая    (г Москва, ул Большая Коммунистическая, вл 17, стр 5-5А)	488.0	Субъект РФ - город Москва	Нет	эксплуатации здания под театр
5119	25275651	77:06:0003010:45	ул Академика Пилюгина    (г Москва, ул Академика Пилюгина, д 16, корпус 2)	15333.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса школы без права изменения функционального назначения
5120	25455072	77:07:0002002:13	б-р Филевский    (г Москва, Филевский бульвар, вл 13, корпус 2)	15734.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебно-воспитательные цели
5121	25451027	77:02:0001015:26	ул Угличская    (г Москва, ул Угличская, вл 8)	5941.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
5122	25412264	77:09:0004009:73	ул Константина Симонова    (г Москва, ул Константина Симонова, вл 3, стр 1)	6936.0	Субъект РФ - город Москва	Нет	эксплуатации детских яслей
5123	25454799	77:06:0009007:17	пр-кт Новоясеневский    (г Москва, пр-кт Новоясеневский, вл 15, корпус 2)	8352.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
5124	25275145	77:05:0005011:96	б-р Кавказский    (г Москва, б-р Кавказский, вл 18, корпус 2)	10881.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада с прилегающей территорией
5125	25305341	77:07:0009004:6	ул Кременчугская    (г Москва, ул Кременчугская, вл 7, корпус 1)	3970.0	Субъект РФ - город Москва	Нет	эксплуатации зданий под лечебно-профилактические цели
5126	25407163	77:02:0015008:21	ул Снежная    (г Москва, ул Снежная, вл 10, стр 1)	9435.0	Субъект РФ - город Москва	Нет	эксплуатации здания детских яслей-сада (детского сада)
5127	25454240	77:05:0012004:33	ул Борисовские Пруды    (г Москва, ул Борисовские Пруды, вл 10, корпус 3)	4895.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ
5128	25275225	77:05:0006003:64	Северное Чертаново    (г Москва, Северное Чертаново, корпус 814)	7787.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
5129	25410486	77:06:0009002:22	ул Голубинская    (г Москва, ул Голубинская, вл 5, корпус 2)	10428.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса школы без права изменения функционального назначения
5130	25170041	77:01:0001100:5	ул Покровка    (г. Москва, ул. Покровка, д. 17, стр. 1)	3100.0	Субъект РФ - город Москва	Да	эксплуатации зданий историко-культурного назначения
5131	25497750	77:03:0006022:18	ул Сталеваров    (г Москва, ул Сталеваров, вл 5)	103956.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ ДЕПО "НОВОГИРЕЕВО" КАЛИНИНСКОЙ ЛИНИИ МЕТРОПОЛИТЕНА В ВАО
5132	25323437	77:10:0002007:11	(г. Москва, Зеленоград, корпус 815А)	120.0	Субъект РФ - город Москва	Да	земельные участки, предназначенные для размещения объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития наземных и подземных зданий, строений, сооружений, устройств энергетики (1.2.13)
5133	25476723	77:02:0004001:121	проезд Студеный	9477.0	Субъект РФ - город Москва	Нет	ИСПОЛЬЗОВАНИЯ ТЕРРИТОРИИ И ЭКСПЛУАТАЦИИ здания дошкольного учреждения
5134	25478231	77:07:0015003:136	ул 50 лет Октября    (г Москва, ул 50 лет Октября г. Солнцев, вл 25, корпус 1)	9652.0	Субъект РФ - город Москва	Нет	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА №3 ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
5135	25476342	77:01:0002004:127	ул Большая Полянка    (г Москва, ул Большая Полянка, вл 43, стр 1)	255.0	Субъект РФ - город Москва	Да	эксплуатации здания под административные цели и благоустройства территории.
5136	25497609	77:03:0008001:49	ул Западная    (г Москва, ул Западная, вл 7, стр 2,5)	1686.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ СКЛАДА, ГАРАЖА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5137	25208360	77:02:0002010:117	проезд Шенкурский    (г Москва, проезд Шенкурский, вл 6А)	9945.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
5138	25208258	77:01:0005001:137	пер Проточный    (г Москва, пер Проточный, вл 3-5, стр 1)	2628.0	Субъект РФ - город Москва	Нет	эксплуатации здания под медицинские цели и благоустройство территории
5139	25208688	77:03:0006015:100	пр-кт Союзный    (г Москва, пр-кт Союзный, вл 7)	10248.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада и благоустройства прилегающей территории
5140	25171262	77:06:0012008:2	проезд Чечерский    (г Москва, проезд Чечерский, вл 80)	13548.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса школы без права изменения функционального назначения
5141	25170932	77:05:0007006:6	ул Красного Маяка    (г Москва, ул Красного Маяка, дом 13Б)	17096.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
5142	25186107	77:05:0012003:98	ул Братеевская    (г Москва, ул Братеевская, вл 35, корпус 1)	9804.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО САДА
5143	25185451	77:05:0001004:43	пер 2-й Павловский    (г Москва, пер Павловский 2-й, вл 18)	6915.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
5144	25227237	77:02:0002003:47	ул Корнейчука    (г Москва, ул Корнейчука, вл 24А)	10286.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
5145	25225701	77:01:0001030:76	ул Жуковского    (г Москва, ул Жуковского, вл 2/8, стр 3)	968.0	Субъект РФ - город Москва	Нет	эксплуатации здания под поликлинику
5146	25275996	77:06:0006004:45	ул Саморы Машела    (г Москва, ул Саморы Машела, вл 10)	6687.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса станции медицинской помощи без права изменения функционального назначения
5147	25254330	77:05:0011006:100	ул ЕЛЕЦКАЯ    (г Москва, ул Елецкая, вл 14, стр 1, 2)	4440.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОЛИКЛИНИКИ И РЕНТГЕНОХРАНИЛИЩА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
5148	25254687	77:06:0012000:376	ул Поляны    (г Москва, ул Поляны, вл 35)	10123.0	Субъект РФ - город Москва	Нет	эксплуатации здания физкультурно-оздоровительного комплекса  и спортивных плоскостных сооружений
5149	25271999	77:01:0005014:95	ул Тимура Фрунзе    (г Москва, ул Тимура Фрунзе, вл 3, стр 2)	5525.0	Субъект РФ - город Москва	Нет	эксплуатации здания и прилегающей территории в учебно-образовательных целях
5150	25271364	77:01:0001097:43	пер Успенский    (г Москва, пер Успенский, вл 4, стр 5, 5А)	2063.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ зданий и прилегающей территории под культовые цели
5151	25229670	77:04:0004008:18	ул Шкулева    (г Москва, ул Шкулева, вл 2)	62409.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ  ДВОРЦА ПИОНЕРОВ И ШКОЛЬНИКОВ, БЕЗ ПРАВА СТРОИТЕЛЬСТВА В ТЕХНИЧЕСКОЙ ЗОНЕ МЕТРО
5152	25229660	77:04:0004027:25	б-р ПЕРЕРВИНСКИЙ    (г Москва, Перервинский б-р, вл 18, корпус 1)	5004.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ
5153	25253583	77:03:0004007:137	ул 8-я Соколиной Горы    (г Москва, ул 8-я Соколиной Горы, вл 5А)	5982.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ / БЛАГОУСТРОЙСТВА ЗДАНИЯ ШКОЛЫ / ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
5154	25759252	77:08:0004001:5676	Светлогорский проезд, вл. 7, стр.2	0.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА №33
5155	25501194	77:09:0001011:63	ул Лавочкина    (г Москва, ул Лавочкина, вл 52А)	10025.0	Субъект РФ - город Москва	Нет	эксплуатации для осуществления воспитательно-образовательной деятельности
5156	25787576	77:02:0020004:1004	улица Гончарова, вл. 19Б	0.0	Субъект РФ - город Москва	Да	эксплуатации для осуществления воспитательно-образовательной деятельности
5157	25453973	77:05:0008004:82	ул Чертановская    (г Москва, ул Чертановская, вл 56Г)	148.0	Субъект РФ - город Москва	Да	эксплуатации газорегуляторного пункта № 368
5158	25273635	77:03:0002020:35	проезд Погонный    (г Москва, проезд Погонный, вл 5)	20502.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ КОЛЛЕДЖА И ПРИЛЕГАЮЩЕГО УЧАСТКА
5159	25254871	77:07:0013007:143	ул Удальцова    (г Москва, ул Удальцова, вл 31)	11808.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 179
5160	25319120	77:03:0009001:46	ул Суздальская    (г Москва, ул Суздальская, вл 22 Б)	25288.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы и прилегающей территории
5161	25316492	77:01:0003024:92	пер Налесный    (г Москва, пер Налесный, вл 8, стр 1)	298.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ здания под административные цели
