№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
64	25526024	77:07:0013007:1011	ул Удальцова    (г. Москва, ул. Удальцова, вл. 10, корп. 1)	5889.27	Субъект РФ - город Москва	Нет	земельные участки предназначенные для размещения объектов образования (1.2.7)
65	25526128	77:07:0004002:1007	ш Рублевское    (г. Москва, Рублевское ш., вл. 115)	6962.16	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
66	25525936	77:06:0003013:1014	пр-кт Ленинский    (г. Москва, Ленинский проспект, вл. 105)	5800.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов культуры, искусства (1.2.7)
67	25525929	77:07:0010001:1005	ул Косыгина    (г. Москва, ул. Косыгина, вл. 32)	26670.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения административных и офисных зданий (1.2.7), земельные участки, занятые особо охраняемыми территориями и объектами (1.2.14)
68	25526136	77:05:0011007:1009	ул Ясеневая    (г. Москва, ул. Ясеневая, вл. 33, корп. 2)	9390.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
69	25525850	77:06:0012009:1006	ул Адмирала Лазарева    (г. Москва, ул. Адмирала Лазарева, вл. 53)	18651.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7).
70	25522076	77:04:0004019:113	б-р Новочеркасский    (г Москва, б-р Новочеркасский, вл 34, стр 1)	9252.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
71	25523301	77:07:0014001:110	ул Большая  Очаковская    (г Москва, ул Большая  Очаковская, вл 38, стр 1 и 3)	4227.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОД ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКИЕ ЦЕЛИ
72	25523274	77:07:0013007:194	ул ЛОБАЧЕВСКОГО    (г Москва, ул Лобачевского, вл 42)	19986.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ БОЛЬНИЦЫ
73	25523557	77:09:0001008:105	ул Петрозаводская    (г Москва, ул Петрозаводская, вл 26А)	1425.0	Субъект РФ - город Москва	Нет	эксплуатации поликлиники
