№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
93	Государственное бюджетное образовательное учреждение города Москвы центр образования № 919 имени  Маршала Советского Союза С.К.Куркоткина	109386, г. Москва, ул. Краснодарская, д. 25, корп. 2	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 359-52-29	http://sch919.uvuo.ru
94	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1422	109548, г. Москва, ул. Шоссейная, д. 7	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 746-46-38	http://co-1422.do.am
95	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 1071	117628, г.Москва, бульвар Дмитрия Донского, дом 6А	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	712-19-59	http://1071.ru
96	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1445	117574, г.Москва, улица Голубинская, дом 5, корпус 4	Бюджетное	Общеобразовательное учреждение	Центр образования	423-38-22	http://www.1445.ru
97	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1441 "Бронная слобода"	123104 г.Москва, Б. Козихинский пер., д.5, стр.3	Бюджетное	Общеобразовательное учреждение	Центр образования	202-80-27	http://centr1441.ucoz.ru
98	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 1099	129347 г. Москва, ул. Ротерта, дом 5.	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	(499) 188-17-58	http://co1099.svao.mskobr.ru
99	Государственное бюджетное образовательное учреждение города Москвы центр образования № 204 имени А.М. Горького	127055, г. Москва, ул. Тихвинская, д.39, стр.2	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 972-62-41	http://co204.ru
100	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1048	111672, Москва, ул.Салтыковская, д.13 Б	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 701-22-00; (495) 701-22-50	http://www.1048.su
101	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1443	111625, г. Москва, ул. Рудневка, д.10	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 721-60-03	http://1443.ucoz.ru
102	Государственное бюджетное образовательное учреждение города Москвы центр образования №1452 "Богородский"	107564, г. Москва, ул. 1-я Гражданская, д.96	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 964-88-01	http://co1452.ru
103	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1475	107497, г. Москва, ул. Новосибирская, д. 8 А	Бюджетное	Общеобразовательное учреждение	Центр образования	469-50-08	http://co1475/mskobr.ru
104	Государственное бюджетное образовательное учреждение города Москвы центр образования №1637	111401, г. Москва, ул. 3-я Владимирская, дом 12 А	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 672-02-35; (495) 672-01-99; (495) 603-46-09	http://school1637.ru/
